V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40
1.0,0.0,G,10.0,4.0,1.0,First call,1.0,40-44,White,Male,Graham,MacKay,No,Approve,Disapprove,White,,Neither,No,No,No,Yes,Worse,Clinton,Independent,Some college,Under 15K,Liberal,18 to 64,National,Complete,North,30 to 44,40 to 49,Independent/Other,40 to 49,1.145,,Favorable
1.0,0.0,G,10.0,4.0,2.0,First call,1.0,45-49,Black,Female,Graham,MacKay,No,Approve,Disapprove,Black,,Neither,No,No,No,Yes,Better,Clinton,Democrat,College grad,50 to 75K,Liberal,18 to 64,National,Complete,North,45 to 59,40 to 49,Democrat,40 to 49,0.87,,Unfavorable
1.0,0.0,G,10.0,4.0,3.0,First call,1.0,45-49,White,Female,Graham,Bush,No,Disapprove,Approve,White,,,,Yes,Yes,Yes,Better,Dole,Democrat,Some college,75 to 100K,Liberal,18 to 64,National,Complete,North,45 to 59,40 to 49,Democrat,40 to 49,1.355,,Unfavorable
1.0,0.0,G,10.0,4.0,4.0,First call,1.0,40-44,Black,Female,Graham,MacKay,No,Approve,Disapprove,Black,,Neither,No,No,No,,Better,Clinton,Democrat,College grad,15 to 30K,,18 to 64,National,Complete,North,30 to 44,40 to 49,Democrat,40 to 49,0.87,,Favorable
1.0,0.0,G,10.0,4.0,5.0,First call,1.0,40-44,White,Female,Crist,Bush,No,Disapprove,Disapprove,White,,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,National,Complete,North,30 to 44,40 to 49,Republican,40 to 49,1.199,,Unfavorable
1.0,0.0,G,10.0,4.0,6.0,First call,1.0,45-49,Black,Male,Graham,MacKay,No,Approve,Disapprove,Black,,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,College grad,50 to 75K,Moderate,18 to 64,National,Complete,North,45 to 59,40 to 49,Democrat,40 to 49,0.893,,Favorable
1.0,0.0,G,10.0,4.0,7.0,First call,1.0,30-39,White,Male,Graham,MacKay,No,Approve,Disapprove,White,,Neither,No,No,No,Yes,Better,Did not vote,Democrat,Some college,50 to 75K,Moderate,18 to 64,National,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,1.145,,Unfavorable
1.0,0.0,G,10.0,4.0,8.0,First call,1.0,65 and over,Black,,Graham,MacKay,,,,Black,,,,,,,,,,,,,65 and over,National,Not complete,North,60 and over,60 and over,,65 and over,0.939,,
1.0,0.0,G,10.0,4.0,9.0,First call,1.0,65 and over,White,Female,Graham,Bush,No,Approve,,White,,,,,,,Better,,Independent,,,Moderate,65 and over,National,Complete,North,60 and over,60 and over,Independent/Other,65 and over,1.421,,
1.0,0.0,G,10.0,4.0,10.0,First call,1.0,60-64,White,Male,Crist,Bush,No,Disapprove,,White,,,,,,,Same,,Republican,,50 to 75K,Conservative,18 to 64,National,Complete,North,60 and over,60 and over,Republican,50 to 64,1.294,,
1.0,0.0,G,10.0,4.0,11.0,First call,1.0,50-59,Black,Male,Graham,MacKay,No,Approve,,Black,,,,,,,Same,,Democrat,,30 to 50K,Conservative,18 to 64,National,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,0.893,,
1.0,0.0,G,10.0,4.0,12.0,First call,1.0,40-44,Other,Male,Crist,Bush,No,Disapprove,,Other,,,,,,,Same,,Independent,,30 to 50K,Conservative,18 to 64,National,Complete,North,30 to 44,40 to 49,Independent/Other,40 to 49,1.232,,
1.0,0.0,G,10.0,4.0,13.0,First call,1.0,60-64,Black,Female,Graham,MacKay,,Approve,,Black,,,,,,,,,,,,,18 to 64,National,Not complete,North,60 and over,60 and over,,50 to 64,0.914,,
1.0,0.0,G,10.0,4.0,14.0,First call,1.0,30-39,Black,Male,Graham,MacKay,No,Approve,,Black,,,,,,,Same,,Democrat,,50 to 75K,Liberal,18 to 64,National,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,0.893,,
1.0,0.0,G,10.0,4.0,15.0,Second call,1.0,30-39,White,Male,Graham,MacKay,No,Disapprove,Disapprove,White,,Neither,No,Yes,Yes,No,Worse,Dole,Democrat,Postgrad,75 to 100K,Moderate,18 to 64,National,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,1.145,,Unfavorable
1.0,0.0,G,10.0,4.0,16.0,Second call,1.0,45-49,Black,Female,Graham,MacKay,No,Approve,Disapprove,Black,,Support Clinton,No,No,No,No,Better,Clinton,Democrat,College grad,100K or more,Moderate,18 to 64,National,Complete,North,45 to 59,40 to 49,Democrat,40 to 49,0.87,,Favorable
1.0,0.0,G,10.0,4.0,17.0,Second call,1.0,65 and over,White,Male,Graham,MacKay,No,Approve,,White,,,,,,,Worse,,Democrat,,30 to 50K,Moderate,65 and over,National,Complete,North,60 and over,60 and over,Democrat,65 and over,1.203,,
1.0,0.0,G,10.0,4.0,18.0,Second call,1.0,18-24,White,Female,Graham,MacKay,No,Approve,,White,,,,,,,Same,,Independent,,30 to 50K,Moderate,18 to 64,National,Complete,North,18 to 29,18 to 24,Independent/Other,18 to 24,0.803,,
1.0,0.0,G,10.0,4.0,19.0,Third call,1.0,30-39,White,Male,Graham,Bush,No,Approve,Disapprove,White,,Neither,No,No,No,Yes,Better,Perot,Democrat,Some college,100K or more,Moderate,18 to 64,National,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,1.392,,Favorable
1.0,0.0,G,10.0,4.0,20.0,Third call,1.0,25-29,Black,Female,Graham,MacKay,No,Approve,Approve,Black,,Neither,No,No,No,No,Better,Clinton,Democrat,College grad,50 to 75K,Conservative,18 to 64,National,Complete,North,18 to 29,25 to 29,Democrat,25 to 29,0.6289999999999999,,Favorable
1.0,0.0,G,10.0,4.0,21.0,Third call,1.0,45-49,White,Female,Crist,Bush,No,Disapprove,Approve,White,,Neither,No,No,Yes,No,Same,Did not vote,Democrat,Some college,15 to 30K,Conservative,18 to 64,National,Complete,North,45 to 59,40 to 49,Democrat,40 to 49,1.199,,Unfavorable
1.0,0.0,G,10.0,4.0,22.0,Third call,1.0,65 and over,Hispanic,Male,Graham,Bush,Yes,Approve,Approve,Asian,,Neither,No,No,No,Yes,Same,Dole,Democrat,Some college,15 to 30K,Moderate,65 and over,National,Complete,North,60 and over,60 and over,Democrat,65 and over,1.143,,Favorable
1.0,0.0,G,10.0,4.0,23.0,Third call,1.0,30-39,White,Female,Graham,Bush,No,Approve,Approve,White,,Support Clinton,No,No,No,No,Better,Clinton,Democrat,College grad,75 to 100K,Moderate,18 to 64,National,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,1.355,,Favorable
1.0,0.0,G,10.0,4.0,24.0,Third call,1.0,30-39,White,Female,Graham,Bush,No,Disapprove,Disapprove,White,,Neither,Yes,Yes,Yes,Yes,Better,Dole,Republican,Some college,15 to 30K,Conservative,18 to 64,National,Complete,North,30 to 44,30 to 39,Republican,30 to 39,1.355,,Unfavorable
1.0,0.0,G,10.0,4.0,25.0,Third call,1.0,40-44,White,Female,Graham,MacKay,No,Disapprove,Disapprove,White,,Neither,No,Yes,Yes,No,Worse,Perot,Independent,Some college,15 to 30K,Conservative,18 to 64,National,Complete,North,30 to 44,40 to 49,Independent/Other,40 to 49,1.114,,Unfavorable
1.0,0.0,G,10.0,4.0,26.0,Third call,1.0,25-29,Black,Female,Crist,MacKay,No,Disapprove,Approve,Black,,Neither,Yes,Yes,Yes,Yes,Worse,Dole,Independent,Postgrad,Under 15K,Moderate,18 to 64,National,Complete,North,18 to 29,25 to 29,Independent/Other,25 to 29,0.5549999999999999,,Unfavorable
1.0,0.0,G,10.0,4.0,27.0,Third call,1.0,50-59,White,Male,Graham,MacKay,,Approve,Disapprove,White,,Neither,No,No,No,No,Better,Clinton,Something else,College grad,30 to 50K,Liberal,18 to 64,National,Complete,North,45 to 59,50 to 59,Independent/Other,50 to 64,1.145,,
1.0,0.0,G,10.0,4.0,28.0,Third call,1.0,40-44,White,Female,Graham,Bush,No,Approve,Disapprove,White,,Support Clinton,No,No,No,No,Worse,Clinton,Independent,HS grad,15 to 30K,Liberal,18 to 64,National,Complete,North,30 to 44,40 to 49,Independent/Other,40 to 49,1.355,,Favorable
1.0,0.0,G,10.0,4.0,29.0,Third call,1.0,40-44,Black,Male,Graham,MacKay,No,Approve,Disapprove,Black,,Support Clinton,No,No,No,Yes,Worse,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,National,Complete,North,30 to 44,40 to 49,Democrat,40 to 49,0.893,,Favorable
1.0,0.0,G,10.0,4.0,30.0,Third call,1.0,65 and over,White,Male,Crist,Bush,No,Disapprove,Approve,White,,Oppose Clinton,Yes,Yes,Yes,Yes,Worse,Perot,Independent,Postgrad,30 to 50K,Conservative,65 and over,National,Complete,North,60 and over,60 and over,Independent/Other,65 and over,1.294,,Unfavorable
1.0,0.0,G,10.0,4.0,31.0,Third call,1.0,65 and over,White,Female,Graham,Bush,No,Approve,Disapprove,White,,Support Clinton,No,No,No,No,Same,Clinton,Democrat,No HS,Under 15K,Liberal,65 and over,National,Complete,North,60 and over,60 and over,Democrat,65 and over,1.421,,Favorable
