V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42
1.0,0.0,G,18.0,6.0,1.0,First call,1.0,60-64,White,Female,Baesler,Disapprove,Approve,Approve,Baesler,Oppose Clinton,No,Former,Yes,Yes,Yes,Worse,Other,Favorable,Republican,Some college,Not good,Under 15K,Conservative,18 to 64,State,Complete,East,60 and over,60 and over,Republican,50 to 64,0.8,Health Care,Unfavorable,Yes
1.0,0.0,G,18.0,6.0,2.0,First call,1.0,50-59,White,Female,Baesler,Approve,Disapprove,Approve,Baesler,Support Clinton,No,Current,No,No,No,Better,Clinton,Unfavorable,Democrat,Postgrad,Excellent,75 to 100K,Moderate,18 to 64,State,Complete,East,45 to 59,50 to 59,Democrat,50 to 64,0.612,Economy/jobs,Favorable,Yes
1.0,0.0,G,18.0,6.0,3.0,First call,1.0,18-24,White,Male,Bunning,Disapprove,Disapprove,Disapprove,Bunning,Oppose Clinton,Yes,Never,Yes,Yes,Yes,Same,Did not vote,,Republican,HS grad,Good,100K or more,Conservative,18 to 64,State,Complete,East,18 to 29,18 to 24,Republican,18 to 24,0.981,Foreign Policy,Unfavorable,No
1.0,0.0,G,18.0,6.0,4.0,First call,1.0,60-64,White,Female,Baesler,Approve,Disapprove,Approve,Baesler,Neither,No,Never,No,No,No,Same,Clinton,Unfavorable,Democrat,Some college,Excellent,50 to 75K,Moderate,18 to 64,State,Complete,East,60 and over,60 and over,Democrat,50 to 64,0.8,Health Care,Favorable,Yes
1.0,0.0,G,18.0,6.0,5.0,First call,1.0,50-59,White,Male,Bunning,Disapprove,Disapprove,Disapprove,Both,Oppose Clinton,No,Former,Yes,Yes,Yes,Same,Dole,Favorable,Republican,Postgrad,Good,75 to 100K,Conservative,18 to 64,State,Complete,East,45 to 59,50 to 59,Republican,50 to 64,0.875,,Unfavorable,Yes
1.0,0.0,G,18.0,6.0,6.0,First call,1.0,18-24,White,Male,Bunning,Approve,Approve,Approve,Both,Support Clinton,Yes,Current,Yes,Yes,No,Same,Clinton,Unfavorable,Democrat,HS grad,Good,,Liberal,18 to 64,State,Complete,East,18 to 29,18 to 24,Democrat,18 to 24,0.981,Economy/jobs,Unfavorable,No
1.0,0.0,G,18.0,6.0,7.0,First call,1.0,40-44,White,Male,Baesler,Approve,Approve,Approve,Baesler,Neither,No,Current,No,Yes,Yes,Better,Clinton,Favorable,Democrat,HS grad,Good,15 to 30K,Moderate,18 to 64,State,Complete,East,30 to 44,40 to 49,Democrat,40 to 49,0.75,Clin/Lwnsky,Unfavorable,Yes
1.0,0.0,G,18.0,6.0,8.0,First call,1.0,65 and over,White,Female,Baesler,Approve,Disapprove,Approve,Baesler,Neither,No,,No,No,,Same,Clinton,Unfavorable,Democrat,,Excellent,,Moderate,65 and over,State,Complete,East,60 and over,60 and over,Democrat,65 and over,0.8,,,Yes
1.0,0.0,G,18.0,6.0,9.0,First call,1.0,50-59,White,Male,Baesler,Approve,Disapprove,Disapprove,Baesler,Neither,No,Current,No,No,Yes,Better,Clinton,Unfavorable,Democrat,HS grad,Excellent,50 to 75K,Moderate,18 to 64,State,Complete,East,45 to 59,50 to 59,Democrat,50 to 64,0.75,,Favorable,Yes
1.0,0.0,G,18.0,6.0,10.0,First call,1.0,30-39,White,Male,Bunning,,,,,Neither,,Never,No,No,No,Better,,Favorable,Republican,College grad,Good,75 to 100K,,18 to 64,State,Complete,East,30 to 44,30 to 39,Republican,30 to 39,0.875,,Favorable,Yes
1.0,0.0,G,18.0,6.0,11.0,First call,1.0,50-59,White,Male,Baesler,Approve,Disapprove,,Baesler,Support Clinton,No,Former,No,No,No,Better,Clinton,Favorable,Democrat,No HS,Good,15 to 30K,Liberal,18 to 64,State,Complete,East,45 to 59,50 to 59,Democrat,50 to 64,0.75,Health Care,Favorable,No
1.0,0.0,G,18.0,6.0,12.0,First call,1.0,60-64,White,Female,Baesler,Approve,Disapprove,Disapprove,Baesler,Neither,Yes,Never,No,No,Yes,Better,Clinton,Favorable,Independent,Some college,Good,Under 15K,Moderate,18 to 64,State,Complete,East,60 and over,60 and over,Independent/Other,50 to 64,0.8,,Unfavorable,Yes
1.0,0.0,G,18.0,6.0,13.0,Second call,1.0,30-39,White,Female,Baesler,Disapprove,Disapprove,Approve,Bunning,Neither,Yes,Never,Yes,Yes,Yes,Same,Clinton,Favorable,Democrat,Postgrad,Good,50 to 75K,Moderate,18 to 64,State,Complete,East,30 to 44,30 to 39,Democrat,30 to 39,0.612,,Unfavorable,Yes
1.0,0.0,G,18.0,6.0,14.0,Second call,1.0,45-49,White,Male,Bunning,Disapprove,Approve,Disapprove,Both,Neither,Yes,Never,,,Yes,Same,Dole,Favorable,Independent,Postgrad,Good,50 to 75K,Conservative,18 to 64,State,Complete,East,45 to 59,40 to 49,Independent/Other,40 to 49,0.875,,Unfavorable,Yes
