V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37
1.0,0.0,G,21.0,2.0,1.0,First call,1.0,65 and over,White,Female,Mikulski,Glendening,,Disapprove,Sauerbrey,Neither,Yes,Yes,Yes,Worse,Dole,Independent,Some college,30 to 50K,Conservative,65 and over,State,Complete,Rural/rest of MD,60 and over,60 and over,Independent/Other,65 and over,1.988,Taxes,Unfavorable
1.0,0.0,G,21.0,2.0,2.0,First call,1.0,50-59,White,,Mikulski,Glendening,Approve,,Glendening,Neither,No,No,No,Same,Clinton,Independent,HS grad,15 to 30K,Moderate,18 to 64,State,Complete,Rural/rest of MD,45 to 59,50 to 59,Independent/Other,50 to 64,1.171,Taxes,Unfavorable
1.0,0.0,G,21.0,2.0,3.0,First call,1.0,50-59,White,Female,,Sauerbrey,Disapprove,Disapprove,Sauerbrey,Oppose Clinton,No,Yes,Yes,Same,Dole,Republican,Some college,50 to 75K,Moderate,18 to 64,State,Complete,Rural/rest of MD,45 to 59,50 to 59,Republican,50 to 64,1.795,Gun control,Unfavorable
1.0,0.0,G,21.0,2.0,4.0,First call,1.0,60-64,White,Female,Pierpoint,Sauerbrey,Approve,Disapprove,Did not vote,Neither,No,Yes,Yes,Better,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,State,Complete,Rural/rest of MD,60 and over,60 and over,Democrat,50 to 64,2.721,Taxes,Unfavorable
1.0,0.0,G,21.0,2.0,5.0,First call,1.0,40-44,White,Female,Mikulski,Sauerbrey,Disapprove,Disapprove,Glendening,Neither,No,No,No,Better,Clinton,Democrat,College grad,50 to 75K,Moderate,18 to 64,State,Complete,Rural/rest of MD,30 to 44,40 to 49,Democrat,40 to 49,1.883,Education,Unfavorable
1.0,0.0,G,21.0,2.0,6.0,First call,1.0,40-44,White,Female,Mikulski,Glendening,Disapprove,Approve,Glendening,Neither,No,Yes,Yes,Same,Dole,Democrat,HS grad,50 to 75K,Moderate,18 to 64,State,Complete,Rural/rest of MD,30 to 44,40 to 49,Democrat,40 to 49,1.171,Economy/jobs,Unfavorable
1.0,0.0,G,21.0,2.0,7.0,First call,1.0,45-49,White,Male,Mikulski,Glendening,Approve,Disapprove,Glendening,Oppose Clinton,No,No,No,Better,Clinton,Democrat,Postgrad,50 to 75K,Moderate,18 to 64,State,Complete,Rural/rest of MD,45 to 59,40 to 49,Democrat,40 to 49,1.068,Education,Unfavorable
1.0,0.0,G,21.0,2.0,8.0,First call,1.0,50-59,White,Male,Pierpoint,Sauerbrey,Approve,Disapprove,Glendening,Neither,No,No,No,Better,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,State,Complete,Rural/rest of MD,45 to 59,50 to 59,Republican,50 to 64,1.46,Gambling,Unfavorable
1.0,0.0,G,21.0,2.0,9.0,First call,1.0,65 and over,White,Male,Mikulski,Sauerbrey,Disapprove,Disapprove,Glendening,Neither,No,Yes,Yes,Same,Dole,Independent,College grad,50 to 75K,Conservative,65 and over,State,Complete,Rural/rest of MD,60 and over,60 and over,Independent/Other,65 and over,2.912,,Unfavorable
1.0,0.0,G,21.0,2.0,10.0,First call,1.0,45-49,White,Female,Mikulski,Glendening,Approve,Approve,Glendening,Support Clinton,No,No,Yes,Same,Clinton,Republican,Some college,75 to 100K,Moderate,18 to 64,State,Complete,Rural/rest of MD,45 to 59,40 to 49,Republican,40 to 49,1.171,Gambling,Favorable
