V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45
1.0,0.0,G,34.0,3.0,1.0,First call,1.0,30-39,White,Male,Edwards,Less,Approve,Disapprove,No,Neither,Approve,No,No effect,No,No,Yes,Better,Clinton,Independent,HS grad,15 to 30K,Moderate,18 to 64,About right,State,Complete,Mountain/West,30 to 44,30 to 39,Independent/Other,30 to 39,0.508,,Stands up,About the same,Favorable,Last 3 days,Disapprove
1.0,0.0,G,34.0,3.0,2.0,First call,1.0,25-29,White,Male,Faircloth,Less,Disapprove,Disapprove,No,Neither,Disapprove,No,Think worse,Yes,Yes,,Same,Dole,Independent,HS grad,15 to 30K,Moderate,18 to 64,Too strict,State,Complete,Mountain/West,18 to 29,25 to 29,Independent/Other,25 to 29,0.6799999999999999,Tabacco,Cares,Worse,Unfavorable,Last 3 days,Disapprove
1.0,0.0,G,34.0,3.0,3.0,First call,1.0,40-44,White,,Edwards,More,Approve,Disapprove,No,Neither,Disapprove,No,No effect,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Conservative,18 to 64,Too strict,State,Complete,Mountain/West,30 to 44,40 to 49,Democrat,40 to 49,0.514,Health care,Needed change,Better,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,3.0,4.0,First call,1.0,60-64,White,Female,Edwards,More,Approve,Approve,No,Neither,Approve,No,No effect,No,No,No,Better,Clinton,Democrat,Postgrad,,Moderate,18 to 64,About right,State,Complete,Mountain/West,60 and over,60 and over,Democrat,50 to 64,0.632,Economy/jobs,Honest,About the same,Favorable,Last month,Approve
1.0,0.0,G,34.0,3.0,5.0,First call,1.0,25-29,White,Female,Faircloth,Less,Disapprove,Approve,No,Neither,Disapprove,,No effect,Yes,Yes,Yes,Better,Dole,Republican,Postgrad,50 to 75K,Conservative,18 to 64,,State,Complete,Mountain/West,18 to 29,25 to 29,Republican,25 to 29,0.689,Taxes,My party,About the same,Unfavorable,Last 3 days,Approve
1.0,0.0,G,34.0,3.0,6.0,First call,1.0,50-59,White,Male,Edwards,,,,No,,,No,No effect,,,,,,,,,,18 to 64,Too strict,State,Not complete,Mountain/West,45 to 59,50 to 59,,50 to 64,0.508,,,,,Before that,
1.0,0.0,G,34.0,3.0,7.0,First call,1.0,45-49,White,Male,Other,Less,Disapprove,Disapprove,No,Neither,Disapprove,No,No effect,Yes,Yes,No,Better,Other,Something else,Some college,15 to 30K,,18 to 64,About right,State,Complete,Mountain/West,45 to 59,40 to 49,Independent/Other,40 to 49,0.5840000000000001,,Honest,Worse,Unfavorable,Last week,Disapprove
1.0,0.0,G,34.0,3.0,8.0,Second call,1.0,25-29,White,Male,Edwards,More,Approve,Disapprove,No,Neither,Approve,No,No effect,No,No,No,Better,Clinton,Democrat,College grad,30 to 50K,Liberal,18 to 64,Not strict enough,State,Complete,Mountain/West,18 to 29,25 to 29,Democrat,25 to 29,0.573,Social Security,My party,Better,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,3.0,9.0,Second call,1.0,40-44,White,Male,Edwards,,,,,,,Yes,No effect,,,,,,,,,,18 to 64,About right,State,Not complete,Mountain/West,30 to 44,40 to 49,,40 to 49,0.508,Economy/jobs,Honest,,,Last week,
1.0,0.0,G,34.0,3.0,10.0,Second call,1.0,30-39,White,Male,Faircloth,More,Disapprove,Approve,No,Oppose Clinton,Approve,No,No effect,Yes,Yes,No,Better,Perot,Republican,College grad,50 to 75K,Conservative,18 to 64,Not strict enough,State,Complete,Mountain/West,30 to 44,30 to 39,Republican,30 to 39,0.604,Clin/Lwnsky,My party,About the same,Unfavorable,Before that,Approve
1.0,0.0,G,34.0,3.0,11.0,Second call,1.0,50-59,White,Male,Edwards,,Approve,Disapprove,No,Support Clinton,Disapprove,No,No effect,No,No,,Same,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,,State,Complete,Mountain/West,45 to 59,50 to 59,Democrat,50 to 64,0.508,Social Security,Honest,Better,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,3.0,12.0,Second call,1.0,60-64,White,Female,Edwards,More,Approve,Disapprove,No,Support Clinton,Approve,No,No effect,No,No,No,Same,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,Not strict enough,State,Complete,Mountain/West,60 and over,60 and over,Democrat,50 to 64,0.632,,,About the same,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,3.0,13.0,Second call,1.0,25-29,White,Male,Faircloth,More,Disapprove,Approve,No,Oppose Clinton,Disapprove,Yes,Think worse,Yes,Yes,No,Same,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,Too strict,State,Complete,Mountain/West,18 to 29,25 to 29,Republican,25 to 29,0.6799999999999999,Health care,Stands up,Worse,Unfavorable,Before that,Approve
1.0,0.0,G,34.0,3.0,14.0,Second call,1.0,50-59,White,Male,Edwards,More,Approve,Disapprove,No,Neither,Approve,No,No effect,No,No,,Better,Clinton,Independent,Postgrad,15 to 30K,Moderate,18 to 64,,State,Complete,Mountain/West,45 to 59,50 to 59,Independent/Other,50 to 64,0.508,Environment,Honest,About the same,Unfavorable,Before that,Disapprove
1.0,0.0,G,34.0,3.0,15.0,Second call,1.0,18-24,White,Male,Edwards,Less,Disapprove,Disapprove,,Neither,Disapprove,Yes,Think better,Yes,Yes,No,Worse,Did not vote,Independent,Some college,Under 15K,Moderate,18 to 64,Too strict,State,Complete,Mountain/West,18 to 29,18 to 24,Independent/Other,18 to 24,0.573,Social Security,Cares,Worse,Unfavorable,Last week,Disapprove
1.0,0.0,G,34.0,3.0,16.0,Second call,1.0,65 and over,White,Female,Faircloth,Less,Approve,Disapprove,No,Neither,Disapprove,No,No effect,No,No,Yes,Same,Clinton,Independent,HS grad,50 to 75K,Moderate,65 and over,About right,State,Complete,Mountain/West,60 and over,60 and over,Independent/Other,65 and over,0.75,Taxes,Experience,About the same,Unfavorable,Last week,Disapprove
1.0,0.0,G,34.0,3.0,17.0,Second call,1.0,50-59,White,Male,Faircloth,Less,Disapprove,Approve,No,Oppose Clinton,Disapprove,No,Think worse,Yes,Yes,No,Better,Dole,Republican,Postgrad,50 to 75K,Conservative,18 to 64,About right,State,Complete,Mountain/West,45 to 59,50 to 59,Republican,50 to 64,0.604,Tabacco,My party,Worse,Unfavorable,Before that,Approve
1.0,0.0,G,34.0,3.0,18.0,Second call,1.0,50-59,White,Female,Edwards,Less,Approve,Approve,No,Neither,Disapprove,No,No effect,,No,No,Better,Dole,Republican,Some college,100K or more,Moderate,18 to 64,About right,State,Complete,Mountain/West,45 to 59,50 to 59,Republican,50 to 64,0.514,Social Security,Needed change,About the same,Unfavorable,Before that,Disapprove
1.0,0.0,G,34.0,3.0,19.0,Second call,1.0,40-44,White,Female,Edwards,More,Approve,Approve,No,Neither,Approve,No,Think worse,No,No,No,Same,Clinton,Democrat,Some college,30 to 50K,Conservative,18 to 64,About right,State,Complete,Mountain/West,30 to 44,40 to 49,Democrat,40 to 49,0.514,Social Security,Experience,Better,Unfavorable,Last 3 days,Disapprove
1.0,0.0,G,34.0,3.0,20.0,Second call,1.0,65 and over,White,Female,Faircloth,,,,No,,,No,No effect,,,,,,,,,,65 and over,,State,Not complete,Mountain/West,60 and over,60 and over,,65 and over,0.75,Social Security,,,,Before that,
1.0,0.0,G,34.0,3.0,21.0,Second call,1.0,50-59,White,Male,Faircloth,,,,No,,,Yes,No effect,,,,,,,,,,18 to 64,Not strict enough,State,Not complete,Mountain/West,45 to 59,50 to 59,,50 to 64,0.604,Social Security,My view,,,Last 3 days,
1.0,0.0,G,34.0,3.0,22.0,Second call,1.0,45-49,White,Female,Edwards,More,Approve,Disapprove,No,Support Clinton,Disapprove,No,No effect,No,No,No,Better,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Not strict enough,State,Complete,Mountain/West,45 to 59,40 to 49,Democrat,40 to 49,0.514,Social Security,My view,Better,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,3.0,23.0,Second call,1.0,65 and over,White,Male,Edwards,Less,Approve,Disapprove,Yes,Neither,Approve,Yes,Think better,No,No,Yes,Same,Clinton,Democrat,Some college,Under 15K,Liberal,65 and over,,State,Complete,Mountain/West,60 and over,60 and over,Democrat,65 and over,0.624,Social Security,Honest,About the same,Favorable,Before that,Approve
1.0,0.0,G,34.0,3.0,24.0,Third call,1.0,50-59,White,Female,Faircloth,Less,Disapprove,Approve,Yes,Oppose Clinton,Disapprove,No,Think worse,Yes,Yes,Yes,Better,Other,Republican,Some college,100K or more,Conservative,18 to 64,Too strict,State,Complete,Mountain/West,45 to 59,50 to 59,Republican,50 to 64,0.613,Social Security,Stands up,Better,Unfavorable,Before that,Approve
1.0,0.0,G,34.0,3.0,25.0,Third call,1.0,30-39,White,Male,Edwards,Less,Approve,Disapprove,No,Neither,Disapprove,No,No effect,No,No,No,Better,Clinton,Republican,HS grad,15 to 30K,Moderate,18 to 64,Too strict,State,Complete,Mountain/West,30 to 44,30 to 39,Republican,30 to 39,0.508,Environment,Stands up,About the same,Favorable,Last 3 days,Disapprove
1.0,0.0,G,34.0,3.0,26.0,Third call,1.0,45-49,White,Male,Edwards,More,Approve,Disapprove,Yes,Support Clinton,Approve,Yes,Think worse,No,No,No,Same,Clinton,Independent,Some college,Under 15K,Moderate,18 to 64,Not strict enough,State,Complete,Mountain/West,45 to 59,40 to 49,Independent/Other,40 to 49,0.508,,Cares,About the same,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,3.0,27.0,Third call,1.0,18-24,White,Male,Edwards,More,Approve,Approve,No,Support Clinton,Approve,No,Think better,No,No,Yes,Better,Clinton,Democrat,,15 to 30K,Liberal,18 to 64,Not strict enough,State,Complete,Mountain/West,18 to 29,18 to 24,Democrat,18 to 24,0.573,Social Security,Honest,Better,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,3.0,28.0,Third call,1.0,50-59,White,Male,Edwards,,Approve,Disapprove,No,,Disapprove,No,No effect,,,,Same,Clinton,Democrat,Some college,,Liberal,18 to 64,,State,Complete,Mountain/West,45 to 59,50 to 59,Democrat,50 to 64,0.508,Clin/Lwnsky,Honest,,Favorable,,
1.0,0.0,G,34.0,3.0,29.0,Third call,1.0,65 and over,White,Female,Edwards,More,Approve,Disapprove,No,Support Clinton,Approve,No,No effect,No,No,No,Better,Clinton,Democrat,HS grad,Under 15K,Liberal,65 and over,Not strict enough,State,Complete,Mountain/West,60 and over,60 and over,Democrat,65 and over,0.632,Social Security,Cares,Better,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,3.0,30.0,Third call,1.0,40-44,White,Female,Faircloth,More,Disapprove,Disapprove,No,Oppose Clinton,Disapprove,Yes,Think worse,Yes,Yes,Yes,Same,Dole,Republican,HS grad,50 to 75K,Conservative,18 to 64,About right,State,Complete,Mountain/West,30 to 44,40 to 49,Republican,40 to 49,0.613,Economy/jobs,Needed change,Worse,Unfavorable,Before that,Disapprove
1.0,0.0,G,34.0,3.0,31.0,Third call,1.0,65 and over,White,Male,Faircloth,,,,No,,,No,No effect,,,,,,,,,,65 and over,Too strict,State,Not complete,Mountain/West,60 and over,60 and over,,65 and over,0.74,Taxes,Experience,,,,
1.0,0.0,G,34.0,3.0,32.0,Third call,1.0,30-39,Black,Male,Edwards,More,Disapprove,Approve,No,Neither,Disapprove,Yes,Think better,No,Yes,No,Worse,Other,Republican,No HS,Under 15K,Liberal,18 to 64,Not strict enough,State,Complete,Mountain/West,30 to 44,30 to 39,Republican,30 to 39,0.827,Clin/Lwnsky,Stands up,About the same,Unfavorable,Last month,Disapprove
1.0,0.0,G,34.0,3.0,33.0,Third call,1.0,18-24,White,Male,Faircloth,Less,Disapprove,Approve,No,Neither,Disapprove,Yes,No effect,Yes,Yes,Yes,Worse,Dole,Republican,College grad,Under 15K,Moderate,18 to 64,Not strict enough,State,Complete,Mountain/West,18 to 29,18 to 24,Republican,18 to 24,0.6799999999999999,Taxes,Cares,Better,Unfavorable,Last week,Approve
1.0,0.0,G,34.0,3.0,34.0,Third call,1.0,50-59,White,Female,Edwards,More,Approve,Disapprove,No,Support Clinton,Approve,No,No effect,No,No,No,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Not strict enough,State,Complete,Mountain/West,45 to 59,50 to 59,Democrat,50 to 64,0.514,Health care,Honest,Better,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,3.0,35.0,Third call,1.0,18-24,White,Female,Edwards,More,Approve,Disapprove,No,Neither,Disapprove,Yes,No effect,No,No,No,Same,Did not vote,Independent,Some college,30 to 50K,Moderate,18 to 64,About right,State,Complete,Mountain/West,18 to 29,18 to 24,Independent/Other,18 to 24,0.58,Taxes,Honest,About the same,Unfavorable,Last 3 days,Disapprove
1.0,0.0,G,34.0,3.0,36.0,Third call,1.0,25-29,White,Female,Faircloth,More,Approve,Approve,No,Neither,Disapprove,No,No effect,No,No,No,Same,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,Not strict enough,State,Complete,Mountain/West,18 to 29,25 to 29,Republican,25 to 29,0.689,Tabacco,My party,Worse,Favorable,Last month,Approve
1.0,0.0,G,34.0,3.0,37.0,Third call,1.0,30-39,White,Male,Faircloth,Less,Disapprove,Disapprove,Yes,Neither,Disapprove,Yes,No effect,Yes,Yes,No,Same,Dole,Republican,Some college,15 to 30K,Conservative,18 to 64,Too strict,State,Complete,Mountain/West,30 to 44,30 to 39,Republican,30 to 39,0.604,,My view,Better,Unfavorable,Before that,Approve
1.0,0.0,G,34.0,3.0,38.0,Third call,1.0,18-24,White,Female,Faircloth,,Disapprove,Approve,,Oppose Clinton,Disapprove,Yes,No effect,,,,Same,Did not vote,Republican,HS grad,30 to 50K,Conservative,18 to 64,,State,Complete,Mountain/West,18 to 29,18 to 24,Republican,18 to 24,0.689,,Honest,About the same,Unfavorable,Last month,Approve
1.0,0.0,G,34.0,3.0,39.0,Third call,1.0,25-29,White,Female,Edwards,Less,Approve,Disapprove,No,Support Clinton,Disapprove,No,No effect,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Liberal,18 to 64,About right,State,Complete,Mountain/West,18 to 29,25 to 29,Democrat,25 to 29,0.58,Environment,Stands up,Better,Favorable,Last month,Disapprove
1.0,0.0,G,34.0,3.0,40.0,Third call,1.0,30-39,White,Male,Edwards,More,Approve,Disapprove,No,Support Clinton,Disapprove,No,No effect,No,No,No,Better,Clinton,Democrat,No HS,30 to 50K,Moderate,18 to 64,About right,State,Complete,Mountain/West,30 to 44,30 to 39,Democrat,30 to 39,0.508,Social Security,Needed change,Better,Favorable,Last month,Disapprove
1.0,0.0,G,34.0,3.0,41.0,Third call,1.0,30-39,White,Female,Faircloth,More,Disapprove,Approve,No,Neither,Approve,Yes,No effect,Yes,Yes,Yes,Same,Clinton,Independent,Some college,15 to 30K,Liberal,18 to 64,About right,State,Complete,Mountain/West,30 to 44,30 to 39,Independent/Other,30 to 39,0.613,Economy/jobs,Stands up,Better,Unfavorable,Last 3 days,Approve
1.0,0.0,G,34.0,3.0,42.0,Third call,1.0,45-49,Asian,Male,Edwards,More,Approve,Disapprove,Yes,Neither,Approve,No,Think better,No,No,No,Same,Clinton,Democrat,Postgrad,50 to 75K,Liberal,18 to 64,,State,Complete,Mountain/West,45 to 59,40 to 49,Democrat,40 to 49,0.508,Health care,My view,About the same,Favorable,Before that,Disapprove
