V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
1.0,0.0,G,35.0,7.0,1.0,First call,1.0,65 and over,White,Male,Nalewaja,Cramer,Disapprove,Approve,Oppose Clinton,Yes,Yes,,Worse,Dole,Republican,Under 15K,Conservative,65 and over,State,South,60 and over,60 and over,Republican,65 and over,1.537
1.0,0.0,G,35.0,7.0,2.0,First call,1.0,65 and over,White,Male,Nalewaja,Cramer,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Same,Dole,Republican,15 to 30K,Conservative,65 and over,State,South,60 and over,60 and over,Republican,65 and over,1.537
1.0,0.0,G,35.0,7.0,3.0,First call,1.0,50-59,White,Female,Dorgan,Pomeroy,Disapprove,Approve,Neither,Yes,Yes,Yes,Same,Clinton,Independent,Under 15K,Conservative,18 to 64,State,South,45 to 59,50 to 59,Independent/Other,50 to 64,0.716
1.0,0.0,G,35.0,7.0,4.0,First call,1.0,50-59,White,Female,Nalewaja,Cramer,Disapprove,Approve,Oppose Clinton,Yes,Yes,,Worse,Dole,Republican,Under 15K,Conservative,18 to 64,State,South,45 to 59,50 to 59,Republican,50 to 64,0.976
1.0,0.0,G,35.0,7.0,5.0,First call,1.0,45-49,White,Male,Nalewaja,Cramer,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Worse,Dole,Republican,15 to 30K,Conservative,18 to 64,State,South,45 to 59,40 to 49,Republican,40 to 49,1.188
1.0,0.0,G,35.0,7.0,6.0,First call,1.0,40-44,White,Female,Dorgan,Pomeroy,Approve,Approve,Neither,No,Yes,Yes,Same,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,South,30 to 44,40 to 49,Democrat,40 to 49,0.716
1.0,0.0,G,35.0,7.0,7.0,First call,1.0,65 and over,White,Male,Nalewaja,Cramer,Approve,Approve,Oppose Clinton,Yes,Yes,Yes,Better,Clinton,Democrat,75 to 100K,Moderate,65 and over,State,South,60 and over,60 and over,Democrat,65 and over,1.537
1.0,0.0,G,35.0,7.0,8.0,First call,1.0,45-49,White,Male,Nalewaja,Cramer,Disapprove,Approve,Neither,,,,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,State,South,45 to 59,40 to 49,Republican,40 to 49,1.188
1.0,0.0,G,35.0,7.0,9.0,First call,1.0,65 and over,White,Female,Nalewaja,Other,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Same,Dole,Republican,15 to 30K,Moderate,65 and over,State,South,60 and over,60 and over,Republican,65 and over,2.25
1.0,0.0,G,35.0,7.0,10.0,First call,1.0,65 and over,White,Female,Nalewaja,Cramer,Disapprove,Approve,Oppose Clinton,,Yes,Yes,Worse,Dole,Republican,Under 15K,Conservative,65 and over,State,South,60 and over,60 and over,Republican,65 and over,1.262
1.0,0.0,G,35.0,7.0,11.0,First call,1.0,65 and over,White,Male,Dorgan,Pomeroy,Disapprove,Disapprove,Neither,No,No,Yes,Same,Dole,Independent,,Conservative,65 and over,State,South,60 and over,60 and over,Independent/Other,65 and over,1.125
1.0,0.0,G,35.0,7.0,12.0,Second call,1.0,50-59,White,Male,Dorgan,Pomeroy,Approve,,Neither,No,No,Yes,Same,Dole,,Under 15K,Conservative,18 to 64,State,South,45 to 59,50 to 59,,50 to 64,0.8740000000000001
1.0,0.0,G,35.0,7.0,13.0,Second call,1.0,60-64,White,Female,Dorgan,Cramer,Disapprove,Disapprove,Neither,No,Yes,Yes,Same,Clinton,Independent,30 to 50K,Moderate,18 to 64,State,South,60 and over,60 and over,Independent/Other,50 to 64,0.8620000000000001
1.0,0.0,G,35.0,7.0,14.0,Second call,1.0,65 and over,White,Male,Nalewaja,Cramer,Disapprove,Approve,Neither,Yes,Yes,No,Same,Dole,Republican,30 to 50K,Conservative,65 and over,State,South,60 and over,60 and over,Republican,65 and over,1.537
1.0,0.0,G,35.0,7.0,15.0,Second call,1.0,40-44,White,Male,Nalewaja,Cramer,Disapprove,,Neither,Yes,Yes,,Same,Dole,Independent,15 to 30K,Conservative,18 to 64,State,South,30 to 44,40 to 49,Independent/Other,40 to 49,1.188
1.0,0.0,G,35.0,7.0,16.0,Second call,1.0,50-59,White,Female,Dorgan,Pomeroy,Approve,Disapprove,Neither,,,Yes,Worse,Did not vote,Republican,15 to 30K,Conservative,18 to 64,State,South,45 to 59,50 to 59,Republican,50 to 64,0.716
1.0,0.0,G,35.0,7.0,17.0,Second call,1.0,65 and over,White,Male,Nalewaja,Cramer,Disapprove,Approve,Neither,No,No,Yes,Same,Dole,Independent,15 to 30K,Moderate,65 and over,State,South,60 and over,60 and over,Independent/Other,65 and over,1.537
1.0,0.0,G,35.0,7.0,18.0,Second call,1.0,65 and over,White,Male,Nalewaja,Cramer,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Same,Dole,Republican,30 to 50K,Conservative,65 and over,State,South,60 and over,60 and over,Republican,65 and over,1.537
1.0,0.0,G,35.0,7.0,19.0,Second call,1.0,25-29,White,Male,Dorgan,Pomeroy,Disapprove,Approve,Neither,No,Yes,No,Same,Did not vote,Something else,100K or more,Liberal,18 to 64,State,South,18 to 29,25 to 29,Independent/Other,25 to 29,1.095
1.0,0.0,G,35.0,7.0,20.0,Second call,1.0,60-64,White,Female,Dorgan,Pomeroy,Approve,,,No,No,,,Clinton,Democrat,,Conservative,18 to 64,State,South,60 and over,60 and over,Democrat,50 to 64,0.928
1.0,0.0,G,35.0,7.0,21.0,Second call,1.0,30-39,White,Female,Nalewaja,Pomeroy,Approve,Approve,Neither,No,Yes,,Same,Clinton,Independent,15 to 30K,Conservative,18 to 64,State,South,30 to 44,30 to 39,Independent/Other,30 to 39,1.052
