V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36
1.0,0.0,G,39.0,2.0,1.0,First call,1.0,50-59,Black,Male,Specter,Itkin,Approve,Approve,Support Clinton,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Conservative,18 to 64,State,Complete,Pittsburgh/West,45 to 59,50 to 59,Democrat,50 to 64,0.41600000000000004,Favorable,No
1.0,0.0,G,39.0,2.0,2.0,First call,1.0,65 and over,Black,Female,Lloyd,Itkin,Approve,Disapprove,Support Clinton,No,No,No,Worse,Clinton,Democrat,HS grad,15 to 30K,Moderate,65 and over,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,0.44,Favorable,No
1.0,0.0,G,39.0,2.0,3.0,First call,1.0,60-64,Black,Male,Lloyd,Itkin,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,HS grad,Under 15K,Moderate,18 to 64,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,50 to 64,0.489,Favorable,No
1.0,0.0,G,39.0,2.0,4.0,First call,1.0,50-59,Black,Male,Lloyd,Itkin,Disapprove,Disapprove,,,,,,,,,,,18 to 64,State,Not complete,Pittsburgh/West,45 to 59,50 to 59,,50 to 64,0.38999999999999996,Favorable,Yes
1.0,0.0,G,39.0,2.0,5.0,First call,1.0,40-44,Black,Female,Lloyd,Itkin,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,State,Complete,Pittsburgh/West,30 to 44,40 to 49,Democrat,40 to 49,0.352,Favorable,Yes
1.0,0.0,G,39.0,2.0,6.0,First call,1.0,65 and over,Black,Female,Specter,Ridge,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,,15 to 30K,Moderate,65 and over,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,0.506,Favorable,No
1.0,0.0,G,39.0,2.0,7.0,First call,1.0,60-64,Black,Female,,Itkin,Approve,Disapprove,,No,No,No,Better,Clinton,Democrat,Some college,15 to 30K,Moderate,18 to 64,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,50 to 64,0.46499999999999997,,No
1.0,0.0,G,39.0,2.0,8.0,Second call,1.0,60-64,Black,Female,Lloyd,Itkin,Approve,Disapprove,,,,,,,,,,,18 to 64,State,Not complete,Pittsburgh/West,60 and over,60 and over,,50 to 64,0.44,Favorable,No
1.0,0.0,G,39.0,2.0,9.0,Second call,1.0,65 and over,Black,Male,Lloyd,Itkin,Approve,Disapprove,Support Clinton,,No,No,Same,Clinton,Democrat,HS grad,15 to 30K,,65 and over,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,0.489,Favorable,No
1.0,0.0,G,39.0,2.0,10.0,Second call,1.0,50-59,Black,Male,Specter,Itkin,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,State,Complete,Pittsburgh/West,45 to 59,50 to 59,Democrat,50 to 64,0.41600000000000004,Favorable,No
1.0,0.0,G,39.0,2.0,11.0,Second call,1.0,65 and over,,Female,Other,,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,Some college,15 to 30K,Moderate,65 and over,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,0.991,Unfavorable,No
1.0,0.0,G,39.0,2.0,12.0,Second call,1.0,65 and over,Black,Male,Lloyd,Itkin,Approve,,Support Clinton,,No,,Same,Clinton,Democrat,No HS,15 to 30K,,65 and over,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,0.489,Favorable,Yes
1.0,0.0,G,39.0,2.0,13.0,Second call,1.0,60-64,Black,Male,Lloyd,Itkin,Approve,Disapprove,Neither,No,No,Yes,Same,Did not vote,Democrat,No HS,Under 15K,Moderate,18 to 64,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,50 to 64,0.489,Favorable,No
1.0,0.0,G,39.0,2.0,14.0,Second call,1.0,65 and over,Black,Male,,Itkin,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,HS grad,15 to 30K,Moderate,65 and over,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,0.516,Favorable,No
1.0,0.0,G,39.0,2.0,15.0,Second call,1.0,30-39,Other,Female,Lloyd,Itkin,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Independent,Postgrad,15 to 30K,Moderate,18 to 64,State,Complete,Pittsburgh/West,30 to 44,30 to 39,Independent/Other,30 to 39,0.38199999999999995,Favorable,Yes
1.0,0.0,G,39.0,2.0,16.0,Second call,1.0,50-59,Black,Male,Lloyd,Itkin,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Independent,College grad,15 to 30K,Moderate,18 to 64,State,Complete,Pittsburgh/West,45 to 59,50 to 59,Independent/Other,50 to 64,0.38999999999999996,Favorable,No
1.0,0.0,G,39.0,2.0,17.0,Second call,1.0,60-64,,Female,Lloyd,Itkin,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Independent,Postgrad,15 to 30K,Moderate,18 to 64,State,Complete,Pittsburgh/West,60 and over,60 and over,Independent/Other,50 to 64,0.47900000000000004,Favorable,Yes
1.0,0.0,G,39.0,2.0,18.0,Second call,1.0,50-59,Black,Male,Specter,Ridge,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Independent,Some college,75 to 100K,Moderate,18 to 64,State,Complete,Pittsburgh/West,45 to 59,50 to 59,Independent/Other,50 to 64,0.452,Favorable,Yes
1.0,0.0,G,39.0,2.0,19.0,Second call,1.0,50-59,Black,Male,Lloyd,Itkin,Approve,Disapprove,Support Clinton,No,No,Yes,Same,Clinton,Democrat,HS grad,15 to 30K,,18 to 64,State,Complete,Pittsburgh/West,45 to 59,50 to 59,Democrat,50 to 64,0.38999999999999996,Favorable,No
1.0,0.0,G,39.0,2.0,20.0,Second call,1.0,65 and over,Black,Male,Lloyd,Itkin,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Democrat,HS grad,15 to 30K,Moderate,65 and over,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,0.489,Favorable,Yes
1.0,0.0,G,39.0,2.0,21.0,Second call,1.0,65 and over,Black,Female,Lloyd,Itkin,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Democrat,Some college,15 to 30K,Moderate,65 and over,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,0.44,Favorable,No
1.0,0.0,G,39.0,2.0,22.0,Second call,1.0,60-64,Black,Male,,Itkin,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,HS grad,30 to 50K,Liberal,18 to 64,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,50 to 64,0.516,Favorable,No
1.0,0.0,G,39.0,2.0,23.0,Second call,1.0,40-44,Black,Male,Lloyd,Itkin,Approve,Disapprove,Support Clinton,No,No,No,Worse,Clinton,Democrat,Some college,15 to 30K,Liberal,18 to 64,State,Complete,Pittsburgh/West,30 to 44,40 to 49,Democrat,40 to 49,0.38999999999999996,Favorable,Yes
