State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Race,Hispanic descent,Clinton Approval,Congress Approval,Q-Race (w/out Hispanic adj),Sen: Describe vote,Reason for Cong Vote,State economy condition,Prop5: Gambling,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Religion,Income,Ideology,Age (65 and over),State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Senate issues,Governor issues,Future of state economy,Clinton as person,Union member in HH,Telephone survey,Reps on Clin/Lwnsky,Gay/Lesbian/Bisexual
5.0,1.0,1.0,First call,60-64,White,Female,Boxer,Davis,No,Approve,Disapprove,White,Against my candidate,Support Clinton,Good,Yes,No,No,No,Same,Clinton,Independent,Some college,Catholic,Under 15K,Liberal,18 to 64,State,Complete,Bay Area,60 and over,60 and over,Independent/Other,50 to 64,0.42000000000000004,Gun Control,Gun Control,Better,Favorable,No,Exit poll,Disapprove,Yes
5.0,1.0,2.0,First call,30-39,White,Male,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Neither,Excellent,,No,No,No,Same,Clinton,Democrat,Postgrad,Jewish,30 to 50K,Liberal,18 to 64,State,Complete,Bay Area,30 to 44,30 to 39,Democrat,30 to 39,0.27499999999999997,Gun Control,Environment,About the same,Favorable,No,Exit poll,Disapprove,Yes
5.0,1.0,3.0,First call,40-44,White,Male,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Neither,Excellent,Yes,No,No,No,Better,Clinton,Democrat,No HS,Protestant,100K or more,Moderate,18 to 64,State,Complete,Bay Area,30 to 44,40 to 49,Democrat,40 to 49,0.267,Gun Control,Abortion,About the same,Favorable,No,Exit poll,Disapprove,Yes
5.0,1.0,4.0,First call,40-44,White,Female,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Neither,Excellent,Yes,No,No,No,Better,Clinton,Democrat,College grad,None,100K or more,Liberal,18 to 64,State,Complete,Bay Area,30 to 44,40 to 49,Democrat,40 to 49,0.247,Education,Education,About the same,Favorable,No,Exit poll,Disapprove,Yes
5.0,1.0,5.0,First call,30-39,Asian,Male,Boxer,Davis,No,Approve,Disapprove,Asian,For my candidate,Support Clinton,Excellent,Yes,No,No,No,Better,Clinton,Democrat,Postgrad,Catholic,50 to 75K,Liberal,18 to 64,State,Complete,Bay Area,30 to 44,30 to 39,Democrat,30 to 39,0.267,Gun Control,Environment,About the same,Favorable,No,Exit poll,Disapprove,No
5.0,1.0,6.0,First call,25-29,White,Male,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Neither,Good,Yes,No,No,No,Better,Clinton,Democrat,Postgrad,None,75 to 100K,Liberal,18 to 64,State,Complete,Bay Area,18 to 29,25 to 29,Democrat,25 to 29,0.344,Gun Control,Education,About the same,Favorable,No,Exit poll,Disapprove,No
5.0,1.0,7.0,First call,65 and over,White,,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Support Clinton,Good,No,No,No,No,Same,Clinton,Democrat,Postgrad,Jewish,50 to 75K,Moderate,65 and over,State,Complete,Bay Area,60 and over,60 and over,Democrat,65 and over,0.454,Clin/Lwnsky,Abortion,About the same,Favorable,Yes,Exit poll,Disapprove,No
5.0,1.0,8.0,First call,40-44,White,Male,Boxer,Davis,No,Approve,Disapprove,White,Against my candidate,Neither,Good,,No,No,No,Better,Clinton,Something else,Postgrad,None,100K or more,Liberal,18 to 64,State,Complete,Bay Area,30 to 44,40 to 49,Independent/Other,40 to 49,0.27499999999999997,,,Worse,Unfavorable,No,Exit poll,Disapprove,No
5.0,1.0,9.0,First call,50-59,White,Male,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Neither,Good,Yes,No,No,No,Better,Clinton,Democrat,Postgrad,None,100K or more,Liberal,18 to 64,State,Complete,Bay Area,45 to 59,50 to 59,Democrat,50 to 64,0.267,,,About the same,Unfavorable,No,Exit poll,Disapprove,No
5.0,1.0,10.0,First call,30-39,White,Female,Boxer,Other,No,Approve,Disapprove,White,For my candidate,Neither,Good,No,,No,No,Better,Clinton,Democrat,Postgrad,None,100K or more,Moderate,18 to 64,State,Complete,Bay Area,30 to 44,30 to 39,Democrat,30 to 39,0.344,Education,Education,Better,Favorable,Yes,Exit poll,Disapprove,No
