State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),Hillary opinion,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Clinton as person
15.0,4.0,1.0,First call,65 and over,White,Female,Helmke,Approve,Approve,,,,,,,,,,,,65 and over,,National,Not complete,North,60 and over,60 and over,,65 and over,0.98,
15.0,4.0,2.0,First call,60-64,White,Male,Helmke,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,College grad,100K or more,Conservative,18 to 64,Unfavorable,National,Complete,North,60 and over,60 and over,Republican,50 to 64,0.913,Unfavorable
15.0,4.0,3.0,First call,65 and over,White,Male,Bayh,Disapprove,Approve,Neither,No,No,Yes,No,Same,Dole,Republican,College grad,30 to 50K,Conservative,65 and over,Favorable,National,Complete,North,60 and over,60 and over,Republican,65 and over,0.902,Unfavorable
15.0,4.0,4.0,First call,40-44,White,Male,Helmke,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Better,Dole,Republican,College grad,100K or more,Conservative,18 to 64,Favorable,National,Complete,North,30 to 44,40 to 49,Republican,40 to 49,0.786,Unfavorable
15.0,4.0,5.0,First call,60-64,White,Female,Bayh,Disapprove,,,,,,,Worse,,Independent,,30 to 50K,Conservative,18 to 64,,National,Complete,North,60 and over,60 and over,Independent/Other,50 to 64,0.97,
15.0,4.0,6.0,First call,50-59,White,Male,Helmke,Disapprove,,,,,,,Better,,Republican,,50 to 75K,Moderate,18 to 64,,National,Complete,North,45 to 59,50 to 59,Republican,50 to 64,0.786,
15.0,4.0,7.0,Second call,45-49,White,Female,Bayh,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Same,Dole,Republican,College grad,50 to 75K,Moderate,18 to 64,Unfavorable,National,Complete,North,45 to 59,40 to 49,Republican,40 to 49,0.835,Unfavorable
15.0,4.0,8.0,Second call,40-44,White,Female,Bayh,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,College grad,50 to 75K,Conservative,18 to 64,Favorable,National,Complete,North,30 to 44,40 to 49,Democrat,40 to 49,0.835,Favorable
15.0,4.0,9.0,Second call,40-44,White,Female,Bayh,Approve,Approve,Neither,No,No,No,No,Same,Clinton,Republican,HS grad,75 to 100K,Moderate,18 to 64,Favorable,National,Complete,North,30 to 44,40 to 49,Republican,40 to 49,0.835,Favorable
15.0,4.0,10.0,Second call,18-24,White,Female,Bayh,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,College grad,75 to 100K,Moderate,18 to 64,Favorable,National,Complete,North,18 to 29,18 to 24,Republican,18 to 24,0.693,Unfavorable
15.0,4.0,11.0,Second call,65 and over,White,Female,Helmke,Approve,Approve,,,,,,,,,,,,65 and over,,National,Not complete,North,60 and over,60 and over,,65 and over,0.98,
15.0,4.0,12.0,Second call,60-64,White,Male,Helmke,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,College grad,100K or more,Conservative,18 to 64,Unfavorable,National,Complete,North,60 and over,60 and over,Republican,50 to 64,0.913,Unfavorable
15.0,4.0,13.0,Second call,65 and over,White,Male,Bayh,Disapprove,Approve,Neither,No,Yes,No,No,Same,Dole,Republican,College grad,30 to 50K,Conservative,65 and over,Favorable,National,Complete,North,60 and over,60 and over,Republican,65 and over,0.902,Unfavorable
15.0,4.0,14.0,Second call,40-44,White,Male,Helmke,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Better,Dole,Republican,College grad,100K or more,Conservative,18 to 64,Favorable,National,Complete,North,30 to 44,40 to 49,Republican,40 to 49,0.786,Unfavorable
15.0,4.0,15.0,Second call,40-44,Black,Male,Helmke,Disapprove,Approve,Neither,Yes,No,No,Yes,Same,Dole,Republican,Postgrad,50 to 75K,Conservative,18 to 64,Unfavorable,National,Complete,North,30 to 44,40 to 49,Republican,40 to 49,0.5429999999999999,Unfavorable
15.0,4.0,16.0,Second call,65 and over,White,Male,Bayh,Disapprove,Approve,,,,,,,,,,,,65 and over,,National,Not complete,North,60 and over,60 and over,,65 and over,0.902,
15.0,4.0,17.0,Second call,30-39,White,Female,Bayh,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,HS grad,50 to 75K,Liberal,18 to 64,Favorable,National,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,0.835,Favorable
15.0,4.0,18.0,Second call,40-44,White,Female,Bayh,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Independent,College grad,75 to 100K,Moderate,18 to 64,Unfavorable,National,Complete,North,30 to 44,40 to 49,Independent/Other,40 to 49,0.835,Favorable
15.0,4.0,19.0,Second call,50-59,White,Female,Helmke,Disapprove,Approve,Oppose Clinton,No,No,Yes,Yes,Better,Dole,Republican,College grad,30 to 50K,Moderate,18 to 64,Favorable,National,Complete,North,45 to 59,50 to 59,Republican,50 to 64,0.845,Unfavorable
