State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,Party ID,Education,Income,Ideology,Age (65 and over),State or national poll,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places)
30.0,4.0,1.0,First call,65 and over,White,Female,Gregg,Shaheen,Approve,Disapprove,Neither,No,No,Yes,Same,Republican,HS grad,30 to 50K,Moderate,65 and over,State,Rural North,60 and over,60 and over,Republican,65 and over,0.5469999999999999
30.0,4.0,2.0,First call,30-39,White,Male,Gregg,Lucas,Disapprove,Approve,,,,,Same,Independent,HS grad,,Conservative,18 to 64,State,Rural North,30 to 44,30 to 39,Independent/Other,30 to 39,0.626
30.0,4.0,3.0,First call,40-44,White,Female,Gregg,Lucas,Approve,Approve,Neither,No,No,No,Better,Independent,College grad,75 to 100K,Liberal,18 to 64,State,Rural North,30 to 44,40 to 49,Independent/Other,40 to 49,0.605
30.0,4.0,4.0,First call,45-49,,,Condodematraky,Shaheen,Approve,Disapprove,Support Clinton,No,,Yes,Better,Independent,Some college,,Moderate,18 to 64,State,Rural North,45 to 59,40 to 49,Independent/Other,40 to 49,0.40700000000000003
30.0,4.0,5.0,First call,30-39,White,Male,Gregg,Shaheen,Disapprove,Approve,Neither,Yes,Yes,,Better,Something else,Some college,75 to 100K,Moderate,18 to 64,State,Rural North,30 to 44,30 to 39,Independent/Other,30 to 39,0.463
30.0,4.0,6.0,First call,65 and over,White,,Gregg,Shaheen,Approve,Disapprove,Neither,No,No,Yes,Same,Republican,HS grad,15 to 30K,Conservative,65 and over,State,Rural North,60 and over,60 and over,Republican,65 and over,0.5469999999999999
30.0,4.0,7.0,First call,40-44,White,Female,Gregg,Shaheen,Approve,Disapprove,Neither,No,No,No,Better,Independent,Postgrad,50 to 75K,Moderate,18 to 64,State,Rural North,30 to 44,40 to 49,Independent/Other,40 to 49,0.44600000000000006
30.0,4.0,8.0,First call,60-64,White,Male,Gregg,Lucas,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Worse,Republican,HS grad,30 to 50K,Moderate,18 to 64,State,Rural North,60 and over,60 and over,Republican,50 to 64,0.766
30.0,4.0,9.0,First call,50-59,White,Male,Condodematraky,Shaheen,Approve,Disapprove,Neither,No,No,Yes,Better,Democrat,College grad,30 to 50K,Liberal,18 to 64,State,Rural North,45 to 59,50 to 59,Democrat,50 to 64,0.40700000000000003
30.0,4.0,10.0,First call,45-49,White,Female,Gregg,Shaheen,Approve,Approve,Neither,No,No,No,Better,Republican,Postgrad,75 to 100K,Conservative,18 to 64,State,Rural North,45 to 59,40 to 49,Republican,40 to 49,0.44600000000000006
30.0,4.0,11.0,First call,40-44,White,Male,Condodematraky,Shaheen,Disapprove,Disapprove,Neither,No,No,No,Worse,Democrat,Postgrad,30 to 50K,Liberal,18 to 64,State,Rural North,30 to 44,40 to 49,Democrat,40 to 49,0.40700000000000003
30.0,4.0,12.0,First call,30-39,White,Female,Gregg,Lucas,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Better,Democrat,Postgrad,75 to 100K,Moderate,18 to 64,State,Rural North,30 to 44,30 to 39,Democrat,30 to 39,0.605
30.0,4.0,13.0,First call,60-64,White,Male,Gregg,Shaheen,Approve,Approve,Neither,Yes,Yes,Yes,Same,Republican,College grad,30 to 50K,Conservative,18 to 64,State,Rural North,60 and over,60 and over,Republican,50 to 64,0.5660000000000001
30.0,4.0,14.0,First call,60-64,White,Male,Gregg,Lucas,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Same,Republican,College grad,75 to 100K,Conservative,18 to 64,State,Rural North,60 and over,60 and over,Republican,50 to 64,0.766
30.0,4.0,15.0,First call,50-59,White,Female,Gregg,Lucas,Disapprove,Approve,Neither,Yes,Yes,Yes,Same,Independent,Some college,30 to 50K,Conservative,18 to 64,State,Rural North,45 to 59,50 to 59,Independent/Other,50 to 64,0.605
30.0,4.0,16.0,First call,65 and over,White,Female,Gregg,Shaheen,Approve,Disapprove,Neither,No,No,Yes,Same,Independent,Some college,15 to 30K,Liberal,65 and over,State,Rural North,60 and over,60 and over,Independent/Other,65 and over,0.5469999999999999
30.0,4.0,17.0,First call,60-64,White,Female,Condodematraky,Shaheen,Approve,Approve,Neither,No,No,No,Same,Democrat,HS grad,,Liberal,18 to 64,State,Rural North,60 and over,60 and over,Democrat,50 to 64,0.47800000000000004
30.0,4.0,18.0,First call,65 and over,White,Male,Gregg,Shaheen,Approve,Approve,Neither,No,No,Yes,Same,Independent,College grad,15 to 30K,Conservative,65 and over,State,Rural North,60 and over,60 and over,Independent/Other,65 and over,0.5660000000000001
30.0,4.0,19.0,Second call,45-49,White,Male,Other,Shaheen,Approve,Disapprove,Neither,No,No,Yes,Same,Democrat,Some college,50 to 75K,Moderate,18 to 64,State,Rural North,45 to 59,40 to 49,Democrat,40 to 49,0.949
30.0,4.0,20.0,Second call,50-59,White,Male,Condodematraky,Shaheen,Approve,Disapprove,Neither,No,No,No,Worse,Democrat,Some college,Under 15K,Moderate,18 to 64,State,Rural North,45 to 59,50 to 59,Democrat,50 to 64,0.40700000000000003
30.0,4.0,21.0,Second call,50-59,White,Male,Gregg,Lucas,Disapprove,Disapprove,Oppose Clinton,No,No,Yes,Same,Independent,HS grad,50 to 75K,Moderate,18 to 64,State,Rural North,45 to 59,50 to 59,Independent/Other,50 to 64,0.626
30.0,4.0,22.0,Second call,65 and over,White,Female,Gregg,Lucas,Approve,Approve,Neither,No,No,No,Same,Independent,HS grad,50 to 75K,Moderate,65 and over,State,Rural North,60 and over,60 and over,Independent/Other,65 and over,0.7389999999999999
