State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Vote,Clinton Approval,Congress Approval,Q9: Allow med marjna?,Reason for Cong Vote,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Senate issues,Clinton as person
29.0,1.0,1.0,First call,40-44,White,Male,Ensign,Guinn,Disapprove,Disapprove,Yes,,No,Yes,No,Same,Dole,Republican,College grad,30 to 50K,Moderate,18 to 64,State,Complete,Rural counties,30 to 44,40 to 49,Republican,40 to 49,0.689,Education,Unfavorable
29.0,1.0,2.0,First call,40-44,White,Female,Reid,Jones,Disapprove,Approve,Yes,,,,,,,,,,,18 to 64,State,Not complete,Rural counties,30 to 44,40 to 49,,40 to 49,0.6829999999999999,Education,Unfavorable
29.0,1.0,3.0,First call,50-59,Hispanic,Male,Ensign,Guinn,Disapprove,Disapprove,No,Oppose Clinton,Yes,Yes,No,Same,Dole,Independent,Some college,50 to 75K,Conservative,18 to 64,State,Complete,Rural counties,45 to 59,50 to 59,Independent/Other,50 to 64,0.6729999999999999,Social Security,Unfavorable
29.0,1.0,4.0,First call,40-44,White,Male,Ensign,Guinn,Disapprove,Disapprove,No,Neither,Yes,Yes,No,Same,Dole,Independent,Some college,15 to 30K,Conservative,18 to 64,State,Complete,Rural counties,30 to 44,40 to 49,Independent/Other,40 to 49,0.843,Taxes,Unfavorable
29.0,1.0,5.0,First call,45-49,White,Female,Ensign,Guinn,Disapprove,Approve,Yes,Neither,Yes,Yes,No,Same,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,State,Complete,Rural counties,45 to 59,40 to 49,Republican,40 to 49,0.648,Taxes,Unfavorable
29.0,1.0,6.0,First call,50-59,White,Female,Ensign,Guinn,,Disapprove,No,,,,,,,,,,,18 to 64,State,Not complete,Rural counties,45 to 59,50 to 59,,50 to 64,0.793,Economy/jobs,Unfavorable
29.0,1.0,7.0,First call,65 and over,White,Female,Ensign,Guinn,Disapprove,Approve,No,,,,,,,,,,,65 and over,State,Not complete,Rural counties,60 and over,60 and over,,65 and over,0.8640000000000001,,Unfavorable
29.0,1.0,8.0,First call,65 and over,Other,Male,Reid,Jones,Approve,Disapprove,No,,,,,,,,,,,65 and over,State,Not complete,Rural counties,60 and over,60 and over,,65 and over,0.9660000000000001,Social Security,Favorable
29.0,1.0,9.0,First call,50-59,White,Female,Ensign,Guinn,Disapprove,Approve,No,,,,,,,,,,,18 to 64,State,Not complete,Rural counties,45 to 59,50 to 59,,50 to 64,0.793,,Unfavorable
29.0,1.0,10.0,First call,40-44,White,Male,Ensign,Guinn,Disapprove,Approve,No,Neither,No,No,Yes,Worse,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,State,Complete,Rural counties,30 to 44,40 to 49,Republican,40 to 49,0.843,Social Security,Unfavorable
29.0,1.0,11.0,First call,50-59,White,Male,Ensign,Guinn,Disapprove,Approve,No,,,,,,,,,,,18 to 64,State,Not complete,Rural counties,45 to 59,50 to 59,,50 to 64,0.843,,Unfavorable
29.0,1.0,12.0,First call,50-59,White,Female,Ensign,Guinn,,Disapprove,No,,,,,,,,,,,18 to 64,State,Not complete,Rural counties,45 to 59,50 to 59,,50 to 64,0.793,Taxes,Unfavorable
29.0,1.0,13.0,First call,45-49,White,Male,Reid,Jones,,Disapprove,Yes,,,,,,,,,,,18 to 64,State,Not complete,Rural counties,45 to 59,40 to 49,,40 to 49,0.725,Economy/jobs,
29.0,1.0,14.0,First call,50-59,White,Female,Reid,Jones,,Disapprove,Yes,Neither,No,Yes,No,Worse,Perot,Democrat,Some college,50 to 75K,Moderate,18 to 64,State,Complete,Rural counties,45 to 59,50 to 59,Democrat,50 to 64,0.6829999999999999,Social Security,Unfavorable
29.0,1.0,15.0,Second call,50-59,White,Female,,Guinn,,,,Neither,,,Yes,Better,Clinton,Republican,Some college,100K or more,Moderate,18 to 64,State,Complete,Rural counties,45 to 59,50 to 59,Republican,50 to 64,0.721,,
29.0,1.0,16.0,Second call,65 and over,White,Male,Reid,Jones,Approve,Disapprove,No,,,,,,,,,,,65 and over,State,Not complete,Rural counties,60 and over,60 and over,,65 and over,0.9660000000000001,Social Security,Favorable
29.0,1.0,17.0,Second call,65 and over,White,Male,Ensign,Guinn,Disapprove,Approve,No,,,,,,,,,,,65 and over,State,Not complete,Rural counties,60 and over,60 and over,,65 and over,0.9189999999999999,Clin/Lwnsky,Unfavorable
29.0,1.0,18.0,Second call,50-59,White,Female,Reid,Guinn,,Disapprove,Yes,,,,,,,,,,,18 to 64,State,Not complete,Rural counties,45 to 59,50 to 59,,50 to 64,0.748,Nuclear waste,
29.0,1.0,19.0,Second call,65 and over,White,Female,Reid,Jones,,Disapprove,Yes,Neither,No,No,No,Worse,Clinton,Democrat,No HS,15 to 30K,,65 and over,State,Complete,Rural counties,60 and over,60 and over,Democrat,65 and over,0.7449999999999999,Nuclear waste,Unfavorable
29.0,1.0,20.0,Second call,30-39,White,Male,Ensign,Guinn,Disapprove,Approve,Yes,Neither,Yes,Yes,No,Same,Dole,Republican,College grad,50 to 75K,Moderate,18 to 64,State,Complete,Rural counties,30 to 44,30 to 39,Republican,30 to 39,0.689,,Unfavorable
29.0,1.0,21.0,Second call,30-39,White,Male,Ensign,Guinn,Disapprove,Disapprove,,Neither,,,,Better,Other,Republican,Some college,50 to 75K,Conservative,18 to 64,State,Complete,Rural counties,30 to 44,30 to 39,Republican,30 to 39,0.7449999999999999,,Unfavorable
29.0,1.0,22.0,Third call,30-39,White,Male,Ensign,Guinn,,Approve,No,Neither,No,No,Yes,Better,Dole,Republican,College grad,75 to 100K,Conservative,18 to 64,State,Complete,Rural counties,30 to 44,30 to 39,Republican,30 to 39,0.843,Education,Unfavorable
29.0,1.0,23.0,Third call,50-59,White,Male,Ensign,Jones,Approve,Approve,Yes,,,,,,,,,,,18 to 64,State,Not complete,Rural counties,45 to 59,50 to 59,,50 to 64,0.631,Crime/drugs,Unfavorable
29.0,1.0,24.0,Third call,50-59,Other,,Ensign,Guinn,Disapprove,Disapprove,Yes,Neither,No,Yes,Yes,Better,Other,Republican,Some college,30 to 50K,Conservative,18 to 64,State,Complete,Rural counties,45 to 59,50 to 59,Republican,50 to 64,0.648,Social Security,Unfavorable
29.0,1.0,25.0,Third call,30-39,Hispanic,Male,Ensign,Guinn,Disapprove,Approve,No,,,,,,,,,,,18 to 64,State,Not complete,Rural counties,30 to 44,30 to 39,,30 to 39,0.6729999999999999,Taxes,Unfavorable
29.0,1.0,26.0,Third call,45-49,White,Female,Reid,Guinn,Approve,Disapprove,Yes,Neither,No,,Yes,Better,Perot,Independent,Postgrad,50 to 75K,Moderate,18 to 64,State,Complete,Rural counties,45 to 59,40 to 49,Independent/Other,40 to 49,0.748,,Unfavorable
29.0,1.0,27.0,Third call,40-44,White,Female,Reid,Jones,Disapprove,Disapprove,Yes,Neither,Yes,Yes,Yes,Better,,Democrat,Some college,50 to 75K,Conservative,18 to 64,State,Complete,Rural counties,30 to 44,40 to 49,Democrat,40 to 49,0.6829999999999999,Nuclear waste,Unfavorable
29.0,1.0,28.0,Third call,30-39,White,Male,Ensign,Guinn,Disapprove,Disapprove,No,Oppose Clinton,Yes,Yes,No,Same,Dole,Republican,Postgrad,50 to 75K,Conservative,18 to 64,State,Complete,Rural counties,30 to 44,30 to 39,Republican,30 to 39,0.843,Taxes,Unfavorable
29.0,1.0,29.0,Third call,18-24,Other,Male,Reid,None of the above,Approve,Approve,No,Support Clinton,No,No,No,Better,Clinton,Independent,College grad,30 to 50K,Conservative,18 to 64,State,Complete,Rural counties,18 to 29,18 to 24,Independent/Other,18 to 24,1.539,Nuclear waste,Favorable
29.0,1.0,30.0,Third call,30-39,White,Male,Ensign,Guinn,Disapprove,Approve,Yes,Neither,Yes,Yes,No,Better,Dole,Republican,HS grad,30 to 50K,Conservative,18 to 64,State,Complete,Rural counties,30 to 44,30 to 39,Republican,30 to 39,0.689,Taxes,Unfavorable
29.0,1.0,31.0,Third call,45-49,White,Male,Ensign,Guinn,Disapprove,Approve,No,Oppose Clinton,Yes,Yes,No,Worse,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,State,Complete,Rural counties,45 to 59,40 to 49,Republican,40 to 49,0.843,Taxes,Unfavorable
29.0,1.0,32.0,Third call,45-49,White,Female,Ensign,Guinn,Disapprove,,No,Neither,,Yes,,Same,Dole,Republican,Postgrad,75 to 100K,Conservative,18 to 64,State,Complete,Rural counties,45 to 59,40 to 49,Republican,40 to 49,0.793,,
29.0,1.0,33.0,Third call,60-64,Hispanic,Female,Ensign,Jones,Approve,Disapprove,No,Neither,No,No,No,Same,Perot,Democrat,Some college,15 to 30K,Conservative,18 to 64,State,Complete,Rural counties,60 and over,60 and over,Democrat,50 to 64,0.63,,Unfavorable
29.0,1.0,34.0,Third call,18-24,White,Female,Ensign,Guinn,Disapprove,Approve,Yes,,,,,,,,,,,18 to 64,State,Not complete,Rural counties,18 to 29,18 to 24,,18 to 24,0.8180000000000001,Taxes,Unfavorable
29.0,1.0,35.0,Third call,45-49,White,Female,Reid,Jones,Approve,Disapprove,Yes,,,,,,,,,,,18 to 64,State,Not complete,Rural counties,45 to 59,40 to 49,,40 to 49,0.6829999999999999,,Favorable
29.0,1.0,36.0,Third call,60-64,White,Female,Reid,Jones,,,Yes,,,,,,,,,,,18 to 64,State,Not complete,Rural counties,60 and over,60 and over,,50 to 64,0.7449999999999999,,
29.0,1.0,37.0,Third call,40-44,White,Male,Reid,Jones,Approve,Disapprove,Yes,Support Clinton,No,No,No,Same,Clinton,Democrat,College grad,50 to 75K,Liberal,18 to 64,State,Complete,Rural counties,30 to 44,40 to 49,Democrat,40 to 49,0.725,Education,Favorable
