State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Finanacial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),In touch with avg person,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 decimal pl,Clinton as person
37.0,2.0,1.0,First call,45-49,White,Female,Carroll,Keating,Approve,Disapprove,Neither,Yes,No,No,No,Same,Clinton,Democrat,HS grad,50 to 75K,Moderate,18 to 64,Both are,State,Complete,West,45 to 59,40 to 49,Democrat,40 to 49,0.522,Unfavorable
37.0,2.0,2.0,First call,45-49,White,Female,Nickles,Keating,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Yes,Same,Dole,Republican,HS grad,30 to 50K,Conservative,18 to 64,Both are,State,Complete,West,45 to 59,40 to 49,Republican,40 to 49,0.602,Unfavorable
37.0,2.0,3.0,First call,50-59,White,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Same,Dole,Republican,HS grad,30 to 50K,Conservative,18 to 64,Keating is,State,Complete,West,45 to 59,50 to 59,Republican,50 to 64,0.6429999999999999,Unfavorable
37.0,2.0,4.0,First call,50-59,White,Male,Nickles,Boyd,Approve,Disapprove,Neither,No,No,No,No,Worse,Clinton,Democrat,Some college,15 to 30K,Conservative,18 to 64,Boyd is,State,Complete,West,45 to 59,50 to 59,Democrat,50 to 64,0.6920000000000001,Favorable
37.0,2.0,5.0,First call,60-64,White,Male,Carroll,Keating,Approve,Disapprove,Neither,Yes,No,No,No,Same,Clinton,Democrat,,15 to 30K,Moderate,18 to 64,Keating is,State,Complete,West,60 and over,60 and over,Democrat,50 to 64,0.644,Favorable
37.0,2.0,6.0,First call,45-49,White,Female,Nickles,Keating,Approve,Approve,Neither,Yes,No,No,Yes,Worse,Clinton,Republican,HS grad,Under 15K,Moderate,18 to 64,Keating is,State,Complete,West,45 to 59,40 to 49,Republican,40 to 49,0.602,Favorable
37.0,2.0,7.0,First call,40-44,White,Female,Carroll,Boyd,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Democrat,Postgrad,30 to 50K,Moderate,18 to 64,Boyd is,State,Complete,West,30 to 44,40 to 49,Democrat,40 to 49,0.562,Favorable
37.0,2.0,8.0,First call,60-64,White,Female,Nickles,Keating,Approve,Disapprove,Neither,,No,No,No,Better,Clinton,Republican,HS grad,,,18 to 64,Both are,State,Complete,West,60 and over,60 and over,Republican,50 to 64,0.699,Favorable
37.0,2.0,9.0,First call,65 and over,White,Female,Nickles,Keating,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Dole,Republican,HS grad,15 to 30K,Moderate,65 and over,Keating is,State,Complete,West,60 and over,60 and over,Republican,65 and over,0.699,Unfavorable
37.0,2.0,10.0,First call,65 and over,,,Nickles,Boyd,Disapprove,Disapprove,Neither,Yes,No,Yes,Yes,Same,Clinton,Democrat,HS grad,50 to 75K,Liberal,65 and over,Boyd is,State,Complete,West,60 and over,60 and over,Democrat,65 and over,0.8,Unfavorable
37.0,2.0,11.0,First call,45-49,White,Male,Nickles,Keating,Disapprove,Approve,Neither,Yes,Yes,Yes,No,Same,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,Keating is,State,Complete,West,45 to 59,40 to 49,Republican,40 to 49,0.6429999999999999,Unfavorable
37.0,2.0,12.0,First call,30-39,White,Male,Nickles,Keating,Approve,Approve,Neither,No,No,No,No,Better,Dole,Independent,Some college,30 to 50K,Moderate,18 to 64,Both are,State,Complete,West,30 to 44,30 to 39,Independent/Other,30 to 39,0.6429999999999999,Unfavorable
37.0,2.0,13.0,First call,30-39,White,Male,Nickles,Keating,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,No,Better,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,Keating is,State,Complete,West,30 to 44,30 to 39,Republican,30 to 39,0.6429999999999999,Unfavorable
37.0,2.0,14.0,First call,50-59,White,Male,Carroll,Boyd,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,HS grad,,Liberal,18 to 64,Boyd is,State,Complete,West,45 to 59,50 to 59,Democrat,50 to 64,0.598,Favorable
37.0,2.0,15.0,First call,45-49,White,Female,Nickles,Keating,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Same,Dole,Republican,HS grad,15 to 30K,Conservative,18 to 64,Both are,State,Complete,West,45 to 59,40 to 49,Republican,40 to 49,0.602,Unfavorable
37.0,2.0,16.0,First call,45-49,White,Male,Nickles,Boyd,Disapprove,Approve,Neither,No,Yes,Yes,No,Same,Dole,Republican,College grad,15 to 30K,Conservative,18 to 64,Both are,State,Complete,West,45 to 59,40 to 49,Republican,40 to 49,0.6920000000000001,Unfavorable
37.0,2.0,17.0,Second call,65 and over,White,Female,Nickles,Keating,Approve,Disapprove,Neither,Yes,No,No,No,Better,Dole,Republican,HS grad,Under 15K,Moderate,65 and over,Keating is,State,Complete,West,60 and over,60 and over,Republican,65 and over,0.699,Unfavorable
37.0,2.0,18.0,Second call,40-44,White,Male,Nickles,Keating,Approve,Approve,Neither,No,No,No,No,Same,Clinton,Democrat,College grad,,Conservative,18 to 64,Both are,State,Complete,West,30 to 44,40 to 49,Democrat,40 to 49,0.6429999999999999,Favorable
37.0,2.0,19.0,Second call,65 and over,White,Male,,Keating,Approve,Disapprove,Neither,,,,Yes,Same,Clinton,Independent,No HS,,Conservative,65 and over,,State,Complete,West,60 and over,60 and over,Independent/Other,65 and over,0.722,Favorable
37.0,2.0,20.0,Second call,40-44,White,Female,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,Some college,Under 15K,Moderate,18 to 64,Both are,State,Complete,West,30 to 44,40 to 49,Republican,40 to 49,0.602,Unfavorable
37.0,2.0,21.0,Second call,18-24,White,Female,Nickles,Keating,Approve,Approve,Neither,No,No,No,Yes,Same,Dole,Republican,Some college,Under 15K,Liberal,18 to 64,Both are,State,Complete,West,18 to 29,18 to 24,Republican,18 to 24,0.6609999999999999,Unfavorable
37.0,2.0,22.0,Second call,25-29,White,Female,Nickles,Boyd,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Better,Clinton,Democrat,College grad,50 to 75K,Liberal,18 to 64,Both are,State,Complete,West,18 to 29,25 to 29,Democrat,25 to 29,0.711,Unfavorable
37.0,2.0,23.0,Second call,45-49,White,Female,Nickles,Boyd,Approve,Approve,Neither,No,No,Yes,,Better,Other,Something else,HS grad,15 to 30K,Conservative,18 to 64,Both are,State,Complete,West,45 to 59,40 to 49,Independent/Other,40 to 49,0.648,Unfavorable
37.0,2.0,24.0,Second call,25-29,White,Female,Nickles,Keating,Disapprove,Approve,Neither,Yes,No,No,Yes,Better,Dole,Republican,College grad,15 to 30K,Conservative,18 to 64,Keating is,State,Complete,West,18 to 29,25 to 29,Republican,25 to 29,0.6609999999999999,Unfavorable
37.0,2.0,25.0,Second call,65 and over,White,Female,Nickles,Keating,Approve,Approve,Support Clinton,Yes,No,No,Yes,Same,Clinton,Democrat,,Under 15K,Moderate,65 and over,Keating is,State,Complete,West,60 and over,60 and over,Democrat,65 and over,0.699,Unfavorable
37.0,2.0,26.0,Second call,40-44,White,Male,Nickles,Keating,Approve,Approve,Neither,No,No,No,No,Same,Clinton,Democrat,HS grad,30 to 50K,,18 to 64,Keating is,State,Complete,West,30 to 44,40 to 49,Democrat,40 to 49,0.6429999999999999,Unfavorable
37.0,2.0,27.0,Second call,65 and over,White,Female,Carroll,Boyd,Approve,Approve,,Yes,No,No,Yes,Worse,Clinton,Democrat,No HS,Under 15K,Conservative,65 and over,Boyd is,State,Complete,West,60 and over,60 and over,Democrat,65 and over,0.651,Favorable
37.0,2.0,28.0,Third call,50-59,White,Male,Carroll,Boyd,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,HS grad,30 to 50K,Conservative,18 to 64,Boyd is,State,Complete,West,45 to 59,50 to 59,Democrat,50 to 64,0.598,Favorable
37.0,2.0,29.0,Third call,45-49,White,Female,Nickles,Keating,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Worse,Dole,Republican,Some college,15 to 30K,Moderate,18 to 64,,State,Complete,West,45 to 59,40 to 49,Republican,40 to 49,0.602,Unfavorable
37.0,2.0,30.0,Third call,30-39,White,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Better,Perot,Democrat,Some college,30 to 50K,Moderate,18 to 64,Keating is,State,Complete,West,30 to 44,30 to 39,Democrat,30 to 39,0.6429999999999999,Unfavorable
37.0,2.0,31.0,Third call,30-39,White,Male,Nickles,Keating,Disapprove,Approve,Neither,No,No,Yes,Yes,Same,Perot,Democrat,Some college,15 to 30K,Moderate,18 to 64,Both are,State,Complete,West,30 to 44,30 to 39,Democrat,30 to 39,0.6429999999999999,Unfavorable
37.0,2.0,32.0,Third call,25-29,White,Female,Carroll,Boyd,Approve,Approve,Neither,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,15 to 30K,Conservative,18 to 64,Boyd is,State,Complete,West,18 to 29,25 to 29,Democrat,25 to 29,0.617,Favorable
