State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Governor Vote,Clinton Approval,Congress Approval,Gore good as Pres?,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Finanacial Situation,1996 vote,Party ID,Income,Ideology,Age (65 and over),State or national poll,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 decimal pl
43.0,2.0,1.0,First call,45-49,White,Female,Sundquist,Disapprove,Disapprove,No,Neither,Yes,No,Yes,Yes,Same,Dole,Independent,30 to 50K,Conservative,18 to 64,State,Central/West,45 to 59,40 to 49,Independent/Other,40 to 49,1.212
43.0,2.0,2.0,First call,65 and over,White,Male,Sundquist,Approve,Approve,Yes,Neither,,,Yes,Yes,Better,Perot,Republican,,Moderate,65 and over,State,Central/West,60 and over,60 and over,Republican,65 and over,1.435
43.0,2.0,3.0,First call,65 and over,White,Female,Sundquist,Disapprove,Approve,No,Neither,,,Yes,,Same,Perot,Democrat,,Conservative,65 and over,State,Central/West,60 and over,60 and over,Democrat,65 and over,1.294
43.0,2.0,4.0,First call,45-49,White,Male,Sundquist,Disapprove,Approve,No,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Independent,30 to 50K,Conservative,18 to 64,State,Central/West,45 to 59,40 to 49,Independent/Other,40 to 49,1.343
43.0,2.0,5.0,First call,65 and over,White,Female,Sundquist,Disapprove,Disapprove,No,Oppose Clinton,,Yes,Yes,Yes,Same,Dole,Republican,30 to 50K,Conservative,65 and over,State,Central/West,60 and over,60 and over,Republican,65 and over,1.294
43.0,2.0,6.0,Second call,65 and over,White,Male,Sundquist,Disapprove,Approve,No,Oppose Clinton,No,Yes,Yes,,Same,Dole,Republican,30 to 50K,Conservative,65 and over,State,Central/West,60 and over,60 and over,Republican,65 and over,1.435
43.0,2.0,7.0,Second call,50-59,White,Female,Sundquist,Disapprove,Approve,No,Neither,Yes,Yes,Yes,No,Same,Other,Independent,,Conservative,18 to 64,State,Central/West,45 to 59,50 to 59,Independent/Other,50 to 64,1.212
43.0,2.0,8.0,Second call,,White,,Sundquist,Approve,Disapprove,,Support Clinton,,No,No,No,,Clinton,Democrat,75 to 100K,Conservative,,State,Central/West,,,Democrat,,1.212
43.0,2.0,9.0,Second call,65 and over,White,Male,Hooker,Approve,Disapprove,Yes,Neither,No,No,No,Yes,Same,Clinton,Democrat,50 to 75K,Moderate,65 and over,State,Central/West,60 and over,60 and over,Democrat,65 and over,1.534
43.0,2.0,10.0,Second call,18-24,White,,Hooker,Approve,Disapprove,Yes,,Yes,,,,,Clinton,Democrat,,Liberal,18 to 64,State,Central/West,18 to 29,18 to 24,Democrat,18 to 24,2.388
43.0,2.0,11.0,Second call,65 and over,White,,Hooker,Approve,Disapprove,Yes,Support Clinton,,No,No,Yes,Same,Clinton,Independent,30 to 50K,Liberal,65 and over,State,Central/West,60 and over,60 and over,Independent/Other,65 and over,1.384
