State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Finanacial Situation,1996 vote,Party ID,Income,Ideology,Age (65 and over),State or national poll,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 decimal pl
45.0,4.0,1.0,First call,50-59,White,Male,Bennett,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Worse,Dole,Republican,100K or more,Conservative,18 to 64,State,West/Provo area,45 to 59,50 to 59,Republican,50 to 64,0.9820000000000001
45.0,4.0,2.0,First call,40-44,White,Female,Leckman,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,100K or more,Liberal,18 to 64,State,West/Provo area,30 to 44,40 to 49,Democrat,40 to 49,0.976
45.0,4.0,3.0,First call,60-64,White,Male,Bennett,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Worse,Dole,Republican,30 to 50K,Conservative,18 to 64,State,West/Provo area,60 and over,60 and over,Republican,50 to 64,1.224
45.0,4.0,4.0,First call,65 and over,White,Female,Bennett,Disapprove,,Oppose Clinton,,Yes,Yes,Yes,Same,Dole,Republican,30 to 50K,Moderate,65 and over,State,West/Provo area,60 and over,60 and over,Republican,65 and over,1.2690000000000001
45.0,4.0,5.0,First call,40-44,White,Female,Bennett,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,State,West/Provo area,30 to 44,40 to 49,Republican,40 to 49,1.018
45.0,4.0,6.0,First call,65 and over,White,Male,Bennett,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,,Same,Dole,Republican,30 to 50K,Conservative,65 and over,State,West/Provo area,60 and over,60 and over,Republican,65 and over,1.224
45.0,4.0,7.0,First call,30-39,White,Male,Bennett,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Better,Dole,Republican,30 to 50K,Conservative,18 to 64,State,West/Provo area,30 to 44,30 to 39,Republican,30 to 39,0.9820000000000001
45.0,4.0,8.0,First call,50-59,White,Female,Bennett,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,No,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,West/Provo area,45 to 59,50 to 59,Republican,50 to 64,1.018
45.0,4.0,9.0,First call,65 and over,White,Female,Bennett,Disapprove,Approve,Oppose Clinton,No,No,Yes,Yes,Same,Dole,Independent,Under 15K,Conservative,65 and over,State,West/Provo area,60 and over,60 and over,Independent/Other,65 and over,1.2690000000000001
45.0,4.0,10.0,First call,50-59,White,Female,Leckman,Approve,Disapprove,Neither,No,No,Yes,No,Better,Clinton,Democrat,75 to 100K,Moderate,18 to 64,State,West/Provo area,45 to 59,50 to 59,Democrat,50 to 64,0.976
45.0,4.0,11.0,First call,45-49,White,Male,Bennett,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Worse,Dole,Independent,Under 15K,Conservative,18 to 64,State,West/Provo area,45 to 59,40 to 49,Independent/Other,40 to 49,0.9820000000000001
45.0,4.0,12.0,First call,60-64,White,Male,Bennett,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Clinton,Republican,30 to 50K,,18 to 64,State,West/Provo area,60 and over,60 and over,Republican,50 to 64,1.224
45.0,4.0,13.0,First call,65 and over,White,Female,Bennett,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,No,Worse,Dole,Republican,15 to 30K,Conservative,65 and over,State,West/Provo area,60 and over,60 and over,Republican,65 and over,1.2690000000000001
45.0,4.0,14.0,First call,40-44,White,Female,Bennett,Disapprove,,Oppose Clinton,Yes,Yes,Yes,,Better,Dole,Republican,30 to 50K,Moderate,18 to 64,State,West/Provo area,30 to 44,40 to 49,Republican,40 to 49,1.018
45.0,4.0,15.0,First call,40-44,White,Male,Leckman,Disapprove,Approve,Neither,No,No,Yes,Yes,Same,Dole,Independent,50 to 75K,Conservative,18 to 64,State,West/Provo area,30 to 44,40 to 49,Independent/Other,40 to 49,0.9410000000000001
45.0,4.0,16.0,Second call,50-59,White,Female,Bennett,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Other,Republican,100K or more,Conservative,18 to 64,State,West/Provo area,45 to 59,50 to 59,Republican,50 to 64,1.018
45.0,4.0,17.0,Second call,40-44,White,Female,Bennett,Disapprove,Disapprove,Neither,Yes,Yes,No,Yes,Worse,Dole,Republican,50 to 75K,Conservative,18 to 64,State,West/Provo area,30 to 44,40 to 49,Republican,40 to 49,1.018
45.0,4.0,18.0,Second call,18-24,White,Male,Bennett,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,No,Same,,Republican,50 to 75K,Conservative,18 to 64,State,West/Provo area,18 to 29,18 to 24,Republican,18 to 24,0.991
45.0,4.0,19.0,Second call,25-29,White,Female,Bennett,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Worse,Dole,Republican,30 to 50K,Moderate,18 to 64,State,West/Provo area,18 to 29,25 to 29,Republican,25 to 29,1.028
45.0,4.0,20.0,Second call,65 and over,Other,Female,Leckman,Approve,Disapprove,,Yes,No,No,Yes,Worse,Clinton,Democrat,15 to 30K,Conservative,65 and over,State,West/Provo area,60 and over,60 and over,Democrat,65 and over,1.217
45.0,4.0,21.0,Second call,65 and over,White,Male,Bennett,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,Under 15K,Conservative,65 and over,State,West/Provo area,60 and over,60 and over,Republican,65 and over,1.224
45.0,4.0,22.0,Second call,40-44,White,Male,Bennett,Disapprove,Approve,Neither,No,Yes,Yes,No,Better,Dole,Republican,75 to 100K,Moderate,18 to 64,State,West/Provo area,30 to 44,40 to 49,Republican,40 to 49,0.9820000000000001
45.0,4.0,23.0,Second call,40-44,White,Female,Bennett,Disapprove,Approve,,No,,,,Better,Dole,Republican,50 to 75K,Conservative,18 to 64,State,West/Provo area,30 to 44,40 to 49,Republican,40 to 49,1.018
