State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Clinton Approval,Congress Approval,I694: Ban Partial Birth,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Income,I200: Ban pref treatment,Ideology,Age (65 and over),I692: Allow med mrjna,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 implied dec,Senate issues,Clinton as person,Telephone survey
48.0,3.0,1.0,First call,65 and over,White,Male,Smith,Disapprove,Disapprove,No,Neither,,Yes,Yes,,,Dole,Republican,,,No,,65 and over,No,State,Complete,East,60 and over,60 and over,Republican,65 and over,0.607,Social Security,Unfavorable,Exit poll
48.0,3.0,2.0,First call,65 and over,White,Male,Murray,,,No,Support Clinton,No,No,No,No,Better,Clinton,Democrat,No HS,30 to 50K,Yes,Moderate,65 and over,Yes,State,Complete,East,60 and over,60 and over,Democrat,65 and over,1.193,Social Security,Favorable,Exit poll
48.0,3.0,3.0,First call,40-44,White,Male,Smith,Disapprove,Approve,Yes,,Yes,,,,,,,,,Yes,,18 to 64,No,State,Not complete,East,30 to 44,40 to 49,,40 to 49,0.59,Clin/Lwnsky,Unfavorable,Exit poll
48.0,3.0,4.0,First call,40-44,White,Male,Smith,Approve,Disapprove,Yes,Neither,No,No,No,No,Better,Clinton,Independent,,100K or more,Yes,Moderate,18 to 64,Yes,State,Complete,East,30 to 44,40 to 49,Independent/Other,40 to 49,0.544,Social Security,Favorable,Exit poll
48.0,3.0,5.0,First call,30-39,White,Female,Murray,Approve,Approve,Yes,Neither,,,,,Same,Clinton,Democrat,Some college,,,Moderate,18 to 64,No,State,Complete,East,30 to 44,30 to 39,Democrat,30 to 39,0.741,Education,,Exit poll
48.0,3.0,6.0,First call,45-49,White,Male,Smith,Disapprove,Approve,Yes,Oppose Clinton,Yes,Yes,Yes,Yes,Worse,Dole,Independent,Postgrad,75 to 100K,Yes,Conservative,18 to 64,No,State,Complete,East,45 to 59,40 to 49,Independent/Other,40 to 49,0.59,Taxes,Unfavorable,Exit poll
48.0,3.0,7.0,Second call,30-39,White,Male,Smith,Disapprove,Approve,Yes,Neither,No,Yes,Yes,,Better,Dole,Republican,Some college,50 to 75K,No,Conservative,18 to 64,Yes,State,Complete,East,30 to 44,30 to 39,Republican,30 to 39,0.369,Clin/Lwnsky,Unfavorable,Exit poll
48.0,3.0,8.0,Second call,30-39,White,Female,Smith,Disapprove,Approve,Yes,Neither,Yes,Yes,Yes,No,Same,Clinton,Something else,College grad,50 to 75K,No,Conservative,18 to 64,No,State,Complete,East,30 to 44,30 to 39,Independent/Other,30 to 39,0.41300000000000003,,Unfavorable,Exit poll
48.0,3.0,9.0,Second call,30-39,White,Male,Smith,Disapprove,Disapprove,Yes,Oppose Clinton,Yes,Yes,Yes,No,Worse,Clinton,Republican,Some college,50 to 75K,Yes,Conservative,18 to 64,Yes,State,Complete,East,30 to 44,30 to 39,Republican,30 to 39,0.544,,Unfavorable,Exit poll
48.0,3.0,10.0,Second call,25-29,White,Female,Murray,Approve,Disapprove,,Neither,No,No,No,No,Better,Clinton,Democrat,College grad,30 to 50K,,Liberal,18 to 64,Yes,State,Complete,East,18 to 29,25 to 29,Democrat,25 to 29,0.876,,Favorable,Exit poll
48.0,3.0,11.0,Second call,65 and over,White,Female,Smith,Disapprove,Approve,Yes,Oppose Clinton,No,No,Yes,Yes,Same,Dole,Republican,College grad,50 to 75K,Yes,Conservative,65 and over,Yes,State,Complete,East,60 and over,60 and over,Republican,65 and over,0.751,Education,Unfavorable,Exit poll
48.0,3.0,12.0,Second call,40-44,White,Female,Smith,Disapprove,Approve,Yes,Neither,No,Yes,Yes,No,Same,Dole,Republican,College grad,50 to 75K,Yes,Conservative,18 to 64,Yes,State,Complete,East,30 to 44,40 to 49,Republican,40 to 49,0.562,Education,Unfavorable,Exit poll
48.0,3.0,13.0,Second call,40-44,White,Male,Smith,Disapprove,Approve,Yes,Oppose Clinton,No,Yes,Yes,No,Worse,Dole,Republican,Some college,75 to 100K,Yes,Conservative,18 to 64,Yes,State,Complete,East,30 to 44,40 to 49,Republican,40 to 49,0.544,Clin/Lwnsky,Unfavorable,Exit poll
48.0,3.0,14.0,Second call,40-44,White,Female,Smith,Disapprove,Approve,Yes,Oppose Clinton,No,Yes,Yes,Yes,Better,Dole,Republican,HS grad,50 to 75K,Yes,Conservative,18 to 64,No,State,Complete,East,30 to 44,40 to 49,Republican,40 to 49,0.611,Taxes,Unfavorable,Exit poll
48.0,3.0,15.0,Second call,40-44,White,Male,Smith,Disapprove,Approve,Yes,Oppose Clinton,No,Yes,Yes,Yes,Better,Dole,Republican,No HS,50 to 75K,Yes,Conservative,18 to 64,Yes,State,Complete,East,30 to 44,40 to 49,Republican,40 to 49,0.544,Taxes,Unfavorable,Exit poll
48.0,3.0,16.0,Second call,25-29,White,Female,Smith,Disapprove,Approve,Yes,Neither,,Yes,Yes,No,Better,Dole,Republican,HS grad,50 to 75K,Yes,Moderate,18 to 64,No,State,Complete,East,18 to 29,25 to 29,Republican,25 to 29,0.73,Education,Unfavorable,Exit poll
48.0,5.0,1.0,First call,45-49,White,Female,Smith,Disapprove,Disapprove,Yes,Neither,Yes,Yes,Yes,No,Better,Other,Republican,Some college,30 to 50K,Yes,Conservative,18 to 64,Yes,State,Complete,Olympic Mountains,45 to 59,40 to 49,Republican,40 to 49,1.105,Social Security,Unfavorable,Exit poll
48.0,5.0,2.0,First call,65 and over,White,Female,Smith,Approve,Approve,No,Oppose Clinton,Yes,No,No,Yes,Same,Clinton,Republican,College grad,Under 15K,No,Conservative,65 and over,No,State,Complete,Olympic Mountains,60 and over,60 and over,Republican,65 and over,1.213,Social Security,Unfavorable,Exit poll
48.0,5.0,3.0,First call,30-39,White,Male,Smith,Disapprove,Approve,No,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,HS grad,50 to 75K,Yes,Moderate,18 to 64,Yes,State,Complete,Olympic Mountains,30 to 44,30 to 39,Republican,30 to 39,1.443,Taxes,Unfavorable,Exit poll
48.0,5.0,4.0,First call,50-59,White,Female,Smith,Disapprove,Disapprove,,Neither,No,,,,Same,Dole,Independent,Postgrad,75 to 100K,No,Moderate,18 to 64,Yes,State,Complete,Olympic Mountains,45 to 59,50 to 59,Independent/Other,50 to 64,0.802,Education,Unfavorable,Exit poll
48.0,5.0,5.0,First call,50-59,White,Male,Murray,,,,,,No,No,Yes,Better,,Independent,,,Yes,,18 to 64,No,State,Complete,Olympic Mountains,45 to 59,50 to 59,Independent/Other,50 to 64,2.461,,,Exit poll
48.0,5.0,6.0,Second call,65 and over,White,Female,Murray,Approve,Disapprove,Yes,Neither,,No,No,No,Better,Dole,Democrat,HS grad,30 to 50K,Yes,,65 and over,Yes,State,Complete,Olympic Mountains,60 and over,60 and over,Democrat,65 and over,2.4130000000000003,Social Security,Favorable,Exit poll
48.0,5.0,7.0,Second call,65 and over,White,Male,Murray,Approve,Disapprove,Yes,,,,,,,,,,,Yes,,65 and over,Yes,State,Not complete,Olympic Mountains,60 and over,60 and over,,65 and over,2.77,Social Security,Favorable,Exit poll
48.0,5.0,8.0,Second call,50-59,White,Male,Smith,Disapprove,Approve,Yes,Neither,Yes,Yes,Yes,Yes,Same,Dole,Republican,College grad,50 to 75K,Yes,Conservative,18 to 64,No,State,Complete,Olympic Mountains,45 to 59,50 to 59,Republican,50 to 64,1.373,Taxes,Unfavorable,Exit poll
48.0,5.0,9.0,Second call,40-44,White,Male,Murray,Approve,Disapprove,No,Neither,No,No,No,Yes,Worse,Did not vote,Democrat,HS grad,30 to 50K,No,Moderate,18 to 64,Yes,State,Complete,Olympic Mountains,30 to 44,40 to 49,Democrat,40 to 49,1.623,Economy/jobs,Favorable,Exit poll
48.0,5.0,10.0,Second call,65 and over,White,Female,Murray,Approve,Disapprove,No,Neither,No,No,No,No,Same,Clinton,Democrat,Some college,15 to 30K,Yes,Liberal,65 and over,Yes,State,Complete,Olympic Mountains,60 and over,60 and over,Democrat,65 and over,2.752,,Favorable,Exit poll
48.0,5.0,11.0,Second call,65 and over,White,Male,Murray,Approve,Disapprove,No,Support Clinton,No,No,No,No,Better,Clinton,Democrat,HS grad,30 to 50K,No,Liberal,65 and over,Yes,State,Complete,Olympic Mountains,60 and over,60 and over,Democrat,65 and over,2.132,Social Security,Favorable,Exit poll
48.0,5.0,12.0,Second call,65 and over,Hispanic,Female,Murray,Approve,Disapprove,Yes,Neither,No,No,No,Yes,Same,Clinton,Democrat,Some college,50 to 75K,No,Liberal,65 and over,Yes,State,Complete,Olympic Mountains,60 and over,60 and over,Democrat,65 and over,1.3739999999999999,Economy/jobs,,Exit poll
48.0,5.0,13.0,Second call,40-44,White,Female,Smith,Disapprove,Disapprove,Yes,Neither,Yes,Yes,Yes,Yes,,Dole,Republican,College grad,,Yes,Conservative,18 to 64,No,State,Complete,Olympic Mountains,30 to 44,40 to 49,Republican,40 to 49,1.198,,Unfavorable,Exit poll
48.0,5.0,14.0,Second call,45-49,White,Female,Smith,Disapprove,Approve,Yes,Neither,Yes,Yes,Yes,Yes,Same,Dole,Republican,Postgrad,30 to 50K,Yes,Conservative,18 to 64,Yes,State,Complete,Olympic Mountains,45 to 59,40 to 49,Republican,40 to 49,1.105,,Unfavorable,Exit poll
48.0,5.0,15.0,Second call,30-39,White,Female,Murray,Approve,Approve,No,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,No,Liberal,18 to 64,Yes,State,Complete,Olympic Mountains,30 to 44,30 to 39,Democrat,30 to 39,1.417,Education,Favorable,Exit poll
48.0,5.0,16.0,Second call,45-49,White,Male,Smith,Disapprove,Disapprove,No,Neither,No,Yes,Yes,No,Same,Dole,Republican,HS grad,75 to 100K,No,Moderate,18 to 64,Yes,State,Complete,Olympic Mountains,45 to 59,40 to 49,Republican,40 to 49,0.975,Social Security,Unfavorable,Exit poll
48.0,5.0,17.0,Second call,30-39,White,Female,Smith,Disapprove,Approve,Yes,Neither,Yes,Yes,Yes,Yes,Worse,Dole,Democrat,College grad,100K or more,Yes,Conservative,18 to 64,Yes,State,Complete,Olympic Mountains,30 to 44,30 to 39,Democrat,30 to 39,1.105,,Unfavorable,Exit poll
48.0,5.0,18.0,Second call,30-39,White,Female,Smith,Approve,,Yes,Neither,No,Yes,Yes,No,Better,Perot,Independent,Postgrad,30 to 50K,Yes,Moderate,18 to 64,Yes,State,Complete,Olympic Mountains,30 to 44,30 to 39,Independent/Other,30 to 39,1.105,,Unfavorable,Exit poll
48.0,5.0,19.0,Second call,25-29,White,Female,Smith,Disapprove,Approve,Yes,Neither,No,Yes,Yes,Yes,Worse,Clinton,Republican,Some college,30 to 50K,Yes,Liberal,18 to 64,Yes,State,Complete,Olympic Mountains,18 to 29,25 to 29,Republican,25 to 29,1.126,Education,Unfavorable,Exit poll
48.0,5.0,20.0,Second call,30-39,White,Male,Smith,Disapprove,Approve,Yes,Oppose Clinton,No,Yes,Yes,Yes,Worse,Perot,Republican,Some college,50 to 75K,Yes,Liberal,18 to 64,Yes,State,Complete,Olympic Mountains,30 to 44,30 to 39,Republican,30 to 39,1.265,Clin/Lwnsky,Unfavorable,Exit poll
