VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,1.0,7.0,1.0,SECOND CALL,75+,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,15-30K,MODERATE,65+,STATE,NORTHCENTRAL,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.52
STATE ONLY,1.0,7.0,2.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,LESS15K,MODERATE,65+,STATE,NORTHCENTRAL,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.52
STATE ONLY,1.0,7.0,3.0,SECOND CALL,60-64,,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,30-50K,LIBERAL,18-64,STATE,NORTHCENTRAL,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,0.52
STATE ONLY,1.0,7.0,4.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,APPROVE,OMITS,GORE,OMITS,CLINTON,SAME,OMITS,DEMOCRAT,,LESS15K,LIBERAL,65+,STATE,NORTHCENTRAL,60+,60+,DEMOCRAT,65+,,,,0.52
STATE ONLY,1.0,7.0,5.0,SECOND CALL,25-29,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,OMITS,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,CONSERV,18-64,STATE,NORTHCENTRAL,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,0.527
STATE ONLY,1.0,7.0,6.0,SECOND CALL,18-24,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,75-100K,MODERATE,18-64,STATE,NORTHCENTRAL,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,,,0.527
STATE ONLY,1.0,7.0,7.0,SECOND CALL,65-74,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,SAME,APP/UNFAV,INDEPEND,OTHERCHRIST,75-100K,CONSERV,65+,STATE,NORTHCENTRAL,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,0.731
STATE ONLY,1.0,7.0,8.0,SECOND CALL,45-49,WHITE,FEMALE,BUSH,OMITS,UNFAVORABLE,BUSH,YES,DOLE,BETTER,OMITS,INDEPEND,PROTESTANT,50-75K,MODERATE,18-64,STATE,NORTHCENTRAL,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.551
STATE ONLY,1.0,7.0,9.0,SECOND CALL,65-74,WHITE,,BUSH,OMITS,OMITS,BUSH,NO,DOLE,SAME,OMITS,REPUBLCN,PROTESTANT,50-75K,MODERATE,65+,STATE,NORTHCENTRAL,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.713
STATE ONLY,1.0,7.0,10.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,APPROVE,UNFAVORABLE,BUSH,YES,DOLE,BETTER,APP/UNFAV,ELSE,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,NORTHCENTRAL,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.551
STATE ONLY,1.0,7.0,11.0,SECOND CALL,65-74,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,65+,STATE,NORTHCENTRAL,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.731
STATE ONLY,1.0,7.0,12.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,PROTESTANT,50-75K,CONSERV,18-64,STATE,NORTHCENTRAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.551
STATE ONLY,1.0,7.0,13.0,SECOND CALL,18-24,WHITE,MALE,GORE,DISAPPR,FAVORABLE,GORE,NO,CLINTON,BETTER,DIS/FAV,DEMOCRAT,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,NORTHCENTRAL,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.395
STATE ONLY,1.0,7.0,14.0,SECOND CALL,45-49,BLACK,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,NONE,15-30K,MODERATE,18-64,STATE,NORTHCENTRAL,45-59,40-49,DEMOCRAT,40-49,NONE,,,0.441
STATE ONLY,1.0,7.0,15.0,SECOND CALL,65-74,WHITE,MALE,GORE,DISAPPR,OMITS,GORE,YES,CLINTON,SAME,OMITS,DEMOCRAT,PROTESTANT,LESS15K,MODERATE,65+,STATE,NORTHCENTRAL,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.532
STATE ONLY,1.0,7.0,16.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,OVER100K,MODERATE,18-64,STATE,NORTHCENTRAL,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.403
STATE ONLY,1.0,7.0,17.0,THIRD CALL,75+,OTHER,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,OTHERCHRIST,50-75K,MODERATE,65+,STATE,NORTHCENTRAL,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.52
STATE ONLY,1.0,7.0,18.0,THIRD CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,INDEPEND,OTHERCHRIST,75-100K,LIBERAL,18-64,STATE,NORTHCENTRAL,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,0.41200000000000003
STATE ONLY,1.0,7.0,19.0,THIRD CALL,30-39,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,CLINTON,WORSE,APP/FAV,DEMOCRAT,OTHERCHRIST,LESS15K,LIBERAL,18-64,STATE,NORTHCENTRAL,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.431
STATE ONLY,1.0,7.0,20.0,THIRD CALL,25-29,OTHER,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,SAME,APP/UNFAV,INDEPEND,NONE,15-30K,LIBERAL,18-64,STATE,NORTHCENTRAL,18-29,25-29,IND/OTHER,25-29,NONE,,,0.386
STATE ONLY,1.0,7.0,21.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,LESS15K,,65+,STATE,NORTHCENTRAL,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.52
STATE ONLY,1.0,7.0,22.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,OMITS,UNFAVORABLE,BUSH,OMITS,DOLE,BETTER,OMITS,REPUBLCN,OTHERCHRIST,15-30K,MODERATE,18-64,STATE,NORTHCENTRAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.551
STATE ONLY,1.0,7.0,23.0,THIRD CALL,50-59,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,OVER100K,CONSERV,18-64,STATE,NORTHCENTRAL,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.5650000000000001
STATE ONLY,1.0,7.0,24.0,THIRD CALL,60-64,WHITE,MALE,BUSH,OMITS,OMITS,BUSH,OMITS,OMITS,BETTER,OMITS,DEMOCRAT,,30-50K,,18-64,STATE,NORTHCENTRAL,60+,60+,DEMOCRAT,50-64,,,,0.731
STATE ONLY,1.0,7.0,25.0,THIRD CALL,60-64,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,BETTER,DIS/UNFAV,INDEPEND,PROTESTANT,75-100K,CONSERV,18-64,STATE,NORTHCENTRAL,60+,60+,IND/OTHER,50-64,PROT/CHRIST,,,0.731
STATE ONLY,1.0,7.0,26.0,THIRD CALL,50-59,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,YES,NOVOTE,WORSE,APP/UNFAV,REPUBLCN,PROTESTANT,OVER100K,MODERATE,18-64,STATE,NORTHCENTRAL,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.5650000000000001
STATE ONLY,1.0,7.0,27.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,YES,DOLE,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,NORTHCENTRAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.551
STATE ONLY,1.0,7.0,28.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,BETTER,DIS/UNFAV,REPUBLCN,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,NORTHCENTRAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.551
STATE ONLY,1.0,7.0,29.0,THIRD CALL,60-64,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,CLINTON,SAME,APP/UNFAV,INDEPEND,PROTESTANT,,MODERATE,18-64,STATE,NORTHCENTRAL,60+,60+,IND/OTHER,50-64,PROT/CHRIST,,,0.731
STATE ONLY,1.0,7.0,30.0,THIRD CALL,50-59,WHITE,MALE,BUSH,APPROVE,UNFAVORABLE,BUSH,NO,DOLE,SAME,APP/UNFAV,INDEPEND,PROTESTANT,75-100K,CONSERV,18-64,STATE,NORTHCENTRAL,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.5650000000000001
STATE ONLY,1.0,7.0,31.0,THIRD CALL,75+,WHITE,MALE,BUSH,OMITS,UNFAVORABLE,BUSH,OMITS,DOLE,BETTER,OMITS,REPUBLCN,PROTESTANT,,CONSERV,65+,STATE,NORTHCENTRAL,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.731
STATE ONLY,1.0,7.0,32.0,THIRD CALL,30-39,WHITE,MALE,BUSH,DISAPPR,FAVORABLE,BUSH,NO,NOVOTE,SAME,DIS/FAV,REPUBLCN,PROTESTANT,30-50K,CONSERV,18-64,STATE,NORTHCENTRAL,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.5650000000000001
STATE ONLY,1.0,7.0,33.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,YES,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,PROTESTANT,OVER100K,MODERATE,18-64,STATE,NORTHCENTRAL,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.403
STATE ONLY,1.0,7.0,34.0,THIRD CALL,50-59,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,15-30K,LIBERAL,18-64,STATE,NORTHCENTRAL,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.41200000000000003
