VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,TIME,CLINTON,BCPERSON,XWAY2000,ISSUE,QUAL,RELRIGHT,X6VOTE,FINSIT,JOBPERS,BCRUN,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,4.0,1.0,1.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MEDICARE/RX,HONEST,YES,OTHER,SAME,DIS/UNFAV,NO,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,LESS15K,CONSERV,18-64,STATE,COMPLETE,EAST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.5760000000000001
STATE ONLY,4.0,1.0,2.0,FIRST CALL,75+,BLACK,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,HEALTHCARE,HONEST,YES,CLINTON,WORSE,APP/FAV,YES,DEMOCRAT,NOHS,PROTESTANT,LESS15K,CONSERV,65+,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.41600000000000004
STATE ONLY,4.0,1.0,3.0,FIRST CALL,40-44,BLACK,MALE,GORE,BEFORE,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,EXPERIENCE,NO,NOVOTE,BETTER,APP/UNFAV,YES,DEMOCRAT,COLGRAD,PROTESTANT,30-50K,LIBERAL,18-64,STATE,COMPLETE,EAST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.35100000000000003
STATE ONLY,4.0,1.0,4.0,FIRST CALL,30-39,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,EDUCATION,STRONGLEADER,NO,NOVOTE,SAME,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,JEWISH,15-30K,MODERATE,18-64,STATE,COMPLETE,EAST,30-44,30-39,REPUBLICAN,30-39,JEWISH,,,0.653
STATE ONLY,4.0,1.0,5.0,FIRST CALL,50-59,BLACK,MALE,GORE,LASTWEEK,APPROVE,FAVORABLE,GORE,OMITS,OMITS,OMITS,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,,50-75K,CONSERV,18-64,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,,,,0.35100000000000003
STATE ONLY,4.0,1.0,6.0,FIRST CALL,30-39,BLACK,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,SOCIALSECUR,EXPERIENCE,OMITS,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,50-75K,LIBERAL,18-64,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.309
STATE ONLY,4.0,1.0,7.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,BEFORE,OMITS,OMITS,OMITS,MEDICARE/RX,HONEST,YES,OMITS,OMITS,,OMITS,,,,,,18-64,STATE,NOTCOMPLETE,EAST,45-59,50-59,,50-64,,,,0.309
STATE ONLY,4.0,1.0,8.0,FIRST CALL,75+,BLACK,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,MEDICARE/RX,EXPERIENCE,NO,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,COLGRAD,PROTESTANT,30-50K,MODERATE,65+,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.41600000000000004
STATE ONLY,4.0,1.0,9.0,FIRST CALL,65-74,BLACK,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,CARES,YES,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,PROTESTANT,LESS15K,LIBERAL,65+,STATE,COMPLETE,EAST,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.41600000000000004
STATE ONLY,4.0,1.0,10.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,EDUCATION,STRONGLEADER,OMITS,CLINTON,SAME,APP/FAV,OMITS,DEMOCRAT,,,,,18-64,STATE,COMPLETE,EAST,45-59,50-59,DEMOCRAT,50-64,,,,0.309
STATE ONLY,4.0,1.0,11.0,FIRST CALL,30-39,BLACK,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,GOODJUDGMENT,YES,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,HSGRAD,OTHERCHRIST,15-30K,LIBERAL,18-64,STATE,COMPLETE,EAST,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.309
STATE ONLY,4.0,1.0,12.0,FIRST CALL,40-44,BLACK,MALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,ECON/JOBS,STRONGLEADER,YES,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,POSTGRAD,OTHERCHRIST,75-100K,CONSERV,18-64,STATE,COMPLETE,EAST,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.35100000000000003
