VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,GOVTDO,ISSUE,X6VOTE,FINSIT,JOBPERS,MIGRATAZ,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,MEXICAN,QRACE,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,3.0,3.0,1.0,FIRST CALL,50-59,WHITE,MALE,BUSH,KYL,APPROVE,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,DOLE,SAME,APP/UNFAV,YES,INDEPEND,HSGRAD,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,DESERT,45-59,50-59,IND/OTHER,50-64,NO,WHITE,PROT/CHRIST,,,0.792
STATE ONLY,3.0,3.0,2.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,DOLE,SAME,DIS/UNFAV,NO,INDEPEND,HSGRAD,PROTESTANT,,MODERATE,65+,STATE,COMPLETE,DESERT,60+,60+,IND/OTHER,65+,NO,WHITE,PROT/CHRIST,,,0.9540000000000001
STATE ONLY,3.0,3.0,3.0,FIRST CALL,65-74,WHITE,MALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,DOLE,SAME,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,50-75K,CONSERV,65+,STATE,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,NO,WHITE,PROT/CHRIST,,,0.919
STATE ONLY,3.0,3.0,4.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,HEALTHCARE,DOLE,SAME,DIS/UNFAV,YES,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,CONSERV,65+,STATE,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,NO,WHITE,PROT/CHRIST,,,0.9540000000000001
STATE ONLY,3.0,3.0,5.0,FIRST CALL,65-74,WHITE,MALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,ECON/JOBS,PEROT,SAME,DIS/UNFAV,NO,DEMOCRAT,HSGRAD,PROTESTANT,15-30K,MODERATE,65+,STATE,COMPLETE,DESERT,60+,60+,DEMOCRAT,65+,NO,WHITE,PROT/CHRIST,,,0.919
STATE ONLY,3.0,3.0,6.0,FIRST CALL,45-49,WHITE,FEMALE,NADER,OTHER,APPROVE,FAVORABLE,GORE,LESS,OMITS,CLINTON,BETTER,APP/FAV,NO,INDEPEND,COLGRAD,ELSE,75-100K,LIBERAL,18-64,STATE,COMPLETE,DESERT,45-59,40-49,IND/OTHER,40-49,NO,WHITE,OTHER,,,0.535
STATE ONLY,3.0,3.0,7.0,FIRST CALL,45-49,WHITE,MALE,BUSH,KYL,DISAPPR,UNFAVORABLE,GORE,LESS,ECON/JOBS,PEROT,SAME,DIS/UNFAV,NO,REPUBLCN,COLGRAD,PROTESTANT,OVER100K,CONSERV,18-64,STATE,COMPLETE,DESERT,45-59,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,,,0.792
STATE ONLY,3.0,3.0,8.0,FIRST CALL,75+,WHITE,FEMALE,GORE,KYL,APPROVE,FAVORABLE,GORE,LESS,MEDICARE/RX,CLINTON,SAME,APP/FAV,NO,INDEPEND,,PROTESTANT,LESS15K,MODERATE,65+,STATE,COMPLETE,DESERT,60+,60+,IND/OTHER,65+,NO,WHITE,PROT/CHRIST,,,1.179
STATE ONLY,3.0,3.0,9.0,FIRST CALL,65-74,WHITE,MALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,65+,STATE,COMPLETE,DESERT,60+,60+,REPUBLICAN,65+,NO,WHITE,PROT/CHRIST,,,0.919
STATE ONLY,3.0,3.0,10.0,FIRST CALL,30-39,WHITE,MALE,GORE,KYL,APPROVE,FAVORABLE,GORE,LESS,TAXES,CLINTON,BETTER,APP/FAV,NO,DEMOCRAT,HSGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,DESERT,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,CATHOLIC,,,0.979
STATE ONLY,3.0,3.0,11.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,KYL,DISAPPR,UNFAVORABLE,BUSH,LESS,ECON/JOBS,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,75-100K,CONSERV,18-64,STATE,COMPLETE,DESERT,45-59,40-49,REPUBLICAN,40-49,NO,WHITE,CATHOLIC,,,0.8210000000000001
STATE ONLY,3.0,3.0,12.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,KYL,OMITS,OMITS,OMITS,LESS,EDUCATION,OMITS,OMITS,,YES,,,,,,18-64,STATE,NOTCOMPLETE,DESERT,30-44,40-49,,40-49,NO,WHITE,,,,0.8210000000000001
