VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,LOGO,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,HISPANIC,QRACE,REL5,WEIGHT
STATE ONLY,9.0,2.0,2.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,,LIBERAL,18-64,,STATE,NESESW,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,PROT/CHRIST,1.101
STATE ONLY,9.0,2.0,3.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,SAME,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,,LIBERAL,18-64,,STATE,NESESW,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,PROT/CHRIST,1.101
STATE ONLY,9.0,2.0,4.0,FIRST CALL,30-39,WHITE,MALE,NADER,APPROVE,OMITS,GORE,CLINTON,OMITS,OMITS,DEMOCRAT,,,,LIBERAL,18-64,,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,,WHITE,,1.059
STATE ONLY,9.0,2.0,5.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,NONE,15-30K,LIBERAL,18-64,,STATE,NESESW,45-59,50-59,IND/OTHER,50-64,NO,WHITE,NONE,1.033
STATE ONLY,9.0,2.0,6.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,OVER100K,LIBERAL,18-64,,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,CATHOLIC,1.033
STATE ONLY,9.0,2.0,7.0,FIRST CALL,45-49,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,DOLE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,OVER100K,MODERATE,18-64,,STATE,NESESW,45-59,40-49,REPUBLICAN,40-49,NO,WHITE,PROT/CHRIST,0.922
STATE ONLY,9.0,2.0,8.0,FIRST CALL,40-44,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,CATHOLIC,75-100K,MODERATE,18-64,,STATE,NESESW,30-44,40-49,DEMOCRAT,40-49,NO,WHITE,CATHOLIC,0.962
STATE ONLY,9.0,2.0,9.0,FIRST CALL,30-39,WHITE,MALE,NADER,APPROVE,UNFAVORABLE,GORE,CLINTON,BETTER,APP/UNFAV,INDEPEND,COLGRAD,PROTESTANT,OVER100K,LIBERAL,18-64,,STATE,NESESW,30-44,30-39,IND/OTHER,30-39,NO,WHITE,PROT/CHRIST,1.059
STATE ONLY,9.0,2.0,10.0,FIRST CALL,25-29,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,OTHER,SAME,APP/UNFAV,DEMOCRAT,POSTGRAD,CATHOLIC,30-50K,LIBERAL,18-64,,STATE,NESESW,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,CATHOLIC,1.027
STATE ONLY,9.0,2.0,11.0,FIRST CALL,30-39,WHITE,MALE,BUSH,APPROVE,FAVORABLE,BUSH,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,30-50K,MODERATE,18-64,,STATE,NESESW,30-44,30-39,DEMOCRAT,30-39,NO,WHITE,CATHOLIC,0.922
STATE ONLY,9.0,2.0,12.0,FIRST CALL,25-29,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,JEWISH,75-100K,LIBERAL,18-64,,STATE,NESESW,18-29,25-29,DEMOCRAT,25-29,NO,WHITE,JEWISH,1.027
STATE ONLY,9.0,2.0,13.0,FIRST CALL,60-64,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,JEWISH,OVER100K,MODERATE,18-64,,STATE,NESESW,60+,60+,DEMOCRAT,50-64,NO,WHITE,JEWISH,1.309
