VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,TIME,CLINTON,BCPERSON,XWAY2000,GOVTDO,CUBAN3,SIZEPLC3,ISSUE,QUAL,X6VOTE,ENVIRON,UNFAIR,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,QRACE,REL5,PRESKNOW,JEBBUSH,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,10.0,1.0,1.0,FIRST CALL,45-49,WHITE,MALE,BUSH,MCCOLLUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,SUBURBS,ECON/JOBS,HONEST,DOLE,PROGRWTH,GOREDID,SAME,DIS/UNFAV,YES,REPUBLCN,SUBURBS,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,OVER100K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH,45-59,40-49,REPUBLICAN,40-49,WHITE,PROT/CHRIST,ONLYBUSH,FAVORABLE,ONLYGORE,PERSONALQUAL,,,1.693
STATE ONLY,10.0,1.0,2.0,FIRST CALL,30-39,WHITE,MALE,BUSH,MCCOLLUM,BEFORE,APPROVE,UNFAVORABLE,BUSH,LESS,NO,SUBURBS,ECON/JOBS,STRONGLEADER,DOLE,PROGRWTH,GOREDID,BETTER,APP/UNFAV,YES,INDEPEND,SUBURBS,COLGRAD,OTHERCHRIST,ONCEAWEEK,75-100K,YES,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH,30-44,30-39,IND/OTHER,30-39,WHITE,PROT/CHRIST,BOTH,FAVORABLE,ONLYGORE,PERSONALQUAL,,,1.693
STATE ONLY,10.0,1.0,3.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,NELSON,BEFORE,APPROVE,FAVORABLE,GORE,MORE,NO,SUBURBS,ECON/JOBS,STRONGLEADER,CLINTON,OMITS,NEITHERDID,BETTER,APP/FAV,YES,DEMOCRAT,SUBURBS,COLGRAD,NONE,NEVER,50-75K,NO,NO,LIBERAL,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH,30-44,30-39,DEMOCRAT,30-39,WHITE,NONE,ONLYGORE,UNFAVORABLE,ONLYBUSH,PERSONALQUAL,,,1.726
STATE ONLY,10.0,1.0,4.0,FIRST CALL,50-59,WHITE,MALE,,NELSON,BEFORE,APPROVE,UNFAVORABLE,OMITS,MORE,,SUBURBS,HEALTHCARE,COMPLEXISSUE,CLINTON,PROENVIR,BUSHDID,BETTER,APP/UNFAV,YES,DEMOCRAT,SUBURBS,POSTGRAD,PROTESTANT,MORETHAN1AWK,50-75K,YES,NO,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH,45-59,50-59,DEMOCRAT,50-64,WHITE,PROT/CHRIST,BOTH,UNFAVORABLE,BOTH,ISSUES,,,1.693
STATE ONLY,10.0,1.0,5.0,FIRST CALL,45-49,BLACK,FEMALE,GORE,NELSON,BEFORE,OMITS,OMITS,OMITS,LESS,NO,SUBURBS,WORLDAFFAIRS,COMPLEXISSUE,CLINTON,PROGRWTH,BOTHDID,BETTER,OMITS,YES,,SUBURBS,,,OMITS,,YES,NO,,18-64,OMITS,STATE,COMPLETE,NORTH,45-59,40-49,,40-49,BLACK,,ONLYGORE,UNFAVORABLE,BOTH,PERSONALQUAL,,,1.691
STATE ONLY,10.0,1.0,6.0,FIRST CALL,30-39,OTHER,MALE,BUSH,MCCOLLUM,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,SUBURBS,TAXES,GOODJUDGMENT,DOLE,PROGRWTH,NEITHERDID,BETTER,DIS/UNFAV,YES,INDEPEND,SUBURBS,COLGRAD,PROTESTANT,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH,30-44,30-39,IND/OTHER,30-39,OTHER,PROT/CHRIST,BOTH,FAVORABLE,ONLYGORE,PERSONALQUAL,,,1.693
STATE ONLY,10.0,1.0,7.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,MCCOLLUM,LAST.3DAYS,DISAPPR,UNFAVORABLE,BUSH,MORE,NO,SUBURBS,SOCIALSECUR,GOODJUDGMENT,DOLE,PROGRWTH,GOREDID,BETTER,DIS/UNFAV,NO,REPUBLCN,SUBURBS,HSGRAD,PROTESTANT,ONCEAWEEK,15-30K,YES,NO,MODERATE,65+,SOCIALSECURI,STATE,COMPLETE,NORTH,60+,60+,REPUBLICAN,65+,WHITE,PROT/CHRIST,ONLYBUSH,FAVORABLE,ONLYGORE,PERSONALQUAL,,,2.138
STATE ONLY,10.0,1.0,8.0,FIRST CALL,30-39,WHITE,MALE,BUSH,MCCOLLUM,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,SUBURBS,ECON/JOBS,HONEST,DOLE,PROENVIR,GOREDID,BETTER,DIS/UNFAV,YES,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,ONCEAWEEK,50-75K,YES,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH,30-44,30-39,REPUBLICAN,30-39,WHITE,PROT/CHRIST,ONLYBUSH,FAVORABLE,ONLYGORE,PERSONALQUAL,,,1.693
STATE ONLY,10.0,1.0,9.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,NELSON,BEFORE,DISAPPR,UNFAVORABLE,BUSH,LESS,NO,SUBURBS,ECON/JOBS,HONEST,PEROT,PROENVIR,GOREDID,SAME,DIS/UNFAV,YES,DEMOCRAT,SUBURBS,COLGRAD,OTHERCHRIST,AFEWAYEAR,50-75K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH,30-44,40-49,DEMOCRAT,40-49,WHITE,PROT/CHRIST,BOTH,FAVORABLE,ONLYGORE,ISSUES,,,1.668
STATE ONLY,10.0,1.0,10.0,FIRST CALL,30-39,WHITE,MALE,BUSH,MCCOLLUM,LAST.MONTH,APPROVE,UNFAVORABLE,BUSH,LESS,NO,SUBURBS,WORLDAFFAIRS,GOODJUDGMENT,NOVOTE,PROENVIR,GOREDID,SAME,APP/UNFAV,YES,REPUBLCN,SUBURBS,COLGRAD,PROTESTANT,MORETHAN1AWK,30-50K,YES,YES,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH,30-44,30-39,REPUBLICAN,30-39,WHITE,PROT/CHRIST,BOTH,FAVORABLE,BOTH,PERSONALQUAL,,,1.693
