VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,TIME,CLINTON,BCPERSON,XWAY2000,ISSUE,QUAL,RELRIGHT,X6VOTE,UNFAIR,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,16.0,5.0,1.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,LAST.3DAYS,APPROVE,FAVORABLE,GORE,EDUCATION,GOODJUDGMENT,NO,CLINTON,BOTHDID,BETTER,APP/FAV,INDEPEND,HSGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,CENTRAL,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.686
STATE ONLY,16.0,5.0,2.0,FIRST CALL,75+,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,SOCIALSECUR,HONEST,OMITS,CLINTON,BUSHDID,BETTER,APP/FAV,DEMOCRAT,HSGRAD,NONE,30-50K,MODERATE,65+,STATE,COMPLETE,CENTRAL,60+,60+,DEMOCRAT,65+,NONE,,,0.8220000000000001
STATE ONLY,16.0,5.0,3.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,STRONGLEADER,YES,CLINTON,BOTHDID,WORSE,DIS/UNFAV,INDEPEND,,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,CENTRAL,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.6980000000000001
STATE ONLY,16.0,5.0,4.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,COMPLEXISSUE,NO,OMITS,NEITHERDID,SAME,DIS/UNFAV,INDEPEND,POSTGRAD,PROTESTANT,15-30K,CONSERV,65+,STATE,COMPLETE,CENTRAL,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,0.838
STATE ONLY,16.0,5.0,5.0,FIRST CALL,65-74,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,HEALTHCARE,HONEST,YES,DOLE,GOREDID,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,30-50K,CONSERV,65+,STATE,COMPLETE,CENTRAL,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.867
STATE ONLY,16.0,5.0,6.0,FIRST CALL,75+,WHITE,FEMALE,GORE,BEFORE,APPROVE,FAVORABLE,GORE,WORLDAFFAIRS,HONEST,YES,CLINTON,NEITHERDID,BETTER,APP/FAV,DEMOCRAT,NOHS,CATHOLIC,50-75K,MODERATE,65+,STATE,COMPLETE,CENTRAL,60+,60+,DEMOCRAT,65+,CATHOLIC,,,0.8220000000000001
STATE ONLY,16.0,5.0,7.0,FIRST CALL,30-39,WHITE,MALE,BUSH,LAST.3DAYS,DISAPPR,OMITS,BUSH,ECON/JOBS,CARES,NO,NOVOTE,OMITS,SAME,OMITS,INDEPEND,COLGRAD,NONE,15-30K,MODERATE,18-64,STATE,COMPLETE,CENTRAL,30-44,30-39,IND/OTHER,30-39,NONE,,,0.724
STATE ONLY,16.0,5.0,8.0,FIRST CALL,40-44,WHITE,MALE,GORE,LASTWEEK,APPROVE,FAVORABLE,GORE,TAXES,COMPLEXISSUE,NO,CLINTON,NEITHERDID,SAME,APP/FAV,DEMOCRAT,HSGRAD,,30-50K,MODERATE,18-64,STATE,COMPLETE,CENTRAL,30-44,40-49,DEMOCRAT,40-49,,,,0.71
STATE ONLY,16.0,5.0,9.0,FIRST CALL,75+,WHITE,MALE,BUSH,BEFORE,DISAPPR,UNFAVORABLE,BUSH,TAXES,HONEST,YES,DOLE,GOREDID,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,15-30K,CONSERV,65+,STATE,COMPLETE,CENTRAL,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.867
STATE ONLY,16.0,5.0,10.0,FIRST CALL,50-59,WHITE,MALE,GORE,LASTWEEK,APPROVE,UNFAVORABLE,GORE,HEALTHCARE,GOODJUDGMENT,NO,DOLE,BUSHDID,WORSE,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CENTRAL,45-59,50-59,DEMOCRAT,50-64,CATHOLIC,,,0.71
