VERSION,STATEID,PRECINCT,SEQ,CALL,WGT,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,XWAY2000,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,EVOLCREA,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,17.0,10.0,1.0,FIRST CALL,1653.0,65-74,BLACK,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,LESS15K,LIBERAL,65+,CREATIONISM,STATE,WICHITA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,1.653
STATE ONLY,17.0,10.0,2.0,FIRST CALL,1256.0,40-44,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,OTHERCHRIST,75-100K,MODERATE,18-64,EVOLUTION,STATE,WICHITA,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.256
STATE ONLY,17.0,10.0,3.0,FIRST CALL,1874.0,50-59,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,INDEPEND,NONE,50-75K,MODERATE,18-64,EVOLUTION,STATE,WICHITA,45-59,50-59,IND/OTHER,50-64,NONE,,,1.874
STATE ONLY,17.0,10.0,4.0,FIRST CALL,1256.0,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,YES,CLINTON,SAME,APP/UNFAV,DEMOCRAT,CATHOLIC,OVER100K,LIBERAL,18-64,BOTH,STATE,WICHITA,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,1.256
STATE ONLY,17.0,10.0,5.0,FIRST CALL,1874.0,50-59,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,CLINTON,BETTER,APP/UNFAV,INDEPEND,PROTESTANT,30-50K,CONSERV,18-64,BOTH,STATE,WICHITA,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,1.874
STATE ONLY,17.0,10.0,6.0,FIRST CALL,2546.0,65-74,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,WOULDNOTVOTE,NO,OMITS,BETTER,APP/UNFAV,DEMOCRAT,CATHOLIC,50-75K,MODERATE,65+,BOTH,STATE,WICHITA,60+,60+,DEMOCRAT,65+,CATHOLIC,,,2.5460000000000003
STATE ONLY,17.0,10.0,7.0,FIRST CALL,3526.0,65-74,WHITE,FEMALE,BUSH,APPROVE,FAVORABLE,BUSH,YES,PEROT,SAME,APP/FAV,REPUBLCN,OTHERCHRIST,15-30K,CONSERV,65+,BOTH,STATE,WICHITA,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,3.5260000000000002
STATE ONLY,17.0,10.0,8.0,FIRST CALL,3526.0,65-74,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,BUSH,NO,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,15-30K,MODERATE,65+,BOTH,STATE,WICHITA,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,3.5260000000000002
STATE ONLY,17.0,10.0,9.0,FIRST CALL,1874.0,50-59,WHITE,MALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,50-75K,CONSERV,18-64,BOTH,STATE,WICHITA,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,1.874
STATE ONLY,17.0,10.0,10.0,FIRST CALL,1256.0,45-49,,FEMALE,GORE,APPROVE,UNFAVORABLE,GORE,NO,PEROT,BETTER,APP/UNFAV,DEMOCRAT,PROTESTANT,30-50K,CONSERV,18-64,BOTH,STATE,WICHITA,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,1.256
STATE ONLY,17.0,10.0,11.0,FIRST CALL,2546.0,75+,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,PROTESTANT,,MODERATE,65+,BOTH,STATE,WICHITA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,2.5460000000000003
STATE ONLY,17.0,10.0,12.0,FIRST CALL,2546.0,65-74,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,GORE,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,15-30K,MODERATE,65+,BOTH,STATE,WICHITA,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,2.5460000000000003
