VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,PROPMA4,GOVTDO,ISSUE,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,LOGO,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
NATIONAL WHITE,22.0,2.0,1.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,,APPROVE,FAVORABLE,GORE,NO,MORE,ECON/JOBS,CLINTON,SAME,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,LIBERAL,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,1.0110000000000001
NATIONAL WHITE,22.0,2.0,2.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,,APPROVE,UNFAVORABLE,GORE,YES,LESS,WORLDAFFAIRS,CLINTON,SAME,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,60+,60+,IND/OTHER,50-64,CATHOLIC,,,0.978
NATIONAL WHITE,22.0,2.0,3.0,FIRST CALL,40-44,WHITE,MALE,GORE,,APPROVE,UNFAVORABLE,GORE,YES,MORE,OMITS,CLINTON,BETTER,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,30-44,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.973
NATIONAL WHITE,22.0,2.0,4.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,WORLDAFFAIRS,DOLE,BETTER,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.903
NATIONAL YELLOW,22.0,2.0,5.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,NO,MORE,TAXES,DOLE,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,30-50K,LIBERAL,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,30-44,40-49,IND/OTHER,40-49,CATHOLIC,TAXES,LIKEABLE,0.903
NATIONAL YELLOW,22.0,2.0,6.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,,APPROVE,UNFAVORABLE,GORE,YES,MORE,SOCIALSECUR,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,CATHOLIC,75-100K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,60+,60+,DEMOCRAT,50-64,CATHOLIC,SOCIALSECUR,EXPERIENCE,0.978
NATIONAL YELLOW,22.0,2.0,7.0,FIRST CALL,50-59,WHITE,MALE,BUSH,,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,OMITS,PEROT,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,OMITS,CARES,0.868
NATIONAL YELLOW,22.0,2.0,8.0,FIRST CALL,65-74,WHITE,MALE,GORE,,APPROVE,UNFAVORABLE,GORE,YES,OMITS,OMITS,CLINTON,SAME,APP/UNFAV,ELSE,COLGRAD,CATHOLIC,50-75K,MODERATE,65+,,NATIONAL,COMPLETE,NO/SOSHORES,60+,60+,IND/OTHER,65+,CATHOLIC,OMITS,GOODJUDGMENT,0.9440000000000001
NATIONAL GREY,22.0,2.0,9.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,,,,,YES,,,,,,REPUBLCN,SOMCOL/ASSOC,,15-30K,CONSERV,65+,,NATIONAL,COMPLETE,NO/SOSHORES,60+,60+,REPUBLICAN,65+,,,,0.873
NATIONAL GREY,22.0,2.0,10.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,,,,,NO,,,,,,DEMOCRAT,POSTGRAD,,75-100K,MODERATE,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,45-59,40-49,DEMOCRAT,40-49,,,,1.0110000000000001
NATIONAL GREY,22.0,2.0,11.0,FIRST CALL,45-49,WHITE,MALE,GORE,,,,,NO,,,,,,DEMOCRAT,POSTGRAD,,75-100K,LIBERAL,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,45-59,40-49,DEMOCRAT,40-49,,,,0.977
NATIONAL GREY,22.0,2.0,12.0,FIRST CALL,40-44,WHITE,MALE,GORE,,,,,YES,,,,,,DEMOCRAT,COLGRAD,,OVER100K,LIBERAL,18-64,,NATIONAL,COMPLETE,NO/SOSHORES,30-44,40-49,DEMOCRAT,40-49,,,,0.973
