VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,PROPME6,GOVTDO,ISSUE,RELRIGHT,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,20.0,1.0,1.0,FIRST CALL,40-44,WHITE,MALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,TAXES,NO,DOLE,SAME,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CD2,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.713
STATE ONLY,20.0,1.0,2.0,SECOND CALL,30-39,WHITE,FEMALE,GORE,LAWRENCE,DISAPPR,UNFAVORABLE,GORE,NO,MORE,WORLDAFFAIRS,NO,CLINTON,SAME,DIS/UNFAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,LESS15K,MODERATE,18-64,STATE,COMPLETE,CD2,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.74
STATE ONLY,20.0,1.0,3.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,OMITS,YES,CLINTON,SAME,DIS/UNFAV,INDEPEND,POSTGRAD,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,CD2,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.635
STATE ONLY,20.0,1.0,4.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,LAWRENCE,APPROVE,FAVORABLE,GORE,NO,MORE,EDUCATION,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,CD2,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.74
STATE ONLY,20.0,1.0,5.0,SECOND CALL,30-39,WHITE,MALE,GORE,LAWRENCE,DISAPPR,FAVORABLE,GORE,NO,MORE,EDUCATION,YES,CLINTON,WORSE,DIS/FAV,DEMOCRAT,HSGRAD,OTHERCHRIST,LESS15K,MODERATE,18-64,STATE,COMPLETE,CD2,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.8310000000000001
STATE ONLY,20.0,1.0,6.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,LAWRENCE,APPROVE,FAVORABLE,GORE,YES,LESS,TAXES,YES,CLINTON,BETTER,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,CD2,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.659
STATE ONLY,20.0,1.0,7.0,SECOND CALL,65-74,WHITE,MALE,GORE,LAWRENCE,APPROVE,FAVORABLE,GORE,NO,LESS,SOCIALSECUR,NO,CLINTON,SAME,APP/FAV,DEMOCRAT,NOHS,CATHOLIC,LESS15K,MODERATE,65+,STATE,COMPLETE,CD2,60+,60+,DEMOCRAT,65+,CATHOLIC,,,1.057
STATE ONLY,20.0,1.0,8.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,LAWRENCE,APPROVE,FAVORABLE,GORE,YES,MORE,HEALTHCARE,YES,CLINTON,BETTER,APP/FAV,ELSE,COLGRAD,CATHOLIC,30-50K,MODERATE,65+,STATE,COMPLETE,CD2,60+,60+,IND/OTHER,65+,CATHOLIC,,,0.837
STATE ONLY,20.0,1.0,9.0,SECOND CALL,30-39,WHITE,MALE,BUSH,SNOWE,APPROVE,FAVORABLE,BUSH,NO,LESS,TAXES,YES,DOLE,SAME,APP/FAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,15-30K,CONSERV,18-64,STATE,COMPLETE,CD2,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.713
STATE ONLY,20.0,1.0,10.0,SECOND CALL,25-29,WHITE,FEMALE,GORE,LAWRENCE,APPROVE,FAVORABLE,GORE,YES,MORE,HEALTHCARE,NO,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,15-30K,LIBERAL,18-64,STATE,COMPLETE,CD2,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,,,0.671
STATE ONLY,20.0,1.0,11.0,SECOND CALL,30-39,WHITE,MALE,GORE,LAWRENCE,APPROVE,FAVORABLE,GORE,YES,LESS,ECON/JOBS,YES,CLINTON,SAME,APP/FAV,INDEPEND,COLGRAD,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,CD2,30-44,30-39,IND/OTHER,30-39,CATHOLIC,,,0.74
STATE ONLY,20.0,1.0,12.0,SECOND CALL,75+,WHITE,MALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,EDUCATION,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,15-30K,MODERATE,65+,STATE,COMPLETE,CD2,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.909
STATE ONLY,20.0,1.0,13.0,SECOND CALL,65-74,WHITE,MALE,GORE,LAWRENCE,DISAPPR,UNFAVORABLE,GORE,YES,LESS,OMITS,NO,CLINTON,SAME,DIS/UNFAV,REPUBLCN,POSTGRAD,JEWISH,30-50K,MODERATE,65+,STATE,COMPLETE,CD2,60+,60+,REPUBLICAN,65+,JEWISH,,,0.9410000000000001
STATE ONLY,20.0,1.0,14.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,SNOWE,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,WORLDAFFAIRS,NO,DOLE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,15-30K,CONSERV,65+,STATE,COMPLETE,CD2,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.719
STATE ONLY,20.0,1.0,15.0,SECOND CALL,25-29,WHITE,MALE,GORE,LAWRENCE,APPROVE,UNFAVORABLE,GORE,YES,MORE,OMITS,NO,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,COLGRAD,OTHERCHRIST,50-75K,LIBERAL,18-64,STATE,COMPLETE,CD2,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,,,0.755
