VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,CLINTON,BCPERSON,XWAY2000,GOVTDO,JEANCARN,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,UNION4,ABORTION,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,PRESKNOW,SAYANY,ISSVQUAL,VNS1,VNS2,GUN,WEIGHT
STATE ONLY,26.0,1.0,1.0,FIRST CALL,40-44,WHITE,MALE,BUSH,ASHCROFT,TALENT,DISAPPR,UNFAVORABLE,BUSH,LESS,ASHCROFT,CITYOVER50K,OMITS,HONEST,NO,PEROT,ME,MOSTILL,BETTER,DIS/UNFAV,YES,REPUBLCN,50-500K,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,50-75K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH/SOEAST,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,BOTH,ONLYGORE,OMITS,,,OPPOSE,1.103
STATE ONLY,26.0,1.0,2.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,CARNAHAN,HOLDEN,DISAPPR,UNFAVORABLE,GORE,MORE,JEANCARNAHAN,CITYOVER50K,MEDICARE/RX,COMPLEXISSUE,NO,CLINTON,NONE,ALWYSLGL,WORSE,DIS/UNFAV,,DEMOCRAT,50-500K,POSTGRAD,PROTESTANT,ONCEAWEEK,30-50K,YES,NO,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOEAST,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,ONLYGORE,BOTH,ISSUES,,,SUPPORT,0.898
STATE ONLY,26.0,1.0,3.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,ASHCROFT,TALENT,APPROVE,UNFAVORABLE,BUSH,OMITS,ASHCROFT,CITYOVER50K,OMITS,OMITS,NO,PEROT,NONE,MOSTLGL,SAME,APP/UNFAV,YES,REPUBLCN,50-500K,COLGRAD,PROTESTANT,AFEWAYEAR,15-30K,NO,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOEAST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,BOTH,ONLYGORE,OMITS,,,OPPOSE,1.086
STATE ONLY,26.0,1.0,4.0,FIRST CALL,65-74,WHITE,MALE,GORE,CARNAHAN,HOLDEN,APPROVE,FAVORABLE,GORE,LESS,JEANCARNAHAN,CITYOVER50K,MEDICARE/RX,GOODJUDGMENT,NO,CLINTON,NONE,ALWYSLGL,BETTER,APP/FAV,NO,INDEPEND,50-500K,POSTGRAD,PROTESTANT,NEVER,50-75K,YES,NO,CONSERV,65+,REDUCNATDEBT,STATE,COMPLETE,NORTH/SOEAST,60+,60+,IND/OTHER,65+,PROT/CHRIST,ONLYGORE,ONLYBUSH,PERSONALQUAL,,,OPPOSE,1.1480000000000001
STATE ONLY,26.0,1.0,5.0,FIRST CALL,30-39,WHITE,MALE,BUSH,ASHCROFT,TALENT,DISAPPR,UNFAVORABLE,BUSH,LESS,ASHCROFT,CITYOVER50K,OMITS,HONEST,YES,DOLE,NONE,MOSTILL,SAME,DIS/UNFAV,YES,REPUBLCN,50-500K,POSTGRAD,PROTESTANT,MORETHAN1AWK,30-50K,YES,YES,CONSERV,18-64,OMITS,STATE,COMPLETE,NORTH/SOEAST,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,BOTH,ONLYGORE,PERSONALQUAL,,,OPPOSE,1.103
STATE ONLY,26.0,1.0,6.0,FIRST CALL,30-39,WHITE,MALE,GORE,CARNAHAN,HOLDEN,APPROVE,FAVORABLE,GORE,MORE,JEANCARNAHAN,CITYOVER50K,ECON/JOBS,CARES,NO,CLINTON,NONE,ALWYSLGL,BETTER,APP/FAV,YES,DEMOCRAT,50-500K,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,50-75K,YES,YES,MODERATE,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH/SOEAST,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,ONLYGORE,NEITHER,ISSUES,,,SUPPORT,0.912
STATE ONLY,26.0,1.0,7.0,FIRST CALL,40-44,HISP,MALE,BUSH,ASHCROFT,TALENT,DISAPPR,UNFAVORABLE,BUSH,LESS,ASHCROFT,CITYOVER50K,OMITS,STRONGLEADER,NO,DOLE,NONE,MOSTILL,BETTER,DIS/UNFAV,YES,INDEPEND,50-500K,SOMCOL/ASSOC,,ONCEAWEEK,50-75K,YES,NO,,18-64,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOEAST,30-44,40-49,IND/OTHER,40-49,,OMITS,ONLYGORE,OMITS,,,OPPOSE,1.565
STATE ONLY,26.0,1.0,8.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,ASHCROFT,TALENT,DISAPPR,UNFAVORABLE,BUSH,LESS,ASHCROFT,CITYOVER50K,OMITS,EXPERIENCE,YES,DOLE,SOMEONEELSE,ALWYSILL,BETTER,DIS/UNFAV,NO,REPUBLCN,50-500K,SOMCOL/ASSOC,PROTESTANT,MORETHAN1AWK,50-75K,YES,NO,CONSERV,18-64,REDUCNATDEBT,STATE,COMPLETE,NORTH/SOEAST,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,OPPOSE,1.366
STATE ONLY,26.0,1.0,9.0,FIRST CALL,65-74,WHITE,MALE,BUSH,ASHCROFT,TALENT,DISAPPR,UNFAVORABLE,BUSH,LESS,ASHCROFT,CITYOVER50K,MEDICARE/RX,HONEST,NO,DOLE,NONE,ALWYSILL,SAME,DIS/UNFAV,NO,REPUBLCN,50-500K,COLGRAD,CATHOLIC,MORETHAN1AWK,50-75K,YES,NO,MODERATE,65+,CUTFEDINCTAX,STATE,COMPLETE,NORTH/SOEAST,60+,60+,REPUBLICAN,65+,CATHOLIC,ONLYBUSH,ONLYGORE,PERSONALQUAL,,,SUPPORT,1.387
STATE ONLY,26.0,1.0,10.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,CARNAHAN,HOLDEN,APPROVE,FAVORABLE,GORE,MORE,JEANCARNAHAN,CITYOVER50K,EDUCATION,EXPERIENCE,NO,NOVOTE,SOMEONEELSE,MOSTLGL,BETTER,APP/FAV,YES,DEMOCRAT,50-500K,SOMCOL/ASSOC,OTHERCHRIST,ONCEAWEEK,30-50K,YES,YES,LIBERAL,18-64,SOCIALSECURI,STATE,COMPLETE,NORTH/SOEAST,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,BOTH,BOTH,PERSONALQUAL,,,SUPPORT,0.988
