VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,GOV,CLINTON,BCPERSON,XWAY2000,GOVTDO,ISSUE,RELRIGHT,X6VOTE,FINSIT,JOBPERS,MIGRATNC,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,UNFAIRNC,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
NATIONAL WHITE,34.0,3.0,1.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,EASLEY,DISAPPR,UNFAVORABLE,BUSH,LESS,ECON/JOBS,NO,NOVOTE,WORSE,DIS/UNFAV,,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.449
NATIONAL WHITE,34.0,3.0,2.0,FIRST CALL,50-59,WHITE,MALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,NO,DOLE,SAME,DIS/UNFAV,,INDEPEND,SOMCOL/ASSOC,PROTESTANT,15-30K,CONSERV,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.524
NATIONAL WHITE,34.0,3.0,3.0,FIRST CALL,45-49,WHITE,MALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,MORE,WORLDAFFAIRS,YES,OTHER,SAME,DIS/UNFAV,,INDEPEND,SOMCOL/ASSOC,PROTESTANT,30-50K,LIBERAL,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.524
NATIONAL WHITE,34.0,3.0,4.0,FIRST CALL,45-49,WHITE,MALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,SOCIALSECUR,NO,CLINTON,BETTER,APP/FAV,,DEMOCRAT,HSGRAD,NONE,15-30K,CONSERV,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,45-59,40-49,DEMOCRAT,40-49,NONE,,,0.47000000000000003
NATIONAL YELLOW,34.0,3.0,5.0,FIRST CALL,45-49,WHITE,MALE,GORE,EASLEY,APPROVE,FAVORABLE,GORE,MORE,EDUCATION,NO,CLINTON,SAME,APP/FAV,,DEMOCRAT,POSTGRAD,PROTESTANT,75-100K,LIBERAL,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,EDUCATION,CARES,0.47000000000000003
NATIONAL YELLOW,34.0,3.0,6.0,FIRST CALL,18-24,WHITE,MALE,OTHER,VINROOT,DISAPPR,FAVORABLE,OMITS,MORE,SOCIALSECUR,NO,CLINTON,BETTER,DIS/FAV,,,,CATHOLIC,,,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,18-29,18-24,,18-24,CATHOLIC,SOCIALSECUR,STRONGLEADER,0.622
NATIONAL YELLOW,34.0,3.0,7.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,SOCIALSECUR,YES,DOLE,SAME,DIS/UNFAV,,REPUBLCN,NOHS,PROTESTANT,LESS15K,CONSERV,65+,,NATIONAL,COMPLETE,MOUNTAINWEST,60+,60+,REPUBLICAN,65+,PROT/CHRIST,SOCIALSECUR,STRONGLEADER,0.512
NATIONAL YELLOW,34.0,3.0,8.0,FIRST CALL,50-59,WHITE,MALE,BUSH,VINROOT,DISAPPR,UNFAVORABLE,BUSH,LESS,TAXES,NO,DOLE,SAME,DIS/UNFAV,,REPUBLCN,COLGRAD,PROTESTANT,75-100K,CONSERV,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,TAXES,STRONGLEADER,0.524
NATIONAL GREY,34.0,3.0,9.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,EASLEY,,,,,,,,,,,DEMOCRAT,SOMCOL/ASSOC,,LESS15K,LIBERAL,65+,,NATIONAL,COMPLETE,MOUNTAINWEST,60+,60+,DEMOCRAT,65+,,,,0.46
NATIONAL GREY,34.0,3.0,10.0,FIRST CALL,50-59,WHITE,MALE,BUSH,EASLEY,,,,,,,,,,,INDEPEND,SOMCOL/ASSOC,,30-50K,MODERATE,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,45-59,50-59,IND/OTHER,50-64,,,,0.516
NATIONAL GREY,34.0,3.0,11.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,VINROOT,,,,,,,,,,,DEMOCRAT,HSGRAD,,15-30K,LIBERAL,18-64,,NATIONAL,COMPLETE,MOUNTAINWEST,30-44,30-39,DEMOCRAT,30-39,,,,0.456
