VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,CLINTON,BCPERSON,HOU,XWAY2000,ISSUE,X6VOTE,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,35.0,11.0,1.0,FIRST CALL,60-64,WHITE,MALE,BUSH,SAND,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,MEDICARE/RX,DOLE,SAME,DIS/UNFAV,REPUBLCN,POSTGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,SOUTH,60+,60+,REPUBLICAN,50-64,CATHOLIC,,,0.731
STATE ONLY,35.0,11.0,2.0,FIRST CALL,40-44,BLACK,MALE,BUSH,SAND,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,SOCIALSECUR,DOLE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,SOUTH,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.587
STATE ONLY,35.0,11.0,3.0,FIRST CALL,45-49,WHITE,MALE,GORE,CONRAD,HEITKAMP,DISAPPR,UNFAVORABLE,POMEROY,GORE,WORLDAFFAIRS,DOLE,WORSE,DIS/UNFAV,INDEPEND,COLGRAD,PROTESTANT,OVER100K,MODERATE,18-64,STATE,COMPLETE,SOUTH,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.895
STATE ONLY,35.0,11.0,4.0,FIRST CALL,50-59,WHITE,MALE,BUSH,CONRAD,HOEVEN,DISAPPR,UNFAVORABLE,POMEROY,BUSH,HEALTHCARE,DOLE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,75-100K,CONSERV,18-64,STATE,COMPLETE,SOUTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.767
STATE ONLY,35.0,11.0,5.0,FIRST CALL,40-44,WHITE,MALE,BUSH,SAND,HOEVEN,APPROVE,UNFAVORABLE,DORSO,BUSH,WORLDAFFAIRS,DOLE,SAME,APP/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,SOUTH,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.713
STATE ONLY,35.0,11.0,6.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,SAND,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,EDUCATION,DOLE,WORSE,DIS/UNFAV,REPUBLCN,NOHS,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,SOUTH,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.6980000000000001
STATE ONLY,35.0,11.0,7.0,FIRST CALL,50-59,BLACK,FEMALE,GORE,CONRAD,HEITKAMP,APPROVE,FAVORABLE,POMEROY,GORE,WORLDAFFAIRS,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,OVER100K,LIBERAL,18-64,STATE,COMPLETE,SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.722
STATE ONLY,35.0,11.0,8.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,CONRAD,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,ECON/JOBS,DOLE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,SOUTH,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,0.6940000000000001
STATE ONLY,35.0,11.0,9.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,SAND,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,MEDICARE/RX,DOLE,SAME,DIS/UNFAV,INDEPEND,COLGRAD,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,SOUTH,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,0.6980000000000001
STATE ONLY,35.0,11.0,10.0,FIRST CALL,50-59,WHITE,FEMALE,BUSH,CONRAD,HOEVEN,APPROVE,FAVORABLE,POMEROY,BUSH,ECON/JOBS,CLINTON,WORSE,APP/FAV,DEMOCRAT,COLGRAD,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.752
STATE ONLY,35.0,11.0,11.0,FIRST CALL,30-39,WHITE,MALE,BUSH,SAND,HOEVEN,DISAPPR,UNFAVORABLE,POMEROY,BUSH,SOCIALSECUR,NOVOTE,WORSE,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,CONSERV,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,REPUBLICAN,30-39,PROT/CHRIST,,,0.672
STATE ONLY,35.0,11.0,12.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,SAND,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,WORLDAFFAIRS,DOLE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,30-50K,CONSERV,65+,STATE,COMPLETE,SOUTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.716
STATE ONLY,35.0,11.0,13.0,FIRST CALL,65-74,WHITE,MALE,BUSH,SAND,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,TAXES,DOLE,SAME,DIS/UNFAV,REPUBLCN,POSTGRAD,PROTESTANT,50-75K,CONSERV,65+,STATE,COMPLETE,SOUTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.731
STATE ONLY,35.0,11.0,14.0,FIRST CALL,75+,WHITE,FEMALE,BUSH,SAND,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,SOCIALSECUR,DOLE,SAME,DIS/UNFAV,REPUBLCN,NOHS,CATHOLIC,15-30K,CONSERV,65+,STATE,COMPLETE,SOUTH,60+,60+,REPUBLICAN,65+,CATHOLIC,,,0.716
STATE ONLY,35.0,11.0,15.0,FIRST CALL,65-74,WHITE,MALE,BUSH,SAND,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,EDUCATION,DOLE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,50-75K,MODERATE,65+,STATE,COMPLETE,SOUTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.731
STATE ONLY,35.0,11.0,16.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,CONRAD,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,WORLDAFFAIRS,DOLE,WORSE,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,CONSERV,65+,STATE,COMPLETE,SOUTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.8160000000000001
STATE ONLY,35.0,11.0,17.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,SAND,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,TAXES,DOLE,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,30-50K,CONSERV,65+,STATE,COMPLETE,SOUTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.716
STATE ONLY,35.0,11.0,18.0,FIRST CALL,40-44,WHITE,MALE,BUSH,SAND,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,ECON/JOBS,PEROT,SAME,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,SOUTH,30-44,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.713
STATE ONLY,35.0,11.0,19.0,FIRST CALL,45-49,WHITE,MALE,GORE,CONRAD,HEITKAMP,APPROVE,FAVORABLE,POMEROY,GORE,ECON/JOBS,CLINTON,WORSE,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,SOUTH,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.895
STATE ONLY,35.0,11.0,20.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,CONRAD,HEITKAMP,APPROVE,UNFAVORABLE,POMEROY,GORE,EDUCATION,CLINTON,WORSE,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,SOUTH,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.876
STATE ONLY,35.0,11.0,21.0,SECOND CALL,75+,WHITE,FEMALE,GORE,CONRAD,HEITKAMP,APPROVE,FAVORABLE,POMEROY,GORE,SOCIALSECUR,CLINTON,SAME,APP/FAV,REPUBLCN,HSGRAD,PROTESTANT,30-50K,CONSERV,65+,STATE,COMPLETE,SOUTH,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.899
STATE ONLY,35.0,11.0,22.0,SECOND CALL,25-29,WHITE,MALE,BUSH,CONRAD,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,SOCIALSECUR,CLINTON,BETTER,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,15-30K,CONSERV,18-64,STATE,COMPLETE,SOUTH,18-29,25-29,REPUBLICAN,25-29,PROT/CHRIST,,,0.709
STATE ONLY,35.0,11.0,23.0,SECOND CALL,45-49,WHITE,MALE,BUCHANAN,CONRAD,HOEVEN,DISAPPR,UNFAVORABLE,POMEROY,BUSH,WORLDAFFAIRS,CLINTON,BETTER,DIS/UNFAV,INDEPEND,SOMCOL/ASSOC,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,SOUTH,45-59,40-49,IND/OTHER,40-49,PROT/CHRIST,,,5.065
STATE ONLY,35.0,11.0,24.0,SECOND CALL,50-59,WHITE,MALE,GORE,CONRAD,HEITKAMP,APPROVE,FAVORABLE,POMEROY,GORE,ECON/JOBS,CLINTON,SAME,APP/FAV,INDEPEND,COLGRAD,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,SOUTH,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,,,0.895
STATE ONLY,35.0,11.0,25.0,SECOND CALL,50-59,WHITE,MALE,BUSH,SAND,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,TAXES,DOLE,WORSE,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,75-100K,CONSERV,18-64,STATE,COMPLETE,SOUTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,,,0.713
STATE ONLY,35.0,11.0,26.0,THIRD CALL,18-24,WHITE,MALE,BUSH,CONRAD,HOEVEN,APPROVE,UNFAVORABLE,DORSO,BUSH,SOCIALSECUR,DOLE,BETTER,APP/UNFAV,ELSE,SOMCOL/ASSOC,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,SOUTH,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,0.709
STATE ONLY,35.0,11.0,27.0,THIRD CALL,25-29,WHITE,FEMALE,GORE,CONRAD,HEITKAMP,APPROVE,UNFAVORABLE,POMEROY,GORE,ECON/JOBS,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,POSTGRAD,CATHOLIC,50-75K,LIBERAL,18-64,STATE,COMPLETE,SOUTH,18-29,25-29,DEMOCRAT,25-29,CATHOLIC,,,0.762
STATE ONLY,35.0,11.0,28.0,THIRD CALL,25-29,WHITE,MALE,BUSH,SAND,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,ECON/JOBS,DOLE,SAME,DIS/UNFAV,REPUBLCN,COLGRAD,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,SOUTH,18-29,25-29,REPUBLICAN,25-29,CATHOLIC,,,0.62
STATE ONLY,35.0,11.0,29.0,THIRD CALL,18-24,WHITE,FEMALE,GORE,CONRAD,HEITKAMP,APPROVE,FAVORABLE,POMEROY,GORE,EDUCATION,CLINTON,WORSE,APP/FAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,LESS15K,LIBERAL,18-64,STATE,COMPLETE,SOUTH,18-29,18-24,DEMOCRAT,18-24,PROT/CHRIST,,,0.762
STATE ONLY,35.0,11.0,30.0,THIRD CALL,40-44,WHITE,MALE,BUSH,SAND,HOEVEN,APPROVE,FAVORABLE,DORSO,BUSH,WORLDAFFAIRS,CLINTON,WORSE,APP/FAV,INDEPEND,COLGRAD,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,SOUTH,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,0.713
STATE ONLY,35.0,11.0,31.0,THIRD CALL,30-39,WHITE,MALE,BUSH,SAND,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,ECON/JOBS,PEROT,WORSE,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,0.713
STATE ONLY,35.0,11.0,32.0,THIRD CALL,45-49,WHITE,MALE,BUSH,CONRAD,HEITKAMP,DISAPPR,UNFAVORABLE,POMEROY,BUSH,WORLDAFFAIRS,DOLE,BETTER,DIS/UNFAV,INDEPEND,COLGRAD,CATHOLIC,OVER100K,MODERATE,18-64,STATE,COMPLETE,SOUTH,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,0.768
STATE ONLY,35.0,11.0,33.0,THIRD CALL,30-39,WHITE,MALE,GORE,CONRAD,HEITKAMP,APPROVE,FAVORABLE,POMEROY,GORE,TAXES,CLINTON,BETTER,APP/FAV,DEMOCRAT,COLGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.895
STATE ONLY,35.0,11.0,34.0,THIRD CALL,30-39,WHITE,MALE,BUSH,,HOEVEN,APPROVE,FAVORABLE,,BUSH,ECON/JOBS,NOVOTE,SAME,APP/FAV,REPUBLCN,HSGRAD,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,,,0.774
STATE ONLY,35.0,11.0,35.0,THIRD CALL,60-64,WHITE,MALE,BUSH,SAND,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,HEALTHCARE,DOLE,BETTER,DIS/UNFAV,REPUBLCN,POSTGRAD,CATHOLIC,OVER100K,CONSERV,18-64,STATE,COMPLETE,SOUTH,60+,60+,REPUBLICAN,50-64,CATHOLIC,,,0.731
STATE ONLY,35.0,11.0,36.0,THIRD CALL,45-49,WHITE,FEMALE,BUSH,SAND,HEITKAMP,DISAPPR,UNFAVORABLE,DORSO,BUSH,ECON/JOBS,NOVOTE,WORSE,DIS/UNFAV,REPUBLCN,COLGRAD,PROTESTANT,75-100K,MODERATE,18-64,STATE,COMPLETE,SOUTH,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,,,0.6980000000000001
STATE ONLY,35.0,11.0,37.0,THIRD CALL,45-49,WHITE,MALE,BUSH,SAND,HOEVEN,DISAPPR,UNFAVORABLE,DORSO,BUSH,ECON/JOBS,NOVOTE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,50-75K,LIBERAL,18-64,STATE,COMPLETE,SOUTH,45-59,40-49,REPUBLICAN,40-49,CATHOLIC,,,0.713
STATE ONLY,35.0,11.0,38.0,THIRD CALL,50-59,WHITE,MALE,BUSH,CONRAD,HOEVEN,DISAPPR,UNFAVORABLE,POMEROY,BUSH,TAXES,DOLE,BETTER,DIS/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,SOUTH,45-59,50-59,IND/OTHER,50-64,CATHOLIC,,,0.767
STATE ONLY,35.0,11.0,39.0,THIRD CALL,18-24,WHITE,MALE,GORE,CONRAD,HOEVEN,APPROVE,UNFAVORABLE,DORSO,GORE,SOCIALSECUR,NOVOTE,BETTER,APP/UNFAV,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,50-75K,LIBERAL,18-64,STATE,COMPLETE,SOUTH,18-29,18-24,IND/OTHER,18-24,PROT/CHRIST,,,0.8230000000000001
STATE ONLY,35.0,11.0,40.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,CONRAD,HEITKAMP,APPROVE,FAVORABLE,POMEROY,GORE,MEDICARE/RX,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,PROTESTANT,50-75K,LIBERAL,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,0.876
STATE ONLY,35.0,11.0,41.0,THIRD CALL,30-39,WHITE,FEMALE,GORE,CONRAD,HEITKAMP,APPROVE,FAVORABLE,POMEROY,GORE,EDUCATION,CLINTON,BETTER,APP/FAV,DEMOCRAT,POSTGRAD,CATHOLIC,OVER100K,LIBERAL,18-64,STATE,COMPLETE,SOUTH,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.876
