VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,GOV,CLINTON,BCPERSON,XWAY2000,ISSUE,X6VOTE,FINSIT,JOBPERS,MIGRATNH,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,MCSUPP,STINCTAX,VNS1,VNS2,WEIGHT
STATE ONLY,30.0,4.0,1.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,HEALTHCARE,CLINTON,SAME,APP/FAV,NO,INDEPEND,SOMCOL/ASSOC,PROTESTANT,,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,OMITS,NO,,,0.841
STATE ONLY,30.0,4.0,2.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,OMITS,DOLE,SAME,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,15-30K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,NO,OMITS,,,0.8220000000000001
STATE ONLY,30.0,4.0,3.0,FIRST CALL,30-39,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,OMITS,DOLE,BETTER,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,REPUBLICAN,30-39,CATHOLIC,YES,NO,,,0.8150000000000001
STATE ONLY,30.0,4.0,4.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,WORLDAFFAIRS,CLINTON,SAME,APP/UNFAV,NO,INDEPEND,HSGRAD,CATHOLIC,LESS15K,MODERATE,65+,STATE,COMPLETE,RURALNORTH,60+,60+,IND/OTHER,65+,CATHOLIC,YES,NO,,,0.929
STATE ONLY,30.0,4.0,5.0,FIRST CALL,30-39,WHITE,MALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,ECON/JOBS,PEROT,BETTER,APP/UNFAV,NO,INDEPEND,SOMCOL/ASSOC,NONE,50-75K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,IND/OTHER,30-39,NONE,YES,NO,,,0.834
STATE ONLY,30.0,4.0,6.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,ECON/JOBS,CLINTON,BETTER,APP/FAV,NO,INDEPEND,SOMCOL/ASSOC,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,45-59,40-49,IND/OTHER,40-49,CATHOLIC,OMITS,NO,,,0.841
STATE ONLY,30.0,4.0,7.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,ECON/JOBS,NOVOTE,BETTER,APP/FAV,NO,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,RURALNORTH,18-29,18-24,DEMOCRAT,18-24,CATHOLIC,NO,NO,,,0.8260000000000001
STATE ONLY,30.0,4.0,8.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,MEDICARE/RX,CLINTON,BETTER,APP/UNFAV,NO,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,YES,NO,,,0.841
STATE ONLY,30.0,4.0,9.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,HEALTHCARE,CLINTON,BETTER,APP/UNFAV,NO,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,30-50K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,30-44,40-49,DEMOCRAT,40-49,CATHOLIC,OMITS,NO,,,0.841
STATE ONLY,30.0,4.0,10.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,BETTER,APP/FAV,YES,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,NO,NO,,,0.841
STATE ONLY,30.0,4.0,11.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,TAXES,DOLE,SAME,DIS/UNFAV,YES,INDEPEND,COLGRAD,CATHOLIC,,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,18-29,25-29,IND/OTHER,25-29,CATHOLIC,YES,NO,,,0.807
STATE ONLY,30.0,4.0,12.0,FIRST CALL,65-74,WHITE,MALE,BUSH,HUMPHREY,OMITS,OMITS,OMITS,WORLDAFFAIRS,OMITS,OMITS,,NO,,,,,,65+,STATE,NOTCOMPLETE,RURALNORTH,60+,60+,,65+,,YES,NO,,,0.9
STATE ONLY,30.0,4.0,13.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,OMITS,DOLE,SAME,DIS/UNFAV,NO,INDEPEND,HSGRAD,OTHERCHRIST,,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,IND/OTHER,50-64,PROT/CHRIST,YES,YES,,,0.8220000000000001
STATE ONLY,30.0,4.0,14.0,SECOND CALL,30-39,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,TAXES,DOLE,BETTER,DIS/UNFAV,NO,INDEPEND,SOMCOL/ASSOC,OTHERCHRIST,50-75K,LIBERAL,18-64,STATE,COMPLETE,RURALNORTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,OMITS,NO,,,0.8220000000000001
STATE ONLY,30.0,4.0,15.0,SECOND CALL,18-24,WHITE,MALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,OMITS,CLINTON,BETTER,APP/FAV,NO,DEMOCRAT,NOHS,NONE,LESS15K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,18-29,18-24,DEMOCRAT,18-24,NONE,NO,NO,,,0.8180000000000001
STATE ONLY,30.0,4.0,16.0,SECOND CALL,18-24,WHITE,MALE,GORE,SHAHEEN,APPROVE,UNFAVORABLE,BUSH,EDUCATION,CLINTON,BETTER,APP/UNFAV,NO,REPUBLCN,HSGRAD,NONE,,LIBERAL,18-64,STATE,COMPLETE,RURALNORTH,18-29,18-24,REPUBLICAN,18-24,NONE,NO,NO,,,0.8180000000000001
STATE ONLY,30.0,4.0,17.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,PEROT,SAME,DIS/UNFAV,YES,DEMOCRAT,SOMCOL/ASSOC,CATHOLIC,50-75K,MODERATE,65+,STATE,COMPLETE,RURALNORTH,60+,60+,DEMOCRAT,65+,CATHOLIC,YES,NO,,,0.909
STATE ONLY,30.0,4.0,18.0,SECOND CALL,75+,WHITE,,GORE,SHAHEEN,APPROVE,UNFAVORABLE,GORE,OMITS,CLINTON,WORSE,APP/UNFAV,,INDEPEND,HSGRAD,CATHOLIC,30-50K,MODERATE,65+,STATE,COMPLETE,RURALNORTH,60+,60+,IND/OTHER,65+,CATHOLIC,NO,YES,,,0.929
STATE ONLY,30.0,4.0,19.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,SOCIALSECUR,DOLE,SAME,DIS/UNFAV,NO,INDEPEND,SOMCOL/ASSOC,CATHOLIC,50-75K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,60+,60+,IND/OTHER,50-64,CATHOLIC,OMITS,NO,,,0.909
STATE ONLY,30.0,4.0,20.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,PEROT,SAME,DIS/UNFAV,NO,REPUBLCN,HSGRAD,CATHOLIC,OVER100K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,REPUBLICAN,50-64,CATHOLIC,YES,NO,,,0.8220000000000001
STATE ONLY,30.0,4.0,21.0,SECOND CALL,50-59,WHITE,MALE,BUSH,HUMPHREY,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,DOLE,BETTER,DIS/UNFAV,NO,REPUBLCN,SOMCOL/ASSOC,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,REPUBLICAN,50-64,PROT/CHRIST,YES,NO,,,0.8150000000000001
STATE ONLY,30.0,4.0,22.0,SECOND CALL,50-59,WHITE,FEMALE,GORE,SHAHEEN,APPROVE,OMITS,GORE,MEDICARE/RX,CLINTON,BETTER,OMITS,YES,INDEPEND,HSGRAD,CATHOLIC,,CONSERV,18-64,STATE,COMPLETE,RURALNORTH,45-59,50-59,IND/OTHER,50-64,CATHOLIC,NO,NO,,,0.841
STATE ONLY,30.0,4.0,23.0,THIRD CALL,75+,WHITE,MALE,BUSH,SHAHEEN,APPROVE,FAVORABLE,BUSH,SOCIALSECUR,CLINTON,OMITS,APP/FAV,NO,INDEPEND,HSGRAD,,15-30K,CONSERV,65+,STATE,COMPLETE,RURALNORTH,60+,60+,IND/OTHER,65+,,NO,NO,,,0.912
STATE ONLY,30.0,4.0,24.0,THIRD CALL,60-64,WHITE,MALE,GORE,SHAHEEN,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,WORSE,APP/FAV,NO,INDEPEND,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,RURALNORTH,60+,60+,IND/OTHER,50-64,CATHOLIC,YES,NO,,,0.921
