VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,PROPNV,GOVTDO,SIZEPLC3,ISSUE,QUAL,X6VOTE,UNION4,ABORTION,FINSIT,JOBPERS,WORK,MIGRATNV,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,SURPLUS4,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,HISPANIC,QRACE,REL5,PRESKNOW,NUCLEAR,SAYANY,ISSVQUAL,VNS1,VNS2,WEIGHT
STATE ONLY,29.0,3.0,1.0,FIRST CALL,60-64,WHITE,FEMALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,SMCITY/RURAL,TAXES,HONEST,DOLE,ME,MOSTILL,SAME,DIS/UNFAV,NO,NO,REPUBLCN,RURAL,COLGRAD,PROTESTANT,MORETHAN1AWK,,YES,NO,CONSERV,18-64,SOCIALSECURI,STATE,COMPLETE,RURAL,60+,60+,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,ONLYBUSH,NOTATALL,ONLYGORE,PERSONALQUAL,,,0.497
STATE ONLY,29.0,3.0,2.0,FIRST CALL,18-24,WHITE,MALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,WORLDAFFAIRS,STRONGLEADER,NOVOTE,NONE,MOSTILL,BETTER,DIS/UNFAV,YES,YES,INDEPEND,RURAL,HSGRAD,NONE,NEVER,75-100K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,18-29,18-24,IND/OTHER,18-24,NO,WHITE,NONE,BOTH,VERYIMP,ONLYGORE,ISSUES,,,0.507
STATE ONLY,29.0,3.0,3.0,FIRST CALL,45-49,WHITE,MALE,BUSH,ENSIGN,APPROVE,OMITS,BUSH,YES,MORE,SMCITY/RURAL,ECON/JOBS,OMITS,NOVOTE,NONE,OMITS,SAME,OMITS,YES,NO,ELSE,RURAL,HSGRAD,PROTESTANT,AFEWAYEAR,15-30K,YES,NO,,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,45-59,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,ONLYBUSH,VERYIMP,OMITS,OMITS,,,0.342
STATE ONLY,29.0,3.0,4.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,ENSIGN,APPROVE,FAVORABLE,WOULDNOTVOTE,YES,MORE,SMCITY/RURAL,ECON/JOBS,GOODJUDGMENT,CLINTON,NONE,MOSTLGL,WORSE,APP/FAV,NO,NO,INDEPEND,RURAL,COLGRAD,PROTESTANT,AFEWAYEAR,15-30K,YES,NO,LIBERAL,18-64,REDUCNATDEBT,STATE,COMPLETE,RURAL,45-59,40-49,IND/OTHER,40-49,NO,WHITE,PROT/CHRIST,BOTH,VERYIMP,BOTH,PERSONALQUAL,,,0.431
STATE ONLY,29.0,3.0,5.0,FIRST CALL,25-29,WHITE,MALE,BUSH,ENSIGN,APPROVE,FAVORABLE,BUSH,YES,MORE,SMCITY/RURAL,ECON/JOBS,OMITS,OMITS,NONE,OMITS,BETTER,APP/FAV,YES,NO,REPUBLCN,RURAL,HSGRAD,PROTESTANT,AFEWAYEAR,15-30K,NO,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,18-29,25-29,REPUBLICAN,25-29,NO,WHITE,PROT/CHRIST,OMITS,VERYIMP,BOTH,PERSONALQUAL,,,0.507
STATE ONLY,29.0,3.0,6.0,FIRST CALL,50-59,HISP,MALE,BUSH,BERNSTEIN,DISAPPR,UNFAVORABLE,BUSH,NO,LESS,SMCITY/RURAL,SOCIALSECUR,GOODJUDGMENT,DOLE,ME,MOSTILL,SAME,DIS/UNFAV,YES,NO,INDEPEND,RURAL,SOMCOL/ASSOC,CATHOLIC,ONCEAWEEK,50-75K,YES,NO,MODERATE,18-64,SOCIALSECURI,STATE,COMPLETE,RURAL,45-59,50-59,IND/OTHER,50-64,YES,WHITE,CATHOLIC,ONLYBUSH,VERYIMP,ONLYGORE,PERSONALQUAL,,,0.167
STATE ONLY,29.0,3.0,7.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,ENSIGN,APPROVE,OMITS,BUSH,YES,MORE,SMCITY/RURAL,TAXES,OMITS,NOVOTE,NONE,OMITS,SAME,OMITS,YES,NO,REPUBLCN,RURAL,NOHS,,NEVER,15-30K,YES,NO,,18-64,OMITS,STATE,COMPLETE,RURAL,30-44,30-39,REPUBLICAN,30-39,NO,WHITE,,ONLYBUSH,VERYIMP,ONLYBUSH,OMITS,,,0.431
STATE ONLY,29.0,3.0,8.0,FIRST CALL,18-24,WHITE,MALE,GORE,ENSIGN,APPROVE,UNFAVORABLE,GORE,YES,MORE,SMCITY/RURAL,WORLDAFFAIRS,GOODJUDGMENT,DOLE,ME,ALWYSLGL,SAME,APP/UNFAV,YES,YES,INDEPEND,RURAL,HSGRAD,CATHOLIC,NEVER,50-75K,NO,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,18-29,18-24,IND/OTHER,18-24,NO,WHITE,CATHOLIC,BOTH,VERYIMP,BOTH,PERSONALQUAL,,,0.369
STATE ONLY,29.0,3.0,9.0,FIRST CALL,60-64,WHITE,MALE,BUSH,ENSIGN,DISAPPR,UNFAVORABLE,BUSH,YES,LESS,SMCITY/RURAL,EDUCATION,HONEST,DOLE,ME,OMITS,SAME,DIS/UNFAV,NO,NO,REPUBLCN,RURAL,POSTGRAD,PROTESTANT,MORETHAN1AWK,30-50K,YES,NO,CONSERV,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,60+,60+,REPUBLICAN,50-64,NO,WHITE,PROT/CHRIST,BOTH,NOTTOOIMP,ONLYGORE,ISSUES,,,0.507
STATE ONLY,29.0,3.0,10.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,BERNSTEIN,APPROVE,FAVORABLE,GORE,YES,MORE,SMCITY/RURAL,HEALTHCARE,EXPERIENCE,DOLE,ME,MOSTILL,SAME,APP/FAV,NO,NO,INDEPEND,RURAL,SOMCOL/ASSOC,ELSE,AFEWAYEAR,30-50K,YES,NO,MODERATE,18-64,CUTFEDINCTAX,STATE,COMPLETE,RURAL,45-59,50-59,IND/OTHER,50-64,NO,WHITE,OTHER,ONLYBUSH,VERYIMP,BOTH,PERSONALQUAL,,,0.336
