VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,CLINTON,BCPERSON,HOU,XWAY2000,GOVTDO,SIZEPLC3,ISSUE,QUAL,RELRIGHT,X6VOTE,UNION4,ABORTION,FINSIT,JOBPERS,WORK,PARTYID,SIZEPLAC,EDUC,RELIGION,ATTEND,INCOME,MARRIED,CHILD,PHIL3,OVER65,TELEPOLL,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,HISPANIC,QRACE,REL5,TRACK,PRESKNOW,FTVOTER,SAYANY,ISSVQUAL,VNS1,VNS2,GAY,CLINPRES,NEC,FEC,CLINECON,WEIGHT
STATE ONLY,38.0,1.0,1.0,FIRST CALL,65-74,WHITE,MALE,BUSH,DISAPPR,UNFAVORABLE,,BUSH,LESS,,OMITS,HONEST,NO,DOLE,NONE,MOSTILL,SAME,DIS/UNFAV,NO,INDEPEND,,SOMCOL/ASSOC,PROTESTANT,AFEWAYEAR,30-50K,YES,NO,CONSERV,65+,PHONESVY,STATE,COMPLETE,MULTNOMAH,60+,60+,IND/OTHER,65+,NO,,PROT/CHRIST,WRONGTRACK,ONLYBUSH,NO,ONLYGORE,PERSONALQUAL,,,NO,OPPOSECLIN,GOOD,WORSE,SOMEWHATRESP,1.19
STATE ONLY,38.0,1.0,2.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,,GORE,LESS,,HEALTHCARE,COMPLEXISSUE,NO,CLINTON,NONE,ALWYSLGL,WORSE,APP/FAV,YES,INDEPEND,,SOMCOL/ASSOC,NONE,NEVER,15-30K,NO,NO,LIBERAL,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,45-59,40-49,IND/OTHER,40-49,NO,,NONE,RIGHTDIR,BOTH,NO,BOTH,PERSONALQUAL,,,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,0.987
STATE ONLY,38.0,1.0,3.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,,GORE,MORE,,EDUCATION,HONEST,NO,CLINTON,NONE,ALWYSLGL,BETTER,APP/UNFAV,YES,DEMOCRAT,,POSTGRAD,PROTESTANT,AFEWAYEAR,50-75K,NO,NO,LIBERAL,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,45-59,50-59,DEMOCRAT,50-64,NO,,PROT/CHRIST,RIGHTDIR,ONLYGORE,NO,ONLYBUSH,ISSUES,,,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,0.657
STATE ONLY,38.0,1.0,4.0,FIRST CALL,45-49,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,,GORE,MORE,,ECON/JOBS,GOODJUDGMENT,NO,CLINTON,ME,ALWYSLGL,SAME,APP/UNFAV,YES,DEMOCRAT,,HSGRAD,NONE,NEVER,30-50K,NO,NO,LIBERAL,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,45-59,40-49,DEMOCRAT,40-49,NO,,NONE,RIGHTDIR,ONLYGORE,YES,ONLYBUSH,ISSUES,,,NO,NEITHER,GOOD,BETTER,VERYRESPONSI,0.79
STATE ONLY,38.0,1.0,5.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,,GORE,LESS,,EDUCATION,COMPLEXISSUE,NO,PEROT,ME,MOSTLGL,BETTER,APP/UNFAV,YES,INDEPEND,,COLGRAD,PROTESTANT,ONCEAWEEK,30-50K,YES,NO,MODERATE,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,45-59,50-59,IND/OTHER,50-64,NO,,PROT/CHRIST,WRONGTRACK,BOTH,NO,BOTH,PERSONALQUAL,,,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,0.494
STATE ONLY,38.0,1.0,6.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,,BUSH,LESS,,TAXES,HONEST,NO,DOLE,NONE,MOSTLGL,WORSE,DIS/UNFAV,YES,REPUBLCN,,COLGRAD,CATHOLIC,ONCEAWEEK,OVER100K,YES,YES,MODERATE,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,45-59,40-49,REPUBLICAN,40-49,NO,,CATHOLIC,RIGHTDIR,BOTH,NO,ONLYGORE,PERSONALQUAL,,,NO,OPPOSECLIN,GOOD,SAME,NOTTOORESPON,0.47200000000000003
STATE ONLY,38.0,1.0,7.0,FIRST CALL,30-39,WHITE,MALE,GORE,APPROVE,FAVORABLE,,GORE,LESS,,ECON/JOBS,STRONGLEADER,NO,CLINTON,NONE,ALWYSLGL,BETTER,APP/FAV,YES,ELSE,,POSTGRAD,PROTESTANT,ONCEAWEEK,OVER100K,YES,YES,MODERATE,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,30-44,30-39,IND/OTHER,30-39,NO,,PROT/CHRIST,RIGHTDIR,ONLYGORE,NO,BOTH,PERSONALQUAL,,,NO,NEITHER,GOOD,WORSE,VERYRESPONSI,1.313
STATE ONLY,38.0,1.0,8.0,FIRST CALL,40-44,WHITE,MALE,GORE,APPROVE,FAVORABLE,,GORE,MORE,,EDUCATION,COMPLEXISSUE,NO,CLINTON,NONE,MOSTLGL,SAME,APP/FAV,YES,ELSE,,COLGRAD,NONE,AFEWAYEAR,75-100K,YES,YES,MODERATE,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,30-44,40-49,IND/OTHER,40-49,NO,,NONE,WRONGTRACK,OMITS,NO,BOTH,ISSUES,,,NO,NEITHER,GOOD,BETTER,NOTTOORESPON,1.97
STATE ONLY,38.0,1.0,9.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,,GORE,OMITS,,HEALTHCARE,STRONGLEADER,NO,PEROT,NONE,ALWYSLGL,BETTER,APP/UNFAV,NO,INDEPEND,,POSTGRAD,PROTESTANT,AFEWAYEAR,,YES,NO,MODERATE,65+,PHONESVY,STATE,COMPLETE,MULTNOMAH,60+,60+,IND/OTHER,65+,NO,,PROT/CHRIST,RIGHTDIR,ONLYGORE,NO,ONLYBUSH,ISSUES,,,NO,NEITHER,GOOD,OMITS,SOMEWHATRESP,1.089
STATE ONLY,38.0,1.0,10.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,,GORE,MORE,,OMITS,EXPERIENCE,NO,OTHER,NONE,ALWYSLGL,SAME,APP/UNFAV,YES,DEMOCRAT,,POSTGRAD,NONE,NEVER,75-100K,YES,YES,LIBERAL,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,30-44,30-39,DEMOCRAT,30-39,NO,,NONE,WRONGTRACK,NEITHER,NO,NEITHER,ISSUES,,,NO,NEITHER,GOOD,WORSE,SOMEWHATRESP,1.449
STATE ONLY,38.0,1.0,11.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,OMITS,FAVORABLE,,BUSH,LESS,,HEALTHCARE,EXPERIENCE,YES,NOVOTE,NONE,MOSTILL,BETTER,OMITS,YES,INDEPEND,,HSGRAD,OTHERCHRIST,AFEWAMONTH,50-75K,NO,NO,LIBERAL,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,30-44,40-49,IND/OTHER,40-49,NO,,PROT/CHRIST,WRONGTRACK,BOTH,NO,ONLYGORE,ISSUES,,,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,0.99
STATE ONLY,38.0,1.0,12.0,FIRST CALL,30-39,WHITE,MALE,GORE,OMITS,OMITS,,GORE,MORE,,EDUCATION,HONEST,NO,NOVOTE,NONE,ALWYSLGL,SAME,OMITS,YES,DEMOCRAT,,SOMCOL/ASSOC,NONE,NEVER,50-75K,YES,YES,LIBERAL,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,30-44,30-39,DEMOCRAT,30-39,NO,,NONE,WRONGTRACK,ONLYGORE,NO,BOTH,ISSUES,,,NO,NEITHER,GOOD,BETTER,SOMEWHATRESP,0.871
STATE ONLY,38.0,1.0,13.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,,GORE,MORE,,EDUCATION,EXPERIENCE,NO,CLINTON,NONE,MOSTLGL,BETTER,APP/FAV,NO,DEMOCRAT,,COLGRAD,NONE,NEVER,,YES,YES,MODERATE,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,30-44,30-39,DEMOCRAT,30-39,NO,,NONE,RIGHTDIR,ONLYGORE,NO,BOTH,ISSUES,,,NO,NEITHER,EXCEL,SAME,SOMEWHATRESP,1.449
STATE ONLY,38.0,1.0,14.0,FIRST CALL,65-74,WHITE,FEMALE,BUSH,OMITS,UNFAVORABLE,,BUSH,LESS,,OMITS,STRONGLEADER,YES,DOLE,NONE,MOSTILL,SAME,OMITS,NO,REPUBLCN,,SOMCOL/ASSOC,PROTESTANT,ONCEAWEEK,LESS15K,NO,NO,CONSERV,65+,PHONESVY,STATE,COMPLETE,MULTNOMAH,60+,60+,REPUBLICAN,65+,NO,,PROT/CHRIST,WRONGTRACK,BOTH,NO,ONLYGORE,OMITS,,,NO,NEITHER,GOOD,SAME,NOTTOORESPON,0.52
STATE ONLY,38.0,1.0,15.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,APPROVE,FAVORABLE,,GORE,MORE,,HEALTHCARE,COMPLEXISSUE,NO,CLINTON,ME,ALWYSLGL,BETTER,APP/FAV,YES,DEMOCRAT,,COLGRAD,NONE,NEVER,30-50K,NO,NO,LIBERAL,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,30-44,40-49,DEMOCRAT,40-49,NO,,NONE,RIGHTDIR,ONLYGORE,NO,BOTH,ISSUES,,,NO,SUPPORTCLIN,GOOD,SAME,SOMEWHATRESP,0.725
STATE ONLY,38.0,1.0,16.0,FIRST CALL,25-29,WHITE,MALE,NADER,APPROVE,FAVORABLE,,GORE,LESS,,ECON/JOBS,CARES,NO,DOLE,NONE,MOSTLGL,SAME,APP/FAV,YES,REPUBLCN,,COLGRAD,NONE,NEVER,50-75K,NO,YES,MODERATE,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,18-29,25-29,REPUBLICAN,25-29,NO,,NONE,RIGHTDIR,NEITHER,NO,BOTH,PERSONALQUAL,,,NO,NEITHER,EXCEL,BETTER,NOTATALLRESP,1.172
STATE ONLY,38.0,1.0,17.0,FIRST CALL,65-74,WHITE,MALE,GORE,APPROVE,FAVORABLE,,GORE,MORE,,ECON/JOBS,COMPLEXISSUE,NO,CLINTON,NONE,MOSTLGL,SAME,APP/FAV,NO,DEMOCRAT,,SOMCOL/ASSOC,NONE,NEVER,30-50K,NO,NO,LIBERAL,65+,PHONESVY,STATE,COMPLETE,MULTNOMAH,60+,60+,DEMOCRAT,65+,NO,,NONE,RIGHTDIR,ONLYGORE,NO,NEITHER,ISSUES,,,NO,NEITHER,EXCEL,SAME,VERYRESPONSI,1.742
STATE ONLY,38.0,1.0,18.0,FIRST CALL,60-64,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,,GORE,LESS,,SOCIALSECUR,EXPERIENCE,NO,CLINTON,ME,MOSTILL,WORSE,APP/UNFAV,NO,DEMOCRAT,,SOMCOL/ASSOC,CATHOLIC,MORETHAN1AWK,50-75K,YES,NO,CONSERV,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,60+,60+,DEMOCRAT,50-64,NO,,CATHOLIC,RIGHTDIR,ONLYGORE,NO,BOTH,PERSONALQUAL,,,NO,NEITHER,EXCEL,SAME,SOMEWHATRESP,1.58
STATE ONLY,38.0,1.0,19.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,APPROVE,UNFAVORABLE,,GORE,MORE,,SOCIALSECUR,GOODJUDGMENT,NO,CLINTON,NONE,ALWYSILL,SAME,APP/UNFAV,NO,DEMOCRAT,,COLGRAD,PROTESTANT,ONCEAWEEK,30-50K,NO,NO,MODERATE,65+,PHONESVY,STATE,COMPLETE,MULTNOMAH,60+,60+,DEMOCRAT,65+,NO,,PROT/CHRIST,RIGHTDIR,ONLYGORE,NO,BOTH,ISSUES,,,NO,NEITHER,GOOD,SAME,SOMEWHATRESP,0.724
STATE ONLY,38.0,1.0,20.0,FIRST CALL,30-39,WHITE,MALE,GORE,APPROVE,UNFAVORABLE,,GORE,MORE,,EDUCATION,COMPLEXISSUE,NO,CLINTON,NONE,MOSTLGL,BETTER,APP/UNFAV,YES,INDEPEND,,POSTGRAD,NONE,AFEWAYEAR,30-50K,YES,NO,LIBERAL,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,30-44,30-39,IND/OTHER,30-39,NO,,NONE,RIGHTDIR,ONLYGORE,NO,BOTH,ISSUES,,,NO,NEITHER,GOOD,WORSE,SOMEWHATRESP,1.313
STATE ONLY,38.0,1.0,21.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,,BUSH,LESS,,EDUCATION,HONEST,NO,DOLE,NONE,MOSTILL,SAME,DIS/UNFAV,NO,REPUBLCN,,COLGRAD,PROTESTANT,MORETHAN1AWK,50-75K,YES,YES,CONSERV,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,45-59,40-49,REPUBLICAN,40-49,NO,,PROT/CHRIST,WRONGTRACK,ONLYBUSH,NO,NEITHER,OMITS,,,YES,NEITHER,NOTGOOD,SAME,OMITS,1.417
STATE ONLY,38.0,1.0,22.0,FIRST CALL,30-39,WHITE,FEMALE,BUSH,DISAPPR,UNFAVORABLE,,BUSH,LESS,,SOCIALSECUR,HONEST,NO,PEROT,NONE,MOSTILL,SAME,DIS/UNFAV,YES,REPUBLCN,,COLGRAD,PROTESTANT,AFEWAYEAR,30-50K,NO,NO,CONSERV,18-64,PHONESVY,STATE,COMPLETE,MULTNOMAH,30-44,30-39,REPUBLICAN,30-39,NO,,PROT/CHRIST,RIGHTDIR,ONLYBUSH,NO,BOTH,ISSUES,,,NO,NEITHER,GOOD,SAME,NOTTOORESPON,0.521
