VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,XWAY2000,ISSUE,X6VOTE,UNION4,ABORTION,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,ATTEND,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,WEIGHT
STATE ONLY,40.0,11.0,1.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,CHAFEE,OMITS,OMITS,OMITS,HEALTHCARE,OMITS,NONE,ALWYSLGL,OMITS,,,,,OMITS,,,18-64,STATE,NOTCOMPLETE,SUBURBS,30-44,40-49,,40-49,,0.868
STATE ONLY,40.0,11.0,2.0,FIRST CALL,25-29,WHITE,FEMALE,BUSH,CHAFEE,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,NOVOTE,NONE,ALWYSILL,BETTER,DIS/UNFAV,DEMOCRAT,SOMCOL/ASSOC,OTHERCHRIST,MORETHAN1AWK,50-75K,CONSERV,18-64,STATE,COMPLETE,SUBURBS,18-29,25-29,DEMOCRAT,25-29,PROT/CHRIST,0.837
STATE ONLY,40.0,11.0,3.0,FIRST CALL,30-39,WHITE,MALE,GORE,WEYGAND,APPROVE,FAVORABLE,GORE,TAXES,CLINTON,NONE,MOSTLGL,SAME,APP/FAV,INDEPEND,SOMCOL/ASSOC,CATHOLIC,AFEWAYEAR,50-75K,CONSERV,18-64,STATE,COMPLETE,SUBURBS,30-44,30-39,IND/OTHER,30-39,CATHOLIC,0.765
STATE ONLY,40.0,11.0,4.0,FIRST CALL,65-74,WHITE,MALE,BUSH,CHAFEE,OMITS,OMITS,OMITS,MEDICARE/RX,OMITS,ME,MOSTLGL,OMITS,,,,,OMITS,,,65+,STATE,NOTCOMPLETE,SUBURBS,60+,60+,,65+,,0.931
STATE ONLY,40.0,11.0,5.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,CHAFEE,APPROVE,FAVORABLE,GORE,EDUCATION,CLINTON,ME,ALWYSLGL,BETTER,APP/FAV,DEMOCRAT,COLGRAD,ELSE,AFEWAYEAR,75-100K,LIBERAL,18-64,STATE,COMPLETE,SUBURBS,30-44,30-39,DEMOCRAT,30-39,OTHER,0.868
STATE ONLY,40.0,11.0,6.0,FIRST CALL,30-39,WHITE,MALE,BUSH,CHAFEE,DISAPPR,UNFAVORABLE,BUSH,HEALTHCARE,NOVOTE,NONE,MOSTLGL,SAME,DIS/UNFAV,INDEPEND,COLGRAD,OTHERCHRIST,AFEWAYEAR,50-75K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,0.6900000000000001
STATE ONLY,40.0,11.0,7.0,FIRST CALL,60-64,WHITE,MALE,NADER,,OMITS,OMITS,OMITS,OMITS,OMITS,,OMITS,OMITS,,,,,OMITS,,,18-64,STATE,NOTCOMPLETE,SUBURBS,60+,60+,,50-64,,0.359
STATE ONLY,40.0,11.0,8.0,FIRST CALL,30-39,WHITE,MALE,BUSH,CHAFEE,DISAPPR,UNFAVORABLE,BUSH,TAXES,DOLE,SOMEONEELSE,MOSTLGL,BETTER,DIS/UNFAV,INDEPEND,HSGRAD,CATHOLIC,ONCEAWEEK,50-75K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,30-44,30-39,IND/OTHER,30-39,CATHOLIC,0.6900000000000001
STATE ONLY,40.0,11.0,9.0,FIRST CALL,30-39,WHITE,FEMALE,NADER,CHAFEE,APPROVE,UNFAVORABLE,GORE,EDUCATION,OTHER,ME,ALWYSLGL,BETTER,APP/UNFAV,INDEPEND,POSTGRAD,CATHOLIC,AFEWAYEAR,30-50K,MODERATE,18-64,STATE,COMPLETE,SUBURBS,30-44,30-39,IND/OTHER,30-39,CATHOLIC,0.291
STATE ONLY,40.0,11.0,10.0,FIRST CALL,30-39,WHITE,MALE,NADER,WEYGAND,APPROVE,FAVORABLE,WOULDNOTVOTE,ECON/JOBS,CLINTON,NONE,ALWYSLGL,BETTER,APP/FAV,INDEPEND,COLGRAD,CATHOLIC,ONCEAWEEK,OVER100K,CONSERV,18-64,STATE,COMPLETE,SUBURBS,30-44,30-39,IND/OTHER,30-39,CATHOLIC,0.256
