VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,CLINTON,BCPERSON,HOU,XWAY2000,ISSUE,X6VOTE,FINSIT,JOBPERS,SSEXFEEL,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,46.0,10.0,1.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,FLANAGAN,DEAN,APPROVE,UNFAVORABLE,SANDERS,GORE,MEDICARE/RX,CLINTON,BETTER,APP/UNFAV,SUPPORTIVE,INDEPEND,HSGRAD,CATHOLIC,15-30K,MODERATE,65+,STATE,COMPLETE,GREENMOUNTS,60+,60+,IND/OTHER,65+,CATHOLIC,,,0.669
STATE ONLY,46.0,10.0,2.0,FIRST CALL,65-74,WHITE,FEMALE,GORE,JEFFORDS,DWYER,APPROVE,UNFAVORABLE,SANDERS,GORE,TAXES,PEROT,SAME,APP/UNFAV,OPPOSED,ELSE,HSGRAD,CATHOLIC,LESS15K,MODERATE,65+,STATE,COMPLETE,GREENMOUNTS,60+,60+,IND/OTHER,65+,CATHOLIC,,,0.895
STATE ONLY,46.0,10.0,3.0,FIRST CALL,30-39,WHITE,MALE,GORE,FLANAGAN,DEAN,APPROVE,UNFAVORABLE,DIAMOND,GORE,WORLDAFFAIRS,CLINTON,BETTER,APP/UNFAV,ENTHUSIASTIC,DEMOCRAT,COLGRAD,CATHOLIC,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,30-39,DEMOCRAT,30-39,CATHOLIC,,,0.556
STATE ONLY,46.0,10.0,4.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,JEFFORDS,DEAN,APPROVE,FAVORABLE,SANDERS,GORE,SOCIALSECUR,CLINTON,BETTER,APP/FAV,ENTHUSIASTIC,INDEPEND,POSTGRAD,CATHOLIC,30-50K,LIBERAL,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,40-49,IND/OTHER,40-49,CATHOLIC,,,1.0150000000000001
STATE ONLY,46.0,10.0,5.0,FIRST CALL,65-74,WHITE,MALE,GORE,JEFFORDS,DEAN,APPROVE,UNFAVORABLE,SANDERS,GORE,MEDICARE/RX,CLINTON,BETTER,APP/UNFAV,OPPOSED,INDEPEND,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,65+,STATE,COMPLETE,GREENMOUNTS,60+,60+,IND/OTHER,65+,PROT/CHRIST,,,0.924
STATE ONLY,46.0,10.0,6.0,FIRST CALL,45-49,WHITE,MALE,GORE,FLANAGAN,DEAN,APPROVE,FAVORABLE,DIAMOND,GORE,WORLDAFFAIRS,CLINTON,BETTER,APP/FAV,ENTHUSIASTIC,DEMOCRAT,HSGRAD,PROTESTANT,LESS15K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.556
STATE ONLY,46.0,10.0,7.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,JEFFORDS,DEAN,APPROVE,UNFAVORABLE,SANDERS,GORE,SOCIALSECUR,CLINTON,BETTER,APP/UNFAV,ANGRY,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,30-39,DEMOCRAT,30-39,PROT/CHRIST,,,1.0150000000000001
STATE ONLY,46.0,10.0,8.0,FIRST CALL,75+,WHITE,FEMALE,GORE,FLANAGAN,DEAN,APPROVE,UNFAVORABLE,SANDERS,GORE,MEDICARE/RX,CLINTON,BETTER,APP/UNFAV,OPPOSED,REPUBLCN,HSGRAD,PROTESTANT,15-30K,MODERATE,65+,STATE,COMPLETE,GREENMOUNTS,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.669
STATE ONLY,46.0,10.0,9.0,FIRST CALL,30-39,WHITE,FEMALE,GORE,JEFFORDS,DEAN,DISAPPR,FAVORABLE,SANDERS,BUSH,SOCIALSECUR,CLINTON,BETTER,DIS/FAV,ANGRY,INDEPEND,NOHS,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,,,1.0150000000000001
STATE ONLY,46.0,10.0,10.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,JEFFORDS,DWYER,APPROVE,UNFAVORABLE,SANDERS,GORE,HEALTHCARE,PEROT,SAME,APP/UNFAV,OPPOSED,INDEPEND,HSGRAD,CATHOLIC,15-30K,MODERATE,18-64,STATE,COMPLETE,GREENMOUNTS,45-59,40-49,IND/OTHER,40-49,CATHOLIC,,,1.028
