VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,GOV,TIME,CLINTON,BCPERSON,XWAY2000,ISSUE,RELRIGHT,X6VOTE,ENVIRON,UNION4,FINSIT,JOBPERS,PARTYID,EDUC,RELIGION,INCOME,PHIL3,OVER65,STATE,BACKSIDE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,VNS1,VNS2,WEIGHT
STATE ONLY,49.0,4.0,1.0,FIRST CALL,65-74,,MALE,GORE,BYRD,WISE,LASTWEEK,APPROVE,OMITS,GORE,HEALTHCARE,NO,OMITS,PROENVIR,NONE,BETTER,OMITS,DEMOCRAT,NOHS,,30-50K,MODERATE,65+,STATE,COMPLETE,OHIORIVER,60+,60+,DEMOCRAT,65+,,,,0.915
STATE ONLY,49.0,4.0,2.0,FIRST CALL,60-64,WHITE,FEMALE,GORE,BYRD,WISE,LAST.3DAYS,APPROVE,UNFAVORABLE,GORE,HEALTHCARE,NO,CLINTON,PROGRWTH,NONE,BETTER,APP/UNFAV,ELSE,SOMCOL/ASSOC,PROTESTANT,30-50K,MODERATE,18-64,STATE,COMPLETE,OHIORIVER,60+,60+,IND/OTHER,50-64,PROT/CHRIST,,,0.759
STATE ONLY,49.0,4.0,3.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,GALLAHER,WISE,LAST.MONTH,DISAPPR,UNFAVORABLE,BUSH,WORLDAFFAIRS,NO,PEROT,PROGRWTH,SOMEONEELSE,SAME,DIS/UNFAV,DEMOCRAT,COLGRAD,OTHERCHRIST,50-75K,MODERATE,18-64,STATE,COMPLETE,OHIORIVER,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.86
STATE ONLY,49.0,4.0,4.0,FIRST CALL,75+,WHITE,FEMALE,GORE,BYRD,WISE,BEFORE,APPROVE,FAVORABLE,GORE,SOCIALSECUR,YES,CLINTON,PROENVIR,SOMEONEELSE,BETTER,APP/FAV,DEMOCRAT,NOHS,PROTESTANT,LESS15K,MODERATE,65+,STATE,COMPLETE,OHIORIVER,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.759
STATE ONLY,49.0,4.0,5.0,SECOND CALL,60-64,WHITE,FEMALE,,BYRD,UNDERWOOD,LASTWEEK,APPROVE,UNFAVORABLE,OMITS,OMITS,YES,CLINTON,PROGRWTH,NONE,BETTER,APP/UNFAV,DEMOCRAT,,PROTESTANT,50-75K,,18-64,STATE,COMPLETE,OHIORIVER,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,0.765
STATE ONLY,49.0,4.0,6.0,SECOND CALL,65-74,WHITE,FEMALE,BUSH,BYRD,UNDERWOOD,BEFORE,DISAPPR,UNFAVORABLE,BUSH,OMITS,YES,DOLE,OMITS,NONE,SAME,DIS/UNFAV,REPUBLCN,HSGRAD,PROTESTANT,,CONSERV,65+,STATE,COMPLETE,OHIORIVER,60+,60+,REPUBLICAN,65+,PROT/CHRIST,,,0.924
STATE ONLY,49.0,4.0,7.0,SECOND CALL,60-64,WHITE,MALE,BUSH,BYRD,UNDERWOOD,BEFORE,DISAPPR,UNFAVORABLE,BUSH,MEDICARE/RX,YES,DOLE,PROGRWTH,NONE,SAME,DIS/UNFAV,DEMOCRAT,HSGRAD,OTHERCHRIST,50-75K,CONSERV,18-64,STATE,COMPLETE,OHIORIVER,60+,60+,DEMOCRAT,50-64,PROT/CHRIST,,,1.12
STATE ONLY,49.0,4.0,8.0,SECOND CALL,50-59,WHITE,MALE,BUSH,BYRD,UNDERWOOD,BEFORE,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,NO,PEROT,PROGRWTH,ME,WORSE,DIS/UNFAV,DEMOCRAT,NOHS,PROTESTANT,,,18-64,STATE,COMPLETE,OHIORIVER,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,,,0.884
STATE ONLY,49.0,4.0,9.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,BYRD,WISE,LAST.3DAYS,APPROVE,UNFAVORABLE,GORE,WORLDAFFAIRS,YES,CLINTON,PROENVIR,SOMEONEELSE,BETTER,APP/UNFAV,DEMOCRAT,NOHS,CATHOLIC,15-30K,CONSERV,18-64,STATE,COMPLETE,OHIORIVER,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.597
STATE ONLY,49.0,4.0,10.0,SECOND CALL,45-49,WHITE,MALE,BUCHANAN,GALLAHER,WISE,LAST.3DAYS,DISAPPR,UNFAVORABLE,BUSH,ECON/JOBS,NO,OMITS,PROENVIR,ME,BETTER,DIS/UNFAV,DEMOCRAT,HSGRAD,CATHOLIC,50-75K,MODERATE,18-64,STATE,COMPLETE,OHIORIVER,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,,,0.36
STATE ONLY,49.0,4.0,11.0,SECOND CALL,60-64,WHITE,FEMALE,BUSH,BYRD,UNDERWOOD,BEFORE,DISAPPR,UNFAVORABLE,BUSH,TAXES,NO,DOLE,OMITS,NONE,BETTER,DIS/UNFAV,REPUBLCN,SOMCOL/ASSOC,PROTESTANT,OVER100K,CONSERV,18-64,STATE,COMPLETE,OHIORIVER,60+,60+,REPUBLICAN,50-64,PROT/CHRIST,,,0.924
STATE ONLY,49.0,4.0,12.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,BYRD,UNDERWOOD,LASTWEEK,APPROVE,UNFAVORABLE,BUSH,HEALTHCARE,OMITS,CLINTON,PROGRWTH,NONE,BETTER,APP/UNFAV,DEMOCRAT,HSGRAD,OTHERCHRIST,30-50K,CONSERV,18-64,STATE,COMPLETE,OHIORIVER,30-44,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.73
STATE ONLY,49.0,4.0,13.0,SECOND CALL,65-74,WHITE,MALE,GORE,BYRD,WISE,LAST.MONTH,APPROVE,FAVORABLE,GORE,SOCIALSECUR,YES,DOLE,PROGRWTH,NONE,BETTER,APP/FAV,DEMOCRAT,NOHS,PROTESTANT,30-50K,MODERATE,65+,STATE,COMPLETE,OHIORIVER,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.915
STATE ONLY,49.0,4.0,14.0,SECOND CALL,65-74,WHITE,MALE,GORE,BYRD,WISE,BEFORE,APPROVE,FAVORABLE,GORE,OMITS,OMITS,CLINTON,PROGRWTH,SOMEONEELSE,BETTER,APP/FAV,DEMOCRAT,NOHS,PROTESTANT,30-50K,MODERATE,65+,STATE,COMPLETE,OHIORIVER,60+,60+,DEMOCRAT,65+,PROT/CHRIST,,,0.915
STATE ONLY,49.0,4.0,15.0,SECOND CALL,45-49,WHITE,FEMALE,GORE,BYRD,WISE,BEFORE,APPROVE,UNFAVORABLE,GORE,MEDICARE/RX,NO,NOVOTE,PROGRWTH,ME,BETTER,APP/UNFAV,DEMOCRAT,SOMCOL/ASSOC,PROTESTANT,15-30K,MODERATE,18-64,STATE,COMPLETE,OHIORIVER,45-59,40-49,DEMOCRAT,40-49,PROT/CHRIST,,,0.597
