VERSION,STATEID,PRECINCT,SEQ,CALL,AGE9,RACE,SEX,PRES,SEN,CLINTON,BCPERSON,HOU,XWAY2000,X6VOTE,FINSIT,JOBPERS,PARTYID,RELIGION,INCOME,PHIL3,OVER65,LOGO,STATE,GEOCODE,AGE,AGEABC,PARTY,AGE65,REL5,WEIGHT
STATE ONLY,51.0,3.0,1.0,FIRST CALL,30-39,WHITE,FEMALE,,LOGAN,APPROVE,UNFAVORABLE,GREEN,GORE,OTHER,SAME,APP/UNFAV,INDEPEND,OTHERCHRIST,75-100K,LIBERAL,18-64,YES,STATE,SOUTH,30-44,30-39,IND/OTHER,30-39,PROT/CHRIST,0.182
STATE ONLY,51.0,3.0,2.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,LOGAN,APPROVE,UNFAVORABLE,GREEN,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,PROTESTANT,OVER100K,LIBERAL,18-64,NO,STATE,SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,0.18
STATE ONLY,51.0,3.0,3.0,FIRST CALL,50-59,WHITE,MALE,GORE,THOMAS,APPROVE,UNFAVORABLE,GREEN,GORE,CLINTON,BETTER,APP/UNFAV,DEMOCRAT,PROTESTANT,OVER100K,LIBERAL,18-64,NO,STATE,SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,0.178
STATE ONLY,51.0,3.0,4.0,FIRST CALL,25-29,WHITE,FEMALE,GORE,THOMAS,APPROVE,UNFAVORABLE,CUBIN,GORE,NOVOTE,BETTER,APP/UNFAV,INDEPEND,OTHERCHRIST,15-30K,LIBERAL,18-64,NO,STATE,SOUTH,18-29,25-29,IND/OTHER,25-29,PROT/CHRIST,0.17400000000000002
STATE ONLY,51.0,3.0,5.0,FIRST CALL,45-49,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,PROTESTANT,30-50K,MODERATE,18-64,YES,STATE,SOUTH,45-59,40-49,REPUBLICAN,40-49,PROT/CHRIST,0.20800000000000002
STATE ONLY,51.0,3.0,6.0,FIRST CALL,45-49,WHITE,FEMALE,GORE,,DISAPPR,UNFAVORABLE,,GORE,CLINTON,BETTER,DIS/UNFAV,DEMOCRAT,CATHOLIC,50-75K,MODERATE,18-64,YES,STATE,SOUTH,45-59,40-49,DEMOCRAT,40-49,CATHOLIC,0.19
STATE ONLY,51.0,3.0,7.0,FIRST CALL,18-24,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,NOVOTE,SAME,DIS/UNFAV,REPUBLCN,OTHERCHRIST,,CONSERV,18-64,YES,STATE,SOUTH,18-29,18-24,REPUBLICAN,18-24,PROT/CHRIST,0.188
STATE ONLY,51.0,3.0,8.0,FIRST CALL,40-44,OTHER,FEMALE,OTHER,LOGAN,APPROVE,UNFAVORABLE,OTHER,GORE,PEROT,BETTER,APP/UNFAV,REPUBLCN,JEWISH,30-50K,CONSERV,18-64,YES,STATE,SOUTH,30-44,40-49,REPUBLICAN,40-49,JEWISH,0.318
STATE ONLY,51.0,3.0,9.0,FIRST CALL,18-24,WHITE,FEMALE,GORE,LOGAN,DISAPPR,UNFAVORABLE,GREEN,GORE,NOVOTE,BETTER,DIS/UNFAV,INDEPEND,NONE,LESS15K,MODERATE,18-64,NO,STATE,SOUTH,18-29,18-24,IND/OTHER,18-24,NONE,0.163
STATE ONLY,51.0,3.0,10.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,THOMAS,DISAPPR,UNFAVORABLE,CUBIN,BUSH,DOLE,WORSE,DIS/UNFAV,REPUBLCN,OTHERCHRIST,LESS15K,CONSERV,18-64,YES,STATE,SOUTH,30-44,40-49,REPUBLICAN,40-49,PROT/CHRIST,0.20800000000000002
STATE ONLY,51.0,3.0,11.0,FIRST CALL,50-59,WHITE,MALE,OTHER,,APPROVE,FAVORABLE,,GORE,CLINTON,BETTER,APP/FAV,DEMOCRAT,PROTESTANT,75-100K,LIBERAL,18-64,YES,STATE,SOUTH,45-59,50-59,DEMOCRAT,50-64,PROT/CHRIST,0.223
