QRACE,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,UNION,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,REFORMER,PREVPRIN,VETVOTER,MCRRIGHT,VERSION,ONLYREPS,REALWIN,GORE,BRADLEY,BEATDEM,GAY,HISPANIC,REL5,REGCA,NOVCHOIC,WEIGHT,BACKSIDE,GEOCODE
WHITE,5.0,2.0,49.0,THIRD CALL,25-29,WHITE,MALE,MCCAIN,THIS YEAR,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,YES,YES,INDEPENDENT,,,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,,,,GORE,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,0.114,COMPLETED,BAY AREA
WHITE,5.0,2.0,108.0,THIRD CALL,30-39,WHITE,FEMALE,BUSH,,OMITS,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,,OMITS,,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$30,000-$49,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NO,NOT AT ALL,1,,,UNFAVORABLE,FAVORABLE,BUSH,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,0.151,COMPLETED,BAY AREA
ASIAN,5.0,5.0,1.0,FIRST CALL,45-49,ASIAN,MALE,MCCAIN,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,BETTER,,YES,YES,INDEPENDENT,,,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,,,,GORE,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG PARTY REGISTERED,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,3.099,COMPLETED,BAY AREA
ASIAN,5.0,5.0,2.0,FIRST CALL,50-59,ASIAN,FEMALE,MCCAIN,THIS YEAR,,,CANDS PERSONAL QUALITIES,,,,SAME,,NO,YES,REPUBLICAN,,,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,,,,BUSH,MCCAIN,,MCCAIN,OMITS,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,OMITS,3.689,COMPLETED,BAY AREA
WHITE,5.0,5.0,8.0,FIRST CALL,40-44,WHITE,MALE,MCCAIN,TODAY,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,YES,REPUBLICAN,,,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,,,,BUSH,MCCAIN,,MCCAIN,MCCAIN,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,NOT SATISFIED,3.099,COMPLETED,BAY AREA
WHITE,5.0,5.0,9.0,FIRST CALL,45-49,WHITE,FEMALE,MCCAIN,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,YES,DEMOCRAT,,,"$100,000 OR MORE",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,40-49,DEMOCRAT,40-49,40-49,,,,GORE,GORE,,MCCAIN,NEITHER,YES,,,2,MCCAIN,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,3.689,COMPLETED,BAY AREA
WHITE,5.0,5.0,10.0,FIRST CALL,65-74,WHITE,MALE,BUSH,BEFORE THAT,,,CANDS POSITIONS ON ISSUES,,,,BETTER,,NO,NO,REPUBLICAN,,,"$75,000-$99,999",YES,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,,,,BUSH,MCCAIN,,BUSH,BOTH,YES,,,2,BUSH,WINS AMONG ALL VOTERS,,,,NO,NO,,REPUBLICAN,SATISFIED,3.432,COMPLETED,BAY AREA
BLACK,5.0,5.0,16.0,FIRST CALL,60-64,BLACK,MALE,MCCAIN,,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,,STRENGTHEN SOCIAL SECURITY,,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NO,NOT AT ALL,1,,,FAVORABLE,FAVORABLE,MCCAIN,NO,NO,CATHOLIC,REPUBLICAN,,2.6870000000000003,COMPLETED,BAY AREA
WHITE,5.0,5.0,17.0,FIRST CALL,60-64,WHITE,MALE,MCCAIN,,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,,STRENGTHEN SOCIAL SECURITY,,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,YES,NOT AT ALL,1,,,UNFAVORABLE,FAVORABLE,MCCAIN,NO,NO,PROTESTANT/OTHER CHRISTIAN,REPUBLICAN,,3.099,COMPLETED,BAY AREA
WHITE,5.0,5.0,20.0,FIRST CALL,65-74,WHITE,FEMALE,MCCAIN,,MORAL VALUES,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,,STRENGTHEN SOCIAL SECURITY,,YES,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",NO,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,,,ABOUT RIGHT,,,,NO,NOT MUCH,1,,,FAVORABLE,FAVORABLE,MCCAIN,NO,NO,CATHOLIC,REPUBLICAN,,3.689,COMPLETED,BAY AREA
