AGEABC,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,CLINTON,UNION,PARTYID,RELIGION,INCOME,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,GEOCODE,AGE4,PARTY,AGE65,AGE75,BUSH,GORE,BCPERSON,GORBSH3,HISPANIC,QRACE,REL5,WEIGHT
60+,19.0,1.0,1.0,FIRST CALL,65-74,WHITE,MALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$15,000-$29,000",VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,65-74,OMITS,FAVORABLE,FAVORABLE,GORE,NO,WHITE,CATHOLIC,1.451
50-59,19.0,1.0,2.0,FIRST CALL,50-59,WHITE,FEMALE,GORE,APPROVE,NO,REPUBLICAN,CATHOLIC,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,WHITE,CATHOLIC,1.556
30-39,19.0,1.0,3.0,FIRST CALL,30-39,BLACK,,BRADLEY,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"UNDER $15,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,1.832
50-59,19.0,1.0,4.0,FIRST CALL,50-59,WHITE,MALE,GORE,DISAPPROVE,NO,INDEPENDENT,CATHOLIC,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,45-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,UNFAVORABLE,BUSH,NO,WHITE,CATHOLIC,1.7750000000000001
30-39,19.0,1.0,5.0,SECOND CALL,30-39,BLACK,,BRADLEY,APPROVE,NO,DEMOCRAT,OTHER CHRISTIAN,"UNDER $15,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,1.606
40-49,19.0,1.0,6.0,SECOND CALL,45-49,BLACK,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",,,18-64,18-74,STATE,CAJUN COUNTRY,45-59,DEMOCRAT,40-49,40-49,OMITS,FAVORABLE,FAVORABLE,GORE,NO,BLACK,CATHOLIC,1.451
50-59,19.0,1.0,7.0,THIRD CALL,50-59,BLACK,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,CAJUN COUNTRY,45-59,DEMOCRAT,50-64,50-64,FAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,BLACK,CATHOLIC,1.451
30-39,19.0,1.0,8.0,THIRD CALL,30-39,BLACK,MALE,GORE,APPROVE,NO,SOMETHING ELSE,NONE,"$30,000-$49,000",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,BLACK,NONE,1.451
60+,19.0,1.0,9.0,THIRD CALL,65-74,BLACK,,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"$50,000-$74,999",SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,BLACK,CATHOLIC,1.187
30-39,19.0,1.0,10.0,THIRD CALL,30-39,BLACK,MALE,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,CAJUN COUNTRY,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,BLACK,CATHOLIC,1.451
30-39,19.0,1.0,11.0,THIRD CALL,30-39,BLACK,FEMALE,BRADLEY,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",MODERATE,MODERATE,18-64,18-74,STATE,CAJUN COUNTRY,30-44,DEMOCRAT,30-39,30-39,FAVORABLE,FAVORABLE,FAVORABLE,BUSH,NO,BLACK,CATHOLIC,1.606
60+,19.0,1.0,12.0,THIRD CALL,65-74,WHITE,FEMALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$15,000-$29,000",SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,UNFAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.272
60+,19.0,1.0,13.0,THIRD CALL,75+,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$15,000-$29,000",MODERATE,MODERATE,65+,75+,STATE,CAJUN COUNTRY,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,FAVORABLE,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,1.451
