STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,TIME,ISSUE,QUALITY,CLINTON,HLTHPLAN,ISSVQUAL,ABORTION,FINSIT,UNION,PARTYID,EDUC,RELIGION,BRADUNFR,INCOME,GOREUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,STR8DEMS,GORE2LIB,BRAD2LIB,QTYPE,BACKSIDE,GEOCODE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,GOREBUSH,GOREMCAN,PREVPRID,GORE,BRADLEY,BCPERSON,REGDEMGA,REL5,WEIGHT
22.0,1.0,1.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,WITHIN LAST WEEK,ECONOMY/JOBS,HAS THE RIGHT EXPERIENCE,APPROVE,1,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,NO,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,GORE,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,NORTH AND SOUTH SHORES AND CAPE COD,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,UNDECLARED/INDEPENDENET,PROTESTANT/OTHER CHRISTIAN,2.833
22.0,1.0,2.0,FIRST CALL,40-44,WHITE,FEMALE,GORE,THIS YEAR,ABORTION,HAS THE RIGHT EXPERIENCE,APPROVE,1,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,NO,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,GORE,TOO LIBERAL,NOT LIBERAL ENOUGH,STATE,COMPLETE,NORTH AND SOUTH SHORES AND CAPE COD,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,UNFAVORABLE,FAVORABLE,REPUBLICAN,CATHOLIC,2.833
22.0,1.0,3.0,FIRST CALL,30-39,WHITE,FEMALE,BRADLEY,BEFORE THAT,OMITS,OMITS,OMITS,2,OMITS,OMITS,OMITS,,,,,NO,,NO,,,18-64,18-74,BRADLEY,OMITS,ABOUT RIGHT,STATE,COMPLETE,NORTH AND SOUTH SHORES AND CAPE COD,30-44,30-39,,30-39,30-39,UNFAVORABLE,FAVORABLE,GORE,GORE,,FAVORABLE,FAVORABLE,OMITS,REPUBLICAN,,2.153
22.0,1.0,4.0,FIRST CALL,40-44,WHITE,MALE,BRADLEY,BEFORE THAT,ECONOMY/JOBS,HAS NEW IDEAS,DISAPPROVE,2,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,SAME,YES,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,NO,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,BRADLEY,TOO LIBERAL,ABOUT RIGHT,STATE,COMPLETE,NORTH AND SOUTH SHORES AND CAPE COD,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,FAVORABLE,BUSH,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,REPUBLICAN,CATHOLIC,2.154
22.0,1.0,5.0,FIRST CALL,40-44,WHITE,FEMALE,BRADLEY,OMITS,EDUCATION,STANDS UP FOR BELIEFS,APPROVE,2,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,NO,,NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,NORTH AND SOUTH SHORES AND CAPE COD,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,REPUBLICAN,CATHOLIC,2.153
22.0,1.0,6.0,FIRST CALL,45-49,WHITE,MALE,GORE,WITHIN LAST WEEK,OMITS,CAN WIN IN NOVEMBER,APPROVE,3,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,YES,DEMOCRAT,POST GRADUATE STUDY,,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,NORTH AND SOUTH SHORES AND CAPE COD,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,REPUBLICAN,,2.835
22.0,1.0,7.0,FIRST CALL,45-49,WHITE,FEMALE,BRADLEY,WITHIN LAST 3 DAYS,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,APPROVE,2,CANDS PERSONAL QUALITIES,LEGAL IN ALL CASES,WORSE,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,NONE,NO,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,NORTH AND SOUTH SHORES AND CAPE COD,45-59,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,REPUBLICAN,NONE,2.153
22.0,1.0,8.0,FIRST CALL,75+,WHITE,FEMALE,BRADLEY,TODAY,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICAN,APPROVE,2,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,NO,"$15,000-$29,000",YES,SOMEWHAT LIBERAL,LIBERAL,65+,75+,BRADLEY,OMITS,ABOUT RIGHT,STATE,COMPLETE,NORTH AND SOUTH SHORES AND CAPE COD,60+,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,YES,UNFAVORABLE,FAVORABLE,UNFAVORABLE,UNDECLARED/INDEPENDENET,PROTESTANT/OTHER CHRISTIAN,2.334
22.0,1.0,9.0,FIRST CALL,65-74,WHITE,MALE,BRADLEY,THIS YEAR,HEALTH CARE,STANDS UP FOR BELIEFS,APPROVE,2,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,WORSE,NO,DEMOCRAT,COLLEGE GRADUATE,PROTESTANT,NO,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,BRADLEY,OMITS,ABOUT RIGHT,STATE,COMPLETE,NORTH AND SOUTH SHORES AND CAPE COD,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,REPUBLICAN,PROTESTANT/OTHER CHRISTIAN,2.336
22.0,1.0,10.0,FIRST CALL,45-49,WHITE,MALE,GORE,THIS YEAR,OMITS,OMITS,APPROVE,1,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,SAME,YES,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,NO,"$50,000-$74,999",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,NEITHER,ABOUT RIGHT,TOO LIBERAL,STATE,COMPLETE,NORTH AND SOUTH SHORES AND CAPE COD,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,UNDECLARED/INDEPENDENET,CATHOLIC,2.835
22.0,1.0,11.0,FIRST CALL,65-74,WHITE,MALE,BRADLEY,THIS YEAR,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICAN,APPROVE,2,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,POST GRADUATE STUDY,JEWISH,NO,"$30,000-$49,000",YES,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,NORTH AND SOUTH SHORES AND CAPE COD,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,REPUBLICAN,JEWISH,2.336
22.0,1.0,12.0,SECOND CALL,65-74,WHITE,FEMALE,GORE,THIS YEAR,CAMPAIGN FINANCE REFORM,HAS THE RIGHT EXPERIENCE,APPROVE,1,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,SAME,NO,DEMOCRAT,HIGH SCHOOL GRADUATE,PROTESTANT,NO,"$30,000-$49,000",NO,VERY LIBERAL,LIBERAL,65+,18-74,BOTH,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,NORTH AND SOUTH SHORES AND CAPE COD,60+,60+,DEMOCRAT,65+,65-74,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,UNDECLARED/INDEPENDENET,PROTESTANT/OTHER CHRISTIAN,3.071
22.0,1.0,13.0,SECOND CALL,75+,WHITE,MALE,GORE,WITHIN LAST 3 DAYS,SOCIAL SECURITY/MEDICARE,HAS THE RIGHT EXPERIENCE,OMITS,,OMITS,OMITS,OMITS,,,,,OMITS,,OMITS,,,65+,75+,OMITS,ABOUT RIGHT,OMITS,STATE,NOT COMPLETE,NORTH AND SOUTH SHORES AND CAPE COD,60+,60+,,65+,75+,OMITS,OMITS,GORE,GORE,,OMITS,OMITS,OMITS,REPUBLICAN,,3.073
22.0,1.0,14.0,SECOND CALL,75+,WHITE,MALE,BRADLEY,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,APPROVE,2,CANDS PERSONAL QUALITIES,LEGAL IN MOST CASES,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,JEWISH,NO,"$15,000-$29,000",YES,VERY LIBERAL,LIBERAL,65+,75+,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,NORTH AND SOUTH SHORES AND CAPE COD,60+,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,FAVORABLE,REPUBLICAN,JEWISH,2.336
22.0,1.0,15.0,SECOND CALL,40-44,WHITE,MALE,GORE,WITHIN LAST 3 DAYS,ECONOMY/JOBS,CAN WIN IN NOVEMBER,APPROVE,3,CANDS PERSONAL QUALITIES,OMITS,BETTER,NO,DEMOCRAT,COLLEGE GRADUATE,JEWISH,NO,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,BRADLEY,ABOUT RIGHT,ABOUT RIGHT,STATE,COMPLETE,NORTH AND SOUTH SHORES AND CAPE COD,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,REPUBLICAN,JEWISH,2.835
22.0,1.0,16.0,SECOND CALL,40-44,WHITE,FEMALE,GORE,TODAY,EDUCATION,CAN WIN IN NOVEMBER,APPROVE,2,CANDS POSITIONS ON ISSUES,LEGAL IN ALL CASES,BETTER,NO,DEMOCRAT,POST GRADUATE STUDY,JEWISH,NO,"UNDER $15,000",NO,VERY LIBERAL,LIBERAL,18-64,18-74,BRADLEY,NOT LIBERAL ENOUGH,ABOUT RIGHT,STATE,COMPLETE,NORTH AND SOUTH SHORES AND CAPE COD,30-44,40-49,DEMOCRAT,40-49,40-49,UNFAVORABLE,UNFAVORABLE,GORE,GORE,YES,FAVORABLE,FAVORABLE,UNFAVORABLE,REPUBLICAN,JEWISH,2.833
