BACKSIDE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,ALLOWVOT,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,MCSAYDO,REFORMER,ASHCROFT,PREVPRI,VETVOTER,CARNAHAN,BEATDEM,REL5,WEIGHT
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,1.0,FIRST CALL,50-59,FEMALE,BUSH,WITHIN LAST 3 DAYS,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,INDEPENDENT,COLLEGE GRADUATE,OTHER CHRISTIAN,"$15,000-$29,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,GORE,NOT CONSERVATIVE ENOUGH,NEITHER,YES,NEITHER,FAVORABLE,NO,NO,UNFAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.854
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,2.0,FIRST CALL,40-44,MALE,BUSH,BEFORE THAT,MORAL VALUES,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,BOTH,NO,BOTH,FAVORABLE,YES,NO,UNFAVORABLE,BUSH,CATHOLIC,0.905
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,3.0,FIRST CALL,30-39,MALE,MCCAIN,WITHIN LAST 3 DAYS,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,TAX CUT,YES,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$30,000-$49,000",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,FAVORABLE,YES,YES,UNFAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,0.964
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,4.0,FIRST CALL,45-49,MALE,BUSH,BEFORE THAT,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$30,000-$49,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,ABOUT RIGHT,BUSH,YES,BUSH,FAVORABLE,YES,NO,UNFAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.905
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,5.0,FIRST CALL,50-59,,BUSH,THIS YEAR,MORAL VALUES,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,OMITS,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,,NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,ABOUT RIGHT,BOTH,YES,BOTH,UNFAVORABLE,YES,NO,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.905
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,6.0,FIRST CALL,50-59,MALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,OMITS,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,SOMETHING ELSE,"$100,000 OR MORE",OMITS,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,UNFAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,OMITS,ABOUT RIGHT,NEITHER,NO,OMITS,UNFAVORABLE,YES,YES,UNFAVORABLE,BUSH,SOMETHING ELSE,0.905
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,7.0,FIRST CALL,30-39,FEMALE,BUSH,BEFORE THAT,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,OMITS,OMITS,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"UNDER $15,000",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,MCCAIN,OMITS,OMITS,OMITS,OMITS,FAVORABLE,YES,NO,OMITS,BUSH,PROTESTANT/OTHER CHRISTIAN,0.854
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,8.0,FIRST CALL,30-39,MALE,BUSH,BEFORE THAT,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,SOMETHING ELSE,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,FAVORABLE,YES,YES,FAVORABLE,BUSH,SOMETHING ELSE,0.905
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,9.0,FIRST CALL,45-49,MALE,BUSH,THIS YEAR,ABORTION,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,OMITS,GORE,OMITS,BUSH,NO,BUSH,UNFAVORABLE,YES,YES,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,0.905
COMPLETED,NORTH/SOUTHEAST,26.0,7.0,10.0,SECOND CALL,50-59,FEMALE,MCCAIN,WITHIN LAST 3 DAYS,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$15,000-$29,000",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,OMITS,UNFAVORABLE,OMITS,ALL VOTERS,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,OMITS,NEITHER,FAVORABLE,NO,NO,OMITS,OMITS,PROTESTANT/OTHER CHRISTIAN,0.91
