QTYPE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,REPVOTE,TIME,CANDSOK,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,PARTYID,EDUC,BUSHUNFR,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,BACKSIDE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,STR8TALK,MCSAYDO,REFORMER,CONFEDER,PREVPRI,VETVOTER,LOYALREP,INTERNET,BORNSC,DEBATE,BEATDEM,WEIGHT
STATE,UPSTATE,41.0,1.0,1.0,SECOND CALL,25-29,WHITE,MALE,MCCAIN,THIS YEAR,LIKE SOMEONE ELSE TO ENTER,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,BETTER,TAX CUT,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,NO,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,UNFAVORABLE,FAVORABLE,NEITHER,NO,BOTH,YES,YES,NO,NOT TIED TO PARTY LEADERS,NO,YES,YES,MCCAIN,0.6980000000000001
STATE,UPSTATE,41.0,1.0,2.0,SECOND CALL,50-59,WHITE,FEMALE,MCCAIN,THIS YEAR,OMITS,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,OMITS,NO,ILLEGAL IN MOST CASES,NO,OMITS,OMITS,,,OMITS,,OMITS,,,18-64,18-74,NOT COMPLETE,45-59,50-59,,50-64,50-64,OMITS,OMITS,OMITS,NO,OMITS,OMITS,,,OMITS,NO,OMITS,OMITS,OMITS,0.603
STATE,UPSTATE,41.0,1.0,3.0,SECOND CALL,65-74,WHITE,MALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,MORAL VALUES,STANDS UP FOR BELIEFS,OMITS,YES,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,INDEPENDENT,POST GRADUATE STUDY,YES,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,65-74,FAVORABLE,FAVORABLE,MCCAIN,YES,MCCAIN,NO,NO,,NOT TIED TO PARTY LEADERS,NO,YES,NO,MCCAIN,0.776
STATE,UPSTATE,41.0,1.0,4.0,SECOND CALL,65-74,WHITE,FEMALE,MCCAIN,THIS YEAR,SATISFIED WITH CANDIDATES,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,BETTER,TAX CUT,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,YES,,NO,MODERATE,MODERATE,65+,18-74,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,65-74,UNFAVORABLE,FAVORABLE,MCCAIN,NO,MCCAIN,YES,YES,NO,NOT TIED TO PARTY LEADERS,NO,YES,YES,MCCAIN,0.746
STATE,UPSTATE,41.0,1.0,5.0,SECOND CALL,40-44,WHITE,FEMALE,BUSH,WITHIN LAST 3 DAYS,SATISFIED WITH CANDIDATES,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,OMITS,ILLEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,OMITS,"$50,000-$74,999",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,FAVORABLE,BOTH,OMITS,BUSH,OMITS,NO,NO,NOT TIED TO PARTY LEADERS,NO,YES,YES,OMITS,0.631
STATE,UPSTATE,41.0,1.0,6.0,SECOND CALL,30-39,WHITE,MALE,BUSH,WITHIN LAST 3 DAYS,SATISFIED WITH CANDIDATES,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,BETTER,TAX CUT,INDEPENDENT,HIGH SCHOOL GRADUATE,NO,"$15,000-$29,000",YES,VERY LIBERAL,LIBERAL,18-64,18-74,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,UNFAVORABLE,BUSH,YES,BOTH,NO,NO,NO,NOT TIED TO PARTY LEADERS,YES,YES,NO,BUSH,0.656
STATE,UPSTATE,41.0,1.0,7.0,SECOND CALL,75+,WHITE,FEMALE,BUSH,BEFORE THAT,SATISFIED WITH CANDIDATES,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,HIGH SCHOOL GRADUATE,NO,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,COMPLETE,60+,60+,INDEPENDENT/OTHER,65+,75+,FAVORABLE,FAVORABLE,BUSH,YES,BOTH,YES,YES,NO,NOT TIED TO PARTY LEADERS,NO,YES,YES,BUSH,0.781
STATE,UPSTATE,41.0,1.0,8.0,SECOND CALL,50-59,WHITE,FEMALE,BUSH,BEFORE THAT,SATISFIED WITH CANDIDATES,SOCIAL SECURITY/MEDICARE,HAS RIGHT EXPERIENCE,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,HIGH SCHOOL GRADUATE,NO,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,BUSH,YES,BOTH,YES,YES,YES,NOT TIED TO PARTY LEADERS,NO,YES,YES,BUSH,0.631
STATE,UPSTATE,41.0,1.0,9.0,SECOND CALL,45-49,WHITE,MALE,BUSH,BEFORE THAT,SATISFIED WITH CANDIDATES,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,OMITS,NO,ILLEGAL IN MOST CASES,YES,OMITS,OMITS,,,OMITS,,OMITS,,,18-64,18-74,NOT COMPLETE,45-59,40-49,,40-49,40-49,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,OMITS,YES,OMITS,OMITS,OMITS,0.656
STATE,UPSTATE,41.0,1.0,10.0,SECOND CALL,60-64,WHITE,MALE,BUSH,THIS YEAR,SATISFIED WITH CANDIDATES,TAXES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,OMITS,YES,SAME,TAX CUT,REPUBLICAN,HIGH SCHOOL GRADUATE,NO,,YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,60+,60+,REPUBLICAN,50-64,50-64,FAVORABLE,UNFAVORABLE,BUSH,YES,BOTH,YES,YES,NO,LOYAL REPUBLICAN,YES,YES,NO,BUSH,0.812
