AGEABC,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,DEMVOTE,CLINTON,UNION,PARTYID,RELIGION,INCOME,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,GEOCODE,AGE4,PARTY,AGE65,AGE75,BUSH,GORE,TXPSREFD,BCPERSON,GWMRCSRV,GORBSH3,HISPANIC,QRACE,REL5,WEIGHT
60+,44.0,7.0,1.0,FIRST CALL,60-64,WHITE,MALE,GORE,APPROVE,NO,INDEPENDENT,PROTESTANT,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,60+,INDEPENDENT/OTHER,50-64,50-64,FAVORABLE,FAVORABLE,NO,UNFAVORABLE,OMITS,OMITS,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,4.706
40-49,44.0,7.0,2.0,SECOND CALL,40-44,BLACK,MALE,GORE,APPROVE,NO,INDEPENDENT,OTHER CHRISTIAN,"$50,000-$74,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,30-44,INDEPENDENT/OTHER,40-49,40-49,FAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,2.208
30-39,44.0,7.0,3.0,SECOND CALL,30-39,WHITE,MALE,GORE,DISAPPROVE,NO,INDEPENDENT,PROTESTANT,"$15,000-$29,000",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,30-44,INDEPENDENT/OTHER,30-39,30-39,UNFAVORABLE,UNFAVORABLE,NO,UNFAVORABLE,YES,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,3.144
25-29,44.0,7.0,4.0,SECOND CALL,25-29,HISPANIC/LATINO,FEMALE,GORE,APPROVE,NO,INDEPENDENT,OTHER CHRISTIAN,"$30,000-$49,000",VERY LIBERAL,LIBERAL,18-64,18-74,STATE,SOUTH,18-29,INDEPENDENT/OTHER,25-29,25-29,UNFAVORABLE,FAVORABLE,YES,UNFAVORABLE,YES,GORE,YES,WHITE,PROTESTANT/OTHER CHRISTIAN,2.58
60+,44.0,7.0,5.0,SECOND CALL,60-64,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,PROTESTANT,"$30,000-$49,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,60+,DEMOCRAT,50-64,50-64,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,YES,GORE,NO,WHITE,PROTESTANT/OTHER CHRISTIAN,4.706
40-49,44.0,7.0,6.0,THIRD CALL,40-44,BLACK,MALE,GORE,DISAPPROVE,YES,DEMOCRAT,OTHER CHRISTIAN,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,30-44,DEMOCRAT,40-49,40-49,UNFAVORABLE,FAVORABLE,YES,FAVORABLE,NO,GORE,NO,BLACK,PROTESTANT/OTHER CHRISTIAN,2.208
50-59,44.0,7.0,7.0,THIRD CALL,50-59,WHITE,MALE,GORE,APPROVE,YES,DEMOCRAT,CATHOLIC,"$15,000-$29,000",SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,SOUTH,45-59,DEMOCRAT,50-64,50-64,UNFAVORABLE,UNFAVORABLE,YES,FAVORABLE,NO,NEITHER,NO,WHITE,CATHOLIC,3.144
60+,44.0,12.0,1.0,FIRST CALL,75+,WHITE,,GORE,APPROVE,NO,DEMOCRAT,CATHOLIC,"UNDER $15,000",VERY LIBERAL,LIBERAL,65+,75+,STATE,SOUTH,60+,DEMOCRAT,65+,75+,UNFAVORABLE,FAVORABLE,NO,FAVORABLE,NO,GORE,NO,WHITE,CATHOLIC,1.655
60+,44.0,12.0,2.0,FIRST CALL,65-74,HISPANIC/LATINO,MALE,GORE,DISAPPROVE,NO,DEMOCRAT,CATHOLIC,"$30,000-$49,000",MODERATE,MODERATE,65+,18-74,STATE,SOUTH,60+,DEMOCRAT,65+,65-74,FAVORABLE,FAVORABLE,YES,UNFAVORABLE,YES,BUSH,YES,HISPANIC/LATINO,CATHOLIC,1.161
30-39,44.0,12.0,3.0,FIRST CALL,30-39,WHITE,MALE,GORE,APPROVE,NO,DEMOCRAT,JEWISH,"$75,000-$99,999",MODERATE,MODERATE,18-64,18-74,STATE,SOUTH,30-44,DEMOCRAT,30-39,30-39,UNFAVORABLE,UNFAVORABLE,YES,UNFAVORABLE,YES,GORE,NO,WHITE,JEWISH,1.105
