QTYPE,VETVOTER,GEOCODE,BUSHUNFR,STR8TALK,BEATDEM,REFORMER,MCSAYDO,INTERNET,LOYALREP,MCCONSRV,STATE,PREC,SEQ,CALL,AGE9,RACE,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,FINSIT,SSTAX,PARTYID,EDUC,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,BACKSIDE,AGE4,AGEABC,PARTY,AGE65,AGE75,BUSH,MCCAIN,ALLOWVOT,GOREBUSH,GOREMCAN,WEIGHT
STATE,NO,EAST/RICHMOND,NO,MCCAIN,BUSH,NEITHER,YES,YES,NOT TIED TO PARTY LEADERS,TOO CONSERVATIVE,47.0,2.0,1.0,FIRST CALL,30-39,WHITE,MALE,MCCAIN,WITHIN LAST 3 DAYS,EDUCATION,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,DEMOCRAT,POST GRADUATE STUDY,"$75,000-$99,999",NO,VERY LIBERAL,LIBERAL,18-64,18-74,COMPLETE,30-44,30-39,DEMOCRAT,30-39,30-39,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,GORE,1.104
STATE,NO,EAST/RICHMOND,YES,MCCAIN,MCCAIN,MCCAIN,NO,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,2.0,2.0,FIRST CALL,50-59,WHITE,MALE,MCCAIN,THIS YEAR,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,"$75,000-$99,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,1.104
STATE,NO,EAST/RICHMOND,YES,MCCAIN,MCCAIN,MCCAIN,NO,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,2.0,3.0,FIRST CALL,25-29,WHITE,MALE,MCCAIN,THIS YEAR,ABORTION,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,SAME,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,POST GRADUATE STUDY,"$30,000-$49,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,UNFAVORABLE,FAVORABLE,ALL VOTERS,OMITS,MCCAIN,1.125
STATE,YES,EAST/RICHMOND,NO,BUSH,BUSH,BUSH,YES,NO,LOYAL REPUBLICAN,NOT CONSERVATIVE ENOUGH,47.0,2.0,4.0,FIRST CALL,30-39,WHITE,MALE,BUSH,BEFORE THAT,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,YES,BETTER,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,"$15,000-$29,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,30-44,30-39,REPUBLICAN,30-39,30-39,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,1.258
STATE,NO,EAST/RICHMOND,NO,BUSH,BUSH,BOTH,YES,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,2.0,5.0,FIRST CALL,40-44,WHITE,FEMALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,MORAL VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,COLLEGE GRADUATE,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,40-49,REPUBLICAN,40-49,40-49,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,1.268
STATE,NO,EAST/RICHMOND,YES,MCCAIN,MCCAIN,BOTH,NO,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,2.0,6.0,FIRST CALL,30-39,OTHER,MALE,MCCAIN,BEFORE THAT,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,BETTER,STRENGTHEN SOCIAL SECURITY,INDEPENDENT,POST GRADUATE STUDY,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,COMPLETE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,FAVORABLE,FAVORABLE,ALL VOTERS,BUSH,MCCAIN,1.104
STATE,NO,EAST/RICHMOND,YES,MCCAIN,MCCAIN,BOTH,NO,YES,NOT TIED TO PARTY LEADERS,NOT CONSERVATIVE ENOUGH,47.0,2.0,7.0,FIRST CALL,25-29,WHITE,MALE,MCCAIN,TODAY,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,BETTER,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,18-29,25-29,REPUBLICAN,25-29,25-29,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,MCCAIN,1.125
STATE,NO,EAST/RICHMOND,YES,MCCAIN,MCCAIN,MCCAIN,NO,NO,NOT TIED TO PARTY LEADERS,TOO CONSERVATIVE,47.0,2.0,8.0,FIRST CALL,50-59,WHITE,FEMALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,1.113
STATE,YES,EAST/RICHMOND,YES,MCCAIN,MCCAIN,MCCAIN,NO,YES,NOT TIED TO PARTY LEADERS,ABOUT RIGHT,47.0,2.0,9.0,FIRST CALL,50-59,WHITE,MALE,MCCAIN,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,BETTER,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,UNFAVORABLE,FAVORABLE,ALL VOTERS,GORE,MCCAIN,1.104
STATE,NO,EAST/RICHMOND,NO,BOTH,BUSH,BOTH,NO,YES,LOYAL REPUBLICAN,NOT CONSERVATIVE ENOUGH,47.0,2.0,10.0,FIRST CALL,50-59,WHITE,MALE,BUSH,BEFORE THAT,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,SAME,STRENGTHEN SOCIAL SECURITY,REPUBLICAN,POST GRADUATE STUDY,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,COMPLETE,45-59,50-59,REPUBLICAN,50-64,50-64,FAVORABLE,FAVORABLE,ONLY REPUBLICANS,BUSH,OMITS,1.258
STATE,YES,EAST/RICHMOND,NO,BUSH,BUSH,BOTH,YES,YES,OMITS,NOT CONSERVATIVE ENOUGH,47.0,2.0,11.0,FIRST CALL,65-74,WHITE,MALE,BUSH,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,WORSE,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,COMPLETE,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,ALL VOTERS,BUSH,MCCAIN,1.534
STATE,YES,EAST/RICHMOND,NO,BUSH,BUSH,BUSH,YES,YES,LOYAL REPUBLICAN,OMITS,47.0,2.0,12.0,FIRST CALL,65-74,WHITE,MALE,BUSH,THIS YEAR,TAXES,MORAL VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,SAME,TAX CUT,REPUBLICAN,POST GRADUATE STUDY,"$75,000-$99,999",YES,MODERATE,MODERATE,65+,18-74,COMPLETE,60+,60+,REPUBLICAN,65+,65-74,FAVORABLE,UNFAVORABLE,ONLY REPUBLICANS,BUSH,OMITS,1.534
