ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,PRESCA04,SENCA04,PROP71CA,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,ATTEND,EDUC,UNION4,MEXICAN,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECCA,COUNTACC,ARNLDJOB,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,ATTEND2,ATTREL,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,COUNT2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,QRACE,SPANISHQ,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1466401.0,California,,National,1.0,,Complete,Phone survey,0.405496090650558,Kerry,Jones,Yes,Female,White,45-49,Democrat,Moderate,No,"$200,000 or more",About the same,Jewish,A few times a year,Some college/associate degree,No one does,No,,,Iraq,Cares about people like me,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,,,Very badly,,,,White female,45-59,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",Jewish,White Jewish,All others,Occasionally,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,No one in household is union member,Voter is not union member,White,English,Los Angeles County,"City over 500,000","City over 50,000",,90045.0
1466402.0,California,,National,1.0,,Complete,Phone survey,0.794803142547607,Kerry,Boxer,Yes,Female,White,40-44,Democrat,Liberal,Yes,,Worse today,Protestant,A few times a month,Some college/associate degree,No one does,No,,,Terrorism,Has clear stands on the issues,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,,,Very badly,,,,White female,30-44,40-49,18-64,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,Protestants/Non-weekly,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,No one in household is union member,Voter is not union member,White,English,Inland/Valley,"City: 50,000 to 500,000","City over 50,000",,95814.0
1466403.0,California,,National,1.0,,Complete,Phone survey,0.42534464597702,Kerry,Boxer,Yes,Female,White,75 or over,Democrat,Liberal,No,,About the same,Catholic,A few times a year,College graduate,,No,,,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,White female,60 or over,65 or over,65 or over,Democrat,,,Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,,,White,English,Southern California,"City: 50,000 to 500,000","City over 50,000",,92869.0
1466404.0,California,,National,1.0,,Complete,Phone survey,0.429436147212982,Kerry,Boxer,Yes,Male,White,75 or over,Democrat,Liberal,No,"Under $15,000",About the same,None,Never,High school graduate,No one does,No,,,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,White male,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",None,White None,All others,Never,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,No one in household is union member,Voter is not union member,White,English,Bay Area,"City: 50,000 to 500,000","City over 50,000",,94602.0
1466405.0,California,,National,1.0,,Complete,Phone survey,0.42534464597702,Kerry,Boxer,Yes,Female,White,75 or over,Democrat,Moderate,No,"$30,000-$49,999",About the same,Other Christian,Once a week,College graduate,No one does,No,,,Economy/Jobs,Is a strong leader,Somewhat disapprove,Somewhat approve,Safer from terrorism,,,Very badly,,,,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Weekly,All others,College graduate,Somewhat/Strongly disapprove,,,Strongly/Somewhat approve,Somewhat/Very badly,,,,,,No one in household is union member,Voter is not union member,White,English,Southern California,Suburbs,Suburbs,,92653.0
1466406.0,California,,National,1.0,,Complete,Phone survey,0.423513740301132,Kerry,Boxer,Yes,Female,White,40-44,Independent,Moderate,No,"$100,000-$149,999",About the same,Catholic,A few times a year,College graduate,,No,,,Omit,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,White female,30-44,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,,,White,English,Southern California,Suburbs,Suburbs,,92307.0
1466407.0,California,,National,1.0,,Complete,Phone survey,0.593510210514069,Kerry,Boxer,Did not vote,Female,White,40-44,Independent,Moderate,No,"Under $15,000",Better today,Other Christian,A few times a year,College graduate,No one does,No,,,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,White female,30-44,40-49,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,No one in household is union member,Voter is not union member,White,English,Coastal,Rural,Small cities and Rural,,95437.0
1466408.0,California,,National,1.0,,Complete,Phone survey,0.405496090650558,Bush,Jones,Yes,Female,White,30-39,Republican,Conservative,Yes,"$15,000-$29,999",About the same,Catholic,A few times a year,Some college/associate degree,No one does,No,,,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Less safe from terrorism,,,Somewhat well,,,,White female,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,,No one in household is union member,Voter is not union member,White,English,Coastal,"City: 50,000 to 500,000","City over 50,000",,93105.0
1466409.0,California,,National,1.0,,Complete,Phone survey,0.440989404916763,Bush,Jones,No,Male,White,40-44,Republican,Moderate,No,"$75,000-$99,999",Better today,Other Christian,Never,High school graduate,"Yes, I do",No,,,Moral values,Has clear stands on the issues,Strongly approve,Strongly approve,Safer from terrorism,,,Somewhat badly,,,,White male,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Never,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Somewhat/Very badly,,,,,,Someone in household is union member,Voter is union member,White,English,Inland/Valley,Suburbs,Suburbs,,93620.0
1466410.0,California,,National,1.0,,Complete,Phone survey,1.81105470657349,Bush,Did not vote,No,Male,White,18-24,Republican,Moderate,No,"$15,000-$29,999",About the same,Protestant,More than once a week,High school graduate,No one does,No,,,Terrorism,Is a strong leader,Somewhat approve,Somewhat approve,Less safe from terrorism,,,Very badly,,,,White male,18-29,18-24,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Weekly,Protestants/Weekly,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Somewhat/Very badly,,,,,,No one in household is union member,Voter is not union member,White,English,Inland/Valley,Suburbs,Suburbs,,93308.0
