ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,WGT,PRESKS04,SENKS04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,BRNAGAIN,LATINO,TIMEPRES,FORCAND,BUSH4,IRAQAPP,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,BUSH,TIME3D,TIMEWK,IRAQ2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1485464.0,Kansas,46.0,National,3.0,Call 1,0.645224153995514,Bush,Brownback,Male,White,25-29,Republican,Conservative,"$100,000-$149,999",,Catholic,No,No,,For your candidate,,,White male,18-29,25-29,18-64,Republican,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,All others,,,,,White,Topeka/Kansas City area,"City: 50,000 to 500,000","City over 50,000",2.0,66604.0
1533726.0,Kansas,12.0,State,1.0,Call 3,1.06398808956146,Bush,Brownback,Female,White,18-24,Republican,Moderate,"$30,000-$49,999",Better today,Other Christian,No,No,Before that,Against his opponent,Somewhat approve,Strongly approve,White female,18-29,18-24,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Rural counties,"City: 10,000 to 49,999",Small cities and Rural,1.0,67846.0
1511106.0,Kansas,20.0,National,2.0,Call 2,0.882694244384766,Bush,Brownback,Female,White,40-44,Something Else,Moderate,"$75,000-$99,999",About the same,Other Christian,No,No,During the last month,,Strongly approve,Strongly approve,White female,30-44,40-49,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Kansas City suburbs/Southeast,Suburbs,Suburbs,3.0,66227.0
1485594.0,Kansas,35.0,State,1.0,Call 1,0.785916209220886,Kerry,Jones,Male,White,65-74,Democrat,Moderate,"$30,000-$49,999",Worse today,Catholic,No,No,Before that,For your candidate,Strongly disapprove,Strongly disapprove,White male,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Rural counties,"City: 10,000 to 49,999",Small cities and Rural,1.0,67401.0
1533164.0,Kansas,26.0,State,1.0,Call 3,0.512745499610901,Kerry,Jones,Female,White,25-29,Independent,Moderate,"Under $15,000",Worse today,Catholic,No,No,During the last month,For your candidate,Somewhat disapprove,Somewhat approve,White female,18-29,25-29,18-64,Independent,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Rural counties,Rural,Small cities and Rural,1.0,67456.0
1482425.0,Kansas,26.0,State,1.0,Call 1,0.918706178665161,Bush,Brownback,Male,White,65-74,Republican,Conservative,"$30,000-$49,999",Better today,Protestant,No,,Before that,For your candidate,Strongly approve,Strongly approve,White male,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Rural counties,Rural,Small cities and Rural,1.0,67456.0
1482424.0,Kansas,19.0,State,1.0,Call 1,0.513934731483459,Kerry,Did not vote,Female,White,50-59,Independent,Liberal,"$50,000-$74,999",About the same,Something else,No,No,Before that,Against his opponent,Strongly disapprove,Strongly disapprove,White female,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Something else,White Something else,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,Kansas City suburbs/Southeast,Suburbs,Suburbs,3.0,66218.0
1485730.0,Kansas,45.0,State,1.0,Call 1,1.10431182384491,Kerry,Jones,Female,White,65-74,Independent,Liberal,"$15,000-$29,999",About the same,Other Christian,No,No,Before that,For your candidate,Somewhat disapprove,Strongly approve,White female,60 or over,65 or over,65 or over,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Topeka/Kansas City area,"City: 50,000 to 500,000","City over 50,000",2.0,66604.0
1536467.0,Kansas,3.0,State,1.0,Call 3,0.929695069789886,Bush,Brownback,Female,White,30-39,Republican,Conservative,"$30,000-$49,999",Better today,Other Christian,Yes,No,Before that,For your candidate,Strongly approve,Strongly approve,White female,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Wichita area,Suburbs,Suburbs,4.0,67133.0
1485726.0,Kansas,12.0,State,1.0,Call 1,1.13992559909821,Bush,Brownback,Male,White,25-29,Republican,Moderate,"$50,000-$74,999",Better today,Protestant,Yes,No,Before that,Against his opponent,Somewhat approve,Strongly approve,White male,18-29,25-29,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Rural counties,"City: 10,000 to 49,999",Small cities and Rural,1.0,67846.0
1509991.0,Kansas,16.0,State,1.0,Call 2,1.2098513841629,Bush,Brownback,Male,White,65-74,Republican,Moderate,"$150,000-$199,999",About the same,Catholic,Yes,No,Before that,For your candidate,Strongly approve,Somewhat approve,White male,60 or over,65 or over,65 or over,Republican,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Kansas City suburbs/Southeast,Suburbs,Suburbs,3.0,66207.0
1483442.0,Kansas,20.0,National,1.0,Call 1,0.882694244384766,Bush,Brownback,Female,White,40-44,Republican,Conservative,,Better today,Protestant,No,No,Before that,,Strongly approve,Strongly approve,White female,30-44,40-49,18-64,Republican,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Kansas City suburbs/Southeast,Suburbs,Suburbs,3.0,66227.0
1510360.0,Kansas,45.0,State,1.0,Call 2,0.778199374675751,Bush,Brownback,Male,White,30-39,Democrat,Liberal,"$75,000-$99,999",Better today,Other Christian,Yes,No,During the last month,For your candidate,Strongly approve,Somewhat approve,White male,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,Topeka/Kansas City area,"City: 50,000 to 500,000","City over 50,000",2.0,66604.0
