ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESKY04,SENKY04,AMEND1KY,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,ATTEND,BRNAGAIN,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,TRSTTERR,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,ATTEND2,ATTREL,RELGCONS,BUSH,TIME3D,TIMEWK,IRAQ2,BUSHTERR,KERRTERR,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1474454.0,Kentucky,43.0,State,1.0,Call 2,Not complete,1.54916608333588,Bush,Bunning,Yes,Female,White,65-74,,,,,,,,Before that,For your candidate,Terrorism,Omit,Strongly approve,,,White female,60 or over,65 or over,65 or over,,,,,,All others,All others,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,,,,White,East/Frankfort/Lexington,Rural,Small cities and Rural,4.0,41003.0
1472115.0,Kentucky,81.0,State,1.0,Call 1,Complete,1.01002144813538,Bush,Bunning,Yes,Female,White,50-59,Democrat,Conservative,"Under $15,000",About the same,Protestant,More than once a week,,Before that,Against his opponent,Moral values,Has strong religious faith,Somewhat approve,Somewhat approve,Only George W. Bush,White female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,Weekly,Protestants/Weekly,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,East/Frankfort/Lexington,Rural,Small cities and Rural,5.0,41203.0
1472113.0,Kentucky,26.0,State,1.0,Call 1,Complete,0.468902051448822,Bush,Bunning,No,Female,White,25-29,Independent,Moderate,"$50,000-$74,999",Better today,None,A few times a year,No,Before that,Against his opponent,Terrorism,Has clear stands on the issues,Somewhat approve,Somewhat approve,Only George W. Bush,White female,18-29,25-29,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,All others,Occasionally,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,West,"City: 50,000 to 500,000","City over 50,000",2.0,42301.0
1472112.0,Kentucky,50.0,National,1.0,Call 1,Complete,1.0361466407775901,Bush,Bunning,Yes,Female,White,30-39,Republican,Conservative,"$75,000-$99,999",About the same,Other Christian,More than once a week,Yes,Before that,,Moral values,Has strong religious faith,Strongly approve,Strongly approve,,White female,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Weekly,All others,Religious conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,White,Jefferson county,Suburbs,Suburbs,3.0,40241.0
1523437.0,Kentucky,25.0,National,4.0,Call 3,Complete,2.9671528339386,Kerry,Mongiardo,Yes,Female,White,60-64,Democrat,Conservative,"$15,000-$29,999",,,,,Just today,,,,,,Neither of them,White female,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",,,,,,,,,Just today/In the last three days,Just today/In the last three days/Sometime last week,,Only Kerry/Neither,Only Bush/Neither,White,West,"City: 50,000 to 500,000","City over 50,000",2.0,42301.0
1495440.0,Kentucky,81.0,State,1.0,Call 2,Complete,1.37530827522278,Did not vote,Mongiardo,Yes,Female,White,40-44,Democrat,Moderate,,Worse today,Other Christian,More than once a week,Yes,Omit,Omit,Omit,Omit,Strongly disapprove,Strongly disapprove,Only John Kerry,White female,30-44,40-49,18-64,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Weekly,All others,All others,Somewhat/Strongly disapprove,Omit,Omit,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,East/Frankfort/Lexington,Rural,Small cities and Rural,5.0,41203.0
1521102.0,Kentucky,26.0,State,1.0,Call 3,Complete,1.20642197132111,Bush,Bunning,Yes,Male,White,30-39,Republican,Conservative,"Under $15,000",Worse today,Protestant,A few times a month,Yes,Before that,For your candidate,Moral values,Is honest and trustworthy,Somewhat approve,Strongly approve,Only George W. Bush,White male,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Occasionally,Protestants/Non-weekly,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,West,"City: 50,000 to 500,000","City over 50,000",2.0,42301.0
1518768.0,Kentucky,50.0,National,1.0,Call 3,Complete,0.918794751167297,Bush,Bunning,No,Male,White,30-39,Independent,Moderate,"$15,000-$29,999",Better today,Catholic,Once a week,No,Before that,,Terrorism,Has clear stands on the issues,Strongly approve,Somewhat approve,,White male,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,All others,Weekly,Catholics/Weekly,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,White,Jefferson county,Suburbs,Suburbs,3.0,40241.0
1524756.0,Kentucky,44.0,State,1.0,Call 3,Complete,0.55532693862915,Kerry,Mongiardo,,Male,White,40-44,Democrat,Liberal,"Under $15,000",Worse today,Protestant,Never,Yes,Before that,Against his opponent,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Neither of them,White male,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Never,Protestants/Non-weekly,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,White,West,Suburbs,Suburbs,1.0,42420.0
1472106.0,Kentucky,71.0,State,1.0,Call 1,Complete,0.898959934711456,Bush,Bunning,Yes,Female,White,50-59,Republican,Conservative,"Under $15,000",Better today,Other Christian,Once a week,Yes,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Only George W. Bush,White female,45-59,50-64,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Weekly,All others,Religious conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,South-central,Rural,Small cities and Rural,2.0,40051.0
1521098.0,Kentucky,3.0,State,1.0,Call 3,Complete,1.1840991973877,Kerry,Mongiardo,Yes,Female,White,65-74,Democrat,Moderate,"$15,000-$29,999",Worse today,Mormon/LDS,A few times a month,Yes,Before that,For your candidate,Moral values,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Only John Kerry,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Occasionally,Protestants/Non-weekly,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,South-central,Rural,Small cities and Rural,2.0,42123.0
1523430.0,Kentucky,58.0,State,1.0,Call 3,Complete,0.415789395570755,Kerry,Mongiardo,No,Female,Black,30-39,Democrat,Liberal,"$15,000-$29,999",Worse today,Something else,A few times a year,Yes,Before that,For your candidate,Taxes,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Neither of them,Non-white female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Something else,All others,All others,All others,Occasionally,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,Black,Jefferson county,"City: 50,000 to 500,000","City over 50,000",3.0,40210.0
1474436.0,Kentucky,44.0,State,1.0,Call 1,Complete,0.821659922599792,Kerry,Mongiardo,Yes,Male,White,45-49,Democrat,Moderate,"$15,000-$29,999",Better today,Other Christian,A few times a year,,Sometime last week,For your candidate,Economy/Jobs,Is intelligent,Somewhat disapprove,Strongly approve,Only John Kerry,White male,45-59,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Occasionally,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Only Kerry/Neither,Only Kerry/Both,White,West,Suburbs,Suburbs,1.0,42420.0
1472719.0,Kentucky,66.0,State,1.0,Call 1,Complete,1.29686379432678,Bush,Bunning,Yes,Female,White,60-64,Republican,Conservative,"$30,000-$49,999",About the same,Catholic,Once a week,No,Before that,For your candidate,Moral values,Is honest and trustworthy,Somewhat approve,Somewhat approve,Only George W. Bush,White female,60 or over,50-64,18-64,Republican,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,All others,Weekly,Catholics/Weekly,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,North,Suburbs,Suburbs,4.0,41017.0
1523427.0,Kentucky,44.0,State,1.0,Call 3,Complete,0.500720918178558,Bush,Bunning,Yes,Female,White,30-39,Republican,Conservative,"$15,000-$29,999",Omit,Protestant,More than once a week,Yes,Before that,For your candidate,Moral values,Has strong religious faith,Strongly approve,Strongly approve,Only George W. Bush,White female,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Weekly,Protestants/Weekly,Religious conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,West,Suburbs,Suburbs,1.0,42420.0
1495430.0,Kentucky,71.0,State,1.0,Call 2,Complete,0.949967980384827,Bush,Bunning,Yes,Male,White,40-44,Republican,Conservative,,About the same,Other Christian,A few times a month,No,Before that,For your candidate,Moral values,Is honest and trustworthy,Strongly approve,Strongly approve,Only George W. Bush,White male,30-44,40-49,18-64,Republican,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,Occasionally,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,South-central,Rural,Small cities and Rural,2.0,40051.0
1521600.0,Kentucky,40.0,State,1.0,Call 3,Complete,0.867268204689026,Bush,Bunning,Yes,Female,White,25-29,Republican,Conservative,"$50,000-$74,999",Better today,Catholic,A few times a month,Yes,Before that,For your candidate,Moral values,Is a strong leader,Strongly approve,Somewhat approve,Both of them,White female,18-29,25-29,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,White evangelicals,Occasionally,Catholics/Non-weekly,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Kerry/Both,White,South-central,Rural,Small cities and Rural,2.0,42726.0
1472097.0,Kentucky,47.0,State,1.0,Call 1,Complete,0.63294780254364,Kerry,Mongiardo,No,Male,White,65-74,Democrat,Liberal,"$30,000-$49,999",About the same,Catholic,A few times a month,No,Before that,Against his opponent,Iraq,Cares about people like me,Strongly disapprove,Strongly disapprove,Only John Kerry,White male,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,All others,Occasionally,Catholics/Non-weekly,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,Jefferson county,"City: 50,000 to 500,000","City over 50,000",3.0,40218.0
