ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESLA04,SENLA04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,ATTEND,BRNAGAIN,EDUC,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,JOBSIT,STECLA,COUNTACC,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,ATTEND2,ATTREL,RELGCONS,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,COUNT2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1511765.0,Louisiana,100.0,State,1.0,Call 2,Complete,0.714382708072662,Kerry,Kennedy,Male,Black,50-59,Democrat,Moderate,No,,Worse today,Protestant,A few times a year,No,High school graduate,Before that,For your candidate,Taxes,Cares about people like me,Strongly disapprove,Strongly disapprove,Safer from terrorism,Only John Kerry,Only John Kerry,Very badly,Worse today,Good,Not very confident,Non-white male,45-59,50-64,18-64,Democrat,,,Protestant/Other Christian,All others,All others,All others,Occasionally,Protestants/Non-weekly,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Not very/Not at all confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Black,Protestant North,"City: 50,000 to 500,000","City over 50,000",5.0,71202.0
1506900.0,Louisiana,56.0,State,1.0,Call 2,Complete,0.898563325405121,Kerry,John,Female,Black,30-39,Democrat,Liberal,No,"$30,000-$49,999",About the same,Other Christian,A few times a month,Yes,Some college/associate degree,Before that,For your candidate,Economy/Jobs,Has strong religious faith,Strongly disapprove,Strongly disapprove,Safer from terrorism,Only John Kerry,Only John Kerry,Very badly,About the same,Poor,Somewhat confident,Non-white female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Occasionally,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Black,New Orleans Area,Suburbs,Suburbs,3.0,70072.0
1511760.0,Louisiana,38.0,State,1.0,Call 2,Complete,0.646317899227142,Bush,Vitter,Female,White,50-59,Independent,Moderate,No,"$100,000-$149,999",Better today,Protestant,A few times a year,No,College graduate,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,About the same,Not so good,Very confident,White female,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Occasionally,Protestants/Non-weekly,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,White,Protestant North,"City: 50,000 to 500,000","City over 50,000",6.0,70809.0
1477731.0,Louisiana,56.0,State,1.0,Call 1,Complete,0.791157960891724,Kerry,John,Male,Black,25-29,Democrat,Conservative,No,"$30,000-$49,999",About the same,Other Christian,Once a week,No,Some college/associate degree,Before that,For your candidate,Economy/Jobs,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,Both of them,Both of them,Somewhat badly,About the same,Not so good,Very confident,Non-white male,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Weekly,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Black,New Orleans Area,Suburbs,Suburbs,3.0,70072.0
1477725.0,Louisiana,111.0,State,1.0,Call 1,Complete,1.19712555408478,Bush,Vitter,Female,White,60-64,Independent,Moderate,No,"Under $15,000",About the same,Protestant,More than once a week,Yes,Some college/associate degree,Before that,For your candidate,Moral values,Has clear stands on the issues,Somewhat approve,Strongly approve,Less safe from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,About the same,Not so good,Very confident,White female,60 or over,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Weekly,Protestants/Weekly,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,White,New Orleans Area,Suburbs,Suburbs,3.0,70043.0
1508352.0,Louisiana,117.0,State,1.0,Call 2,Complete,0.885426938533783,Bush,Vitter,Male,White,50-59,Republican,Conservative,No,"$50,000-$74,999",Better today,Catholic,Once a week,No,College graduate,Before that,For your candidate,Economy/Jobs,Has clear stands on the issues,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,About the same,Good,Very confident,White male,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,Weekly,Catholics/Weekly,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,White,Cajun Country,Suburbs,Suburbs,3.0,70084.0
1506887.0,Louisiana,15.0,State,1.0,Call 2,Complete,0.79657107591629,Bush,Vitter,Female,White,25-29,Independent,Liberal,No,"$50,000-$74,999",Better today,Catholic,A few times a year,Yes,High school graduate,Before that,For your candidate,Terrorism,Cares about people like me,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat badly,Better today,Good,Very confident,White female,18-29,25-29,18-64,Independent,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,White evangelicals,Occasionally,Catholics/Non-weekly,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,White,Cajun Country,Suburbs,Suburbs,7.0,70611.0
1477719.0,Louisiana,130.0,State,1.0,Call 1,Complete,0.634724617004395,Bush,Vitter,Male,White,25-29,Independent,Moderate,No,"$75,000-$99,999",Worse today,Catholic,A few times a year,No,Postgraduate study,Before that,For your candidate,Taxes,Is honest and trustworthy,Somewhat approve,Strongly approve,Safer from terrorism,Only George W. Bush,Both of them,Very well,Better today,Good,Very confident,White male,18-29,25-29,18-64,Independent,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,Occasionally,Catholics/Non-weekly,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Bush/Neither,White,Protestant North,Suburbs,Suburbs,1.0,70458.0
1511735.0,Louisiana,33.0,National,4.0,Call 2,Complete,0.735028207302094,Bush,Vitter,Female,White,50-59,Republican,Conservative,,"$150,000-$199,999",,,,,Postgraduate study,Before that,,,,,,,Only George W. Bush,Only George W. Bush,,About the same,,,White female,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",,,,,,,,College graduate,,Sometime last week/During the last month/Before that,During the last month/Before that,,,,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,White,Protestant North,"City: 50,000 to 500,000","City over 50,000",6.0,70809.0
1477706.0,Louisiana,114.0,State,1.0,Call 1,Complete,1.13825833797455,Kerry,John,Male,Black,50-59,Independent,Moderate,No,"$30,000-$49,999",Worse today,Catholic,Once a week,No,Some college/associate degree,Before that,Against his opponent,Economy/Jobs,Will bring about needed change,Strongly disapprove,Somewhat approve,Less safe from terrorism,Both of them,Only John Kerry,Somewhat badly,Worse today,Poor,Very confident,Non-white male,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Catholic,All others,All others,All others,Weekly,Catholics/Weekly,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Black,Cajun Country,Suburbs,Suburbs,3.0,70723.0
