ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESME04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,VETVOTER,GUNOWNER,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,BUSH,TIME3D,TIMEWK,IRAQ2,BUSHTERR,KERRTERR,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1477742.0,Maine,1.0,State,1.0,Call 1,Complete,1.23729133605957,Bush,Male,White,40-44,Republican,Conservative,"$50,000-$74,999",Better today,Protestant,Yes,Yes,Before that,For your candidate,Terrorism,Has clear stands on the issues,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,White male,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,CD 1,Rural,Small cities and Rural,1.0,4046.0
1503656.0,Maine,76.0,State,1.0,Call 2,Complete,1.29472088813782,Nader,Female,White,18-24,Independent,Moderate,"Under $15,000",Worse today,Catholic,No,Yes,Before that,Against his opponent,Economy/Jobs,Is honest and trustworthy,Somewhat disapprove,Somewhat disapprove,Safer from terrorism,Neither of them,White female,18-29,18-24,18-64,Independent,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,White,CD 2,Rural,Small cities and Rural,2.0,4685.0
1531210.0,Maine,77.0,State,1.0,Call 3,Complete,1.03846991062164,Bush,Male,White,25-29,Republican,Conservative,,Better today,Protestant,No,Yes,Before that,For your candidate,Moral values,Has strong religious faith,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,White male,18-29,25-29,18-64,Republican,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,CD 1,Rural,Small cities and Rural,1.0,4572.0
1477736.0,Maine,17.0,State,1.0,Call 1,Not complete,1.49111235141754,Bush,Male,White,60-64,,,,,,,,In the last three days,For your candidate,Omit,Cares about people like me,Strongly approve,,,,White male,60 or over,50-64,18-64,,,,,,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,,,,White,CD 2,Rural,Small cities and Rural,2.0,4736.0
1477735.0,Maine,50.0,State,1.0,Call 1,Complete,1.26995897293091,Bush,Male,White,18-24,Republican,Moderate,"$30,000-$49,999",About the same,Catholic,No,No,Before that,For your candidate,Terrorism,Has clear stands on the issues,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,White male,18-29,18-24,18-64,Republican,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,CD 2,Rural,Small cities and Rural,2.0,4472.0
1477728.0,Maine,66.0,State,1.0,Call 1,Complete,1.21728098392487,Kerry,Female,White,75 or over,Democrat,Conservative,"Under $15,000",Worse today,Catholic,No,No,Before that,For your candidate,Terrorism,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,CD 1,Rural,Small cities and Rural,1.0,4073.0
1477727.0,Maine,27.0,State,1.0,Call 1,Complete,1.21468341350555,Bush,Male,White,40-44,Republican,Moderate,"$30,000-$49,999",Worse today,Protestant,No,Yes,During the last month,For your candidate,Iraq,Is a strong leader,Somewhat approve,Strongly approve,Safer from terrorism,Only George W. Bush,White male,30-44,40-49,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,CD 2,"City: 10,000 to 49,999",Small cities and Rural,2.0,4401.0
1527204.0,Maine,78.0,State,1.0,Call 3,Complete,0.399431169033051,Kerry,Female,White,40-44,Independent,Moderate,"$50,000-$74,999",Worse today,Protestant,No,Yes,Before that,Against his opponent,Moral values,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,White female,30-44,40-49,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,CD 1,"City: 10,000 to 49,999",Small cities and Rural,1.0,4901.0
1531190.0,Maine,17.0,State,1.0,Call 3,Not complete,1.09486591815948,Kerry,Female,White,40-44,,,,,,,,Just today,Against his opponent,Omit,Omit,Strongly disapprove,,,,White female,30-44,40-49,18-64,,,,,,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,,,,White,CD 2,Rural,Small cities and Rural,2.0,4736.0
1477714.0,Maine,62.0,State,1.0,Call 1,Complete,1.13780176639557,Kerry,Female,White,50-59,Something Else,Moderate,"$75,000-$99,999",Worse today,Protestant,No,No,During the last month,Against his opponent,Iraq,Cares about people like me,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,White female,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,CD 2,Rural,Small cities and Rural,2.0,4276.0
1477713.0,Maine,84.0,State,1.0,Call 1,Complete,1.11151421070099,Bush,Female,White,18-24,Democrat,Liberal,"Under $15,000",Better today,Other Christian,No,Yes,During the last month,For your candidate,Taxes,Has clear stands on the issues,Somewhat approve,Somewhat approve,Less safe from terrorism,Only George W. Bush,White female,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,CD 2,Rural,Small cities and Rural,2.0,4219.0
1477710.0,Maine,53.0,State,1.0,Call 1,Complete,0.504590392112732,Kerry,Female,White,50-59,Independent,Moderate,"$200,000 or more",About the same,None,No,No,Before that,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,White female,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",None,White None,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,CD 2,Rural,Small cities and Rural,2.0,4281.0
1506567.0,Maine,58.0,National,1.0,Call 2,Complete,1.60891318321228,Bush,Female,Other,50-59,Republican,Liberal,"$15,000-$29,999",Worse today,Catholic,No,,Just today,,Health care,Will bring about needed change,Strongly disapprove,Strongly disapprove,Safer from terrorism,,Non-white female,45-59,50-64,18-64,Republican,"Under $50,000","Under $100,000",Catholic,All others,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,,,Other,CD 1,"City: 10,000 to 49,999",Small cities and Rural,1.0,4116.0
1531172.0,Maine,46.0,State,1.0,Call 3,Complete,0.252407431602478,Bush,Male,White,30-39,Republican,Conservative,"$30,000-$49,999",Better today,Protestant,No,Yes,Before that,For your candidate,Moral values,Has strong religious faith,Strongly approve,Somewhat approve,Safer from terrorism,Only George W. Bush,White male,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,CD 1,Suburbs,Suburbs,1.0,4097.0
1531170.0,Maine,53.0,State,1.0,Call 3,Complete,0.504590392112732,Kerry,Female,White,45-49,Democrat,Liberal,"$30,000-$49,999",Worse today,Protestant,No,Yes,Before that,Against his opponent,Iraq,Will bring about needed change,Somewhat disapprove,Somewhat approve,Less safe from terrorism,Neither of them,White female,45-59,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Kerry/Neither,Only Bush/Neither,White,CD 2,Rural,Small cities and Rural,2.0,4281.0
