ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESMN04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,ATTEND,EDUC,UNION4,MARRIED,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,TERRWORR,STECMN,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,ATTEND2,ATTREL,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,TERWORR2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1490664.0,Minnesota,55.0,National,2.0,Call 1,Complete,0.861252665519714,Kerry,Male,Black,50-59,Democrat,Liberal,No,"$15,000-$29,999",About the same,Other Christian,A few times a year,College graduate,"Yes, someone else does",No,Sometime last week,,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Less safe from terrorism,,,Very badly,,,Non-white male,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Occasionally,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Somewhat/Very badly,,,,,,Someone in household is union member,Voter is not union member,All others,Black,West,"City: 10,000 to 49,999",Small cities and Rural,1.0,56187.0
1492317.0,Minnesota,34.0,National,2.0,Call 1,Complete,0.801757276058197,Kerry,Female,White,50-59,Independent,Liberal,No,"$100,000-$149,999",Worse today,None,Never,Postgraduate study,No one does,No,Before that,,Economy/Jobs,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,White female,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",None,White None,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,No one in household is union member,Voter is not union member,All others,White,Minneapolis/St. Paul area,"City: 50,000 to 500,000","City over 50,000",5.0,55407.0
1533254.0,Minnesota,55.0,National,3.0,Call 3,Complete,1.1019823551178,Bush,Male,White,30-39,Republican,Conservative,,"$15,000-$29,999",,Catholic,Never,,,Yes,,For your candidate,,,,,,,,,,,White male,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Never,Catholics/Non-weekly,,,,,,,,,,,,,,All others,White,West,"City: 10,000 to 49,999",Small cities and Rural,1.0,56187.0
1492307.0,Minnesota,88.0,National,2.0,Call 1,Complete,0.931919693946838,Kerry,Female,White,50-59,Democrat,Liberal,No,"$15,000-$29,999",Worse today,Protestant,More than once a week,College graduate,No one does,No,Before that,,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,White female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Weekly,Protestants/Weekly,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,No one in household is union member,Voter is not union member,All others,White,Twin Cities Suburbs,Suburbs,Suburbs,6.0,55125.0
1492306.0,Minnesota,11.0,State,1.0,Call 1,Complete,1.01155722141266,Kerry,Male,White,50-59,Democrat,Liberal,No,"$150,000-$199,999",Worse today,None,Never,College graduate,No one does,Yes,Before that,Against his opponent,Iraq,Is honest and trustworthy,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Very worried,Good,White male,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",None,White None,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Twin Cities Suburbs,Suburbs,Suburbs,2.0,55124.0
1531919.0,Minnesota,75.0,State,1.0,Call 3,Complete,0.664303302764893,Bush,Male,Black,30-39,Independent,Conservative,No,"$30,000-$49,999",Better today,Other Christian,Once a week,Some college/associate degree,"Yes, I do",No,Sometime last week,For your candidate,Moral values,Has strong religious faith,Somewhat disapprove,Somewhat approve,Safer from terrorism,Both of them,Both of them,Very badly,Somewhat worried,Not so good,Non-white male,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Weekly,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Somewhat/Very badly,Very/Somewhat worried,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Someone in household is union member,Voter is union member,All others,Black,East,"City: 50,000 to 500,000","City over 50,000",8.0,55808.0
1540910.0,Minnesota,25.0,State,1.0,Call 3,Complete,1.18832468986511,Bush,Male,White,30-39,Independent,Moderate,No,"$100,000-$149,999",Better today,Protestant,Once a week,Postgraduate study,No one does,Yes,Before that,Against his opponent,Iraq,Has strong religious faith,Somewhat approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Not too worried,Good,White male,30-44,30-39,18-64,Independent,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Weekly,Protestants/Weekly,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Not too/Not at all worried,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Minneapolis/St. Paul area,"City: 50,000 to 500,000","City over 50,000",3.0,55344.0
1492299.0,Minnesota,69.0,State,1.0,Call 1,Complete,0.849862694740295,Kerry,Female,White,50-59,Democrat,Liberal,No,,About the same,None,Never,Postgraduate study,No one does,Yes,Before that,For your candidate,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Somewhat worried,Good,White female,45-59,50-64,18-64,Democrat,,,None,White None,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Married women,White,Minneapolis/St. Paul area,"City: 50,000 to 500,000","City over 50,000",4.0,55102.0
1536047.0,Minnesota,49.0,State,1.0,Call 3,Complete,1.07046103477478,Kerry,Female,White,25-29,Democrat,Moderate,No,"$30,000-$49,999",Worse today,Catholic,Once a week,,No one does,Yes,Before that,Against his opponent,Education,Will bring about needed change,Strongly disapprove,Strongly disapprove,Safer from terrorism,Only John Kerry,Only John Kerry,Very badly,Somewhat worried,Poor,White female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Weekly,Catholics/Weekly,,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Married women,White,East,Rural,Small cities and Rural,8.0,56660.0
1494201.0,Minnesota,33.0,State,1.0,Call 1,Complete,0.718286871910095,Kerry,Male,Black,30-39,Independent,Moderate,No,"$50,000-$74,999",About the same,None,A few times a year,Some college/associate degree,"Yes, I do",No,Before that,For your candidate,Omit,Will bring about needed change,Strongly disapprove,Strongly disapprove,Safer from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Somewhat worried,Not so good,Non-white male,30-44,30-39,18-64,Independent,"$50,000 or more","Under $100,000",None,All others,All others,Occasionally,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,All others,Black,Minneapolis/St. Paul area,"City: 50,000 to 500,000","City over 50,000",5.0,55408.0
