ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESND04,SENND04,HOUND04,GOVND04,MEAS1ND,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,BRNAGAIN,TIMEPRES,FORCAND,BUSH4,IRAQAPP,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,BUSH,TIME3D,TIMEWK,IRAQ2,QRACEAI,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1534272.0,North Dakota,65.0,State,1.0,Call 3,Complete,0.831387460231781,Bush,Liffrig,Sand,Hoeven,Yes,Female,White,30-39,Republican,Conservative,"$75,000-$99,999",Better today,Other Christian,No,Before that,For your candidate,Strongly approve,Strongly approve,White female,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,South,"City: 10,000 to 49,999",Small cities and Rural,1.0,58401.0
1514417.0,North Dakota,65.0,State,1.0,Call 2,Complete,0.670677542686462,Bush,Dorgan,Pomeroy,Hoeven,No,Female,White,25-29,Republican,,"$30,000-$49,999",Better today,Other Christian,No,Before that,Omit,Strongly approve,Somewhat approve,White female,18-29,25-29,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,South,"City: 10,000 to 49,999",Small cities and Rural,1.0,58401.0
1491247.0,North Dakota,43.0,State,1.0,Call 1,Complete,0.998658716678619,Kerry,Dorgan,Pomeroy,Satrom,Yes,Male,White,,,,,Omit,,,Just today,For your candidate,Omit,Somewhat approve,White male,,,,,,,,,All others,All others,Omit,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,White,South,Rural,Small cities and Rural,1.0,58647.0
1512202.0,North Dakota,58.0,State,1.0,Call 2,Complete,0.960675060749054,Bush,Liffrig,Sand,Hoeven,Did not vote,Male,White,18-24,Republican,Moderate,"$50,000-$74,999",Better today,Other Christian,No,In the last three days,For your candidate,Somewhat approve,Somewhat approve,White male,18-29,18-24,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,White,East,"City: 10,000 to 49,999",Small cities and Rural,1.0,58075.0
1512201.0,North Dakota,43.0,State,1.0,Call 2,Complete,1.21532189846039,Kerry,Dorgan,Pomeroy,Satrom,No,Female,White,60-64,Democrat,Moderate,"$15,000-$29,999",Worse today,Catholic,No,Before that,For your candidate,Strongly disapprove,Strongly disapprove,White female,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,South,Rural,Small cities and Rural,1.0,58647.0
1484625.0,North Dakota,25.0,State,1.0,Call 1,Complete,0.890881538391113,Kerry,Dorgan,Pomeroy,Satrom,No,Male,White,30-39,Democrat,Moderate,"$30,000-$49,999",Worse today,None,No,Before that,For your candidate,Strongly disapprove,Strongly disapprove,White male,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",None,White None,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,East,"City: 50,000 to 500,000","City over 50,000",1.0,58102.0
1540107.0,North Dakota,49.0,State,1.0,Call 3,Complete,0.681759655475616,Bush,Dorgan,Sand,Hoeven,Yes,Female,White,50-59,Democrat,Moderate,"$50,000-$74,999",Better today,Protestant,Yes,During the last month,For your candidate,Somewhat approve,Somewhat approve,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,North,Rural,Small cities and Rural,1.0,58769.0
1539770.0,North Dakota,25.0,State,1.0,Call 3,Complete,0.588399410247803,Bush,Dorgan,Pomeroy,Hoeven,Yes,Female,White,45-49,Republican,Moderate,"$75,000-$99,999",About the same,Catholic,No,Before that,For your candidate,Somewhat approve,Somewhat approve,White female,45-59,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,White,East,"City: 50,000 to 500,000","City over 50,000",1.0,58102.0
1532048.0,North Dakota,48.0,State,1.0,Call 3,Complete,0.711263537406921,Bush,Dorgan,Sand,Hoeven,Yes,Male,White,45-49,Independent,Conservative,"$15,000-$29,999",About the same,Protestant,Yes,Sometime last week,For your candidate,Somewhat approve,Somewhat approve,White male,45-59,40-49,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,White,North,Rural,Small cities and Rural,1.0,58784.0
1483515.0,North Dakota,55.0,State,1.0,Call 1,Complete,1.03695344924927,,Dorgan,Pomeroy,Hoeven,Yes,Male,White,75 or over,Democrat,Moderate,"$30,000-$49,999",About the same,Protestant,Yes,Before that,For your candidate,Strongly disapprove,Strongly disapprove,White male,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,White,North,Rural,Small cities and Rural,1.0,58782.0
