ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESOH04,SENOH04,ISS1OH,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,ATTEND,BRNAGAIN,EDUC,UNION4,MARRIED,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,JOBSIT,STECOH,COUNTACC,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,ATTEND2,ATTREL,RELGCONS,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,COUNT2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1503654.0,Ohio,33.0,State,1.0,Call 2,Complete,0.909284055233002,Bush,Voinovich,Yes,Male,White,40-44,Republican,Conservative,No,"$15,000-$29,999",Better today,None,Never,No,College graduate,No one does,No,Before that,For your candidate,Moral values,Is a strong leader,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Worse today,Good,Very confident,White male,30-44,40-49,18-64,Republican,"Under $50,000","Under $100,000",None,White None,All others,All others,Never,All others,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Central,"City over 500,000","City over 50,000",15.0,43229.0
1477737.0,Ohio,33.0,State,1.0,Call 1,Complete,0.81867378950119,Bush,Voinovich,No,Male,White,25-29,Republican,Conservative,No,"$50,000-$74,999",Better today,Catholic,A few times a month,No,College graduate,No one does,Yes,Before that,For your candidate,Economy/Jobs,Is a strong leader,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat badly,Better today,Good,Very confident,White male,18-29,25-29,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,Occasionally,Catholics/Non-weekly,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Central,"City over 500,000","City over 50,000",15.0,43229.0
1502041.0,Ohio,55.0,National,4.0,Call 1,Complete,2.33472323417664,Bush,Voinovich,No,Female,Hispanic/Latino,30-39,Republican,Liberal,,"$30,000-$49,999",,,,,College graduate,"Yes, I do",No,Just today,,,,,,,Only George W. Bush,Only George W. Bush,,Better today,,,Non-white female,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",,,,,,,,College graduate,,Just today/In the last three days,Just today/In the last three days/Sometime last week,,,,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is union member,All others,White,Southwest,"City: 50,000 to 500,000","City over 50,000",2.0,45227.0
1502039.0,Ohio,103.0,State,1.0,Call 2,Complete,1.36040902137756,Bush,Voinovich,Yes,Female,White,50-59,Republican,Conservative,No,"$50,000-$74,999",Better today,Protestant,More than once a week,Yes,High school graduate,"Yes, I do and someone else does",Yes,Before that,For your candidate,Moral values,Has strong religious faith,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,About the same,Good,Very confident,White female,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Weekly,Protestants/Weekly,Religious conservatives,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is union member,Married women,White,Northeast,"City: 50,000 to 500,000","City over 50,000",13.0,44314.0
1531203.0,Ohio,119.0,State,1.0,Call 3,Complete,0.939712285995483,Kerry,Fingerhut,No,Male,Black,25-29,Democrat,Conservative,No,"$15,000-$29,999",Worse today,Other Christian,A few times a year,Yes,High school graduate,"Yes, I do",No,Before that,Against his opponent,Taxes,Cares about people like me,Somewhat disapprove,Somewhat approve,Safer from terrorism,Neither of them,Only John Kerry,Somewhat badly,Worse today,Not so good,Not very confident,Non-white male,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Occasionally,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Not very/Not at all confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Bush/Neither,Someone in household is union member,Voter is union member,All others,Black,Northeast,"City: 10,000 to 49,999",Small cities and Rural,16.0,44691.0
1502034.0,Ohio,26.0,State,1.0,Call 2,Complete,1.49516880512238,Bush,Voinovich,Yes,Male,White,60-64,Republican,Conservative,No,"$50,000-$74,999",About the same,Protestant,Once a week,No,High school graduate,No one does,Yes,Before that,Against his opponent,Moral values,Has clear stands on the issues,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,About the same,Good,Somewhat confident,White male,60 or over,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,Weekly,Protestants/Weekly,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Central,Suburbs,Suburbs,12.0,43032.0
1526336.0,Ohio,74.0,State,1.0,Call 3,Complete,0.573055684566498,Kerry,Voinovich,No,Female,White,18-24,Democrat,Liberal,Yes,"$75,000-$99,999",About the same,Catholic,A few times a year,No,Some college/associate degree,No one does,No,Before that,For your candidate,Moral values,Will bring about needed change,Somewhat approve,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Both of them,Somewhat badly,About the same,Not so good,Very confident,White female,18-29,18-24,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,Occasionally,Catholics/Non-weekly,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Northwest,"City: 50,000 to 500,000","City over 50,000",9.0,43607.0
1487445.0,Ohio,14.0,State,1.0,Call 1,Complete,0.928630530834198,Bush,Voinovich,Yes,Male,White,30-39,Republican,Conservative,Yes,"$50,000-$74,999",Better today,Other Christian,More than once a week,Yes,College graduate,No one does,Yes,Before that,For your candidate,Moral values,Has strong religious faith,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Better today,Good,Not at all confident,White male,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Weekly,All others,Religious conservatives,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Not very/Not at all confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Cuyahoga County,"City: 50,000 to 500,000","City over 50,000",10.0,44109.0
1475349.0,Ohio,3.0,State,1.0,Call 1,Complete,1.33311307430267,Bush,Voinovich,No,Male,White,50-59,Independent,Liberal,No,"$50,000-$74,999",About the same,Protestant,Once a week,No,Postgraduate study,"Yes, I do and someone else does",Yes,Before that,Against his opponent,Education,Is a strong leader,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Worse today,Not so good,Very confident,White male,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Weekly,Protestants/Weekly,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is union member,All others,White,Northwest,Suburbs,Suburbs,4.0,45820.0
1502018.0,Ohio,119.0,State,1.0,Call 1,Complete,1.77137970924377,Bush,Voinovich,No,,White,75 or over,Republican,Moderate,No,"$100,000-$149,999",Better today,Protestant,Once a week,Yes,High school graduate,"Yes, someone else does",Yes,Before that,For your candidate,Omit,Omit,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Very well,Worse today,Good,Somewhat confident,,60 or over,65 or over,65 or over,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Weekly,Protestants/Weekly,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is not union member,All others,White,Northeast,"City: 10,000 to 49,999",Small cities and Rural,16.0,44691.0
