ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESPA04,SENPA04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,ATTEND,EDUC,UNION4,GUNOWNER,MARRIED,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECPA,UNFR04G,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,ATTEND2,ATTREL,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNFRBUSH,UNFRKERY,UNIONHH,UNIONVOT,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1531214.0,Pennsylvania,99.0,State,1.0,Call 3,Not complete,0.694142818450928,Kerry,,Female,White,30-39,,,,,,,,,,,,Before that,Against his opponent,Iraq,Omit,Strongly disapprove,,,,,,Poor,Both candidates did,White female,30-44,30-39,18-64,,,,,,All others,,,,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,,,,,,,Only George W. Bush did/Both candidates did,Only John Kerry did/Both candidates did,,,All others,White,Northeast,Suburbs,Suburbs,10.0,18424.0
1482603.0,Pennsylvania,131.0,National,4.0,Call 1,Complete,0.772628426551819,Kerry,Specter,Female,White,30-39,Democrat,Moderate,,"$100,000-$149,999",,,,Postgraduate study,"Yes, someone else does",,Yes,Before that,,,,,,,Only John Kerry,Only John Kerry,,,,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","$100,000 or more",,,,,,College graduate,,Sometime last week/During the last month/Before that,During the last month/Before that,,,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,,,Someone in household is union member,Voter is not union member,Married women,White,Philly suburbs,Suburbs,Suburbs,13.0,19031.0
1506904.0,Pennsylvania,103.0,State,1.0,Call 2,Complete,0.399491876363754,Bush,Clymer,Female,White,18-24,Republican,Moderate,No,"$50,000-$74,999",About the same,Other Christian,More than once a week,Some college/associate degree,No one does,Yes,No,Before that,For your candidate,Moral values,Has strong religious faith,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Not so good,Both candidates did,White female,18-29,18-24,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Weekly,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Only George W. Bush did/Both candidates did,Only John Kerry did/Both candidates did,No one in household is union member,Voter is not union member,All others,White,Central/Northern Tier,Suburbs,Suburbs,16.0,17552.0
1526347.0,Pennsylvania,102.0,State,1.0,Call 3,Complete,0.767273783683777,Kerry,Hoeffel,Female,White,25-29,Independent,Liberal,Yes,"$15,000-$29,999",Worse today,Something else,More than once a week,,No one does,No,Yes,During the last month,Against his opponent,Economy/Jobs,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Both of them,Only John Kerry,Somewhat badly,Not so good,Both candidates did,White female,18-29,25-29,18-64,Independent,"Under $50,000","Under $100,000",Something else,White Something else,All others,Weekly,All others,,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Only George W. Bush did/Both candidates did,Only John Kerry did/Both candidates did,No one in household is union member,Voter is not union member,Married women,White,Central/Northern Tier,Suburbs,Suburbs,16.0,17547.0
1506899.0,Pennsylvania,31.0,State,1.0,Call 2,Complete,2.39437484741211,Bush,Specter,Male,White,60-64,Republican,Conservative,No,"$50,000-$74,999",About the same,Catholic,A few times a year,College graduate,No one does,Yes,No,Before that,For your candidate,Terrorism,Is honest and trustworthy,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Not so good,Only John Kerry did,White male,60 or over,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Only John Kerry did/Neither candidate did,Only John Kerry did/Both candidates did,No one in household is union member,Voter is not union member,All others,White,Northeast,"City: 50,000 to 500,000","City over 50,000",6.0,19601.0
1526339.0,Pennsylvania,108.0,State,1.0,Call 3,Complete,0.930530905723572,Kerry,Hoeffel,Female,White,30-39,Democrat,Liberal,No,"$30,000-$49,999",Better today,Other Christian,A few times a year,College graduate,"Yes, someone else does",No,Yes,Before that,For your candidate,Omit,Cares about people like me,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Only John Kerry,Somewhat badly,Poor,Both candidates did,White female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Bush/Neither,Only George W. Bush did/Both candidates did,Only John Kerry did/Both candidates did,Someone in household is union member,Voter is not union member,Married women,White,Pittsburg area/West,"City: 10,000 to 49,999",Small cities and Rural,4.0,16101.0
1536060.0,Pennsylvania,5.0,State,1.0,Call 3,Complete,1.46737575531006,Kerry,Hoeffel,Female,White,50-59,Democrat,Moderate,No,"$50,000-$74,999",Worse today,Catholic,Once a week,Some college/associate degree,No one does,No,Yes,Just today,Against his opponent,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Neither of them,Very badly,Poor,Both candidates did,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Weekly,Catholics/Weekly,No degree,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,Only George W. Bush did/Both candidates did,Only John Kerry did/Both candidates did,No one in household is union member,Voter is not union member,Married women,White,Pittsburg area/West,Suburbs,Suburbs,18.0,15106.0
1480073.0,Pennsylvania,19.0,National,2.0,Call 1,Complete,1.0637401342392,Kerry,Hoeffel,Female,,75 or over,Democrat,Moderate,No,"$15,000-$29,999",Worse today,,More than once a week,Did not complete high school,No one does,,No,Before that,,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",,,All others,Weekly,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,,No one in household is union member,Voter is not union member,All others,,Pittsburg area/West,Suburbs,Suburbs,4.0,15144.0
1506891.0,Pennsylvania,94.0,State,1.0,Call 2,Complete,0.433641403913498,Kerry,Specter,Male,White,18-24,Something Else,Conservative,Yes,"$15,000-$29,999",About the same,Protestant,A few times a year,Some college/associate degree,No one does,No,No,In the last three days,For your candidate,Iraq,Will bring about needed change,Somewhat approve,Strongly disapprove,Safer from terrorism,Both of them,Both of them,Very badly,Good,Neither candidate did,White male,18-29,18-24,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Occasionally,Protestants/Non-weekly,No degree,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Somewhat/Very badly,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Only John Kerry did/Neither candidate did,Only George W. Bush did/Neither candidate did,No one in household is union member,Voter is not union member,All others,White,Central/Northern Tier,"City: 10,000 to 49,999",Small cities and Rural,9.0,15701.0
1531195.0,Pennsylvania,53.0,National,4.0,Call 3,Complete,3.53808212280273,Bush,Specter,Male,White,50-59,Republican,Conservative,,"$75,000-$99,999",,,,College graduate,No one does,,Yes,Before that,,,,,,,Only George W. Bush,Only George W. Bush,,,,White male,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",,,,,,College graduate,,Sometime last week/During the last month/Before that,During the last month/Before that,,,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,,,No one in household is union member,Voter is not union member,All others,White,Philly suburbs,Suburbs,Suburbs,6.0,19460.0
1477722.0,Pennsylvania,130.0,State,1.0,Call 1,Complete,0.676085948944092,Kerry,Hoeffel,Female,White,25-29,Independent,Moderate,No,"$30,000-$49,999",About the same,Something else,Never,Postgraduate study,No one does,No,No,Before that,Against his opponent,Moral values,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Neither of them,Somewhat badly,Good,Only George W. Bush did,White female,18-29,25-29,18-64,Independent,"Under $50,000","Under $100,000",Something else,White Something else,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Kerry/Both,Only George W. Bush did/Both candidates did,Only George W. Bush did/Neither candidate did,No one in household is union member,Voter is not union member,All others,White,Philly suburbs,Suburbs,Suburbs,6.0,19401.0
1527203.0,Pennsylvania,165.0,State,1.0,Call 3,Complete,0.585208117961884,Bush,Clymer,Female,White,30-39,Republican,Conservative,No,"$50,000-$74,999",Better today,Protestant,Once a week,College graduate,"Yes, someone else does",Yes,Yes,Before that,For your candidate,Moral values,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Not so good,Omit,White female,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,Protestants/Weekly,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Omit,Omit,Someone in household is union member,Voter is not union member,Married women,White,Central/Northern Tier,Rural,Small cities and Rural,5.0,16340.0
1526327.0,Pennsylvania,103.0,State,1.0,Call 3,Complete,0.985667169094086,Bush,Specter,Male,White,40-44,Republican,Conservative,No,"$75,000-$99,999",About the same,Protestant,Once a week,College graduate,No one does,Yes,No,Before that,For your candidate,Terrorism,Cares about people like me,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Very well,Good,Only John Kerry did,White male,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,Protestants/Weekly,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Only John Kerry did/Neither candidate did,Only John Kerry did/Both candidates did,No one in household is union member,Voter is not union member,All others,White,Central/Northern Tier,Suburbs,Suburbs,16.0,17552.0
1502020.0,Pennsylvania,108.0,State,1.0,Call 2,Complete,1.33263468742371,Bush,Specter,Female,White,50-59,Republican,Conservative,No,"$75,000-$99,999",About the same,Catholic,A few times a month,College graduate,No one does,Yes,Yes,Before that,For your candidate,Moral values,Is honest and trustworthy,Somewhat approve,Strongly disapprove,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat badly,Not so good,Both candidates did,White female,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Only George W. Bush did/Both candidates did,Only John Kerry did/Both candidates did,No one in household is union member,Voter is not union member,Married women,White,Pittsburg area/West,"City: 10,000 to 49,999",Small cities and Rural,4.0,16101.0
1536046.0,Pennsylvania,85.0,State,1.0,Call 3,Complete,0.667833566665649,Bush,Specter,Male,White,50-59,Democrat,Moderate,No,"$50,000-$74,999",Better today,Protestant,A few times a year,Some college/associate degree,"Yes, I do",No,Yes,During the last month,For your candidate,Omit,Is a strong leader,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,Both candidates did,White male,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,Protestants/Non-weekly,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Only George W. Bush did/Both candidates did,Only John Kerry did/Both candidates did,Someone in household is union member,Voter is union member,All others,White,Pittsburg area/West,Suburbs,Suburbs,3.0,16407.0
1531184.0,Pennsylvania,23.0,National,2.0,Call 1,Complete,1.52607071399689,Kerry,Hoeffel,Female,White,30-39,Democrat,Liberal,No,"$30,000-$49,999",Worse today,Protestant,A few times a year,Some college/associate degree,No one does,,Yes,Before that,,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,White female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,Protestants/Non-weekly,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,,No one in household is union member,Voter is not union member,Married women,White,Pittsburg area/West,Suburbs,Suburbs,4.0,15001.0
