ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESSD04,SENSD04,HOUSD04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,EDUC,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECSD,DROUGHT,FAIRSHRE,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,FAIRDASC,FAIRTHUN,QRACEAI,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1535110.0,South Dakota,54.0,State,1.0,Call 3,Complete,0.780763924121857,Bush,Thune,Diedrich,Female,White,40-44,Republican,Conservative,No,"$15,000-$29,999",About the same,Other Christian,Some college/associate degree,Before that,For your candidate,Moral values,Will bring about needed change,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Not so good,Helped your state,Only John Thune would,White female,30-44,40-49,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Only John Thune would/Neither candidate would,Only John Thune would/Both candidates would,White,Southeast,"City: 50,000 to 500,000","City over 50,000",1.0,57106.0
1518778.0,South Dakota,46.0,State,1.0,Call 2,Complete,0.835235834121704,Bush,Thune,Diedrich,Female,White,50-59,Republican,Conservative,No,"$100,000-$149,999",About the same,Something else,College graduate,During the last month,For your candidate,Taxes,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,Both of them,Both of them,Somewhat well,Good,Helped your state,Both candidates would,White female,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Something else,White Something else,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Only Tom Daschle would/Both candidates would,Only John Thune would/Both candidates would,White,Southeast,Rural,Small cities and Rural,1.0,57012.0
1490778.0,South Dakota,65.0,State,1.0,Call 1,Complete,0.718391060829163,Kerry,Daschle,Herseth,Female,White,50-59,Democrat,Moderate,No,"$15,000-$29,999",Worse today,Protestant,Postgraduate study,Before that,Against his opponent,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,Hurt your state,Only Tom Daschle would,White female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Only Tom Daschle would/Both candidates would,Tom Daschle would/Neither candidate would,White,Southeast,Suburbs,Suburbs,1.0,57005.0
1497614.0,South Dakota,7.0,State,1.0,Call 1,Complete,0.656145930290222,Bush,Thune,Herseth,Male,White,30-39,Republican,Moderate,Yes,"$15,000-$29,999",Better today,Other Christian,High school graduate,During the last month,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,Helped your state,Both candidates would,White male,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Only Tom Daschle would/Both candidates would,Only John Thune would/Both candidates would,White,Northeast,"City: 10,000 to 49,999",Small cities and Rural,1.0,57407.0
1486303.0,South Dakota,47.0,State,1.0,Call 1,Complete,1.51814651489258,Kerry,Daschle,Herseth,Male,White,40-44,Democrat,Moderate,No,"$30,000-$49,999",Worse today,Protestant,High school graduate,Before that,Against his opponent,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Both of them,Only John Kerry,Very badly,Good,Hurt your state,Both candidates would,White male,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Only Tom Daschle would/Both candidates would,Only John Thune would/Both candidates would,White,Northeast,Rural,Small cities and Rural,1.0,57456.0
1535102.0,South Dakota,7.0,State,1.0,Call 3,Complete,0.70215106010437,Bush,Thune,Diedrich,Female,White,25-29,Republican,Conservative,No,"$50,000-$74,999",Better today,Other Christian,College graduate,Before that,For your candidate,Moral values,Has strong religious faith,Strongly approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,Not affected your state,Both candidates would,White female,18-29,25-29,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Only Tom Daschle would/Both candidates would,Only John Thune would/Both candidates would,White,Northeast,"City: 10,000 to 49,999",Small cities and Rural,1.0,57407.0
1514045.0,South Dakota,23.0,State,1.0,Call 2,Complete,1.50785219669342,Bush,Thune,Diedrich,Female,White,65-74,Republican,Conservative,No,"$15,000-$29,999",Better today,Protestant,Some college/associate degree,Before that,For your candidate,Terrorism,Has clear stands on the issues,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,Not affected your state,Only John Thune would,White female,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Only John Thune would/Neither candidate would,Only John Thune would/Both candidates would,White,West,Rural,Small cities and Rural,1.0,57747.0
1493106.0,South Dakota,62.0,State,1.0,Call 1,Complete,0.637962520122528,Bush,Thune,Diedrich,Female,White,75 or over,Republican,Conservative,No,"$15,000-$29,999",About the same,Protestant,Some college/associate degree,Before that,For your candidate,Health care,Is honest and trustworthy,Strongly approve,Somewhat approve,Safer from terrorism,Both of them,Both of them,Somewhat well,Not so good,Not affected your state,Both candidates would,White female,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Only Tom Daschle would/Both candidates would,Only John Thune would/Both candidates would,White,Southeast,"City: 50,000 to 500,000","City over 50,000",1.0,57105.0
1488439.0,South Dakota,40.0,State,1.0,Call 1,Complete,0.690675795078278,Bush,Thune,Diedrich,Female,White,45-49,Republican,Conservative,No,"$200,000 or more",About the same,Catholic,Some college/associate degree,Before that,For your candidate,Omit,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,Omit,Only John Thune would,White female,45-59,40-49,18-64,Republican,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Only John Thune would/Neither candidate would,Only John Thune would/Both candidates would,White,Southeast,"City: 50,000 to 500,000","City over 50,000",1.0,57108.0
1516434.0,South Dakota,18.0,State,1.0,Call 2,Complete,1.11344397068024,Kerry,Daschle,Herseth,Female,White,60-64,Democrat,Moderate,No,"Under $15,000",About the same,Protestant,Some college/associate degree,Just today,For your candidate,Omit,Omit,Strongly approve,Strongly disapprove,Omit,Only John Kerry,Only John Kerry,Very badly,Excellent,Hurt your state,Only Tom Daschle would,White female,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Only Tom Daschle would/Both candidates would,Tom Daschle would/Neither candidate would,White,Southeast,"City: 10,000 to 49,999",Small cities and Rural,1.0,57301.0
