ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESVA04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,ATTEND,VETVOTER,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,TRSTTERR,TERRWORR,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,ATTEND2,ATTREL,BUSH,TIME3D,TIMEWK,IRAQ2,TERWORR2,BUSHTERR,KERRTERR,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1523444.0,Virginia,11.0,National,2.0,Call 3,Complete,0.413286060094833,Kerry,Female,Black,50-59,Something Else,Conservative,"$30,000-$49,999",About the same,Protestant,A few times a month,No,Just today,,Health care,Cares about people like me,Somewhat approve,Somewhat approve,,,Non-white female,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Occasionally,Protestants/Non-weekly,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,,,,Black,East/Richmond,"City: 50,000 to 500,000","City over 50,000",5.0,24501.0
1497780.0,Virginia,106.0,State,1.0,Call 2,Complete,1.59763038158417,Bush,Male,White,25-29,Republican,Moderate,"$50,000-$74,999",Better today,Protestant,A few times a month,Yes,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Only George W. Bush,Somewhat worried,White male,18-29,25-29,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,Protestants/Non-weekly,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat worried,Only Bush/Both,Only Bush/Neither,White,Southeast,"City: 50,000 to 500,000","City over 50,000",2.0,23452.0
1497779.0,Virginia,64.0,National,4.0,Call 2,Complete,0.875870048999786,Kerry,Female,White,30-39,Democrat,Liberal,"$15,000-$29,999",,,,,Before that,,,,,,Neither of them,Somewhat worried,White female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",,,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,Very/Somewhat worried,Only Kerry/Neither,Only Bush/Neither,White,North,Suburbs,Suburbs,1.0,22191.0
1523439.0,Virginia,21.0,National,2.0,Call 3,Complete,0.525521993637085,Kerry,Female,White,50-59,Independent,Moderate,"$200,000 or more",About the same,Catholic,A few times a month,No,During the last month,,Omit,Will bring about needed change,Strongly disapprove,Strongly disapprove,,,White female,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,,White,North,Suburbs,Suburbs,11.0,22032.0
1523438.0,Virginia,26.0,State,1.0,Call 3,Complete,0.797667324542999,Kerry,Female,White,30-39,Democrat,Moderate,"$200,000 or more",Better today,Jewish,A few times a year,No,Before that,Against his opponent,Moral values,Is intelligent,Strongly disapprove,Somewhat approve,Both of them,Somewhat worried,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","$100,000 or more",Jewish,White Jewish,All others,Occasionally,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat worried,Only Bush/Both,Only Kerry/Both,White,North,Suburbs,Suburbs,10.0,22182.0
1481442.0,Virginia,26.0,State,1.0,Call 1,Complete,0.855080604553223,Kerry,Male,White,40-44,Democrat,Liberal,"$200,000 or more",Better today,Jewish,Never,No,Before that,For your candidate,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Only John Kerry,Not too worried,White male,30-44,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",Jewish,White Jewish,All others,Never,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Not too/Not at all worried,Only Kerry/Neither,Only Kerry/Both,White,North,Suburbs,Suburbs,10.0,22182.0
1472108.0,Virginia,25.0,State,1.0,Call 1,Complete,0.652290999889374,Kerry,Female,Black,45-49,Democrat,Moderate,"$200,000 or more",About the same,Other Christian,More than once a week,Yes,Before that,For your candidate,Iraq,Is a strong leader,Strongly disapprove,Strongly disapprove,Only John Kerry,Not at all worried,Non-white female,45-59,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,All others,All others,Weekly,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Not too/Not at all worried,Only Kerry/Neither,Only Kerry/Both,Black,North,Suburbs,Suburbs,10.0,20170.0
1472107.0,Virginia,90.0,State,1.0,Call 1,Complete,1.33771502971649,Kerry,Female,White,65-74,Independent,Conservative,"$50,000-$74,999",About the same,Protestant,More than once a week,No,Before that,For your candidate,Health care,Will bring about needed change,Strongly disapprove,Strongly disapprove,Only John Kerry,Somewhat worried,White female,60 or over,65 or over,65 or over,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,Protestants/Weekly,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat worried,Only Kerry/Neither,Only Kerry/Both,White,Southeast,"City: 50,000 to 500,000","City over 50,000",3.0,23661.0
1519413.0,Virginia,58.0,National,3.0,Call 3,Complete,1.86766278743744,Bush,Male,White,30-39,Republican,Conservative,"$30,000-$49,999",,Protestant,Once a week,,,Omit,,,,,,,White male,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,Protestants/Weekly,,,,,,,,White,East/Richmond,Rural,Small cities and Rural,7.0,23024.0
1523804.0,Virginia,11.0,National,2.0,Call 3,Complete,0.568901538848877,Bush,Female,White,45-49,Independent,Liberal,"$100,000-$149,999",Omit,Other Christian,Never,No,During the last month,,Terrorism,Has clear stands on the issues,Somewhat approve,Strongly approve,,,White female,45-59,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Never,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,,White,East/Richmond,"City: 50,000 to 500,000","City over 50,000",5.0,24501.0
1472720.0,Virginia,107.0,State,1.0,Call 1,Complete,1.38895452022552,Bush,Male,White,40-44,Republican,Conservative,"$100,000-$149,999",Better today,Catholic,Once a week,Yes,Before that,For your candidate,Terrorism,Is honest and trustworthy,Strongly approve,Strongly approve,Only George W. Bush,Somewhat worried,White male,30-44,40-49,18-64,Republican,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Weekly,Catholics/Weekly,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat worried,Only Bush/Both,Only Bush/Neither,White,Southeast,"City: 50,000 to 500,000","City over 50,000",2.0,23456.0
1472102.0,Virginia,106.0,State,1.0,Call 1,Complete,1.41467583179474,Bush,Male,White,30-39,Republican,Conservative,"$50,000-$74,999",About the same,Other Christian,More than once a week,Yes,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Only George W. Bush,Not too worried,White male,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Not too/Not at all worried,Only Bush/Both,Only Bush/Neither,White,Southeast,"City: 50,000 to 500,000","City over 50,000",2.0,23452.0
1474434.0,Virginia,16.0,State,1.0,Call 1,Complete,1.54282581806183,Bush,Male,White,65-74,Republican,Conservative,"$150,000-$199,999",Better today,Catholic,Once a week,Yes,Before that,For your candidate,Taxes,Cares about people like me,Strongly approve,Somewhat approve,Only George W. Bush,Very worried,White male,60 or over,65 or over,65 or over,Republican,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Weekly,Catholics/Weekly,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat worried,Only Bush/Both,Only Bush/Neither,White,East/Richmond,Suburbs,Suburbs,7.0,23112.0
1500096.0,Virginia,16.0,State,1.0,Call 2,Complete,0.642634212970734,Kerry,Female,White,40-44,Democrat,,"$50,000-$74,999",Omit,,Omit,,Before that,Against his opponent,Terrorism,Has clear stands on the issues,Strongly disapprove,Omit,Omit,Omit,White female,30-44,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",,,All others,Omit,Omit,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Omit,Omit,Omit,Omit,White,East/Richmond,Suburbs,Suburbs,7.0,23112.0
1472098.0,Virginia,37.0,State,1.0,Call 1,Complete,1.01951718330383,Bush,Female,White,50-59,Independent,Liberal,"$30,000-$49,999",Better today,Catholic,More than once a week,No,Before that,Against his opponent,Health care,Cares about people like me,Somewhat approve,Somewhat approve,Only George W. Bush,Very worried,White female,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Weekly,Catholics/Weekly,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat worried,Only Bush/Both,Only Bush/Neither,White,West/Shenandoah,Rural,Small cities and Rural,9.0,24124.0
1520765.0,Virginia,107.0,State,1.0,Call 3,Complete,1.38895452022552,Bush,Male,White,40-44,Republican,Conservative,"$50,000-$74,999",Better today,Protestant,Omit,No,Before that,For your candidate,Moral values,Has strong religious faith,Strongly approve,Somewhat approve,Only George W. Bush,Somewhat worried,White male,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Omit,Protestants/Non-weekly,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat worried,Only Bush/Both,Only Bush/Neither,White,Southeast,"City: 50,000 to 500,000","City over 50,000",2.0,23456.0
