ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESWV04,GOVWV04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,BRNAGAIN,EDUC,UNION4,GUNOWNER,MARRIED,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECWV,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1484802.0,West Virginia,33.0,State,1.0,Call 1,Not complete,0.67561948299408,Kerry,,Male,White,,,,,,,,,,,,,Omit,Omit,Omit,Omit,Omit,,,,,,Omit,White male,,,,,,,,,All others,All others,,Omit,Omit,Omit,,,,,,,,,All others,White,Charleston/Huntingon,"City: 50,000 to 500,000","City over 50,000",2.0,25302.0
1508370.0,West Virginia,70.0,State,1.0,Call 2,Complete,1.08253538608551,Bush,Warner,Male,White,60-64,Independent,Conservative,No,"$30,000-$49,999",About the same,Protestant,No,Some college/associate degree,"Yes, I do",Yes,No,Before that,For your candidate,Terrorism,Is a strong leader,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Not so good,White male,60 or over,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is union member,All others,White,Ohio River Region,Rural,Small cities and Rural,1.0,26362.0
1487462.0,West Virginia,49.0,State,1.0,Call 1,Complete,1.28056144714355,Kerry,Manchin,Male,White,65-74,Democrat,Liberal,No,"$50,000-$74,999",Worse today,Protestant,No,Postgraduate study,"Yes, I do",Yes,No,Before that,For your candidate,Moral values,Cares about people like me,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Good,White male,60 or over,65 or over,65 or over,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,All others,White,Appalachian Highlands,Rural,Small cities and Rural,3.0,25922.0
1506903.0,West Virginia,24.0,State,1.0,Call 2,Complete,1.06857883930206,Bush,Manchin,Female,White,30-39,Republican,Conservative,No,"$30,000-$49,999",Better today,Protestant,Yes,Some college/associate degree,No one does,No,No,Just today,For your candidate,Moral values,Has strong religious faith,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Both of them,Somewhat badly,Not so good,White female,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,No degree,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Somewhat/Very badly,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,Ohio River Region,Rural,Small cities and Rural,2.0,25271.0
1506897.0,West Virginia,76.0,State,1.0,Call 2,Complete,0.993578672409058,Kerry,Manchin,Female,White,50-59,Democrat,Moderate,No,"$30,000-$49,999",Better today,Protestant,,Some college/associate degree,"Yes, I do",Yes,No,During the last month,For your candidate,Iraq,Has clear stands on the issues,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Poor,White female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,All others,White,Ohio River Region,Rural,Small cities and Rural,1.0,26186.0
1487450.0,West Virginia,32.0,State,1.0,Call 1,Complete,0.999545931816101,Bush,Warner,Male,White,30-39,Democrat,Conservative,No,"$30,000-$49,999",About the same,Something else,Yes,High school graduate,No one does,No,Yes,Before that,Against his opponent,Moral values,Has strong religious faith,Somewhat approve,Somewhat approve,Less safe from terrorism,Both of them,Both of them,Somewhat badly,Not so good,White male,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Something else,White Something else,All others,White evangelicals,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,Charleston/Huntingon,Suburbs,Suburbs,2.0,25071.0
1506893.0,West Virginia,51.0,State,1.0,Call 2,Complete,0.95822548866272,Kerry,Manchin,Female,White,25-29,Democrat,Moderate,No,"Under $15,000",About the same,Other Christian,Yes,Some college/associate degree,"Yes, someone else does",Yes,Yes,In the last three days,Against his opponent,Iraq,Has clear stands on the issues,Somewhat disapprove,Somewhat disapprove,Safer from terrorism,Neither of them,Neither of them,Somewhat badly,Poor,White female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,No degree,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,Someone in household is union member,Voter is not union member,Married women,White,Southwest,Rural,Small cities and Rural,3.0,25667.0
1482583.0,West Virginia,35.0,State,1.0,Call 1,Complete,3.00687456130981,Bush,Warner,Female,White,30-39,Democrat,Conservative,No,"$15,000-$29,999",Better today,None,No,Some college/associate degree,No one does,Yes,Yes,Before that,For your candidate,Health care,Has clear stands on the issues,Strongly approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,White female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",None,White None,All others,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,Monongahla River Valley,Rural,Small cities and Rural,2.0,26542.0
1482581.0,West Virginia,77.0,State,1.0,Call 1,Complete,1.23584544658661,Kerry,Manchin,Female,White,18-24,Democrat,Moderate,Yes,"$15,000-$29,999",About the same,Other Christian,Yes,High school graduate,No one does,Yes,Yes,During the last month,For your candidate,Iraq,Is a strong leader,Somewhat approve,Somewhat approve,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Poor,White female,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Married women,White,Charleston/Huntingon,Rural,Small cities and Rural,2.0,26143.0
1487439.0,West Virginia,71.0,State,1.0,Call 1,Complete,0.704107046127319,Did not vote,Manchin,Female,White,30-39,Democrat,Moderate,No,"$50,000-$74,999",Worse today,Something else,No,High school graduate,No one does,Yes,Yes,Before that,Omit,Omit,Omit,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Neither of them,Neither of them,Very badly,Not so good,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Something else,White Something else,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,Charleston/Huntingon,Rural,Small cities and Rural,2.0,25286.0
