ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9P,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,veteran,RELIGION,ATTEND,EMPLOY,VISITWEB,TIMEPRI,ISSUE,QUAL,NEC,IRAQAPP,BREAKPRI,BUSHANGR,BEATBUSH,satkerry,AGE60P,AGE65P,AGEP,ATTEND2,ATTREL,BREAK2,COLLEDUC,EMPWMN,iraq2,MILHH,MILVOTE,NEC2,OVER65P,PARTY,PHIL3,REL5,RELWHITE,SATKERR2,SEXRACE,TIMEPRI2,UNIONHH,UNIONVOT,VISWEB2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
664956.0,Delaware,66.0,Call 1,Backside complete,0.853025674819946,John Kerry,Female,,No,65-74,Democrat,Somewhat liberal,High school graduate,"$15,000-$29,999",Worse today,,"Yes, someone else has",Protestant,Once a week,Employed part-time,,In the last three days,Health care/Medicare,He has the right experience,Poor,Strongly disapprove,Somewhat important,Angry,He can defeat George W. Bush in November,Very satisfied,60 or over,65 or over,65 or over,Weekly,Protestant/Attend Weekly,Very/somewhat important,No college degree,Employed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,Liberal,Protestant/Other Christian,All others/Omits,Very/somewhat satisfied,,Today/Last 3 days/Last week,,,,,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19808.0
664960.0,Delaware,66.0,Call 1,Backside complete,0.946269929409027,John Kerry,Female,White,,65-74,Independent,Moderate,Some college or associate degree,"$50,000-$74,999",About the same,"Yes, someone else does","Yes, someone else has",Protestant,A few times a month,Not working and not looking for work,Occasionally,In the last month,Economy/Jobs,He has a positive message,Not so good,Strongly disapprove,Somewhat important,Angry,He agrees with you on the major issues,Very satisfied,60 or over,65 or over,65 or over,Occasionally,Protestant/Do not attend weekly,Very/somewhat important,No college degree,Unemployed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Independent,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Very/somewhat satisfied,White female,Last month/Before that,"Yes, I am or someone in household is",No,Frequently/Occasionally,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19808.0
664965.0,Delaware,66.0,Call 1,Backside complete,0.853254735469818,John Kerry,Male,White,,65-74,Democrat,Somewhat liberal,High school graduate,"$50,000-$74,999",Worse today,"Yes, I do",No one has,Catholic,A few times a month,Employed part-time,Never,In the last month,Health care/Medicare,He can defeat George W. Bush,Poor,Strongly disapprove,Somewhat important,Angry,He can defeat George W. Bush in November,Very dissatisfied,60 or over,65 or over,65 or over,Occasionally,Catholic/Do not attend weekly,Very/somewhat important,No college degree,All others/Omits,Somewhat/Strongly disapprove,No,No,Not so good/Poor,65 or over,Democrat,Liberal,Catholic,White Catholic,Somewhat/very dissatisfied,White male,Last month/Before that,"Yes, I am or someone in household is",Yes I am,Rarely/Never,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19808.0
664967.0,Delaware,66.0,Call 1,Backside complete,1.21921038627625,John Edwards,Female,White,No,50-59,Independent,Somewhat liberal,Some college or associate degree,"$75,000-$99,999",Worse today,"Yes, someone else does","Yes, someone else has",Protestant,A few times a year,Employed full-time,Occasionally,In the last month,Health care/Medicare,He has a positive message,Not so good,Somewhat disapprove,Somewhat important,Angry,He agrees with you on the major issues,Somewhat satisfied,45-59,50-64,45-64,Occasionally,Protestant/Do not attend weekly,Very/somewhat important,No college degree,Employed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,17-64,Independent,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Very/somewhat satisfied,White female,Last month/Before that,"Yes, I am or someone in household is",No,Frequently/Occasionally,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19808.0
664974.0,Delaware,66.0,Call 1,Backside complete,1.17371773719788,John Kerry,Female,White,No,50-59,Democrat,Very liberal,Postgraduate study,"$100,000 or more",Better today,"Yes, someone else does","Yes, someone else has",Jewish,A few times a year,Employed full-time,Never,Today,The war in Iraq,He can defeat George W. Bush,Not so good,Strongly disapprove,Not too important,Angry,He can defeat George W. Bush in November,Somewhat satisfied,45-59,50-64,45-64,Occasionally,All others/Omits,Not too/Not at all important,College degree,Employed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,17-64,Democrat,Liberal,Jewish,White Jewish,Very/somewhat satisfied,White female,Today/Last 3 days/Last week,"Yes, I am or someone in household is",No,Rarely/Never,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19808.0
664986.0,Delaware,66.0,Call 1,Backside complete,0.853025674819946,John Kerry,Female,,No,75 or over,Democrat,Moderate,Some college or associate degree,"$15,000-$29,999",Worse today,No one does,"Yes, I have",Catholic,Once a week,Not working and not looking for work,Never,In the last month,Economy/Jobs,He has a positive message,Poor,Strongly disapprove,Somewhat important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Very satisfied,60 or over,65 or over,65 or over,Weekly,Catholic/Attend weekly,Very/somewhat important,No college degree,Unemployed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,65 or over,Democrat,Moderate,Catholic,All others/Omits,Very/somewhat satisfied,,Last month/Before that,No,No,Rarely/Never,,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19808.0
665005.0,Delaware,66.0,Call 1,Backside complete,1.21921038627625,John Edwards,Female,White,No,40-44,Democrat,Moderate,College graduate,"$30,000-$49,999",About the same,No one does,No one has,Protestant,Once a week,Employed full-time,Never,Today,The war in Iraq,He stands up for what he believes,Poor,Strongly disapprove,Not too important,Angry,He agrees with you on the major issues,Very satisfied,30-44,40-49,30-44,Weekly,Protestant/Attend Weekly,Not too/Not at all important,College degree,Employed women,Somewhat/Strongly disapprove,No,No,Not so good/Poor,17-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Very/somewhat satisfied,White female,Today/Last 3 days/Last week,No,No,Rarely/Never,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19808.0
665024.0,Delaware,66.0,Call 1,Backside complete,0.946269929409027,John Kerry,Female,White,No,75 or over,Democrat,,Did not complete high school,,Worse today,No one does,"Yes, I have",Catholic,Omit,Not working and not looking for work,Never,Before that,The war in Iraq,He can defeat George W. Bush,Poor,Strongly disapprove,Very important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Very satisfied,60 or over,65 or over,65 or over,Omit,All others/Omits,Very/somewhat important,No college degree,Unemployed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,65 or over,Democrat,,Catholic,White Catholic,Very/somewhat satisfied,White female,Last month/Before that,No,No,Rarely/Never,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19808.0
665038.0,Delaware,66.0,Call 1,Backside complete,0.776600480079651,Joe Lieberman,Male,White,No,65-74,Independent,Very conservative,Did not complete high school,,About the same,"Yes, I do","Yes, I have",Protestant,Once a week,,Never,Before that,Economy/Jobs,He cares about people like me,Not so good,Somewhat disapprove,Not at all important,"Dissatisfied, but not angry",He agrees with you on the major issues,Very dissatisfied,60 or over,65 or over,65 or over,Weekly,Protestant/Attend Weekly,Not too/Not at all important,No college degree,All others/Omits,Somewhat/Strongly disapprove,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,65 or over,Independent,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Somewhat/very dissatisfied,White male,Last month/Before that,"Yes, I am or someone in household is",Yes I am,Rarely/Never,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19808.0
665065.0,Delaware,66.0,Call 1,Backside complete,0.946269929409027,John Kerry,Female,White,No,75 or over,Democrat,,High school graduate,,About the same,,"Yes, someone else has",Protestant,A few times a month,Not working and not looking for work,Frequently,In the last three days,The war in Iraq,He has a positive message,Poor,Strongly disapprove,Very important,Angry,He can defeat George W. Bush in November,Very satisfied,60 or over,65 or over,65 or over,Occasionally,Protestant/Do not attend weekly,Very/somewhat important,No college degree,Unemployed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,,Protestant/Other Christian,White Protestant/Other Christian,Very/somewhat satisfied,White female,Today/Last 3 days/Last week,,,Frequently/Occasionally,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19808.0
665084.0,Delaware,66.0,Call 1,Backside complete,1.21921038627625,John Edwards,Female,White,No,40-44,Something Else,,Some college or associate degree,,Worse today,No one does,No one has,Protestant,Omit,,Rarely,Today,Health care/Medicare,He cares about people like me,Poor,Strongly disapprove,Not at all important,Angry,He agrees with you on the major issues,Somewhat dissatisfied,30-44,40-49,30-44,Omit,All others/Omits,Not too/Not at all important,No college degree,All others/Omits,Somewhat/Strongly disapprove,No,No,Not so good/Poor,17-64,Independent,,Protestant/Other Christian,White Protestant/Other Christian,Somewhat/very dissatisfied,White female,Today/Last 3 days/Last week,No,No,Rarely/Never,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19808.0
665100.0,Delaware,66.0,Call 1,Backside complete,1.17371773719788,John Kerry,Female,White,No,45-49,Democrat,Somewhat liberal,College graduate,"$30,000-$49,999",About the same,"Yes, I do","Yes, someone else has",Catholic,Once a week,Employed full-time,Occasionally,In the last three days,Health care/Medicare,He can defeat George W. Bush,Not so good,Somewhat approve,Somewhat important,"Dissatisfied, but not angry",He agrees with you on the major issues,Very satisfied,45-59,40-49,45-64,Weekly,Catholic/Attend weekly,Very/somewhat important,College degree,Employed women,Strongly/Somewhat approve,"Yes, I have or someone in household has",No,Not so good/Poor,17-64,Democrat,Liberal,Catholic,White Catholic,Very/somewhat satisfied,White female,Today/Last 3 days/Last week,"Yes, I am or someone in household is",Yes I am,Frequently/Occasionally,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19808.0
665343.0,Delaware,62.0,Call 1,Backside complete,1.1562972068786599,Wesley Clark,Male,White,No,60-64,Independent,Moderate,Postgraduate study,"$50,000-$74,999",Worse today,"Yes, someone else does","Yes, I have",,More than once a week,Employed full-time,Occasionally,In the last three days,Economy/Jobs,He stands up for what he believes,Poor,Strongly disapprove,Somewhat important,Angry,He agrees with you on the major issues,Very satisfied,60 or over,50-64,45-64,Weekly,All others/Omits,Very/somewhat important,College degree,All others/Omits,Somewhat/Strongly disapprove,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,17-64,Independent,Moderate,,All others/Omits,Very/somewhat satisfied,White male,Today/Last 3 days/Last week,"Yes, I am or someone in household is",No,Frequently/Occasionally,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19809.0
665347.0,Delaware,62.0,Call 1,Backside complete,1.50020754337311,,Female,White,No,50-59,Independent,Moderate,College graduate,,Better today,No one does,"Yes, someone else has",Other Christian,Once a week,Employed full-time,Never,Before that,Economy/Jobs,He stands up for what he believes,Poor,Somewhat approve,Not at all important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Very dissatisfied,45-59,50-64,45-64,Weekly,Protestant/Attend Weekly,Not too/Not at all important,College degree,Employed women,Strongly/Somewhat approve,"Yes, I have or someone in household has",No,Not so good/Poor,17-64,Independent,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Somewhat/very dissatisfied,White female,Last month/Before that,No,No,Rarely/Never,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19809.0
665354.0,Delaware,43.0,Call 1,Backside complete,0.788041055202484,Howard Dean,Male,White,No,45-49,Democrat,Somewhat liberal,College graduate,"$75,000-$99,999",Worse today,No one does,No one has,Something else,A few times a year,Employed full-time,Frequently,Before that,The war in Iraq,He has the right temperament,Not so good,Strongly disapprove,Not at all important,Angry,He agrees with you on the major issues,Somewhat dissatisfied,45-59,40-49,45-64,Occasionally,All others/Omits,Not too/Not at all important,College degree,All others/Omits,Somewhat/Strongly disapprove,No,No,Not so good/Poor,17-64,Democrat,Liberal,Something else,White Something else,Somewhat/very dissatisfied,White male,Last month/Before that,No,No,Frequently/Occasionally,White,New Castle County,"City: 50,000 to 500,000","City over 50,000",1.0,19803.0
