ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,TIMEPRI,ISSUE,QUAL,BREAKPRI,BUSHANGR,BEATBUSH,gaymrrge,SATISNOM,standup,suppdean,TRADE,trustns,FlagVPri,AGE,AGE60,AGE65,BREAK2,COLLEDUC,DEANDFCT,INC50K,OVER65,PARTY,PHIL3,REL5,RELWHITE,satisedw,satisker,SEXRACE,stndedwr,stndkery,TIMEPRI2,trstedwr,trstkery,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
995162.0,Georgia,68.0,Call 1,Backside complete,1.0960510969162,John Kerry,Male,Black,No,45-49,Democrat,Moderate,College graduate,"$50,000-$74,999",Better today,No one does,Protestant,In the last week,The war in Iraq,He can defeat George W. Bush,Not too important,Angry,He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Both candidates,No,Takes more jobs from your state,Both candidates,Today's vote on the state flag,45-64,45-59,40-49,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white male,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,No,No,Black,Atlanta,"City: 50,000 to 500,000","City over 50,000",5.0,30331.0
995174.0,Georgia,68.0,Call 1,Backside complete,1.35037541389465,John Kerry,Female,Black,No,75 or over,Democrat,Very liberal,Some college or associate degree,"$50,000-$74,999",About the same,No one does,Other Christian,In the last month,Omit,He is honest and trustworthy,Somewhat important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,No,Takes more jobs from your state,Only John Kerry,Today's vote on the state flag,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,No,"$50,000 or more",65 or over,Democrat,Liberal,Protestant/Other Christian,All others/Omits,Satisfied with Edwards/Either,Satisfied with Kerry/Either,Non-white female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,Black,Atlanta,"City: 50,000 to 500,000","City over 50,000",5.0,30331.0
995185.0,Georgia,68.0,Call 1,Backside complete,1.17346656322479,Al Sharpton,Female,Black,No,50-59,Something Else,Moderate,High school graduate,"$15,000-$29,999",About the same,No one does,None,Today,Economy/Jobs,He can defeat George W. Bush,Not too important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Neither candidate,No,Takes more jobs from your state,Only John Kerry,Today's presidential primary,45-64,45-59,50-64,Not too/not at all important,No college degree,No,"Under $50,000",18-64,Independent,Moderate,None,All others/Omits,Satisfied with Edwards/Either,Satisfied with Kerry/Either,Non-white female,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Kerry/Neither,Only Kerry/Either,No,No,Black,Atlanta,"City: 50,000 to 500,000","City over 50,000",5.0,30331.0
995213.0,Georgia,68.0,Call 1,Backside complete,1.0960510969162,John Kerry,Male,Black,No,50-59,Democrat,Moderate,Postgraduate study,"$100,000 or more",About the same,"Yes, I do",Protestant,Before that,Economy/Jobs,He can defeat George W. Bush,Not at all important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Neither candidate,No,Has no effect on jobs in your state,Both candidates,Today's presidential primary,45-64,45-59,50-64,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,Black,Atlanta,"City: 50,000 to 500,000","City over 50,000",5.0,30331.0
995214.0,Georgia,68.0,Call 1,Backside complete,1.91466581821442,John Edwards,Male,Black,No,25-29,Democrat,Moderate,Some college or associate degree,"$15,000-$29,999",Worse today,No one does,Protestant,Today,Economy/Jobs,He cares about people like me,Very important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Both candidates,No,Takes more jobs from your state,Both candidates,Today's presidential primary,18-29,18-29,25-29,Very/somewhat important,No college degree,No,"Under $50,000",18-64,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Satisfied with Edwards/Either,Satisfied with Kerry/Either,Non-white male,Only Edwards/Either,Only Kerry/Either,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,No,No,Black,Atlanta,"City: 50,000 to 500,000","City over 50,000",5.0,30331.0
995223.0,Georgia,131.0,Call 1,Backside complete,1.38740181922913,John Edwards,Female,White,No,50-59,Republican,Moderate,Postgraduate study,"$50,000-$74,999",About the same,No one does,Protestant,In the last month,Omit,He stands up for what he believes,Not at all important,Enthusaistic,He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Neither candidate,No,Takes more jobs from your state,Neither candidate,Today's presidential primary,45-64,45-59,50-64,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Republican,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,No,No,White,Central,Suburbs,Suburbs,1.0,31780.0
995229.0,Georgia,68.0,Call 1,Backside complete,1.20575535297394,John Kerry,Female,Hispanic/Latino,Yes,50-59,Democrat,Very liberal,High school graduate,"Under $15,000",Better today,No one does,Other Christian,Today,Health care/Medicare,He cares about people like me,Very important,"Satisfied, but not enthusiastic",He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Only John Kerry,No,Creates more jobs in your state,Only John Kerry,Today's presidential primary,45-64,45-59,50-64,Very/somewhat important,No college degree,No,"Under $50,000",18-64,Democrat,Liberal,Protestant/Other Christian,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white female,Only Kerry/Neither,Only Kerry/Either,Today/Last 3 days/Last week,Only Kerry/Neither,Only Kerry/Either,No,No,Black,Atlanta,"City: 50,000 to 500,000","City over 50,000",5.0,30331.0
995232.0,Georgia,1.0,Call 1,Backside complete,2.04309678077698,John Edwards,Female,White,No,40-44,Democrat,Moderate,Some college or associate degree,"$75,000-$99,999",Worse today,"Yes, someone else does",Protestant,In the last month,Economy/Jobs,He is honest and trustworthy,Omit,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Both candidates,Yes,Takes more jobs from your state,Both candidates,Today's presidential primary,30-44,30-44,40-49,Omit,No college degree,Yes,"$50,000 or more",18-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",No,White,South,Rural,Small cities and Rural,1.0,31513.0
995239.0,Georgia,131.0,Call 1,Backside complete,1.52094292640686,John Edwards,Male,White,No,25-29,Independent,Moderate,Some college or associate degree,"$50,000-$74,999",About the same,No one does,Protestant,Before that,Economy/Jobs,He has a positive message,Somewhat important,"Dissatisfied, but not angry",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied if either one is the nominee,Both candidates,No,Takes more jobs from your state,Both candidates,Today's presidential primary,18-29,18-29,25-29,Very/somewhat important,No college degree,No,"$50,000 or more",18-64,Independent,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Central,Suburbs,Suburbs,1.0,31780.0
995244.0,Georgia,68.0,Call 1,Backside complete,1.22751307487488,John Kerry,Male,Black,No,65-74,Democrat,Moderate,College graduate,,Omit,No one does,Other Christian,Before that,Health care/Medicare,He cares about people like me,Not too important,Angry,He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied if either one is the nominee,Only John Edwards,No,Takes more jobs from your state,Both candidates,Today's presidential primary,65 or over,60 or over,65 or over,Not too/not at all important,College degree,No,,65 or over,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Satisfied with Edwards/Either,Satisfied with Kerry/Either,Non-white male,Only Edwards/Either,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,Black,Atlanta,"City: 50,000 to 500,000","City over 50,000",5.0,30331.0
