ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,dpres,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,ATTEND,nascar,issue,NEC,iraqtrps,gwbangr,gaymrrge,blncangr,kerryla,kerryvp,keryvals,nafta,voteconf,AGE,AGE60,AGE65,ATTEND2,ATTREL,COLLEDUC,INC50K,IRAQTRP2,kerrywin,KERYVAL2,NEC2,OVER65,PARTY,PHIL3,REL5,RELWHITE,SEXRACE,UNIONHH,UNIONVOT,votecnf2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1065403.0,Louisiana,65.0,Call 1,Backside complete,1.77382242679596,John Kerry,Male,White,No,30-39,Democrat,Moderate,High school graduate,"$30,000-$49,999",Worse today,No one does,Catholic,A few times a year,No,Economy/Jobs,Not so good,Keep the same number of troops,"Dissatisfied, but not angry",Gay couples allowed to legally marry,"Satisfied, but not enthusiastic",Very likely,Mary Landrieu,Somewhat,Had no effect on jobs in your state,Very confident,30-44,30-44,30-39,Occasionally,Catholic/Do not attend weekly,No college degree,"Under $50,000",Send more/Keep the same number of troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Democrat,Moderate,Catholic,White Catholic,White male,No,No,Very/somewhat confident,White,New Orleans area,"City: 10,000 to 49,999",Small cities and Rural,3.0,70094.0
1065411.0,Louisiana,65.0,Call 1,Backside complete,1.60206270217896,John Kerry,,,,75 or over,Democrat,Somewhat liberal,Did not complete high school,"Under $15,000",Worse today,No one does,Catholic,Once a week,No,Taxes,Not so good,Withdraw all troops,Angry,Gay couples allowed to legally form civil unions,"Satisfied, but not enthusiastic",Very likely,Dick Gephardt,A lot,Taken more jobs from your state,Somewhat confident,65 or over,60 or over,65 or over,Weekly,Catholic/Attend weekly,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,65 or over,Democrat,Liberal,Catholic,All others/Omits,,No,No,Very/somewhat confident,,New Orleans area,"City: 10,000 to 49,999",Small cities and Rural,3.0,70094.0
1065416.0,Louisiana,65.0,Call 1,Backside not complete,1.85015249252319,John Kerry,Male,White,,65-74,,,,,,,,,,Health care/Medicare,,Withdraw some troops,Angry,,"Satisfied, but not enthusiastic",Very likely,John Edwards,,Created more jobs in your state,,65 or over,60 or over,65 or over,,,,,Withdraw some/all troops,Very/somewhat likely,,,65 or over,,,,,White male,,,,White,New Orleans area,"City: 10,000 to 49,999",Small cities and Rural,3.0,70094.0
1065420.0,Louisiana,65.0,Call 1,Backside not complete,1.85015249252319,John Kerry,Male,White,,75 or over,,,,,,,,,,Health care/Medicare,,Omit,"Dissatisfied, but not angry",,"Satisfied, but not enthusiastic",Very likely,John Edwards,,Taken more jobs from your state,,65 or over,60 or over,65 or over,,,,,Omit,Very/somewhat likely,,,65 or over,,,,,White male,,,,White,New Orleans area,"City: 10,000 to 49,999",Small cities and Rural,3.0,70094.0
1065426.0,Louisiana,65.0,Call 1,Backside complete,1.85015249252319,John Kerry,Male,Black,,60-64,Democrat,Somewhat liberal,High school graduate,"$15,000-$29,999",About the same,No one does,Other Christian,More than once a week,No,Health care/Medicare,Not so good,Send more troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,"Satisfied, but not enthusiastic",Very likely,Hillary Clinton,Somewhat,Taken more jobs from your state,Very confident,45-64,60 or over,50-64,Weekly,Protestant/Attend Weekly,No college degree,"Under $50,000",Send more/Keep the same number of troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Democrat,Liberal,Protestant/Other Christian,All others/Omits,Non-white male,No,No,Very/somewhat confident,Black,New Orleans area,"City: 10,000 to 49,999",Small cities and Rural,3.0,70094.0
1065744.0,Louisiana,85.0,Call 1,Backside complete,1.2775285243988,John Edwards,Male,Black,,40-44,Democrat,Moderate,High school graduate,"Under $15,000",About the same,"Yes, I do",Catholic,Once a week,No,Health care/Medicare,Good,Withdraw some troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,"Satisfied, but not enthusiastic",Somewhat likely,Mary Landrieu,Somewhat,Had no effect on jobs in your state,Very confident,30-44,30-44,40-49,Weekly,Catholic/Attend weekly,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Excellent/Good,17-64,Democrat,Moderate,Catholic,All others/Omits,Non-white male,"Yes, I am or someone in household is",Yes I am,Very/somewhat confident,Black,New Orleans area,"City: 50,000 to 500,000","City over 50,000",2.0,70115.0
1065755.0,Louisiana,85.0,Call 1,Backside complete,1.14884459972382,John Kerry,Male,Black,No,50-59,Independent,Somewhat liberal,High school graduate,"$15,000-$29,999",About the same,"Yes, someone else does",Catholic,A few times a year,No,Health care/Medicare,Not so good,Withdraw some troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,"Satisfied, but not enthusiastic",Very likely,Mary Landrieu,Somewhat,Taken more jobs from your state,Somewhat confident,45-64,45-59,50-64,Occasionally,Catholic/Do not attend weekly,No college degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Independent,Liberal,Catholic,All others/Omits,Non-white male,"Yes, I am or someone in household is",No,Very/somewhat confident,Black,New Orleans area,"City: 50,000 to 500,000","City over 50,000",2.0,70115.0
1065767.0,Louisiana,85.0,Call 1,Backside complete,1.46954190731049,John Kerry,Female,Black,No,75 or over,Democrat,Somewhat liberal,College graduate,"$15,000-$29,999",Worse today,"Yes, I do",Catholic,More than once a week,No,Health care/Medicare,Not so good,Withdraw some troops,"Dissatisfied, but not angry",Gay couples allowed to legally form civil unions,Enthusaistic,Somewhat likely,Mary Landrieu,Somewhat,Omit,Somewhat confident,65 or over,60 or over,65 or over,Weekly,Catholic/Attend weekly,College degree,"Under $50,000",Withdraw some/all troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,65 or over,Democrat,Liberal,Catholic,All others/Omits,Non-white female,"Yes, I am or someone in household is",Yes I am,Very/somewhat confident,Black,New Orleans area,"City: 50,000 to 500,000","City over 50,000",2.0,70115.0
1065794.0,Louisiana,85.0,Call 1,Backside complete,1.40188574790955,John Kerry,Male,Black,No,65-74,Democrat,Very liberal,Postgraduate study,"$50,000-$74,999",About the same,"Yes, someone else does",Protestant,More than once a week,No,Economy/Jobs,Not so good,Keep the same number of troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,"Satisfied, but not enthusiastic",Very likely,John Edwards,A lot,Taken more jobs from your state,Very confident,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,College degree,"$50,000 or more",Send more/Keep the same number of troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,65 or over,Democrat,Liberal,Protestant/Other Christian,All others/Omits,Non-white male,"Yes, I am or someone in household is",No,Very/somewhat confident,Black,New Orleans area,"City: 50,000 to 500,000","City over 50,000",2.0,70115.0
1065800.0,Louisiana,84.0,Call 1,Backside complete,1.89095854759216,Other,Male,White,No,30-39,Democrat,Very liberal,Postgraduate study,"$100,000 or more",Worse today,"Yes, I do",None,More than once a week,Yes,Omit,Excellent,Send more troops,Angry,Gay couples allowed to legally marry,Omit,Very likely,Mary Landrieu,A lot,Had no effect on jobs in your state,Very confident,30-44,30-44,30-39,Weekly,All others/Omits,College degree,"$50,000 or more",Send more/Keep the same number of troops,Very/somewhat likely,A lot/somewhat,Excellent/Good,17-64,Democrat,Liberal,None,White None,White male,"Yes, I am or someone in household is",Yes I am,Very/somewhat confident,White,New Orleans area,"City: 50,000 to 500,000","City over 50,000",2.0,70115.0
1065805.0,Louisiana,147.0,Call 1,Backside complete,1.35451209545135,John Kerry,Male,Black,,50-59,Democrat,Moderate,College graduate,"$75,000-$99,999",About the same,No one does,Other Christian,Once a week,No,Economy/Jobs,Not so good,Keep the same number of troops,"Dissatisfied, but not angry",No legal recognition of gay couples' relationships,"Satisfied, but not enthusiastic",Very likely,John Edwards,A lot,Taken more jobs from your state,Very confident,45-64,45-59,50-64,Weekly,Protestant/Attend Weekly,College degree,"$50,000 or more",Send more/Keep the same number of troops,Very/somewhat likely,A lot/somewhat,Not so good/Poor,17-64,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Non-white male,No,No,Very/somewhat confident,Black,Protestant North,"City: 10,000 to 49,999",Small cities and Rural,4.0,71055.0
