ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,GAY,TIMEPRI,ISSUE,QUAL,BREAKPRI,BUSHANGR,BEATBUSH,gaymrrge,SATISNOM,standup,suppdean,TRADE,trustns,AGE,AGE60,AGE65,BREAK2,COLLEDUC,DEANDFCT,INC50K,OVER65,PARTY,PHIL3,REL5,RELWHITE,satisedw,satisker,SEXRACE,stndedwr,stndkery,TIMEPRI2,trstedwr,trstkery,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
994620.0,Massachusetts,8.0,Call 1,Backside complete,1.55865883827209,John Kerry,Male,White,No,65-74,Democrat,Moderate,High school graduate,"Under $15,000",Better today,No one does,Something else,No,Before that,Omit,Omit,Somewhat important,Angry,Omit,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Both candidates,No,Takes more jobs from your state,Only John Kerry,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,No,"Under $50,000",65 or over,Democrat,Moderate,Something else,White Something else,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Boston area,"City over 500,000","City over 50,000",8.0,02128
994631.0,Massachusetts,8.0,Call 1,Backside complete,1.2672643661499,John Kerry,Female,White,No,50-59,Independent,Somewhat liberal,High school graduate,"$15,000-$29,999",Worse today,No one does,Something else,No,Before that,The war in Iraq,He can defeat George W. Bush,Not too important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Both candidates,No,Takes more jobs from your state,Both candidates,45-64,45-59,50-64,Not too/not at all important,No college degree,No,"Under $50,000",18-64,Independent,Liberal,Something else,White Something else,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Boston area,"City over 500,000","City over 50,000",8.0,02128
994642.0,Massachusetts,8.0,Call 1,Backside complete,1.2812488079071,John Kerry,Male,Other,No,45-49,Democrat,Very liberal,Postgraduate study,"$75,000-$99,999",Better today,No one does,Catholic,No,Before that,Economy/Jobs,He can defeat George W. Bush,Very important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Only John Kerry,No,Takes more jobs from your state,Only John Kerry,45-64,45-59,40-49,Very/somewhat important,College degree,No,"$50,000 or more",18-64,Democrat,Liberal,Catholic,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white male,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,Other,Boston area,"City over 500,000","City over 50,000",8.0,02128
994643.0,Massachusetts,8.0,Call 1,Backside complete,1.5416464805603,John Kerry,Female,White,No,60-64,Democrat,Moderate,Did not complete high school,"Under $15,000",About the same,No one does,Other Christian,No,Before that,Omit,He has the right experience,Very important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Only John Kerry,No,Takes more jobs from your state,Only John Kerry,45-64,60 or over,50-64,Very/somewhat important,No college degree,No,"Under $50,000",18-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Boston area,"City over 500,000","City over 50,000",8.0,02128
994653.0,Massachusetts,8.0,Call 1,Backside complete,1.55865883827209,John Kerry,Male,White,No,65-74,Democrat,Very liberal,High school graduate,"Under $15,000",Worse today,No one does,Catholic,No,Before that,The war in Iraq,He stands up for what he believes,Very important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Only John Kerry,No,Takes more jobs from your state,Only John Kerry,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,No,"Under $50,000",65 or over,Democrat,Liberal,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Boston area,"City over 500,000","City over 50,000",8.0,02128
994663.0,Massachusetts,8.0,Call 1,Backside complete,1.55865883827209,John Kerry,Male,White,No,60-64,Democrat,Moderate,High school graduate,"$30,000-$49,999",Better today,No one does,Catholic,No,Before that,Education,He cares about people like me,Not at all important,"Satisfied, but not enthusiastic",He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Only John Kerry,No,Takes more jobs from your state,Only John Kerry,45-64,60 or over,50-64,Not too/not at all important,No college degree,No,"Under $50,000",18-64,Democrat,Moderate,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Boston area,"City over 500,000","City over 50,000",8.0,02128
994674.0,Massachusetts,8.0,Call 1,Backside complete,1.29366087913513,John Kerry,Male,Black,No,50-59,Democrat,Moderate,,"$50,000-$74,999",Worse today,No one does,None,No,Before that,Education,He has the right experience,Omit,Angry,He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Neither candidate,No,Omit,Only John Kerry,45-64,45-59,50-64,Omit,,No,"$50,000 or more",18-64,Democrat,Moderate,None,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,Black,Boston area,"City over 500,000","City over 50,000",8.0,02128
994770.0,Massachusetts,100.0,Call 1,Backside complete,0.541892886161804,John Kerry,Male,White,No,75 or over,Independent,Moderate,College graduate,"$30,000-$49,999",Worse today,No one does,Catholic,No,Before that,Economy/Jobs,He can defeat George W. Bush,Very important,Angry,He can defeat George W. Bush in November,No legal recognition of gay couples' relationships,Satisfied only if Kerry is the nominee,Only John Kerry,Omit,Takes more jobs from your state,Only John Kerry,65 or over,60 or over,65 or over,Very/somewhat important,College degree,Omit,"Under $50,000",65 or over,Independent,Moderate,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Other large industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,01108
994784.0,Massachusetts,100.0,Call 1,Backside complete,0.445446819067001,John Kerry,Male,White,No,50-59,Democrat,Moderate,Postgraduate study,"$75,000-$99,999",Worse today,No one does,Protestant,No,Before that,National security/Terrorism,He can defeat George W. Bush,Not too important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,No,Creates more jobs in your state,Both candidates,45-64,45-59,50-64,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Other large industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,01108
994802.0,Massachusetts,100.0,Call 1,Backside complete,0.445446819067001,John Kerry,Male,White,No,50-59,Democrat,Moderate,College graduate,"$75,000-$99,999",About the same,"Yes, I do",Catholic,No,Before that,Economy/Jobs,He can defeat George W. Bush,Very important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Only John Kerry,No,Creates more jobs in your state,Only John Kerry,45-64,45-59,50-64,Very/somewhat important,College degree,No,"$50,000 or more",18-64,Democrat,Moderate,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,Other large industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,01108
994819.0,Massachusetts,100.0,Call 1,Backside complete,0.541892886161804,John Kerry,Male,White,No,60-64,Democrat,Somewhat liberal,High school graduate,"$30,000-$49,999",About the same,"Yes, I do",Catholic,No,In the last week,Economy/Jobs,He cares about people like me,Very important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Only John Kerry,Yes,Takes more jobs from your state,Only John Kerry,45-64,60 or over,50-64,Very/somewhat important,No college degree,Yes,"Under $50,000",18-64,Democrat,Liberal,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Kerry/Either,Today/Last 3 days/Last week,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,Other large industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,01108
994829.0,Massachusetts,35.0,Call 1,Backside complete,1.32037460803986,John Edwards,Male,Hispanic/Latino,Yes,75 or over,Something Else,Somewhat conservative,Some college or associate degree,"Under $15,000",Better today,"Yes, I do",Catholic,,Today,Taxes,He cares about people like me,Not at all important,Enthusaistic,He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied only if Edwards is the nominee,Neither candidate,Yes,Creates more jobs in your state,Neither candidate,65 or over,60 or over,65 or over,Not too/not at all important,No college degree,Yes,"Under $50,000",65 or over,Independent,Conservative,Catholic,All others/Omits,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,Non-white male,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Kerry/Neither,Only Edwards/Neither,"Yes, I am or someone in household is",Yes I am,White,East,Suburbs,Suburbs,9.0,02027
994841.0,Massachusetts,100.0,Call 1,Backside complete,0.535978257656097,John Kerry,Female,White,No,65-74,Democrat,Somewhat liberal,High school graduate,"$30,000-$49,999",Worse today,"Yes, I do and someone else does",Protestant,No,Before that,Health care/Medicare,He cares about people like me,Very important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Only John Kerry,Omit,Takes more jobs from your state,Only John Kerry,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,Omit,"Under $50,000",65 or over,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,Other large industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,01108
994852.0,Massachusetts,35.0,Call 1,Backside complete,1.30596303939819,John Edwards,Female,White,No,75 or over,Democrat,Very liberal,High school graduate,"$15,000-$29,999",Worse today,No one does,Catholic,,In the last month,The war in Iraq,He cares about people like me,Very important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Only John Edwards,Yes,Takes more jobs from your state,Both candidates,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,Yes,"Under $50,000",65 or over,Democrat,Liberal,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,East,Suburbs,Suburbs,9.0,02027
994864.0,Massachusetts,100.0,Call 1,Backside complete,0.444853037595749,John Kerry,Female,Black,No,45-49,Democrat,Somewhat liberal,College graduate,"$75,000-$99,999",Better today,"Yes, I do",Catholic,No,In the last month,Health care/Medicare,He can defeat George W. Bush,Somewhat important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Only John Kerry,No,Takes more jobs from your state,Both candidates,45-64,45-59,40-49,Very/somewhat important,College degree,No,"$50,000 or more",18-64,Democrat,Liberal,Catholic,All others/Omits,Satisfied with Edwards/Either,Satisfied with Kerry/Either,Non-white female,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,Black,Other large industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,01108
994887.0,Massachusetts,100.0,Call 1,Backside complete,0.440584868192673,John Kerry,Female,White,No,40-44,Independent,Somewhat conservative,Postgraduate study,"$15,000-$29,999",About the same,No one does,Catholic,No,In the last month,Education,He has the right experience,Somewhat important,"Dissatisfied, but not angry",Omit,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Both candidates,No,Has no effect on jobs in your state,Both candidates,30-44,30-44,40-49,Very/somewhat important,College degree,No,"Under $50,000",18-64,Independent,Conservative,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Other large industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,01108
994912.0,Massachusetts,100.0,Call 1,Backside complete,0.440584868192673,John Kerry,Female,White,No,50-59,Democrat,Somewhat liberal,Postgraduate study,"$75,000-$99,999",Worse today,No one does,Protestant,No,Before that,Economy/Jobs,He can defeat George W. Bush,Not too important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Both candidates,No,Creates more jobs in your state,Both candidates,45-64,45-59,50-64,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Other large industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,01108
994913.0,Massachusetts,35.0,Call 1,Backside complete,1.05077910423279,John Kerry,Male,White,No,40-44,Independent,Moderate,Some college or associate degree,"$30,000-$49,999",Worse today,No one does,Catholic,No,Before that,National security/Terrorism,He is honest and trustworthy,Somewhat important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Both candidates,No,Creates more jobs in your state,Only John Kerry,30-44,30-44,40-49,Very/somewhat important,No college degree,No,"Under $50,000",18-64,Independent,Moderate,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,East,Suburbs,Suburbs,9.0,02027
