ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,veteran,RELIGION,ATTEND,EMPLOY,VISITWEB,TIMEPRI,issue,qual,NEC,IRAQAPP,BREAKPRI,BUSHANGR,BEATBUSH,satkerry,AGE,AGE60,AGE65,ATTEND2,ATTREL,BREAK2,COLLEDUC,EMPWMN,iraq2,MILHH,MILVOTE,NEC2,OVER65,PARTY,PHIL3,REL5,RELWHITE,SATKERR2,SEXRACE,TIMEPRI2,UNIONHH,UNIONVOT,VISWEB2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
665322.0,Missouri,32.0,Call 1,Backside complete,1.76266205310822,John Kerry,Male,White,No,65-74,Democrat,Moderate,Some college or associate degree,"$30,000-$49,999",About the same,No one does,"Yes, I have",Protestant,A few times a year,Not working and looking for work,Never,Before that,Economy/Jobs,He has a positive message,Poor,Strongly disapprove,Somewhat important,Angry,He can defeat George W. Bush in November,Very satisfied,65 or over,60 or over,65 or over,Occasionally,Protestant/Do not attend weekly,Very/somewhat important,No college degree,All others/Omits,Somewhat/Strongly disapprove,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,65 or over,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Very/somewhat satisfied,White male,Last month/Before that,No,No,Rarely/Never,White,Southwest,Rural,Small cities and Rural,4.0,65646.0
665341.0,Missouri,32.0,Call 1,Backside complete,1.72360360622406,John Edwards,Male,White,No,50-59,Republican,Very conservative,College graduate,"$30,000-$49,999",Worse today,No one does,No one has,Other Christian,A few times a month,Not working and not looking for work,Never,In the last week,Economy/Jobs,He has the right temperament,Good,Somewhat approve,Not too important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Very satisfied,45-64,45-59,50-64,Occasionally,Protestant/Do not attend weekly,Not too/Not at all important,College degree,All others/Omits,Strongly/Somewhat approve,No,No,Excellent/Good,18-64,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Very/somewhat satisfied,White male,Today/Last 3 days/Last week,No,No,Rarely/Never,White,Southwest,Rural,Small cities and Rural,4.0,65646.0
665356.0,Missouri,32.0,Call 1,Backside not complete,1.76266205310822,John Kerry,Female,White,,65-74,,,,,,,,,,,Never,Today,Economy/Jobs,Omit,,,,"Dissatisfied, but not angry",,Very satisfied,65 or over,60 or over,65 or over,,,,,,,,,,65 or over,,,,,Very/somewhat satisfied,White female,Today/Last 3 days/Last week,,,Rarely/Never,White,Southwest,Rural,Small cities and Rural,4.0,65646.0
665363.0,Missouri,32.0,Call 1,Backside complete,1.76266205310822,John Kerry,Male,White,No,50-59,Democrat,Very liberal,High school graduate,"$50,000-$74,999",Worse today,"Yes, I do","Yes, someone else has",Other Christian,Once a week,Not working and not looking for work,Never,Before that,Economy/Jobs,He can defeat George W. Bush,Poor,Strongly disapprove,Somewhat important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Very satisfied,45-64,45-59,50-64,Weekly,Protestant/Attend Weekly,Very/somewhat important,No college degree,All others/Omits,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Very/somewhat satisfied,White male,Last month/Before that,"Yes, I am or someone in household is",Yes I am,Rarely/Never,White,Southwest,Rural,Small cities and Rural,4.0,65646.0
665386.0,Missouri,32.0,Call 1,Backside not complete,1.76266205310822,John Kerry,Male,White,No,50-59,,,,,,,,,,,Never,In the last week,Economy/Jobs,He has the right experience,,,,"Dissatisfied, but not angry",,Very satisfied,45-64,45-59,50-64,,,,,,,,,,18-64,,,,,Very/somewhat satisfied,White male,Today/Last 3 days/Last week,,,Rarely/Never,White,Southwest,Rural,Small cities and Rural,4.0,65646.0
665391.0,Missouri,88.0,Call 1,Backside complete,1.20111763477325,John Edwards,Male,White,No,18-24,Democrat,Moderate,College graduate,"$15,000-$29,999",About the same,"Yes, someone else does","Yes, someone else has",Other Christian,More than once a week,Not working and looking for work,Never,In the last three days,Omit,He can defeat George W. Bush,Good,Strongly approve,Not at all important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Very dissatisfied,18-29,18-29,18-24,Weekly,Protestant/Attend Weekly,Not too/Not at all important,College degree,All others/Omits,Strongly/Somewhat approve,"Yes, I have or someone in household has",No,Excellent/Good,18-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Somewhat/very dissatisfied,White male,Today/Last 3 days/Last week,"Yes, I am or someone in household is",No,Rarely/Never,White,St. Louis suburbs,Suburbs,Suburbs,1.0,63074.0
665393.0,Missouri,39.0,Call 1,Backside complete,1.60170662403107,John Kerry,Male,White,,18-24,Democrat,Somewhat liberal,Some college or associate degree,"$50,000-$74,999",About the same,No one does,"Yes, someone else has",Something else,Never,Not working and not looking for work,Rarely,Today,The war in Iraq,He can defeat George W. Bush,Poor,Somewhat disapprove,Not at all important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Very satisfied,18-29,18-29,18-24,Never,All others/Omits,Not too/Not at all important,No college degree,All others/Omits,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Democrat,Liberal,Something else,White Something else,Very/somewhat satisfied,White male,Today/Last 3 days/Last week,No,No,Rarely/Never,White,Kansas City area,Suburbs,Suburbs,5.0,64133.0
665403.0,Missouri,23.0,Call 1,Backside complete,1.72360360622406,John Edwards,Female,White,No,30-39,Democrat,Moderate,High school graduate,"$15,000-$29,999",Worse today,No one does,No one has,Something else,A few times a month,Employed full-time,Never,In the last week,Education,He cares about people like me,Not so good,Somewhat approve,Omit,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Somewhat dissatisfied,30-44,30-44,30-39,Occasionally,All others/Omits,Omit,No college degree,Employed women,Strongly/Somewhat approve,No,No,Not so good/Poor,18-64,Democrat,Moderate,Something else,White Something else,Somewhat/very dissatisfied,White female,Today/Last 3 days/Last week,No,No,Rarely/Never,White,Southwest,Suburbs,Suburbs,7.0,65631.0
665405.0,Missouri,32.0,Call 1,Backside complete,1.76266205310822,John Kerry,Female,White,No,60-64,Democrat,Moderate,High school graduate,"$30,000-$49,999",About the same,No one does,"Yes, someone else has",Catholic,Once a week,Employed part-time,Frequently,Before that,Health care/Medicare,He has the right experience,Not so good,Strongly disapprove,Very important,"Dissatisfied, but not angry",He agrees with you on the major issues,Very satisfied,45-64,60 or over,50-64,Weekly,Catholic/Attend weekly,Very/somewhat important,No college degree,Employed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Democrat,Moderate,Catholic,White Catholic,Very/somewhat satisfied,White female,Last month/Before that,No,No,Frequently/Occasionally,White,Southwest,Rural,Small cities and Rural,4.0,65646.0
665415.0,Missouri,23.0,Call 1,Backside complete,1.72360360622406,John Edwards,Female,White,No,45-49,Democrat,Somewhat conservative,Some college or associate degree,"$15,000-$29,999",Worse today,No one does,"Yes, someone else has",Other Christian,More than once a week,Employed full-time,Never,In the last month,Omit,He cares about people like me,Not so good,Somewhat disapprove,Not at all important,"Dissatisfied, but not angry",He agrees with you on the major issues,Very dissatisfied,45-64,45-59,40-49,Weekly,Protestant/Attend Weekly,Not too/Not at all important,No college degree,Employed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Democrat,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Somewhat/very dissatisfied,White female,Last month/Before that,No,No,Rarely/Never,White,Southwest,Suburbs,Suburbs,7.0,65631.0
665416.0,Missouri,88.0,Call 1,Backside complete,0.988347470760345,John Edwards,Female,White,No,50-59,Democrat,Moderate,Some college or associate degree,"$50,000-$74,999",Worse today,"Yes, I do","Yes, someone else has",Other Christian,A few times a month,Employed full-time,Never,In the last month,Taxes,He cares about people like me,Not so good,Somewhat disapprove,Not too important,Angry,He agrees with you on the major issues,Somewhat dissatisfied,45-64,45-59,50-64,Occasionally,Protestant/Do not attend weekly,Not too/Not at all important,No college degree,Employed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Somewhat/very dissatisfied,White female,Last month/Before that,"Yes, I am or someone in household is",Yes I am,Rarely/Never,White,St. Louis suburbs,Suburbs,Suburbs,1.0,63074.0
665427.0,Missouri,32.0,Call 1,Backside complete,1.72360360622406,John Edwards,Male,White,No,40-44,Independent,Moderate,High school graduate,"$50,000-$74,999",Worse today,"Yes, I do","Yes, someone else has",Protestant,A few times a month,Employed part-time,Never,In the last month,Economy/Jobs,He cares about people like me,Poor,Somewhat approve,Somewhat important,Angry,He agrees with you on the major issues, Somewhat satisfied,30-44,30-44,40-49,Occasionally,Protestant/Do not attend weekly,Very/somewhat important,No college degree,All others/Omits,Strongly/Somewhat approve,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Independent,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Very/somewhat satisfied,White male,Last month/Before that,"Yes, I am or someone in household is",Yes I am,Rarely/Never,White,Southwest,Rural,Small cities and Rural,4.0,65646.0
665428.0,Missouri,39.0,Call 1,Backside complete,1.69185900688171,John Edwards,Female,White,No,50-59,Democrat,Moderate,College graduate,,About the same,No one does,No one has,,Omit,Employed full-time,Never,Today,Health care/Medicare,He has a positive message,Good,Somewhat disapprove,Somewhat important,"Dissatisfied, but not angry",He can defeat George W. Bush in November, Somewhat satisfied,45-64,45-59,50-64,Omit,All others/Omits,Very/somewhat important,College degree,Employed women,Somewhat/Strongly disapprove,No,No,Excellent/Good,18-64,Democrat,Moderate,,All others/Omits,Very/somewhat satisfied,White female,Today/Last 3 days/Last week,No,No,Rarely/Never,White,Kansas City area,Suburbs,Suburbs,5.0,64133.0
665429.0,Missouri,112.0,Call 1,Backside complete,0.444563746452332,John Kerry,Male,White,No,40-44,Democrat,Moderate,Some college or associate degree,"$30,000-$49,999",Better today,"Yes, I do","Yes, I have",None,Never,Employed full-time,Occasionally,In the last month,Economy/Jobs,He cares about people like me,Poor,Somewhat disapprove,Not too important,"Dissatisfied, but not angry",He agrees with you on the major issues,Very satisfied,30-44,30-44,40-49,Never,All others/Omits,Not too/Not at all important,No college degree,All others/Omits,Somewhat/Strongly disapprove,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,18-64,Democrat,Moderate,None,White None,Very/somewhat satisfied,White male,Last month/Before that,"Yes, I am or someone in household is",Yes I am,Frequently/Occasionally,White,St. Louis City,"City: 50,000 to 500,000","City over 50,000",3.0,63139.0
665434.0,Missouri,88.0,Call 1,Backside complete,0.879663467407227,John Kerry,Male,White,,65-74,Democrat,Very liberal,High school graduate,"$15,000-$29,999",Worse today,"Yes, I do",No one has,Protestant,A few times a year,,Rarely,In the last week,Health care/Medicare,He stands up for what he believes,Not so good,Somewhat approve,Somewhat important,"Dissatisfied, but not angry",He agrees with you on the major issues,Very satisfied,65 or over,60 or over,65 or over,Occasionally,Protestant/Do not attend weekly,Very/somewhat important,No college degree,All others/Omits,Strongly/Somewhat approve,No,No,Not so good/Poor,65 or over,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Very/somewhat satisfied,White male,Today/Last 3 days/Last week,"Yes, I am or someone in household is",Yes I am,Rarely/Never,White,St. Louis suburbs,Suburbs,Suburbs,1.0,63074.0
665441.0,Missouri,112.0,Call 1,Backside complete,0.444563746452332,John Kerry,Female,White,No,30-39,Democrat,Somewhat liberal,College graduate,"$30,000-$49,999",About the same,"Yes, someone else does","Yes, someone else has",Catholic,Once a week,Employed full-time,Occasionally,In the last month,Economy/Jobs,He can defeat George W. Bush,Poor,Somewhat disapprove,Not at all important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Very satisfied,30-44,30-44,30-39,Weekly,Catholic/Attend weekly,Not too/Not at all important,College degree,Employed women,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Democrat,Liberal,Catholic,White Catholic,Very/somewhat satisfied,White female,Last month/Before that,"Yes, I am or someone in household is",No,Frequently/Occasionally,White,St. Louis City,"City: 50,000 to 500,000","City over 50,000",3.0,63139.0
665444.0,Missouri,39.0,Call 1,Backside complete,0.915797770023346,Howard Dean,Male,White,No,65-74,Democrat,Somewhat liberal,College graduate,"$50,000-$74,999",About the same,"Yes, someone else does",No one has,,Once a week,Employed full-time,Never,In the last month,Taxes,He stands up for what he believes,Good,Somewhat disapprove,Very important,"Satisfied, but not enthusiastic",He can defeat George W. Bush in November,Somewhat dissatisfied,65 or over,60 or over,65 or over,Weekly,All others/Omits,Very/somewhat important,College degree,All others/Omits,Somewhat/Strongly disapprove,No,No,Excellent/Good,65 or over,Democrat,Liberal,,All others/Omits,Somewhat/very dissatisfied,White male,Last month/Before that,"Yes, I am or someone in household is",No,Rarely/Never,White,Kansas City area,Suburbs,Suburbs,5.0,64133.0
665446.0,Missouri,23.0,Call 1,Backside complete,1.76266205310822,John Kerry,Female,White,No,40-44,Republican,Moderate,College graduate,"$30,000-$49,999",About the same,No one does,No one has,Something else,Omit,Employed full-time,Never,In the last week,Economy/Jobs,He stands up for what he believes,Not so good,Strongly approve,Not at all important,"Satisfied, but not enthusiastic",Omit,Very satisfied,30-44,30-44,40-49,Omit,All others/Omits,Not too/Not at all important,College degree,Employed women,Strongly/Somewhat approve,No,No,Not so good/Poor,18-64,Republican,Moderate,Something else,White Something else,Very/somewhat satisfied,White female,Today/Last 3 days/Last week,No,No,Rarely/Never,White,Southwest,Suburbs,Suburbs,7.0,65631.0
