ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,MARRIED,TIMEPRI,ISSUE,QUAL,BREAKPRI,BUSHANGR,BEATBUSH,gaymrrge,SATISNOM,standup,suppdean,TRADE,trustns,AGE,AGE60,AGE65,BREAK2,COLLEDUC,DEANDFCT,INC50K,OVER65,PARTY,PHIL3,REL5,RELWHITE,satisedw,satisker,SEXRACE,stndedwr,stndkery,TIMEPRI2,trstedwr,trstkery,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
995991.0,Rhode Island,69.0,Call 1,Backside complete,1.56954789161682,John Kerry,Male,White,No,45-49,Democrat,Moderate,High school graduate,"$50,000-$74,999",Worse today,"Yes, I do",Catholic,Yes,In the last month,Economy/Jobs,He can defeat George W. Bush,Very important,Angry,He can defeat George W. Bush in November,Omit,Satisfied if either one is the nominee,Both candidates,Yes,Takes more jobs from your state,Both candidates,45-64,45-59,40-49,Very/somewhat important,No college degree,Yes,"$50,000 or more",18-64,Democrat,Moderate,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,Providence/Industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,02903
996019.0,Rhode Island,69.0,Call 1,Backside complete,1.43307638168335,John Kerry,Female,White,No,50-59,Democrat,Moderate,High school graduate,"$30,000-$49,999",About the same,"Yes, I do",Catholic,No,Before that,Economy/Jobs,He stands up for what he believes,Not too important,"Dissatisfied, but not angry",He agrees with you on the major issues,No legal recognition of gay couples' relationships,Satisfied if either one is the nominee,Neither candidate,No,Takes more jobs from your state,Both candidates,45-64,45-59,50-64,Not too/not at all important,No college degree,No,"Under $50,000",18-64,Democrat,Moderate,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,Providence/Industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,02903
996057.0,Rhode Island,69.0,Call 1,Backside complete,1.56954789161682,John Kerry,Male,White,No,40-44,Democrat,Moderate,College graduate,"$50,000-$74,999",About the same,"Yes, I do",Catholic,Yes,In the last month,Health care/Medicare,He can defeat George W. Bush,Somewhat important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,Yes,Takes more jobs from your state,Both candidates,30-44,30-44,40-49,Very/somewhat important,College degree,Yes,"$50,000 or more",18-64,Democrat,Moderate,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,Providence/Industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,02903
996087.0,Rhode Island,69.0,Call 1,Backside complete,1.43307638168335,John Kerry,Female,Hispanic/Latino,Yes,40-44,Democrat,Somewhat conservative,Some college or associate degree,"$30,000-$49,999",Worse today,No one does,Catholic,No,Before that,Economy/Jobs,He has a positive message,Very important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Only John Kerry,Yes,Creates more jobs in your state,Only John Kerry,30-44,30-44,40-49,Very/somewhat important,No college degree,Yes,"Under $50,000",18-64,Democrat,Conservative,Catholic,All others/Omits,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,Non-white female,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,Hispanic/Latino,Providence/Industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,02903
996115.0,Rhode Island,69.0,Call 1,Backside complete,1.59897613525391,John Kerry,Male,White,No,25-29,Democrat,Moderate,Postgraduate study,"$100,000 or more",About the same,"Yes, someone else does",Catholic,No,Before that,Economy/Jobs,He has a positive message,Very important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied only if Kerry is the nominee,Both candidates,No,Has no effect on jobs in your state,Both candidates,18-29,18-29,25-29,Very/somewhat important,College degree,No,"$50,000 or more",18-64,Democrat,Moderate,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",No,White,Providence/Industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,02903
996130.0,Rhode Island,69.0,Call 1,Backside complete,1.56954789161682,John Kerry,Male,White,No,40-44,Democrat,Somewhat liberal,Postgraduate study,"$100,000 or more",Better today,No one does,Something else,Yes,In the last month,Economy/Jobs,He can defeat George W. Bush,Not at all important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,No,Creates more jobs in your state,Both candidates,30-44,30-44,40-49,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Democrat,Liberal,Something else,White Something else,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Providence/Industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,02903
996131.0,Rhode Island,69.0,Call 1,Backside complete,1.59897613525391,John Kerry,Male,White,No,25-29,Independent,Moderate,College graduate,"$50,000-$74,999",About the same,"Yes, I do",Catholic,No,In the last month,Health care/Medicare,He has a positive message,Not too important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Gay couples allowed to legally marry,Dissatisfied if either one is the nominee,Neither candidate,No,Takes more jobs from your state,Neither candidate,18-29,18-29,25-29,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Independent,Moderate,Catholic,White Catholic,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,"Yes, I am or someone in household is",Yes I am,White,Providence/Industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,02903
996144.0,Rhode Island,67.0,Call 1,Backside complete,1.07883930206299,John Edwards,Female,White,No,75 or over,Democrat,Moderate,High school graduate,"Under $15,000",Better today,No one does,Protestant,No,Before that,Omit,He is honest and trustworthy,Very important,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied only if Edwards is the nominee,Only John Edwards,No,Creates more jobs in your state,Only John Edwards,65 or over,60 or over,65 or over,Very/somewhat important,No college degree,No,"Under $50,000",65 or over,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,White female,Only Edwards/Either,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Edwards/Neither,No,No,White,Providence/Industrial cities,"City: 10,000 to 49,999",Small cities and Rural,2.0,02903
996145.0,Rhode Island,1.0,Call 1,Backside complete,0.912459433078766,John Kerry,Male,White,No,50-59,Democrat,Somewhat liberal,Postgraduate study,"$75,000-$99,999",Worse today,"Yes, I do",Jewish,Yes,In the last month,Economy/Jobs,He can defeat George W. Bush,Not too important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,Yes,Takes more jobs from your state,Both candidates,45-64,45-59,50-64,Not too/not at all important,College degree,Yes,"$50,000 or more",18-64,Democrat,Liberal,Jewish,White Jewish,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,Rural/Rest of state,"City: 10,000 to 49,999",Small cities and Rural,1.0,02806
996178.0,Rhode Island,67.0,Call 1,Backside not complete,1.23081696033478,John Kerry,Female,White,No,75 or over,,,,,,,,,Before that,Omit,Omit,,Angry,,,Omits,Omit,,,Only John Kerry,65 or over,60 or over,65 or over,,,,,65 or over,,,,,Omit,Omit,White female,Omit,Omit,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,,,White,Providence/Industrial cities,"City: 10,000 to 49,999",Small cities and Rural,2.0,02903
