ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WGT,dpres,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,veteran,RELIGION,ATTEND,EMPLOY,VISITWEB,TIMEPRI,issue,qual,NEC,IRAQAPP,BUSHANGR,BEATBUSH,satkerry,TRADE,AGE,AGE60,AGE65,ATTEND2,ATTREL,COLLEDUC,EMPWMN,INC50K,iraq2,MILHH,MILVOTE,NEC2,OVER65,PARTY,PHIL3,REL5,RELWHITE,SATKERR2,SEXRACE,TIMEPRI2,UNIONHH,UNIONVOT,VISWEB2,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
797039.0,Tennessee,,,Backside complete,Early voter exit poll,0.927384197711945,John Kerry,Female,White,No,50-59,Democrat,Somewhat liberal,Postgraduate study,"$100,000 or more",About the same,No one does,No one has,Jewish,Never,Not working and not looking for work,Rarely,,Taxes,He has the right experience,Good,Somewhat disapprove,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Very satisfied,,45-59,45-59,50-64,Never,All others/Omits,College degree,Unemployed women,"$50,000 or more",Somewhat/Strongly disapprove,No,No,Excellent/Good,18-64,Democrat,Liberal,Jewish,White Jewish,Very/Somewhat satisfied,White female,,No,No,Rarely/Never,White,East,Rural,Small cities and Rural,3.0,
797040.0,Tennessee,,,Backside complete,Early voter exit poll,0.846890151500702,Howard Dean,Male,White,No,30-39,Democrat,Very liberal,College graduate,"$50,000-$74,999",About the same,No one does,No one has,Protestant,Once a week,Employed full-time,Frequently,,Economy/Jobs,He cares about people like me,Good,Strongly disapprove,Angry,He agrees with you on the major issues,Somewhat dissatisfied,,30-44,30-44,30-39,Weekly,Protestant/Attend Weekly,College degree,All others/Omits,"$50,000 or more",Somewhat/Strongly disapprove,No,No,Excellent/Good,18-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat dissatisfied,White male,,No,No,Frequently/Occasionally,White,East,Rural,Small cities and Rural,3.0,
797041.0,Tennessee,,,Backside complete,Early voter exit poll,0.969677269458771,John Kerry,Female,White,No,65-74,Democrat,Somewhat liberal,Postgraduate study,"$75,000-$99,999",About the same,No one does,No one has,Protestant,Once a week,Not working and not looking for work,Occasionally,,The war in Iraq,He has the right experience,Not so good,Strongly disapprove,Angry,He can defeat George W. Bush in November,Very satisfied,,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,College degree,Unemployed women,"$50,000 or more",Somewhat/Strongly disapprove,No,No,Not so good/Poor,65 or over,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat satisfied,White female,,No,No,Frequently/Occasionally,White,East,Rural,Small cities and Rural,3.0,
797042.0,Tennessee,,,Backside complete,Early voter exit poll,0.927384197711945,John Kerry,Female,White,No,40-44,Democrat,Moderate,Postgraduate study,"$30,000-$49,999",Worse today,,"Yes, someone else has",Catholic,A few times a year,Employed full-time,Occasionally,,Omit,Omit,Not so good,Strongly disapprove,Angry,He agrees with you on the major issues,Very satisfied,,30-44,30-44,40-49,Occasionally,Catholic/Do not attend weekly,College degree,Employed women,"Under $50,000",Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Democrat,Moderate,Catholic,White Catholic,Very/Somewhat satisfied,White female,,,,Frequently/Occasionally,White,East,Rural,Small cities and Rural,3.0,
797043.0,Tennessee,,,Backside complete,Early voter exit poll,0.969677269458771,John Kerry,Female,White,No,60-64,Independent,Moderate,Postgraduate study,"$30,000-$49,999",Worse today,No one does,"Yes, someone else has",Protestant,A few times a month,Employed part-time,Occasionally,,The war in Iraq,He can defeat George W. Bush,Not so good,Somewhat disapprove,Angry,He can defeat George W. Bush in November,Very satisfied,,45-59,60 or over,50-64,Occasionally,Protestant/Do not attend weekly,College degree,Employed women,"Under $50,000",Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Independent,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat satisfied,White female,,No,No,Frequently/Occasionally,White,East,Rural,Small cities and Rural,3.0,
797044.0,Tennessee,,,Backside complete,Early voter exit poll,0.470230340957642,John Kerry,Male,,No,75 or over,Democrat,Moderate,College graduate,"$75,000-$99,999",About the same,No one does,"Yes, I have",Protestant,A few times a month,Not working and not looking for work,Occasionally,,The war in Iraq,He can defeat George W. Bush,Not so good,Somewhat disapprove,Angry,He agrees with you on the major issues,Very satisfied,,65 or over,60 or over,65 or over,Occasionally,Protestant/Do not attend weekly,College degree,All others/Omits,"$50,000 or more",Somewhat/Strongly disapprove,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,65 or over,Democrat,Moderate,Protestant/Other Christian,All others/Omits,Very/Somewhat satisfied,,,No,No,Frequently/Occasionally,,East,Rural,Small cities and Rural,3.0,
797045.0,Tennessee,,,Backside complete,Early voter exit poll,1.33357322216034,Wesley Clark,Male,White,No,50-59,Independent,Very conservative,Postgraduate study,"$50,000-$74,999",Better today,No one does,"Yes, I have and someone else has",Protestant,More than once a week,Employed full-time,Never,,Economy/Jobs,He has the right temperament,Good,Strongly approve,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Very dissatisfied,,45-59,45-59,50-64,Weekly,Protestant/Attend Weekly,College degree,All others/Omits,"$50,000 or more",Strongly/Somewhat approve,"Yes, I have or someone in household has","Yes, I have",Excellent/Good,18-64,Independent,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat dissatisfied,White male,,No,No,Rarely/Never,White,East,Rural,Small cities and Rural,3.0,
797046.0,Tennessee,,,Backside complete,Early voter exit poll,0.99872612953186,John Kerry,Male,White,No,65-74,Democrat,Somewhat liberal,Postgraduate study,"$100,000 or more",About the same,No one does,No one has,Protestant,Once a week,Employed part-time,Frequently,,The war in Iraq,He can defeat George W. Bush,Poor,Strongly disapprove,Angry,He agrees with you on the major issues,Very satisfied,,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,College degree,All others/Omits,"$50,000 or more",Somewhat/Strongly disapprove,No,No,Not so good/Poor,65 or over,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat satisfied,White male,,No,No,Frequently/Occasionally,White,East,Rural,Small cities and Rural,3.0,
797047.0,Tennessee,,,Backside complete,Early voter exit poll,0.954883813858032,John Kerry,Male,White,No,18-24,Democrat,Very liberal,High school graduate,"$15,000-$29,999",About the same,No one does,"Yes, someone else has",None,Never,Employed part-time,Occasionally,,Economy/Jobs,He has the right experience,Not so good,Strongly disapprove,Angry,He agrees with you on the major issues,Very satisfied,,18-29,18-29,18-24,Never,All others/Omits,No college degree,All others/Omits,"Under $50,000",Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Democrat,Liberal,None,White None,Very/Somewhat satisfied,White male,,No,No,Frequently/Occasionally,White,East,Rural,Small cities and Rural,3.0,
797048.0,Tennessee,,,Backside complete,Early voter exit poll,0.99872612953186,John Kerry,Male,White,No,65-74,Independent,Somewhat conservative,High school graduate,"$15,000-$29,999",About the same,No one does,"Yes, I have",Protestant,Once a week,Not working and not looking for work,Never,,The war in Iraq,He can defeat George W. Bush,Not so good,Strongly disapprove,"Dissatisfied, but not angry",He can defeat George W. Bush in November,Very satisfied,,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,No college degree,All others/Omits,"Under $50,000",Somewhat/Strongly disapprove,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,65 or over,Independent,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat satisfied,White male,,No,No,Rarely/Never,White,East,Rural,Small cities and Rural,3.0,
797049.0,Tennessee,,,Backside complete,Early voter exit poll,0.546699941158295,John Kerry,Female,White,No,65-74,Democrat,Very liberal,Some college or associate degree,"$50,000-$74,999",About the same,No one does,"Yes, someone else has",Protestant,More than once a week,Not working and not looking for work,Occasionally,,Economy/Jobs,He can defeat George W. Bush,Not so good,Strongly disapprove,Angry,Omit,Omit,,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,No college degree,Unemployed women,"$50,000 or more",Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Omit,White female,,No,No,Frequently/Occasionally,White,Middle west,Rural,Small cities and Rural,6.0,
797050.0,Tennessee,,,Backside complete,Early voter exit poll,0.729778707027435,Wesley Clark,Female,White,No,18-24,Independent,Somewhat conservative,High school graduate,"$30,000-$49,999",About the same,No one does,No one has,Something else,Once a week,Employed full-time,Never,,Economy/Jobs,He has a positive message,Good,Somewhat approve,"Dissatisfied, but not angry",He agrees with you on the major issues,Somewhat dissatisfied,,18-29,18-29,18-24,Weekly,All others/Omits,No college degree,Employed women,"Under $50,000",Strongly/Somewhat approve,No,No,Excellent/Good,18-64,Independent,Conservative,Something else,White Something else,Very/Somewhat dissatisfied,White female,,No,No,Rarely/Never,White,Middle west,Rural,Small cities and Rural,6.0,
797051.0,Tennessee,,,Backside complete,Early voter exit poll,0.470230340957642,Al Sharpton,Male,Black,No,45-49,Democrat,Somewhat liberal,High school graduate,"$15,000-$29,999",Worse today,"Yes, I do","Yes, someone else has",Protestant,A few times a year,Employed full-time,Never,,Economy/Jobs,He cares about people like me,Not so good,Strongly disapprove,"Dissatisfied, but not angry",He agrees with you on the major issues,Somewhat satisfied,,45-59,45-59,40-49,Occasionally,Protestant/Do not attend weekly,No college degree,All others/Omits,"Under $50,000",Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,18-64,Democrat,Liberal,Protestant/Other Christian,All others/Omits,Very/Somewhat satisfied,Non-white male,,"Yes, I am or someone in household is",Yes I am,Rarely/Never,Black,Middle west,Rural,Small cities and Rural,6.0,
797052.0,Tennessee,,,Backside complete,Early voter exit poll,0.628228425979614,,Female,White,,75 or over,Democrat,,Some college or associate degree,,Omit,No one does,,Protestant,Once a week,,,,Omit,Omit,Omit,Omit,Enthusaistic,Omit,Omit,,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,No college degree,All others/Omits,,Omit,,,Omit,65 or over,Democrat,,Protestant/Other Christian,White Protestant/Other Christian,Omit,White female,,No,No,,White,Middle west,Rural,Small cities and Rural,6.0,
797053.0,Tennessee,,,Backside complete,Early voter exit poll,0.763285577297211,Wesley Clark,Female,White,,75 or over,Republican,,High school graduate,,Worse today,,"Yes, someone else has",Protestant,Once a week,,Rarely,,Taxes,Omit,Good,Somewhat disapprove,Enthusaistic,Omit,Very dissatisfied,,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,No college degree,All others/Omits,,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Excellent/Good,65 or over,Republican,,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat dissatisfied,White female,,,,Rarely/Never,White,Middle west,Rural,Small cities and Rural,6.0,
797054.0,Tennessee,,,Backside complete,Early voter exit poll,0.786151468753815,Wesley Clark,Male,White,,75 or over,Democrat,Moderate,High school graduate,,Omit,No one does,"Yes, someone else has",Protestant,More than once a week,Employed full-time,,,Omit,He understands Tennessee,Not so good,Somewhat disapprove,"Dissatisfied, but not angry",Omit,Omit,,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,No college degree,All others/Omits,,Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Omit,White male,,No,No,,White,Middle west,Rural,Small cities and Rural,6.0,
797055.0,Tennessee,,,Backside complete,Early voter exit poll,0.786151468753815,Wesley Clark,Male,White,No,65-74,Independent,Moderate,Some college or associate degree,,Better today,No one does,"Yes, I have",Protestant,Once a week,Not working and not looking for work,Never,,The war in Iraq,He stands up for what he believes,Good,Strongly approve,"Dissatisfied, but not angry",He agrees with you on the major issues,Very dissatisfied,,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,No college degree,All others/Omits,,Strongly/Somewhat approve,"Yes, I have or someone in household has","Yes, I have",Excellent/Good,65 or over,Independent,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat dissatisfied,White male,,No,No,Rarely/Never,White,Middle west,Rural,Small cities and Rural,6.0,
797056.0,Tennessee,,,Backside complete,Early voter exit poll,0.786151468753815,Wesley Clark,Male,White,No,65-74,Republican,Very conservative,High school graduate,"$15,000-$29,999",About the same,No one does,"Yes, I have",Protestant,More than once a week,Not working and not looking for work,Never,,Health care/Medicare,He has the right experience,Good,Strongly approve,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Very dissatisfied,,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,No college degree,All others/Omits,"Under $50,000",Strongly/Somewhat approve,"Yes, I have or someone in household has","Yes, I have",Excellent/Good,65 or over,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat dissatisfied,White male,,No,No,Rarely/Never,White,Middle west,Rural,Small cities and Rural,6.0,
797057.0,Tennessee,,,Backside complete,Early voter exit poll,0.628228425979614,,Female,White,No,65-74,Republican,Very conservative,High school graduate,"$30,000-$49,999",Worse today,No one does,"Yes, someone else has",Protestant,More than once a week,Not working and not looking for work,Never,,Omit,Omit,Not so good,Somewhat disapprove,"Satisfied, but not enthusiastic",Omit,Very dissatisfied,,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,No college degree,Unemployed women,"Under $50,000",Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat dissatisfied,White female,,No,No,Rarely/Never,White,Middle west,Rural,Small cities and Rural,6.0,
797058.0,Tennessee,,,Backside complete,Early voter exit poll,0.786151468753815,Wesley Clark,Male,White,,75 or over,Democrat,Moderate,High school graduate,,About the same,No one does,"Yes, I have",Protestant,More than once a week,Not working and not looking for work,Never,,The war in Iraq,He cares about people like me,Not so good,Somewhat approve,"Dissatisfied, but not angry",He agrees with you on the major issues,Somewhat dissatisfied,,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,No college degree,All others/Omits,,Strongly/Somewhat approve,"Yes, I have or someone in household has","Yes, I have",Not so good/Poor,65 or over,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Very/Somewhat dissatisfied,White male,,No,No,Rarely/Never,White,Middle west,Rural,Small cities and Rural,6.0,
797059.0,Tennessee,,,Backside complete,Early voter exit poll,0.763285577297211,Wesley Clark,Female,White,No,75 or over,Democrat,Moderate,High school graduate,"$15,000-$29,999",Worse today,No one does,"Yes, someone else has",Protestant,Once a week,Not working and not looking for work,Never,,Taxes,He can defeat George W. Bush,Poor,Strongly disapprove,Angry,He can defeat George W. Bush in November,Omit,,65 or over,60 or over,65 or over,Weekly,Protestant/Attend Weekly,No college degree,Unemployed women,"Under $50,000",Somewhat/Strongly disapprove,"Yes, I have or someone in household has",No,Not so good/Poor,65 or over,Democrat,Moderate,Protestant/Other Christian,White Protestant/Other Christian,Omit,White female,,No,No,Rarely/Never,White,Middle west,Rural,Small cities and Rural,6.0,
