ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,dpres,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,veteran,ATTEND,FTVOTEP,TIMEPRI,issue,qual,IRAQAPP,BUSHANGR,BEATBUSH,jobworry,novedwr,novkerry,TERRWORR,TRADE,AGE,AGE60,AGE65,ATTEND2,COLLEDUC,ftever,FTPRIM,INC50K,iraq2,jobworr2,MILHH,MILVOTE,novedw2,novker2,OVER65,PARTY,PHIL3,SEXRACE,TERWORR2,TIMEPRI2,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
796864.0,Virginia,9.0,Call 1,Backside complete,0.462916851043701,John Kerry,Male,White,No,45-49,Republican,Moderate,Postgraduate study,"$100,000 or more",About the same,No one does,No one has,A few times a year,I have voted in a presidential primary before,In the last week,Economy/Jobs,He stands up for what he believes,Somewhat approve,"Dissatisfied, but not angry",He agrees with you on the major issues,Not too worried,Not too likely,Somewhat likely,Somewhat worried,Takes more jobs from your state,45-64,45-59,40-49,Occasionally,College degree,Have voted before,Have voted in a primary before,"$50,000 or more",Strongly/Somewhat approve,Not too/Not at all worried,No,No,Not too/Not at all likely,Very/Somewhat likely,18-64,Republican,Moderate,White male,Very/somewhat worried,Today/Last 3 days/Last week,No,No,White,West/Shenendoah,Rural,Small cities and Rural,6.0,24019.0
796865.0,Virginia,9.0,Call 1,Backside complete,0.463745594024658,John Edwards,Male,White,No,45-49,Independent,Somewhat conservative,Postgraduate study,"$50,000-$74,999",About the same,No one does,"Yes, someone else has",Once a week,I have voted in a presidential primary before,In the last month,National security/Terrorism,He stands up for what he believes,Somewhat approve,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Somewhat worried,Not too likely,Not too likely,Somewhat worried,Takes more jobs from your state,45-64,45-59,40-49,Weekly,College degree,Have voted before,Have voted in a primary before,"$50,000 or more",Strongly/Somewhat approve,Very/somewhat worried,"Yes, I have or someone in household has",No,Not too/Not at all likely,Not too/Not at all likely,18-64,Independent,Conservative,White male,Very/somewhat worried,Last month/Before that,No,No,White,West/Shenendoah,Rural,Small cities and Rural,6.0,24019.0
796866.0,Virginia,9.0,Call 1,Backside complete,0.4673210978508,Wesley Clark,Male,White,No,40-44,Independent,Moderate,College graduate,"$50,000-$74,999",Worse today,No one does,"Yes, I have",More than once a week,I have voted in a presidential primary before,In the last month,Economy/Jobs,He has the right experience,Strongly disapprove,Angry,He agrees with you on the major issues,Very worried,Not too likely,Somewhat likely,Somewhat worried,Creates more jobs in your state,30-44,30-44,40-49,Weekly,College degree,Have voted before,Have voted in a primary before,"$50,000 or more",Somewhat/Strongly disapprove,Very/somewhat worried,"Yes, I have or someone in household has","Yes, I have",Not too/Not at all likely,Very/Somewhat likely,18-64,Independent,Moderate,White male,Very/somewhat worried,Last month/Before that,No,No,White,West/Shenendoah,Rural,Small cities and Rural,6.0,24019.0
796867.0,Virginia,9.0,Call 1,Backside complete,0.4673210978508,Wesley Clark,Male,White,No,45-49,Independent,Somewhat conservative,Postgraduate study,"$50,000-$74,999",About the same,No one does,"Yes, I have",A few times a month,I have voted in a presidential primary before,In the last month,National security/Terrorism,He has the right experience,Somewhat approve,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Not at all worried,Not too likely,Not too likely,Very worried,Creates more jobs in your state,45-64,45-59,40-49,Occasionally,College degree,Have voted before,Have voted in a primary before,"$50,000 or more",Strongly/Somewhat approve,Not too/Not at all worried,"Yes, I have or someone in household has","Yes, I have",Not too/Not at all likely,Not too/Not at all likely,18-64,Independent,Conservative,White male,Very/somewhat worried,Last month/Before that,No,No,White,West/Shenendoah,Rural,Small cities and Rural,6.0,24019.0
796868.0,Virginia,57.0,Call 1,Backside complete,1.63134765625,John Edwards,Male,White,,65-74,Independent,Moderate,Postgraduate study,"$75,000-$99,999",About the same,No one does,"Yes, I have",More than once a week,I have voted in a presidential primary before,Today,Economy/Jobs,He stands up for what he believes,Somewhat disapprove,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Somewhat worried,Somewhat likely,Not too likely,Somewhat worried,Creates more jobs in your state,65 or over,60 or over,65 or over,Weekly,College degree,Have voted before,Have voted in a primary before,"$50,000 or more",Somewhat/Strongly disapprove,Very/somewhat worried,"Yes, I have or someone in household has","Yes, I have",Very/Somewhat likely,Not too/Not at all likely,65 or over,Independent,Moderate,White male,Very/somewhat worried,Today/Last 3 days/Last week,No,No,White,East/Richmond,Rural,Small cities and Rural,7.0,23117.0
796869.0,Virginia,9.0,Call 1,Backside complete,0.855608582496643,Howard Dean,Female,White,No,45-49,Democrat,Very liberal,Postgraduate study,"$100,000 or more",About the same,No one does,No one has,A few times a year,"I have voted before, but not in a presidential primary",Before that,The war in Iraq,He stands up for what he believes,Strongly disapprove,"Dissatisfied, but not angry",He agrees with you on the major issues,Not too worried,Not too likely,Somewhat likely,Very worried,Takes more jobs from your state,45-64,45-59,40-49,Occasionally,College degree,Have voted before,First time voted in a primary,"$50,000 or more",Somewhat/Strongly disapprove,Not too/Not at all worried,No,No,Not too/Not at all likely,Very/Somewhat likely,18-64,Democrat,Liberal,White female,Very/somewhat worried,Last month/Before that,No,No,White,West/Shenendoah,Rural,Small cities and Rural,6.0,24019.0
796870.0,Virginia,57.0,Call 1,Backside complete,1.49549889564514,Wesley Clark,Male,White,No,45-49,Democrat,Somewhat liberal,Some college or associate degree,"$75,000-$99,999",Better today,No one does,No one has,A few times a year,I have voted in a presidential primary before,Before that,The war in Iraq,He can defeat George W. Bush,Strongly disapprove,Angry,He can defeat George W. Bush in November,Not too worried,Somewhat likely,Very likely,Somewhat worried,Takes more jobs from your state,45-64,45-59,40-49,Occasionally,No college degree,Have voted before,Have voted in a primary before,"$50,000 or more",Somewhat/Strongly disapprove,Not too/Not at all worried,No,No,Very/Somewhat likely,Very/Somewhat likely,18-64,Democrat,Liberal,White male,Very/somewhat worried,Last month/Before that,No,No,White,East/Richmond,Rural,Small cities and Rural,7.0,23117.0
796871.0,Virginia,13.0,Call 1,Backside complete,1.14973342418671,John Kerry,Female,White,No,75 or over,Democrat,Very liberal,College graduate,"$30,000-$49,999",About the same,No one does,"Yes, someone else has",A few times a month,I have voted in a presidential primary before,In the last week,Education,He has the right experience,Somewhat disapprove,Angry,He can defeat George W. Bush in November,Not too worried,Not too likely,Very likely,Somewhat worried,Takes more jobs from your state,65 or over,60 or over,65 or over,Occasionally,College degree,Have voted before,Have voted in a primary before,"Under $50,000",Somewhat/Strongly disapprove,Not too/Not at all worried,"Yes, I have or someone in household has",No,Not too/Not at all likely,Very/Somewhat likely,65 or over,Democrat,Liberal,White female,Very/somewhat worried,Today/Last 3 days/Last week,No,No,White,East/Richmond,"City: 10,000 to 49,999",Small cities and Rural,4.0,23831.0
796872.0,Virginia,9.0,Call 1,Backside not complete,0.485293388366699,John Edwards,Female,White,No,60-64,,,,,,,,,,In the last week,Health care/Medicare,He cares about people like me,,"Dissatisfied, but not angry",,,Somewhat likely,Very likely,,,45-64,60 or over,50-64,,,,,,,,,,Very/Somewhat likely,Very/Somewhat likely,18-64,,,White female,,Today/Last 3 days/Last week,,,White,West/Shenendoah,Rural,Small cities and Rural,6.0,24019.0
796873.0,Virginia,63.0,Call 1,Backside complete,1.74365222454071,John Edwards,Male,White,No,65-74,Independent,Moderate,Postgraduate study,"$75,000-$99,999",Worse today,No one does,"Yes, I have",Once a week,I have voted in a presidential primary before,Today,Education,He stands up for what he believes,Strongly disapprove,"Dissatisfied, but not angry",He agrees with you on the major issues,Not too worried,Very likely,Somewhat likely,Very worried,Creates more jobs in your state,65 or over,60 or over,65 or over,Weekly,College degree,Have voted before,Have voted in a primary before,"$50,000 or more",Somewhat/Strongly disapprove,Not too/Not at all worried,"Yes, I have or someone in household has","Yes, I have",Very/Somewhat likely,Very/Somewhat likely,65 or over,Independent,Moderate,White male,Very/somewhat worried,Today/Last 3 days/Last week,No,No,White,North,Suburbs,Suburbs,11.0,22191.0
