ID,STANUM,PRECINCT,CALL,BACKSIDE,WGT,DPRES,SEX,RACE,LATINO,AGE9,PARTYID,PHIL5,EDUC,INCOME03,FINSIT,UNION4,RELIGION,GAY,TIMEPRI,ISSUE,QUAL,BREAKPRI,BUSHANGR,BEATBUSH,gaymrrge,SATISNOM,standup,suppdean,TRADE,trustns,AGE,AGE60,AGE65,BREAK2,COLLEDUC,DEANDFCT,INC50K,OVER65,PARTY,PHIL3,REL5,RELWHITE,satisedw,satisker,SEXRACE,stndedwr,stndkery,TIMEPRI2,trstedwr,trstkery,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM
995247.0,Vermont,33.0,Call 1,Backside complete,0.855432450771332,Howard Dean,Female,White,No,45-49,Democrat,Very liberal,Postgraduate study,"$100,000 or more",About the same,No one does,Protestant,No,Before that,Education,He stands up for what he believes,Somewhat important,"Dissatisfied, but not angry",He agrees with you on the major issues,Gay couples allowed to legally marry,Dissatisfied if either one is the nominee,Neither candidate,Yes,Takes more jobs from your state,Neither candidate,45-64,45-59,40-49,Very/somewhat important,College degree,Omit,"$50,000 or more",18-64,Democrat,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White female,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Kerry/Neither,Only Edwards/Neither,No,No,White,Burlington/Winooski Riv. Val.,Suburbs,Suburbs,1.0
995248.0,Vermont,33.0,Call 1,Backside complete,1.08163058757782,Howard Dean,Male,White,No,50-59,Independent,Moderate,College graduate,"$30,000-$49,999",About the same,"Yes, I do",,No,In the last month,Education,He is honest and trustworthy,Not at all important,"Satisfied, but not enthusiastic",He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied only if Edwards is the nominee,Neither candidate,Yes,Takes more jobs from your state,Only John Edwards,45-64,45-59,50-64,Not too/not at all important,College degree,Omit,"Under $50,000",18-64,Independent,Moderate,,All others/Omits,Satisfied with Edwards/Either,Satisfied with Edwards/Neither,White male,Only Kerry/Neither,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Edwards/Neither,"Yes, I am or someone in household is",Yes I am,White,Burlington/Winooski Riv. Val.,Suburbs,Suburbs,1.0
995267.0,Vermont,33.0,Call 1,Backside complete,1.4406498670578,John Kerry,Male,White,No,50-59,Republican,Somewhat conservative,Postgraduate study,"$50,000-$74,999",Better today,No one does,Protestant,No,Today,Health care/Medicare,He cares about people like me,Not at all important,Enthusaistic,He agrees with you on the major issues,No legal recognition of gay couples' relationships,Dissatisfied if either one is the nominee,Neither candidate,No,Creates more jobs in your state,Neither candidate,45-64,45-59,50-64,Not too/not at all important,College degree,No,"$50,000 or more",18-64,Republican,Conservative,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Kerry/Neither,Satisfied with Edwards/Neither,White male,Only Kerry/Neither,Only Edwards/Neither,Today/Last 3 days/Last week,Only Kerry/Neither,Only Edwards/Neither,No,No,White,Burlington/Winooski Riv. Val.,Suburbs,Suburbs,1.0
995284.0,Vermont,33.0,Call 1,Backside complete,1.08163058757782,Howard Dean,Male,White,No,45-49,Independent,Moderate,Postgraduate study,"$50,000-$74,999",About the same,No one does,Catholic,No,In the last week,Taxes,He is honest and trustworthy,Not too important,Angry,He agrees with you on the major issues,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Only John Edwards,Yes,Takes more jobs from your state,Both candidates,45-64,45-59,40-49,Not too/not at all important,College degree,Omit,"$50,000 or more",18-64,Independent,Moderate,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Edwards/Neither,Today/Last 3 days/Last week,Only Edwards/Either,Only Kerry/Either,No,No,White,Burlington/Winooski Riv. Val.,Suburbs,Suburbs,1.0
995305.0,Vermont,33.0,Call 1,Backside complete,1.4406498670578,John Kerry,Male,White,No,50-59,Independent,Moderate,Some college or associate degree,"$75,000-$99,999",Worse today,No one does,None,No,In the last month,The war in Iraq,He stands up for what he believes,Not too important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied only if Kerry is the nominee,Only John Kerry,No,Takes more jobs from your state,Only John Kerry,45-64,45-59,50-64,Not too/not at all important,No college degree,No,"$50,000 or more",18-64,Independent,Moderate,None,White None,Satisfied with Kerry/Neither,Satisfied with Kerry/Either,White male,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Burlington/Winooski Riv. Val.,Suburbs,Suburbs,1.0
995327.0,Vermont,33.0,Call 1,Backside complete,0.855432450771332,Howard Dean,Female,White,No,30-39,Independent,Very liberal,College graduate,"$30,000-$49,999",Worse today,No one does,Catholic,No,Before that,The war in Iraq,He is honest and trustworthy,Somewhat important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Only John Kerry,Yes,Has no effect on jobs in your state,Only John Kerry,30-44,30-44,30-39,Very/somewhat important,College degree,Omit,"Under $50,000",18-64,Independent,Liberal,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Kerry/Neither,Only Kerry/Either,Last month/Before that,Only Kerry/Neither,Only Kerry/Either,No,No,White,Burlington/Winooski Riv. Val.,Suburbs,Suburbs,1.0
995351.0,Vermont,33.0,Call 1,Backside complete,1.40877282619476,Howard Dean,Male,White,No,65-74,Independent,Somewhat liberal,Postgraduate study,"$50,000-$74,999",Better today,No one does,Protestant,No,Before that,The war in Iraq,He stands up for what he believes,Not at all important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally form civil unions,Satisfied if either one is the nominee,Both candidates,Yes,Has no effect on jobs in your state,Both candidates,65 or over,60 or over,65 or over,Not too/not at all important,College degree,Omit,"$50,000 or more",65 or over,Independent,Liberal,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Burlington/Winooski Riv. Val.,Suburbs,Suburbs,1.0
995376.0,Vermont,33.0,Call 1,Backside complete,1.4406498670578,John Kerry,Male,Hispanic/Latino,Yes,50-59,Independent,Moderate,Postgraduate study,"$50,000-$74,999",Better today,No one does,Protestant,No,In the last month,Economy/Jobs,He is honest and trustworthy,Somewhat important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,No,Creates more jobs in your state,Both candidates,45-64,45-59,50-64,Very/somewhat important,College degree,No,"$50,000 or more",18-64,Independent,Moderate,Protestant/Other Christian,All others/Omits,Satisfied with Edwards/Either,Satisfied with Kerry/Either,Non-white male,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,Hispanic/Latino,Burlington/Winooski Riv. Val.,Suburbs,Suburbs,1.0
995377.0,Vermont,33.0,Call 1,Backside complete,1.27531886100769,John Kerry,Female,White,No,18-24,Democrat,,Some college or associate degree,"$50,000-$74,999",Worse today,No one does,Protestant,No,Before that,Economy/Jobs,He can defeat George W. Bush,Somewhat important,Angry,He can defeat George W. Bush in November,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Both candidates,No,Takes more jobs from your state,Both candidates,18-29,18-29,18-24,Very/somewhat important,No college degree,No,"$50,000 or more",18-64,Democrat,,Protestant/Other Christian,White Protestant/Other Christian,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Kerry/Either,Last month/Before that,Only Edwards/Either,Only Kerry/Either,No,No,White,Burlington/Winooski Riv. Val.,Suburbs,Suburbs,1.0
995409.0,Vermont,33.0,Call 1,Backside complete,1.11416041851044,Howard Dean,Female,White,No,60-64,Democrat,Very liberal,Postgraduate study,"$100,000 or more",Worse today,"Yes, I do",Catholic,No,Before that,Health care/Medicare,He stands up for what he believes,Not at all important,Angry,He agrees with you on the major issues,Gay couples allowed to legally marry,Satisfied if either one is the nominee,Only John Edwards,Yes,Takes more jobs from your state,Both candidates,45-64,60 or over,50-64,Not too/not at all important,College degree,Omit,"$50,000 or more",18-64,Democrat,Liberal,Catholic,White Catholic,Satisfied with Edwards/Either,Satisfied with Kerry/Either,White female,Only Edwards/Either,Only Edwards/Neither,Last month/Before that,Only Edwards/Either,Only Kerry/Either,"Yes, I am or someone in household is",Yes I am,White,Burlington/Winooski Riv. Val.,Suburbs,Suburbs,1.0
