ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENMA06,GOVMA06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,UNION4,LATINO,BUSH4,IRAQWAR,KERYPRES,ROMNPRES,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,BUSH,IRAQWAR2,UNIONHH,UNIONVOT,UNIONMEM,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
10017.0,Massachusetts,71.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.04914236068726,Edward Kennedy (Dem),Did not vote,Male,Asian,65-74,Democratic,Liberal,$50k-$75k,Something else,No one does,No,Strongly disapprove,Strongly disapprove,No Answer,No,Non-white male,Non-white,60 or over,65 or over,65 or over,60 or over,Democratic,$50k or more,Less than $100k,Something else,Non-White,Disapprove,Disapprove,No,No,No (no union member in household),Asian,Suburbs,Suburbs,4.0,Unoppsed Democratic,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2054.0
10065.0,Massachusetts,71.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.3124293088913,Ken Chase (Rep),Kerry Healey (Rep),Female,White,45-49,Republican,Conservative,$75k-$100k,Catholic,No one does,No,Strongly approve,Somewhat disapprove,No,Yes,White female,White female,45-59,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,Catholic,White Catholic,Approve,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,4.0,Unoppsed Democratic,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2054.0
10125.0,Massachusetts,71.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.71531480550766,Edward Kennedy (Dem),Deval Patrick (Dem),Female,White,50-59,Democratic,Moderate,$30k-$50k,Catholic,No one does,,Somewhat disapprove,Strongly disapprove,No,Yes,White female,White female,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Catholic,White Catholic,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,4.0,Unoppsed Democratic,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2054.0
10172.0,Massachusetts,71.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.990070819854736,Ken Chase (Rep),Kerry Healey (Rep),Male,Other,30-39,Independent,Moderate,$100k-$150k,Catholic,No one does,No,Somewhat approve,Somewhat disapprove,No,Yes,Non-white male,Non-white,30-44,30-39,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Catholic,Non-White,Approve,Disapprove,No,No,No (no union member in household),American Indian,Suburbs,Suburbs,4.0,Unoppsed Democratic,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2054.0
10223.0,Massachusetts,71.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.742512285709381,Other,Christy Mihos (Independent),Female,White,40-44,Democratic,Moderate,$100k-$150k,Catholic,No one does,,Strongly disapprove,Strongly disapprove,No,Yes,White female,White female,30-44,40-49,18-64,30-59,Democratic,$50k or more,$100k or more,Catholic,White Catholic,Disapprove,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,4.0,Unoppsed Democratic,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2054.0
10259.0,Massachusetts,71.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.990070819854736,Ken Chase (Rep),Kerry Healey (Rep),Male,White,50-59,Republican,Conservative,$100k-$150k,Other Christian,No one does,No,Strongly approve,Strongly approve,No,No,White male,White male,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Approve,Approve,No,No,No (no union member in household),White,Suburbs,Suburbs,4.0,Unoppsed Democratic,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2054.0
10330.0,Massachusetts,71.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.17120587825775,Ken Chase (Rep),Kerry Healey (Rep),Male,White,75 or over,Something else,Conservative,$50k-$75k,Protestant,No one does,No,Somewhat approve,Strongly approve,No,Yes,White male,White male,60 or over,65 or over,65 or over,60 or over,Independent/Something else,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Approve,Approve,No,No,No (no union member in household),White,Suburbs,Suburbs,4.0,Unoppsed Democratic,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2054.0
10389.0,Massachusetts,71.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.990070819854736,Ken Chase (Rep),Kerry Healey (Rep),Male,White,50-59,Independent,Moderate,$100k-$150k,Catholic,"Yes, I do and someone else does",No,Somewhat approve,Somewhat approve,No,Yes,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Catholic,White Catholic,Approve,Approve,Yes,Yes,I am (voter is member),White,Suburbs,Suburbs,4.0,Unoppsed Democratic,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2054.0
10431.0,Massachusetts,20.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.9743984937667798,Edward Kennedy (Dem),Christy Mihos (Independent),Female,White,50-59,Independent,Liberal,$200k or more,Protestant,,No,Somewhat disapprove,Somewhat disapprove,,,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Disapprove,Disapprove,,,,White,Suburbs,Suburbs,9.0,Strong Democratic,East,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,2301.0
10464.0,Massachusetts,71.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.1920896768569897,Edward Kennedy (Dem),Christy Mihos (Independent),Female,White,40-44,Independent,Moderate,$100k-$150k,Protestant,No one does,No,,Somewhat disapprove,No,No,White female,White female,30-44,40-49,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,4.0,Unoppsed Democratic,East,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2054.0
