ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENNJ06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,EDUC,UNION4,LATINO,BUSH4,VOTE2004,FORCANDS,IRAQTRP,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPCORRS,TERRWORR,TERWORR2,CORZJOB4,CORZJOB2,SENCNTL,ETHNJ06,ETHMEN,ETHKEAN,UNFRNJ06,UNFRMEN,UNFRKEAN,TIMESEN,TIMESEN3D,TIMESENWK,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQTRP2,IRAQWAR2,UNIONHH,UNIONVOT,UNIONMEM,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
7301.0,New Jersey,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.28654706478119,Bob Menendez (Dem),Female,Hispanic/Latino,50-59,Democratic,Moderate,$15k-$30k,Catholic,More than once a week,Some college or associate degree,No one does,Yes,Strongly disapprove,John Kerry (Dem),For your candidate,Withdraw all troops,Strongly disapprove,Extremely important,Extremely important,Extremely important,Extremely important,Very worried,Very/Somewhat worried,Somewhat approve,Approve,Democrats,Only Bob Menendez does,"Yes, Bob Menendez does","No, Thomas Kean, Jr does not",No Answer,No Answer,No Answer,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Non-white female,Non-white,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Catholic,Non-White,Weekly,Catholic/Attend weekly,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),Hispanic/Latino,Suburbs,Suburbs,13.0,Strong Democratic,Northern Cities,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,7087.0
7308.0,New Jersey,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.26561832427979,Bob Menendez (Dem),Male,Hispanic/Latino,45-49,Democratic,Conservative,$15k-$30k,Catholic,Once a week,Did not complete high school,No one does,Yes,Strongly disapprove,John Kerry (Dem),For your candidate,Withdraw all troops,Strongly disapprove,Extremely important,Extremely important,Extremely important,Extremely important,Not too worried,Not too/Not at all worried,Strongly approve,Approve,Democrats,Only Bob Menendez does,"Yes, Bob Menendez does","No, Thomas Kean, Jr does not",No Answer,No Answer,No Answer,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Non-white male,Non-white,45-59,40-49,18-64,30-59,Democratic,Less than $50k,Less than $100k,Catholic,Non-White,Weekly,Catholic/Attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),Hispanic/Latino,Suburbs,Suburbs,13.0,Strong Democratic,Northern Cities,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,7087.0
7312.0,New Jersey,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.44827687740326,Bob Menendez (Dem),Male,White,75 or over,Republican,Conservative,$15k-$30k,Catholic,Once a week,High school graduate,"Yes, someone else does",No,Somewhat disapprove,George W. Bush (Rep),For your candidate,Withdraw all troops,Somewhat approve,Extremely important,Somewhat important,Somewhat important,Somewhat important,Not too worried,Not too/Not at all worried,Strongly approve,Approve,Democrats,Only Bob Menendez does,"Yes, Bob Menendez does","No, Thomas Kean, Jr does not",Both did,"Yes, Bob Menendez did","Yes, Thomas Kean, Jr did",Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,Catholic,White Catholic,Weekly,Catholic/Attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Approve,Yes,No,"Else in HH (member in household, but not voter",White,Suburbs,Suburbs,13.0,Strong Democratic,Northern Cities,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,7087.0
7317.0,New Jersey,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.4722261428833,Bob Menendez (Dem),Female,Hispanic/Latino,60-64,Democratic,Liberal,Under $15k,Catholic,A few times a month,Some college or associate degree,No one does,Yes,Somewhat disapprove,,For your candidate,Withdraw some troops,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Somewhat important,Somewhat worried,Very/Somewhat worried,Somewhat approve,Approve,Democrats,Only Bob Menendez does,"Yes, Bob Menendez does","No, Thomas Kean, Jr does not",No Answer,No Answer,No Answer, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,Non-white female,Non-white,60 or over,50-64,18-64,60 or over,Democratic,Less than $50k,Less than $100k,Catholic,Non-White,Ocassionally,Catholic/Do not attend weekly,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),Hispanic/Latino,Suburbs,Suburbs,13.0,Strong Democratic,Northern Cities,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,7087.0
7326.0,New Jersey,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.26561832427979,Bob Menendez (Dem),Male,Hispanic/Latino,45-49,Democratic,Moderate,Under $15k,Other Christian,More than once a week,High school graduate,"Yes, someone else does",Yes,Strongly approve,John Kerry (Dem),For your candidate,Withdraw all troops,Strongly approve,Somewhat important,Extremely important,Extremely important,Extremely important,Very worried,Very/Somewhat worried,Strongly approve,Approve,Democrats,Only Bob Menendez does,"Yes, Bob Menendez does","No, Thomas Kean, Jr does not",Only Bob Menendez did,"Yes, Bob Menendez did","No, Thomas Kean, Jr did not",Just today,Just today/In the last three days,Just today/In the last three days/Sometime last week,Non-white male,Non-white,45-59,40-49,18-64,30-59,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,Non-White,Weekly,All others,Did not graduate from college,High school graduate or less,Approve,Withdraw all or some troops,Approve,Yes,No,"Else in HH (member in household, but not voter",Hispanic/Latino,Suburbs,Suburbs,13.0,Strong Democratic,Northern Cities,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,7087.0
7334.0,New Jersey,68.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.843330085277557,Bob Menendez (Dem),Male,White,50-59,Democratic,Liberal,$75k-$100k,Jewish,A few time a year,College graduate,No one does,No,Strongly disapprove,John Kerry (Dem),For your candidate,Withdraw some troops,Strongly disapprove,Somewhat important,Somewhat important,Extremely important,Extremely important,Not too worried,Not too/Not at all worried,Strongly approve,Approve,Democrats,Only Bob Menendez does,"Yes, Bob Menendez does","No, Thomas Kean, Jr does not","Only Thomas Kean, Jr did","No, Bob Menendez did not","Yes, Thomas Kean, Jr did",Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,Jewish,White Jewish,Ocassionally,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,12.0,Strong Democratic,Central,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,8816.0
7341.0,New Jersey,77.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.21801662445068,"Thomas Kean, Jr (Rep)",Male,White,65-74,Republican,Moderate,$30k-$50k,Catholic,Once a week,Some college or associate degree,No one does,No,Strongly approve,George W. Bush (Rep),For your candidate,Maintain the same number of troops,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat worried,Very/Somewhat worried,Strongly disapprove,Disapprove,Republicans,"Only Thomas Kean, Jr does","No, Bob Menedez does not","Yes, Thomas Kean, Jr does",Neither did,"No, Bob Menendez did not","No, Thomas Kean, Jr did not",Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,Catholic,White Catholic,Weekly,Catholic/Attend weekly,Did not graduate from college,At least some college,Approve,Same number or more troops,Approve,No,No,No (no union member in household),White,Suburbs,Suburbs,6.0,Strong Democratic,Central,Suburb,60s Suburbs,Urban Perimeter,Downscale,8879.0
7345.0,New Jersey,112.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.967202186584473,Bob Menendez (Dem),Female,White,65-74,Independent,Moderate,,,No answer,,No one does,No,Strongly disapprove,Someone else,Against his opponent,Withdraw all troops,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not too worried,Not too/Not at all worried,Somewhat approve,Approve,Does not matter to me,Neither does,"No, Bob Menedez does not","No, Thomas Kean, Jr does not",Both did,"Yes, Bob Menendez did","Yes, Thomas Kean, Jr did",Sometime last week,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,White female,White female,60 or over,65 or over,65 or over,60 or over,Independent/Something else,,,,,No answer,No answer,,,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),White,Suburbs,Suburbs,5.0,Strong Republican,Bergen/Passaic Counties,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,7465.0
7348.0,New Jersey,68.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.31354737281799,"Thomas Kean, Jr (Rep)",Male,White,65-74,Republican,Moderate,$200k or more,Jewish,A few time a year,Postgraduate study,No one does,No,Strongly approve,George W. Bush (Rep),For your candidate,Send more troops,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat worried,Very/Somewhat worried,Somewhat approve,Approve,Republicans,Both do,"Yes, Bob Menendez does","Yes, Thomas Kean, Jr does",Neither did,"No, Bob Menendez did not","No, Thomas Kean, Jr did not",Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,$100k or more,Jewish,White Jewish,Ocassionally,All others,College graduate,At least some college,Approve,Same number or more troops,Approve,No,No,No (no union member in household),White,Suburbs,Suburbs,12.0,Strong Democratic,Central,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,8816.0
7358.0,New Jersey,77.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.23815822601318,"Thomas Kean, Jr (Rep)",Female,White,60-64,,,,,,,,No,Somewhat disapprove,George W. Bush (Rep),For your candidate,,,,,,,Very worried,Very/Somewhat worried,Somewhat disapprove,Disapprove,Does not matter to me,,,,Both did,"Yes, Bob Menendez did","Yes, Thomas Kean, Jr did", During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,60 or over,50-64,18-64,60 or over,,,,,,,,,,Disapprove,,,,,,White,Suburbs,Suburbs,6.0,Strong Democratic,Central,Suburb,60s Suburbs,Urban Perimeter,Downscale,8879.0
