ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,HOUVT06,SENVT06,GOVVT06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,EDUC,BUSH4,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,STECVT,STEC2,FORBUSHS,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,COLLEDUC,HSEDUC,BUSH,IRAQWAR2,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4
13134.0, Vermont,42.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.947576642036438,Peter Welch (Dem),Bernie Sanders (Ind),Scudder Parker (Dem),Male,White,60-64,Independent,Liberal,,Postgraduate study,Strongly disapprove,Strongly disapprove,Somewhat important,Not at all important,Extremely important,Good,Excellent/Good,To express opposition to George W Bush,White male,White male,60 or over,50-64,18-64,60 or over,Independent/Something else,,,College graduate,At least some college,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Competitive,Green Mountains,Low Density Rural,Rural,Rural,Very upscale
13155.0, Vermont,72.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.25626409053802,Martha Rainville (Rep),Bernie Sanders (Ind),Jim Douglas (Rep),Female,White,60-64,Something else,,$15k-$30k,High school graduate,Strongly disapprove,Strongly disapprove,Extremely important,Extremely important,Extremely important,Not so good,Not so good/Poor,To express opposition to George W Bush,White female,White female,60 or over,50-64,18-64,60 or over,Independent/Something else,Less than $50k,Less than $100k,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Competitive,Green Mountains,Extremely Low Density Rural,Rural,Rural,Upscale
13227.0, Vermont,42.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.947576642036438,Peter Welch (Dem),Bernie Sanders (Ind),Scudder Parker (Dem),Male,White,75 or over,Democratic,Liberal,$30k-$50k,Postgraduate study,Strongly disapprove,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Good,Excellent/Good,To express opposition to George W Bush,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,College graduate,At least some college,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Competitive,Green Mountains,Low Density Rural,Rural,Rural,Very upscale
13242.0, Vermont,72.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.3694180250167798,Martha Rainville (Rep),Rich Tarrant (Rep),Jim Douglas (Rep),Female,White,75 or over,Republican,Conservative,$30k-$50k,High school graduate,Strongly approve,Strongly approve,Not at all important,Not at all important,Not at all important,Good,Excellent/Good,George W Bush was not a factor,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,Did not graduate from college,High school graduate or less,Approve,Approve,White,Rural,Small Cities/Rural,1.0,Competitive,Green Mountains,Extremely Low Density Rural,Rural,Rural,Upscale
13275.0, Vermont,79.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.896718561649323,Peter Welch (Dem),Bernie Sanders (Ind),Scudder Parker (Dem),Male,White,50-59,Independent,Liberal,$50k-$75k,College graduate,Strongly disapprove,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Not so good,Not so good/Poor,To express opposition to George W Bush,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,College graduate,At least some college,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Competitive,Green Mountains,Low Density Rural,Rural,Rural,Very downscale
13302.0, Vermont,42.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.850163757801056,Peter Welch (Dem),Bernie Sanders (Ind),Scudder Parker (Dem),Male,,65-74,Something else,Liberal,,Postgraduate study,Strongly disapprove,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Not so good,Not so good/Poor,To express opposition to George W Bush,,,60 or over,65 or over,65 or over,60 or over,Independent/Something else,,,College graduate,At least some college,Disapprove,Disapprove,,Rural,Small Cities/Rural,1.0,Competitive,Green Mountains,Low Density Rural,Rural,Rural,Very upscale
13318.0, Vermont,72.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.3694180250167798,Martha Rainville (Rep),Rich Tarrant (Rep),Jim Douglas (Rep),Female,White,75 or over,Independent,Conservative,$75k-$100k,Postgraduate study,Somewhat approve,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Not so good,Not so good/Poor,To express support for George W Bush,White female,White female,60 or over,65 or over,65 or over,60 or over,Independent/Something else,$50k or more,Less than $100k,College graduate,At least some college,Approve,Approve,White,Rural,Small Cities/Rural,1.0,Competitive,Green Mountains,Extremely Low Density Rural,Rural,Rural,Upscale
13370.0, Vermont,17.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.49908173084259,Peter Welch (Dem),Bernie Sanders (Ind),Scudder Parker (Dem),Male,White,50-59,Democratic,Moderate,$30k-$50k,Postgraduate study,Strongly disapprove,Strongly disapprove,Extremely important,Somewhat important,Extremely important,Not so good,Not so good/Poor,To express opposition to George W Bush,White male,White male,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,College graduate,At least some college,Disapprove,Disapprove,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Competitive,Burlington/Winooski River Valley,Town,Rural,Rural,Upscale
13387.0, Vermont,42.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.24898028373718,Martha Rainville (Rep),Bernie Sanders (Ind),Jim Douglas (Rep),Male,White,65-74,Independent,Moderate,$100k-$150k,College graduate,Somewhat disapprove,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Excellent,Excellent/Good,George W Bush was not a factor,White male,White male,60 or over,65 or over,65 or over,60 or over,Independent/Something else,$50k or more,$100k or more,College graduate,At least some college,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Competitive,Green Mountains,Low Density Rural,Rural,Rural,Very upscale
13396.0, Vermont,79.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.23920917510986,Peter Welch (Dem),Bernie Sanders (Ind),Jim Douglas (Rep),Male,White,65-74,Democratic,Moderate,,Some college or associate degree,Strongly disapprove,Strongly disapprove,Extremely important,Extremely important,Extremely important,Good,Excellent/Good,To express opposition to George W Bush,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,,,Did not graduate from college,At least some college,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Competitive,Green Mountains,Low Density Rural,Rural,Rural,Very downscale
